,QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA CLIPPERS_ACTION,PORTLAND_SCORE,LA CLIPPERS_SCORE
0,1,11:46.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),0,2
1,1,11:22.0,C. McCollum makes 2-pt jump shot from 12 ft,,2,2
2,1,11:04.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by C. Paul),2,5
3,1,10:46.0,M. Harkless misses 3-pt jump shot from 25 ft,,2,5
4,1,10:45.0,,Defensive rebound by D. Jordan,2,5
5,1,10:27.0,,C. Paul makes 3-pt jump shot from 26 ft,2,8
6,1,10:02.0,M. Plumlee makes 2-pt jump shot from 10 ft,,4,8
7,1,9:45.0,,Offensive foul by J. Redick (drawn by D. Lillard),4,8
8,1,9:45.0,,Turnover by J. Redick (offensive foul),4,8
9,1,9:23.0,D. Lillard misses 3-pt jump shot from 27 ft,,4,8
10,1,9:20.0,,Defensive rebound by D. Jordan,4,8
11,1,9:18.0,,B. Griffin makes 2-pt layup at rim (assist by C. Paul),4,10
12,1,8:59.0,Personal foul by J. Redick (drawn by C. McCollum),,4,10
13,1,8:50.0,M. Plumlee misses 2-pt jump shot from 15 ft,,4,10
14,1,8:48.0,,Defensive rebound by B. Griffin,4,10
15,1,8:41.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),4,12
16,1,8:21.0,M. Harkless makes 2-pt hook shot from 4 ft (assist by M. Plumlee),,6,12
17,1,8:13.0,,Turnover by C. Paul (bad pass),6,12
18,1,8:13.0,,A. Rivers enters the game for J. Redick,6,12
19,1,7:51.0,Turnover by D. Lillard (bad pass; steal by B. Griffin),,6,12
20,1,7:36.0,,C. Paul makes 2-pt jump shot from 13 ft (assist by B. Griffin),6,14
21,1,7:29.0,Portland full timeout,,6,14
22,1,7:07.0,C. McCollum makes 2-pt jump shot from 4 ft,,8,14
23,1,6:43.0,,B. Griffin misses 2-pt layup from 3 ft (block by M. Harkless),8,14
24,1,6:37.0,,Offensive rebound by B. Griffin,8,14
25,1,6:37.0,,B. Griffin makes 2-pt layup from 1 ft,8,16
26,1,6:27.0,D. Lillard makes 2-pt jump shot from 20 ft (assist by M. Plumlee),,10,16
27,1,6:12.0,,B. Griffin makes 2-pt jump shot from 2 ft,10,18
28,1,6:12.0,,Shooting foul by M. Harkless (drawn by B. Griffin),10,18
29,1,6:12.0,,B. Griffin makes free throw 1 of 1,10,19
