,QUARTER,TIME_REMAINING,DETROIT_ACTION,PORTLAND_ACTION,DETROIT_SCORE,PORTLAND_SCORE
0,1,11:42.0,M. Morris misses 2-pt jump shot from 19 ft,,0,0
1,1,11:42.0,,Defensive rebound by D. Lillard,0,0
2,1,11:37.0,,Turnover by D. Lillard (bad pass; steal by A. Drummond),0,0
3,1,11:29.0,R. Jackson makes 2-pt jump shot from 7 ft,,2,0
4,1,11:07.0,,M. Harkless misses 3-pt jump shot from 24 ft,2,0
5,1,11:07.0,Defensive rebound by A. Drummond,,2,0
6,1,10:55.0,A. Drummond makes 2-pt layup from 2 ft (assist by M. Morris),,4,0
7,1,10:39.0,,C. McCollum makes 2-pt jump shot from 19 ft,4,2
8,1,10:22.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by M. Morris),,7,2
9,1,10:00.0,,C. McCollum makes 2-pt jump shot from 20 ft (assist by M. Plumlee),7,4
10,1,9:41.0,A. Drummond misses 2-pt hook shot from 8 ft,,7,4
11,1,9:41.0,,Defensive rebound by Team,7,4
12,1,9:30.0,,Personal foul by R. Jackson (drawn by D. Lillard),7,4
13,1,9:16.0,,C. McCollum misses 3-pt jump shot from 23 ft,7,4
14,1,9:16.0,,Offensive rebound by M. Plumlee,7,4
15,1,9:16.0,,Turnover by Team (shot clock),7,4
16,1,9:08.0,Personal block foul by A. Aminu (drawn by R. Jackson),,7,4
17,1,8:54.0,A. Drummond makes 2-pt hook shot from 10 ft,,9,4
18,1,8:42.0,,Turnover by D. Lillard (bad pass; steal by M. Morris),9,4
19,1,8:35.0,Turnover by A. Drummond (offensive goaltending),,9,4
20,1,8:22.0,,Turnover by M. Plumlee (bad pass; steal by K. Caldwell-Pope),9,4
21,1,8:17.0,K. Caldwell-Pope makes 3-pt jump shot from 26 ft,,12,4
22,1,7:59.0,,C. McCollum makes 2-pt jump shot from 23 ft (assist by D. Lillard),12,6
23,1,7:37.0,A. Drummond makes 2-pt jump shot from 4 ft (assist by J. Leuer),,14,6
24,1,7:24.0,,A. Aminu makes 2-pt jump shot from 5 ft (assist by C. McCollum),14,8
25,1,7:24.0,,Shooting foul by J. Leuer (drawn by A. Aminu),14,8
26,1,7:24.0,,A. Aminu makes free throw 1 of 1,14,9
27,1,7:13.0,M. Morris misses 3-pt jump shot from 26 ft,,14,9
28,1,7:12.0,,Defensive rebound by D. Lillard,14,9
29,1,7:08.0,,D. Lillard makes 3-pt jump shot from 25 ft,14,12
30,1,6:51.0,M. Morris misses 3-pt jump shot from 23 ft,,14,12
31,1,6:51.0,,Defensive rebound by Team,14,12
32,1,6:39.0,,Personal foul by R. Jackson (drawn by D. Lillard),14,12
33,1,6:39.0,I. Smith enters the game for R. Jackson,,14,12
34,1,6:28.0,,M. Harkless misses 2-pt hook shot from 3 ft,14,12
35,1,6:28.0,Defensive rebound by M. Morris,,14,12
