,QUARTER,TIME_REMAINING,DALLAS_ACTION,UTAH_ACTION,DALLAS_SCORE,UTAH_SCORE
0,1,11:43.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,0,0
1,1,11:42.0,,Defensive rebound by R. Gobert,0,0
2,1,11:24.0,,G. Hill makes 3-pt jump shot from 23 ft (assist by J. Johnson),0,3
3,1,10:59.0,D. Williams misses 3-pt jump shot from 24 ft,,0,3
4,1,10:59.0,,Defensive rebound by R. Gobert,0,3
5,1,10:45.0,,D. Favors misses 2-pt jump shot from 17 ft,0,3
6,1,10:45.0,Defensive rebound by Team,,0,3
7,1,10:45.0,,Loose ball foul by R. Gobert (drawn by D. Nowitzki),0,3
8,1,10:28.0,H. Barnes misses 2-pt jump shot from 17 ft,,0,3
9,1,10:27.0,,Defensive rebound by R. Hood,0,3
10,1,10:16.0,,R. Hood misses 2-pt jump shot from 10 ft,0,3
11,1,10:14.0,,Offensive rebound by R. Gobert,0,3
12,1,10:14.0,,R. Gobert misses 2-pt layup from 1 ft,0,3
13,1,10:11.0,Defensive rebound by D. Williams,,0,3
14,1,9:47.0,H. Barnes misses 3-pt jump shot from 25 ft,,0,3
15,1,9:47.0,,Defensive rebound by R. Gobert,0,3
16,1,9:36.0,,G. Hill misses 2-pt layup from 2 ft,0,3
17,1,9:36.0,,Offensive rebound by R. Gobert,0,3
18,1,9:36.0,,Shooting foul by D. Nowitzki (drawn by R. Gobert),0,3
19,1,9:36.0,,R. Gobert misses free throw 1 of 2,0,3
20,1,9:36.0,,Offensive rebound by Team,0,3
21,1,9:36.0,,R. Gobert makes free throw 2 of 2,0,4
22,1,9:23.0,H. Barnes makes 2-pt jump shot from 19 ft (assist by W. Matthews),,2,4
23,1,9:08.0,,J. Johnson misses 2-pt jump shot from 20 ft,2,4
24,1,9:08.0,Defensive rebound by A. Bogut,,2,4
25,1,8:53.0,D. Nowitzki misses 2-pt jump shot from 18 ft,,2,4
26,1,8:52.0,,Defensive rebound by J. Johnson,2,4
27,1,8:33.0,,D. Favors misses 2-pt layup from 2 ft (block by A. Bogut),2,4
28,1,8:32.0,,Offensive rebound by R. Gobert,2,4
29,1,8:27.0,,G. Hill misses 3-pt jump shot from 25 ft,2,4
30,1,8:27.0,Defensive rebound by Team,,2,4
31,1,8:27.0,,Loose ball foul by R. Gobert (drawn by A. Bogut),2,4
32,1,8:27.0,,T. Lyles enters the game for R. Gobert,2,4
33,1,8:14.0,,Violation by D. Favors (kicked ball),2,4
34,1,8:10.0,Personal foul by G. Hill (drawn by H. Barnes),,2,4
35,1,8:05.0,Turnover by A. Bogut (bad pass; steal by J. Johnson),,2,4
36,1,7:58.0,,R. Hood misses 3-pt jump shot from 23 ft,2,4
37,1,7:58.0,,Offensive rebound by Team,2,4
38,1,7:58.0,Loose ball foul by D. Williams (drawn by D. Favors),,2,4
39,1,7:46.0,,J. Johnson makes 2-pt jump shot from 7 ft,2,6
40,1,7:46.0,,Shooting foul by H. Barnes (drawn by J. Johnson),2,6
41,1,7:46.0,,J. Johnson makes free throw 1 of 1,2,7
42,1,7:28.0,D. Nowitzki makes 2-pt layup from 2 ft,,4,7
43,1,7:18.0,,Turnover by G. Hill (bad pass; steal by A. Bogut),4,7
44,1,6:59.0,D. Williams misses 2-pt jump shot from 17 ft,,4,7
45,1,6:58.0,,Defensive rebound by G. Hill,4,7
46,1,6:47.0,,R. Hood misses 2-pt jump shot from 6 ft,4,7
47,1,6:46.0,,Offensive rebound by R. Hood,4,7
48,1,6:44.0,,R. Hood makes 2-pt layup from 2 ft,4,9
49,1,6:37.0,Dallas full timeout,,4,9
50,1,6:37.0,J. Barea enters the game for D. Nowitzki,,4,9
51,1,6:26.0,H. Barnes makes 2-pt jump shot from 21 ft (assist by D. Williams),,6,9
52,1,6:10.0,,D. Favors misses 2-pt layup from 1 ft (block by H. Barnes),6,9
53,1,6:10.0,Defensive rebound by Team,,6,9
54,1,5:51.0,W. Matthews misses 3-pt jump shot from 25 ft,,6,9
55,1,5:50.0,,Defensive rebound by D. Favors,6,9
56,1,5:37.0,,J. Johnson misses 2-pt jump shot from 21 ft,6,9
57,1,5:36.0,Defensive rebound by A. Bogut,,6,9
58,1,5:16.0,D. Williams misses 3-pt jump shot from 24 ft,,6,9
59,1,5:16.0,,Defensive rebound by T. Lyles,6,9
60,1,5:02.0,,R. Hood makes 2-pt jump shot from 9 ft,6,11
61,1,4:39.0,Turnover by J. Barea (bad pass),,6,11
62,1,4:39.0,,J. Withey enters the game for D. Favors,6,11
63,1,4:20.0,,G. Hill misses 2-pt jump shot from 17 ft,6,11
64,1,4:20.0,Defensive rebound by A. Bogut,,6,11
65,1,4:07.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by H. Barnes),,9,11
66,1,3:39.0,,T. Lyles misses 2-pt jump shot from 6 ft,9,11
67,1,3:39.0,Defensive rebound by A. Bogut,,9,11
68,1,3:22.0,Turnover by H. Barnes (bad pass; steal by J. Withey),,9,11
69,1,3:17.0,Offensive charge foul by R. Hood (drawn by J. Barea),,9,11
70,1,3:17.0,,Turnover by R. Hood (offensive foul),9,11
71,1,3:17.0,,J. Ingles enters the game for J. Johnson,9,11
72,1,3:17.0,S. Curry enters the game for D. Williams,,9,11
73,1,3:17.0,S. Mejri enters the game for A. Bogut,,9,11
74,1,3:03.0,H. Barnes makes 2-pt jump shot from 17 ft (assist by J. Barea),,11,11
75,1,2:56.0,,Utah full timeout,11,11
76,1,2:56.0,,S. Mack enters the game for G. Hill,11,11
77,1,2:44.0,,J. Ingles misses 3-pt jump shot from 23 ft,11,11
78,1,2:44.0,Defensive rebound by J. Barea,,11,11
79,1,2:27.0,J. Barea misses 2-pt jump shot from 18 ft,,11,11
80,1,2:26.0,,Defensive rebound by J. Withey,11,11
81,1,2:17.0,,R. Hood makes 2-pt jump shot from 17 ft,11,13
82,1,2:01.0,W. Matthews misses 3-pt jump shot from 23 ft,,11,13
83,1,2:00.0,,Defensive rebound by T. Lyles,11,13
84,1,1:48.0,,R. Hood makes 2-pt jump shot from 13 ft,11,15
85,1,1:46.0,Dallas full timeout,,11,15
86,1,1:46.0,J. Anderson enters the game for W. Matthews,,11,15
87,1,1:46.0,D. Nowitzki enters the game for H. Barnes,,11,15
88,1,1:35.0,Personal foul by S. Mack,,11,15
89,1,1:21.0,J. Barea misses 3-pt jump shot from 25 ft,,11,15
90,1,1:20.0,,Defensive rebound by T. Lyles,11,15
91,1,1:08.0,,R. Hood misses 2-pt jump shot from 3 ft (block by S. Mejri),11,15
92,1,1:08.0,,Offensive rebound by Team,11,15
93,1,1:05.0,,S. Mack misses 3-pt jump shot from 24 ft,11,15
94,1,1:04.0,Defensive rebound by S. Mejri,,11,15
95,1,0:55.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,11,15
96,1,0:55.0,,Defensive rebound by Team,11,15
97,1,0:55.0,,Personal foul by S. Mejri (drawn by J. Withey),11,15
98,1,0:55.0,,D. Exum enters the game for R. Hood,11,15
99,1,0:34.0,,S. Mack misses 3-pt jump shot from 24 ft,11,15
100,1,0:34.0,Defensive rebound by Team,,11,15
101,1,0:08.0,J. Anderson makes 3-pt jump shot from 22 ft (assist by S. Curry),,14,15
102,1,0:02.0,,T. Lyles misses 3-pt jump shot from 25 ft,14,15
103,1,0:01.0,Defensive rebound by J. Anderson,,14,15
104,2,11:40.0,,J. Ingles misses 2-pt jump shot from 22 ft,14,15
105,2,11:40.0,Defensive rebound by Team,,14,15
106,2,11:17.0,S. Curry makes 2-pt jump shot from 19 ft,,16,15
107,2,10:58.0,,T. Lyles misses 2-pt jump shot from 20 ft,16,15
108,2,10:57.0,Defensive rebound by J. Barea,,16,15
109,2,10:33.0,J. Barea misses 2-pt layup from 3 ft,,16,15
110,2,10:32.0,,Defensive rebound by S. Mack,16,15
111,2,10:22.0,,Turnover by J. Ingles (bad pass; steal by J. Barea),16,15
