,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA LAKERS_ACTION,MINNESOTA_SCORE,LA LAKERS_SCORE
0,1,11:43.0,G. Dieng makes 2-pt jump shot from 14 ft (assist by A. Wiggins),,2,0
1,1,11:24.0,,I. Zubac misses 2-pt hook shot from 10 ft,2,0
2,1,11:19.0,Defensive rebound by R. Rubio,,2,0
3,1,11:10.0,K. Towns makes 2-pt hook shot from 6 ft (assist by R. Rubio),,4,0
4,1,10:52.0,,J. Randle makes 2-pt jump shot from 11 ft,4,2
5,1,10:24.0,A. Wiggins makes 3-pt jump shot from 25 ft (assist by B. Rush),,7,2
6,1,10:10.0,,J. Clarkson makes 3-pt jump shot from 25 ft (assist by I. Zubac),7,5
7,1,9:55.0,G. Dieng misses 2-pt jump shot from 18 ft,,7,5
8,1,9:54.0,,Defensive rebound by J. Randle,7,5
9,1,9:51.0,,Shooting foul by G. Dieng (drawn by J. Randle),7,5
10,1,9:51.0,,J. Randle misses free throw 1 of 2,7,5
11,1,9:51.0,,Offensive rebound by Team,7,5
12,1,9:51.0,,J. Randle makes free throw 2 of 2,7,6
13,1,9:33.0,A. Wiggins makes 2-pt layup from 2 ft,,9,6
14,1,9:23.0,,J. Randle misses 2-pt jump shot from 8 ft,9,6
15,1,9:20.0,Defensive rebound by K. Towns,,9,6
16,1,9:16.0,Turnover by R. Rubio (bad pass; steal by I. Zubac),,9,6
17,1,9:10.0,,J. Randle misses 2-pt layup from 4 ft,9,6
18,1,9:08.0,Defensive rebound by B. Rush,,9,6
19,1,9:03.0,Shooting foul by I. Zubac (drawn by R. Rubio),,9,6
20,1,9:03.0,R. Rubio makes free throw 1 of 2,,10,6
21,1,9:03.0,R. Rubio makes free throw 2 of 2,,11,6
22,1,8:49.0,,B. Ingram makes 2-pt layup from 2 ft,11,8
23,1,8:36.0,R. Rubio misses 2-pt jump shot from 18 ft,,11,8
24,1,8:34.0,,Defensive rebound by I. Zubac,11,8
25,1,8:24.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by J. Randle),11,11
26,1,8:02.0,G. Dieng misses 2-pt jump shot from 8 ft,,11,11
27,1,8:00.0,Offensive rebound by G. Dieng,,11,11
28,1,7:58.0,K. Towns makes 2-pt dunk at rim (assist by G. Dieng),,13,11
29,1,7:44.0,,I. Zubac makes 2-pt dunk at rim (assist by D. Russell),13,13
30,1,7:44.0,,Shooting foul by R. Rubio (drawn by I. Zubac),13,13
31,1,7:44.0,,I. Zubac makes free throw 1 of 1,13,14
32,1,7:35.0,B. Rush misses 2-pt layup from 2 ft,,13,14
33,1,7:34.0,Offensive rebound by K. Towns,,13,14
34,1,7:34.0,K. Towns misses 2-pt layup from 2 ft,,13,14
35,1,7:32.0,Offensive rebound by G. Dieng,,13,14
36,1,7:31.0,G. Dieng misses 2-pt jump shot from 4 ft,,13,14
37,1,7:28.0,,Defensive rebound by I. Zubac,13,14
38,1,7:24.0,,B. Ingram misses 2-pt layup from 1 ft,13,14
39,1,7:21.0,,Offensive rebound by J. Randle,13,14
40,1,7:20.0,,J. Randle misses 2-pt layup from 2 ft,13,14
41,1,7:18.0,Defensive rebound by R. Rubio,,13,14
42,1,7:16.0,Turnover by A. Wiggins (bad pass),,13,14
43,1,6:58.0,,Turnover by B. Ingram (bad pass; steal by R. Rubio),13,14
44,1,6:57.0,Personal take foul by D. Russell (drawn by R. Rubio),,13,14
45,1,6:46.0,Shooting foul by J. Randle (drawn by A. Wiggins),,13,14
46,1,6:46.0,A. Wiggins makes free throw 1 of 2,,14,14
47,1,6:46.0,,LA Lakers full timeout,14,14
48,1,6:46.0,A. Wiggins misses free throw 2 of 2,,14,14
49,1,6:44.0,,Defensive rebound by I. Zubac,14,14
50,1,6:26.0,,D. Russell misses 2-pt layup from 3 ft (block by G. Dieng),14,14
51,1,6:25.0,Defensive rebound by K. Towns,,14,14
52,1,6:11.0,K. Towns makes 2-pt jump shot from 8 ft (assist by R. Rubio),,16,14
53,1,6:11.0,Shooting foul by D. Russell (drawn by K. Towns),,16,14
54,1,6:11.0,K. Towns makes free throw 1 of 1,,17,14
55,1,5:50.0,,J. Clarkson misses 3-pt jump shot from 26 ft,17,14
56,1,5:49.0,Defensive rebound by K. Towns,,17,14
57,1,5:28.0,K. Towns misses 2-pt jump shot from 17 ft,,17,14
58,1,5:25.0,,Defensive rebound by J. Randle,17,14
59,1,5:24.0,Offensive charge foul by J. Randle (drawn by B. Rush),,17,14
