,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,SACRAMENTO_ACTION,BROOKLYN_SCORE,SACRAMENTO_SCORE
0,1,11:38.0,,D. Collison misses 2-pt jump shot from 5 ft,0,0
1,1,11:37.0,Defensive rebound by C. LeVert,,0,0
2,1,11:22.0,J. Lin makes 3-pt jump shot from 26 ft,,3,0
3,1,10:57.0,,K. Koufos misses 2-pt hook shot from 10 ft,3,0
4,1,10:57.0,Defensive rebound by J. Lin,,3,0
5,1,10:42.0,B. Lopez makes 2-pt jump shot from 4 ft (assist by J. Lin),,5,0
6,1,10:23.0,,B. McLemore misses 2-pt layup from 2 ft,5,0
7,1,10:22.0,Defensive rebound by C. LeVert,,5,0
8,1,10:14.0,R. Foye makes 3-pt jump shot from 25 ft (assist by C. LeVert),,8,0
9,1,9:57.0,,A. Afflalo makes 2-pt jump shot from 11 ft,8,2
10,1,9:48.0,J. Lin misses 2-pt jump shot from 5 ft,,8,2
11,1,9:47.0,Offensive rebound by B. Lopez,,8,2
12,1,9:45.0,B. Lopez makes 2-pt layup from 2 ft,,10,2
13,1,9:25.0,,B. McLemore makes 2-pt layup from 4 ft,10,4
14,1,9:11.0,Personal foul by B. McLemore (drawn by B. Lopez),,10,4
15,1,8:59.0,B. Lopez makes 3-pt jump shot from 24 ft (assist by J. Lin),,13,4
16,1,8:47.0,,S. Labissière misses 2-pt layup from 5 ft (block by B. Lopez),13,4
17,1,8:46.0,,Offensive rebound by S. Labissière,13,4
18,1,8:44.0,,Turnover by S. Labissière (bad pass; steal by C. LeVert),13,4
19,1,8:39.0,Shooting foul by D. Collison (drawn by R. Hollis-Jefferson),,13,4
20,1,8:39.0,,Sacramento full timeout,13,4
21,1,8:39.0,R. Hollis-Jefferson makes free throw 1 of 2,,14,4
22,1,8:39.0,R. Hollis-Jefferson misses free throw 2 of 2,,14,4
23,1,8:37.0,,Defensive rebound by A. Afflalo,14,4
24,1,8:17.0,,A. Afflalo misses 2-pt jump shot from 15 ft,14,4
25,1,8:16.0,,Offensive rebound by S. Labissière,14,4
