,QUARTER,TIME_REMAINING,DENVER_ACTION,MINNESOTA_ACTION,DENVER_SCORE,MINNESOTA_SCORE
0,1,11:39.0,,K. Towns misses 2-pt jump shot from 22 ft,0,0
1,1,11:38.0,Defensive rebound by D. Gallinari,,0,0
2,1,11:19.0,J. Nurkić misses 2-pt layup at rim,,0,0
3,1,11:18.0,,Defensive rebound by K. Towns,0,0
4,1,11:13.0,,A. Wiggins misses 2-pt jump shot from 20 ft,0,0
5,1,11:12.0,Defensive rebound by J. Nurkić,,0,0
6,1,10:56.0,D. Gallinari makes 2-pt jump shot from 23 ft (assist by N. Jokić),,2,0
7,1,10:40.0,,Z. LaVine misses 2-pt jump shot from 20 ft,2,0
8,1,10:39.0,,Offensive rebound by K. Towns,2,0
9,1,10:38.0,,K. Towns makes 2-pt jump shot from 9 ft,2,2
10,1,10:18.0,J. Nurkić misses 2-pt jump shot from 20 ft,,2,2
11,1,10:17.0,,Defensive rebound by K. Towns,2,2
12,1,10:11.0,,K. Towns makes 2-pt layup from 1 ft (assist by K. Dunn),2,4
13,1,10:11.0,,Shooting foul by N. Jokić (drawn by K. Towns),2,4
14,1,10:11.0,,K. Towns makes free throw 1 of 1,2,5
15,1,9:58.0,J. Murray misses 2-pt jump shot from 19 ft,,2,5
16,1,9:57.0,,Defensive rebound by K. Towns,2,5
17,1,9:52.0,,A. Wiggins makes 2-pt jump shot from 6 ft (assist by K. Dunn),2,7
18,1,9:52.0,,Shooting foul by N. Jokić (drawn by A. Wiggins),2,7
19,1,9:52.0,K. Faried enters the game for N. Jokić,,2,7
20,1,9:52.0,,A. Wiggins makes free throw 1 of 1,2,8
21,1,9:42.0,E. Mudiay misses 2-pt jump shot from 18 ft,,2,8
22,1,9:41.0,,Defensive rebound by Team,2,8
23,1,9:31.0,,K. Towns misses 2-pt jump shot from 17 ft,2,8
24,1,9:30.0,Defensive rebound by D. Gallinari,,2,8
25,1,9:26.0,Turnover by D. Gallinari (bad pass; steal by K. Dunn),,2,8
26,1,9:22.0,,Turnover by K. Dunn (traveling),2,8
27,1,9:07.0,D. Gallinari makes 3-pt jump shot from 24 ft (assist by K. Faried),,5,8
28,1,8:51.0,,Shooting foul by J. Nurkić (drawn by K. Towns),5,8
29,1,8:51.0,,K. Towns makes free throw 1 of 2,5,9
30,1,8:51.0,,K. Towns makes free throw 2 of 2,5,10
31,1,8:41.0,K. Faried makes 2-pt dunk at rim (assist by E. Mudiay),,7,10
32,1,8:27.0,,K. Towns misses 2-pt hook shot from 5 ft,7,10
33,1,8:26.0,Defensive rebound by D. Gallinari,,7,10
34,1,8:16.0,Offensive foul by K. Faried (drawn by K. Dunn),,7,10
35,1,8:16.0,Turnover by K. Faried (offensive foul),,7,10
36,1,8:02.0,,A. Wiggins misses 2-pt jump shot from 20 ft,7,10
37,1,8:00.0,Defensive rebound by J. Nurkić,,7,10
38,1,7:40.0,J. Murray misses 3-pt jump shot from 24 ft,,7,10
39,1,7:39.0,,Defensive rebound by K. Towns,7,10
40,1,7:30.0,,G. Dieng misses 2-pt layup from 1 ft (block by J. Nurkić),7,10
41,1,7:29.0,Defensive rebound by J. Murray,,7,10
42,1,7:24.0,K. Faried makes 2-pt dunk at rim (assist by J. Murray),,9,10
43,1,7:07.0,,K. Towns makes 3-pt jump shot from 24 ft (assist by K. Dunn),9,13
44,1,7:06.0,Denver full timeout,,9,13
45,1,7:06.0,D. Arthur enters the game for J. Nurkić,,9,13
46,1,6:48.0,Turnover by E. Mudiay (lost ball; steal by K. Dunn),,9,13
47,1,6:46.0,,Turnover by A. Wiggins (bad pass; steal by E. Mudiay),9,13
48,1,6:25.0,D. Gallinari makes 3-pt jump shot from 28 ft (assist by E. Mudiay),,12,13
49,1,6:17.0,,Minnesota full timeout,12,13
50,1,6:03.0,,K. Towns makes 2-pt jump shot from 5 ft (assist by G. Dieng),12,15
51,1,5:38.0,D. Arthur misses 3-pt jump shot from 23 ft,,12,15
52,1,5:36.0,,Defensive rebound by K. Dunn,12,15
53,1,5:28.0,,Shooting foul by D. Arthur (drawn by A. Wiggins),12,15
54,1,5:28.0,,A. Wiggins makes free throw 1 of 2,12,16
