,QUARTER,TIME_REMAINING,HOUSTON_ACTION,BOSTON_ACTION,HOUSTON_SCORE,BOSTON_SCORE
0,1,11:47.0,Shooting foul by J. Crowder (drawn by R. Anderson),,0,0
1,1,11:47.0,R. Anderson makes free throw 1 of 2,,1,0
2,1,11:47.0,R. Anderson makes free throw 2 of 2,,2,0
3,1,11:35.0,,J. Crowder misses 3-pt jump shot from 26 ft,2,0
4,1,11:34.0,Defensive rebound by P. Beverley,,2,0
5,1,11:25.0,P. Beverley misses 3-pt jump shot from 22 ft,,2,0
6,1,11:24.0,,Defensive rebound by J. Crowder,2,0
7,1,11:11.0,,A. Horford makes 2-pt jump shot from 4 ft,2,2
8,1,11:03.0,C. Capela misses 2-pt layup at rim,,2,2
9,1,11:02.0,,Defensive rebound by J. Brown,2,2
10,1,11:00.0,,Offensive foul by J. Brown (drawn by P. Beverley),2,2
11,1,11:00.0,,Turnover by J. Brown (offensive foul),2,2
12,1,10:50.0,C. Capela misses 2-pt jump shot from 6 ft (block by J. Jerebko),,2,2
13,1,10:49.0,Offensive rebound by C. Capela,,2,2
14,1,10:47.0,Turnover by R. Anderson (lost ball),,2,2
15,1,10:36.0,,Turnover by A. Horford (bad pass; steal by R. Anderson),2,2
16,1,10:29.0,P. Beverley misses 3-pt jump shot from 23 ft,,2,2
17,1,10:28.0,,Defensive rebound by J. Jerebko,2,2
18,1,10:16.0,,J. Jerebko makes 2-pt layup from 2 ft (assist by A. Horford),2,4
19,1,9:56.0,J. Harden misses 3-pt jump shot from 26 ft,,2,4
20,1,9:55.0,,Defensive rebound by Team,2,4
21,1,9:37.0,,J. Brown misses 3-pt jump shot from 24 ft,2,4
22,1,9:36.0,Defensive rebound by T. Ariza,,2,4
23,1,9:30.0,T. Ariza misses 3-pt jump shot from 26 ft,,2,4
24,1,9:28.0,Offensive rebound by P. Beverley,,2,4
25,1,9:15.0,R. Anderson makes 3-pt jump shot from 23 ft (assist by J. Harden),,5,4
26,1,8:54.0,,I. Thomas makes 2-pt jump shot from 7 ft,5,6
27,1,8:41.0,J. Harden makes 2-pt jump shot from 9 ft (assist by R. Anderson),,7,6
28,1,8:26.0,,J. Crowder misses 2-pt jump shot from 12 ft,7,6
29,1,8:25.0,Defensive rebound by J. Harden,,7,6
30,1,8:19.0,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),,9,6
31,1,8:19.0,Shooting block foul by J. Jerebko (drawn by C. Capela),,9,6
32,1,8:19.0,C. Capela misses free throw 1 of 1,,9,6
33,1,8:19.0,,Defensive rebound by J. Jerebko,9,6
34,1,7:58.0,,A. Horford misses 2-pt hook shot from 9 ft,9,6
35,1,7:57.0,Defensive rebound by J. Harden,,9,6
36,1,7:51.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,11,6
37,1,7:33.0,,J. Crowder misses 3-pt jump shot from 25 ft,11,6
38,1,7:32.0,Defensive rebound by C. Capela,,11,6
39,1,7:22.0,C. Capela misses 2-pt hook shot from 5 ft,,11,6
40,1,7:21.0,,Defensive rebound by A. Horford,11,6
41,1,7:21.0,,Personal foul by C. Capela (drawn by A. Horford),11,6
42,1,7:09.0,,I. Thomas makes 2-pt layup at rim,11,8
43,1,6:51.0,J. Harden misses 3-pt jump shot from 23 ft,,11,8
44,1,6:50.0,,Defensive rebound by I. Thomas,11,8
45,1,6:45.0,,I. Thomas makes 3-pt jump shot from 26 ft,11,11
46,1,6:28.0,J. Harden misses 3-pt jump shot from 23 ft,,11,11
47,1,6:27.0,,Defensive rebound by J. Brown,11,11
48,1,6:21.0,,Personal foul by P. Beverley (drawn by I. Thomas),11,11
49,1,6:12.0,,A. Horford makes 2-pt dunk at rim (assist by I. Thomas),11,13
50,1,6:01.0,Shooting foul by A. Horford (drawn by R. Anderson),,11,13
51,1,6:01.0,R. Anderson makes free throw 1 of 2,,12,13
52,1,6:01.0,R. Anderson misses free throw 2 of 2,,12,13
53,1,6:01.0,,Defensive rebound by J. Jerebko,12,13
54,1,5:44.0,,J. Jerebko makes 3-pt jump shot from 24 ft (assist by A. Horford),12,16
55,1,5:31.0,Shooting foul by J. Brown (drawn by J. Harden),,12,16
56,1,5:31.0,,Boston full timeout,12,16
57,1,5:31.0,J. Harden makes free throw 1 of 2,,13,16
58,1,5:31.0,C. Brewer enters the game for C. Capela,,12,16
59,1,5:31.0,M. Harrell enters the game for P. Beverley,,12,16
60,1,5:31.0,,A. Johnson enters the game for A. Horford,12,16
61,1,5:31.0,J. Harden makes free throw 2 of 2,,14,16
62,1,5:21.0,,Turnover by J. Brown (bad pass),14,16
63,1,5:03.0,T. Ariza misses 2-pt layup from 3 ft,,14,16
64,1,5:02.0,,Defensive rebound by A. Johnson,14,16
65,1,4:57.0,,J. Crowder misses 2-pt jump shot from 14 ft,14,16
66,1,4:56.0,Defensive rebound by M. Harrell,,14,16
67,1,4:49.0,Loose ball foul by J. Harden (drawn by J. Crowder),,14,16
68,1,4:49.0,Turnover by J. Harden (offensive foul),,14,16
69,1,4:49.0,,M. Smart enters the game for J. Brown,14,16
70,1,4:36.0,,J. Crowder misses 3-pt jump shot from 26 ft,14,16
71,1,4:35.0,Defensive rebound by C. Brewer,,14,16
72,1,4:27.0,J. Harden makes 3-pt jump shot from 26 ft (assist by C. Brewer),,17,16
73,1,4:16.0,,A. Johnson makes 2-pt dunk at rim (assist by I. Thomas),17,18
74,1,4:09.0,Turnover by T. Ariza (lost ball; steal by I. Thomas),,17,18
75,1,4:04.0,,I. Thomas misses 3-pt jump shot from 25 ft,17,18
76,1,4:03.0,,Offensive rebound by J. Crowder,17,18
77,1,3:58.0,,J. Jerebko makes 2-pt layup from 1 ft (assist by J. Crowder),17,20
78,1,3:41.0,R. Anderson makes 2-pt layup from 1 ft (assist by M. Harrell),,19,20
79,1,3:41.0,Shooting foul by A. Johnson (drawn by R. Anderson),,19,20
80,1,3:41.0,R. Anderson makes free throw 1 of 1,,20,20
