,QUARTER,TIME_REMAINING,PHOENIX_ACTION,BOSTON_ACTION,PHOENIX_SCORE,BOSTON_SCORE
0,1,11:46.0,M. Chriss misses 2-pt dunk from 1 ft,,0,0
1,1,11:45.0,Offensive rebound by D. Jones,,0,0
2,1,11:41.0,A. Len misses 2-pt jump shot from 16 ft,,0,0
3,1,11:40.0,,Defensive rebound by A. Horford,0,0
4,1,11:28.0,,A. Johnson misses 2-pt jump shot from 15 ft,0,0
5,1,11:26.0,,Offensive rebound by I. Thomas,0,0
6,1,11:21.0,,J. Brown misses 3-pt jump shot from 24 ft,0,0
7,1,11:20.0,Defensive rebound by T. Ulis,,0,0
8,1,11:13.0,D. Booker misses 2-pt jump shot from 23 ft,,0,0
9,1,11:12.0,,Defensive rebound by A. Horford,0,0
10,1,11:09.0,,A. Horford makes 2-pt dunk at rim (assist by A. Johnson),0,2
11,1,11:09.0,,Shooting foul by D. Jones (drawn by A. Horford),0,2
12,1,11:09.0,,A. Horford misses free throw 1 of 1,0,2
13,1,11:09.0,Defensive rebound by A. Len,,0,2
14,1,10:55.0,T. Ulis misses 2-pt jump shot from 4 ft (block by J. Brown),,0,2
15,1,10:53.0,,Defensive rebound by J. Brown,0,2
16,1,10:49.0,,A. Horford makes 2-pt dunk at rim (assist by J. Crowder),0,4
17,1,10:31.0,M. Chriss misses 2-pt layup from 1 ft,,0,4
18,1,10:31.0,,Defensive rebound by J. Crowder,0,4
19,1,10:26.0,,I. Thomas misses 3-pt jump shot from 27 ft,0,4
20,1,10:25.0,Defensive rebound by D. Jones,,0,4
21,1,10:19.0,Turnover by M. Chriss (lost ball; steal by A. Johnson),,0,4
22,1,10:15.0,Violation by M. Chriss (def goaltending),,0,4
23,1,10:15.0,,J. Crowder makes 2-pt layup from 1 ft (assist by I. Thomas),0,6
24,1,10:01.0,D. Booker misses 2-pt jump shot from 16 ft,,0,6
25,1,10:00.0,Offensive rebound by D. Booker,,0,6
26,1,9:58.0,Turnover by D. Booker (bad pass; steal by A. Johnson),,0,6
27,1,9:55.0,,Turnover by A. Horford (traveling),0,6
28,1,9:36.0,Turnover by T. Ulis (bad pass; steal by A. Horford),,0,6
29,1,9:20.0,,J. Brown misses 2-pt layup from 2 ft,0,6
30,1,9:19.0,,Offensive rebound by A. Johnson,0,6
31,1,9:18.0,,A. Johnson misses 2-pt layup from 2 ft (block by A. Len),0,6
32,1,9:17.0,Defensive rebound by M. Chriss,,0,6
33,1,9:14.0,Shooting foul by J. Crowder (drawn by D. Jones),,0,6
34,1,9:14.0,D. Jones misses free throw 1 of 2,,0,6
35,1,9:14.0,Offensive rebound by Team,,0,6
36,1,9:14.0,D. Jones makes free throw 2 of 2,,1,6
37,1,9:01.0,,J. Crowder misses 3-pt jump shot from 26 ft,1,6
38,1,9:00.0,Defensive rebound by A. Len,,1,6
39,1,8:52.0,Shooting foul by I. Thomas (drawn by T. Ulis),,1,6
40,1,8:52.0,T. Ulis makes free throw 1 of 2,,2,6
41,1,8:52.0,T. Ulis misses free throw 2 of 2,,2,6
42,1,8:52.0,,Defensive rebound by J. Brown,2,6
43,1,8:38.0,,I. Thomas makes 2-pt jump shot from 18 ft,2,8
44,1,8:17.0,M. Chriss misses 2-pt jump shot from 21 ft,,2,8
45,1,8:16.0,,Defensive rebound by J. Crowder,2,8
46,1,8:08.0,,I. Thomas misses 3-pt jump shot from 25 ft,2,8
47,1,8:07.0,Defensive rebound by D. Booker,,2,8
48,1,8:01.0,D. Jones misses 2-pt layup from 1 ft,,2,8
49,1,8:00.0,,Defensive rebound by A. Horford,2,8
50,1,7:53.0,,J. Crowder misses 2-pt jump shot from 13 ft,2,8
51,1,7:52.0,Defensive rebound by M. Chriss,,2,8
52,1,7:47.0,Personal foul by A. Horford (drawn by A. Len),,2,8
53,1,7:43.0,Shooting foul by J. Brown (drawn by D. Booker),,2,8
54,1,7:43.0,D. Booker makes free throw 1 of 2,,3,8
55,1,7:43.0,D. Booker misses free throw 2 of 2,,3,8
56,1,7:43.0,,Defensive rebound by J. Crowder,3,8
57,1,7:24.0,,J. Brown makes 2-pt jump shot from 10 ft,3,10
58,1,7:07.0,M. Chriss misses 3-pt jump shot from 27 ft,,3,10
59,1,7:06.0,,Defensive rebound by J. Brown,3,10
60,1,6:58.0,,I. Thomas makes 2-pt jump shot from 7 ft,3,12
61,1,6:58.0,Phoenix full timeout,,3,12
62,1,6:58.0,A. Williams enters the game for A. Len,,3,12
63,1,6:35.0,A. Williams misses 2-pt jump shot from 9 ft (block by A. Johnson),,3,12
64,1,6:34.0,,Defensive rebound by J. Crowder,3,12
65,1,6:17.0,,A. Johnson makes 2-pt dunk at rim (assist by J. Crowder),3,14
66,1,5:58.0,D. Booker misses 2-pt jump shot from 6 ft,,3,14
67,1,5:57.0,,Defensive rebound by J. Brown,3,14
68,1,5:54.0,,J. Brown makes 2-pt layup at rim (assist by I. Thomas),3,16
69,1,5:54.0,,Shooting foul by D. Jones (drawn by J. Brown),3,16
70,1,5:54.0,,J. Brown misses free throw 1 of 1,3,16
71,1,5:54.0,Defensive rebound by M. Chriss,,3,16
72,1,5:54.0,,T. Zeller enters the game for A. Horford,3,16
73,1,5:54.0,L. Barbosa enters the game for D. Jones,,3,16
74,1,5:33.0,M. Chriss misses 3-pt jump shot from 26 ft,,3,16
75,1,5:32.0,,Defensive rebound by J. Brown,3,16
76,1,5:25.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by I. Thomas),3,19
77,1,5:25.0,Phoenix full timeout,,3,19
78,1,5:13.0,A. Williams misses 2-pt hook shot from 9 ft,,3,19
79,1,5:12.0,,Defensive rebound by J. Crowder,3,19
80,1,4:58.0,,J. Brown makes 3-pt jump shot from 26 ft (assist by I. Thomas),3,22
81,1,4:40.0,D. Booker makes 2-pt hook shot from 7 ft,,5,22
82,1,4:34.0,,I. Thomas makes 3-pt jump shot from 25 ft,5,25
83,1,4:28.0,Shooting foul by J. Brown (drawn by D. Booker),,5,25
84,1,4:28.0,D. Booker makes free throw 1 of 2,,6,25
85,1,4:28.0,J. Dudley enters the game for M. Chriss,,6,25
86,1,4:28.0,,M. Smart enters the game for J. Brown,6,25
87,1,4:28.0,D. Booker makes free throw 2 of 2,,7,25
88,1,4:07.0,,M. Smart misses 3-pt jump shot from 28 ft,7,25
89,1,4:06.0,,Offensive rebound by A. Johnson,7,25
90,1,3:55.0,,T. Zeller misses 2-pt jump shot from 20 ft,7,25
91,1,3:54.0,Defensive rebound by L. Barbosa,,7,25
92,1,3:44.0,L. Barbosa misses 2-pt layup from 2 ft,,7,25
93,1,3:43.0,,Defensive rebound by J. Crowder,7,25
94,1,3:29.0,,Personal foul by J. Dudley (drawn by I. Thomas),7,25
95,1,3:29.0,,K. Olynyk enters the game for A. Johnson,7,25
96,1,3:17.0,,I. Thomas misses 2-pt jump shot from 20 ft,7,25
97,1,3:16.0,Defensive rebound by A. Williams,,7,25
98,1,3:04.0,D. Booker makes 2-pt jump shot from 6 ft,,9,25
99,1,2:51.0,,Turnover by I. Thomas (lost ball; steal by T. Ulis),9,25
100,1,2:44.0,D. Booker makes 3-pt jump shot from 25 ft (assist by J. Dudley),,12,25
101,1,2:27.0,,Shooting foul by A. Williams (drawn by K. Olynyk),12,25
102,1,2:27.0,,Boston full timeout,12,25
103,1,2:27.0,,K. Olynyk makes free throw 1 of 2,12,26
104,1,2:27.0,D. Jones enters the game for T. Ulis,,12,25
105,1,2:27.0,,T. Rozier enters the game for I. Thomas,12,25
106,1,2:27.0,,K. Olynyk makes free throw 2 of 2,12,27
107,1,2:15.0,L. Barbosa makes 2-pt jump shot from 9 ft,,14,27
108,1,1:58.0,,T. Zeller misses 2-pt jump shot from 17 ft,14,27
109,1,1:56.0,,Offensive rebound by K. Olynyk,14,27
110,1,1:56.0,Offensive charge foul by T. Zeller (drawn by J. Dudley),,14,27
111,1,1:56.0,,Turnover by T. Zeller (offensive foul),14,27
112,1,1:56.0,,A. Horford enters the game for T. Zeller,14,27
113,1,1:30.0,J. Dudley misses 3-pt jump shot from 25 ft,,14,27
114,1,1:29.0,Offensive rebound by A. Williams,,14,27
115,1,1:28.0,A. Williams makes 2-pt layup from 2 ft,,16,27
116,1,1:07.0,,M. Smart misses 3-pt jump shot from 25 ft,16,27
117,1,1:06.0,Defensive rebound by A. Williams,,16,27
118,1,0:55.0,A. Williams misses 2-pt hook shot from 9 ft,,16,27
119,1,0:54.0,,Defensive rebound by K. Olynyk,16,27
120,1,0:45.0,,T. Rozier misses 3-pt jump shot from 25 ft,16,27
121,1,0:44.0,Defensive rebound by A. Williams,,16,27
122,1,0:27.0,D. Booker misses 3-pt jump shot from 26 ft,,16,27
123,1,0:26.0,,Defensive rebound by K. Olynyk,16,27
124,1,0:01.0,,T. Rozier makes 2-pt jump shot from 12 ft,16,29
125,2,11:41.0,,G. Green misses 2-pt jump shot from 18 ft,16,29
126,2,11:40.0,Defensive rebound by D. Jones,,16,29
127,2,11:23.0,L. Barbosa makes 2-pt jump shot from 19 ft (assist by M. Chriss),,18,29
128,2,11:12.0,,M. Smart makes 3-pt jump shot from 26 ft (assist by A. Horford),18,32
129,2,10:57.0,M. Chriss misses 2-pt jump shot from 21 ft,,18,32
130,2,10:56.0,,Defensive rebound by T. Rozier,18,32
131,2,10:41.0,,T. Rozier makes 3-pt jump shot from 25 ft (assist by A. Horford),18,35
132,2,10:32.0,Shooting foul by K. Olynyk (drawn by A. Len),,18,35
133,2,10:32.0,A. Len misses free throw 1 of 2,,18,35
134,2,10:32.0,Offensive rebound by Team,,18,35
135,2,10:32.0,A. Len makes free throw 2 of 2,,19,35
136,2,10:20.0,,Turnover by T. Rozier (bad pass; steal by M. Chriss),19,35
137,2,10:19.0,Personal foul by G. Green (drawn by M. Chriss),,19,35
138,2,10:07.0,Turnover by L. Barbosa (bad pass; steal by A. Horford),,19,35
139,2,9:47.0,,Turnover by K. Olynyk (traveling),19,35
140,2,9:40.0,Personal foul by K. Olynyk (drawn by M. Chriss),,19,35
141,2,9:30.0,Loose ball foul by M. Chriss (drawn by M. Smart),,19,35
142,2,9:30.0,Turnover by M. Chriss (offensive foul),,19,35
143,2,9:18.0,,K. Olynyk makes 3-pt jump shot from 23 ft (assist by A. Horford),19,38
144,2,9:04.0,D. Jones makes 2-pt jump shot from 7 ft (assist by J. Dudley),,21,38
145,2,8:58.0,Official timeout,,21,38
146,2,8:58.0,T. Ulis enters the game for D. Jones,,21,38
147,2,8:58.0,D. Booker enters the game for J. Dudley,,21,38
148,2,8:42.0,,K. Olynyk misses 3-pt jump shot from 26 ft,21,38
149,2,8:41.0,,Offensive rebound by A. Horford,21,38
150,2,8:37.0,,M. Smart misses 3-pt jump shot from 26 ft,21,38
151,2,8:36.0,Defensive rebound by T. Ulis,,21,38
152,2,8:32.0,,Violation by M. Smart (kicked ball),21,38
153,2,8:32.0,,J. Brown enters the game for T. Rozier,21,38
154,2,8:17.0,M. Chriss misses 2-pt jump shot from 13 ft,,21,38
155,2,8:16.0,,Defensive rebound by A. Horford,21,38
156,2,8:07.0,,G. Green makes 3-pt jump shot from 23 ft (assist by A. Horford),21,41
157,2,7:55.0,L. Barbosa misses 2-pt jump shot from 20 ft,,21,41
158,2,7:55.0,,Defensive rebound by K. Olynyk,21,41
159,2,7:43.0,,Turnover by G. Green (bad pass; steal by T. Ulis),21,41
160,2,7:38.0,D. Booker makes 2-pt jump shot from 23 ft (assist by T. Ulis),,23,41
161,2,7:15.0,,M. Smart misses 2-pt jump shot from 10 ft,23,41
162,2,7:14.0,Defensive rebound by A. Len,,23,41
163,2,7:07.0,D. Booker makes 2-pt jump shot from 10 ft,,25,41
164,2,7:07.0,,Boston full timeout,25,41
165,2,7:07.0,,I. Thomas enters the game for A. Horford,25,41
166,2,7:07.0,,A. Johnson enters the game for M. Smart,25,41
167,2,6:53.0,,Personal foul by M. Chriss (drawn by K. Olynyk),25,41
168,2,6:40.0,,Shooting foul by A. Len (drawn by G. Green),25,41
169,2,6:40.0,,G. Green makes 3-pt jump shot from 23 ft (assist by J. Brown),25,44
170,2,6:40.0,,G. Green makes free throw 1 of 1,25,45
171,2,6:20.0,D. Booker makes 2-pt jump shot from 20 ft,,27,45
172,2,6:04.0,,Shooting block foul by M. Chriss (drawn by K. Olynyk),27,45
173,2,6:04.0,,K. Olynyk makes free throw 1 of 2,27,46
174,2,6:04.0,A. Williams enters the game for M. Chriss,,27,46
175,2,6:04.0,,K. Olynyk makes free throw 2 of 2,27,47
176,2,5:56.0,D. Booker makes 2-pt jump shot from 14 ft (assist by T. Ulis),,29,47
177,2,5:56.0,Shooting foul by J. Brown (drawn by D. Booker),,29,47
178,2,5:56.0,D. Booker makes free throw 1 of 1,,30,47
179,2,5:40.0,,J. Brown misses 2-pt jump shot from 5 ft (block by A. Len),30,47
180,2,5:39.0,,Offensive rebound by J. Brown,30,47
181,2,5:36.0,,Turnover by A. Johnson (lost ball; steal by A. Williams),30,47
182,2,5:30.0,A. Williams misses 2-pt layup from 2 ft (block by A. Johnson),,30,47
183,2,5:29.0,,Defensive rebound by G. Green,30,47
184,2,5:18.0,,G. Green makes 3-pt jump shot from 25 ft (assist by K. Olynyk),30,50
185,2,5:06.0,Shooting foul by G. Green (drawn by A. Len),,30,50
186,2,5:06.0,A. Len misses free throw 1 of 2,,30,50
187,2,5:06.0,Offensive rebound by Team,,30,50
188,2,5:06.0,A. Len makes free throw 2 of 2,,31,50
189,2,4:53.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by I. Thomas),31,52
190,2,4:43.0,T. Ulis makes 2-pt jump shot from 16 ft,,33,52
191,2,4:26.0,,I. Thomas makes 2-pt layup from 1 ft (assist by K. Olynyk),33,54
192,2,4:18.0,D. Booker misses 2-pt layup from 1 ft,,33,54
193,2,4:17.0,,Defensive rebound by J. Brown,33,54
194,2,4:13.0,,G. Green makes 3-pt jump shot from 25 ft (assist by J. Brown),33,57
195,2,4:13.0,Phoenix full timeout,,33,57
196,2,4:13.0,,A. Horford enters the game for K. Olynyk,33,57
197,2,4:13.0,D. Jones enters the game for A. Williams,,33,57
198,2,4:13.0,J. Dudley enters the game for L. Barbosa,,33,57
199,2,3:56.0,D. Booker misses 2-pt jump shot from 14 ft,,33,57
200,2,3:55.0,,Defensive rebound by I. Thomas,33,57
201,2,3:45.0,,Personal foul by D. Jones (drawn by G. Green),33,57
202,2,3:45.0,,G. Green makes free throw 1 of 2,33,58
203,2,3:45.0,,M. Smart enters the game for J. Brown,33,58
204,2,3:45.0,,G. Green makes free throw 2 of 2,33,59
205,2,3:31.0,Personal foul by G. Green (drawn by A. Len),,33,59
