,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,GOLDEN STATE_ACTION,PHILADELPHIA_SCORE,GOLDEN STATE_SCORE
0,1,11:49.0,,S. Curry misses 3-pt jump shot from 25 ft,0,0
1,1,11:48.0,Defensive rebound by D. Šarić,,0,0
2,1,11:27.0,J. Okafor makes 2-pt jump shot from 4 ft (assist by D. Šarić),,2,0
3,1,11:21.0,,Turnover by S. Curry (bad pass; steal by T. McConnell),2,0
4,1,11:16.0,D. Šarić makes 2-pt dunk at rim (assist by T. McConnell),,4,0
5,1,11:08.0,,K. Thompson misses 3-pt jump shot from 24 ft,4,0
6,1,11:08.0,Defensive rebound by T. McConnell,,4,0
7,1,10:51.0,T. McConnell makes 2-pt jump shot from 12 ft (assist by D. Šarić),,6,0
8,1,10:35.0,,S. Curry makes 2-pt jump shot from 14 ft (assist by Z. Pachulia),6,2
9,1,10:26.0,Turnover by T. McConnell (bad pass; steal by S. Curry),,6,2
10,1,10:19.0,,Turnover by P. McCaw (bad pass; steal by R. Covington),6,2
11,1,10:12.0,D. Šarić makes 2-pt layup from 2 ft (assist by R. Covington),,8,2
12,1,10:02.0,,Personal foul by T. Luwawu-Cabarrot (drawn by K. Thompson),8,2
13,1,9:58.0,,K. Thompson misses 2-pt jump shot from 9 ft,8,2
14,1,9:57.0,Defensive rebound by J. Okafor,,8,2
15,1,9:43.0,T. McConnell misses 2-pt jump shot from 7 ft,,8,2
16,1,9:43.0,,Defensive rebound by Z. Pachulia,8,2
17,1,9:38.0,,Turnover by Z. Pachulia (bad pass; steal by R. Covington),8,2
18,1,9:25.0,D. Šarić misses 2-pt hook shot from 7 ft,,8,2
19,1,9:24.0,,Defensive rebound by Z. Pachulia,8,2
20,1,9:10.0,,Z. Pachulia misses 2-pt layup from 3 ft (block by D. Šarić),8,2
21,1,9:10.0,Defensive rebound by Team,,8,2
22,1,8:54.0,J. Okafor misses 2-pt jump shot from 4 ft (block by D. Green),,8,2
23,1,8:53.0,Offensive rebound by J. Okafor,,8,2
24,1,8:51.0,Turnover by J. Okafor (lost ball; steal by Z. Pachulia),,8,2
25,1,8:45.0,,Shooting foul by J. Okafor (drawn by S. Curry),8,2
26,1,8:45.0,,S. Curry makes free throw 1 of 2,8,3
27,1,8:45.0,,S. Curry makes free throw 2 of 2,8,4
28,1,8:35.0,T. Luwawu-Cabarrot misses 2-pt jump shot from 4 ft (block by Z. Pachulia),,8,4
29,1,8:33.0,Offensive rebound by Team,,8,4
30,1,8:24.0,D. Šarić misses 3-pt jump shot from 26 ft,,8,4
