,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,WASHINGTON_ACTION,OKLAHOMA CITY_SCORE,WASHINGTON_SCORE
0,1,11:39.0,,M. Gortat makes 2-pt jump shot from 16 ft,0,2
1,1,11:27.0,Personal foul by M. Gortat (drawn by S. Adams),,0,2
2,1,11:14.0,D. Sabonis makes 2-pt hook shot from 8 ft,,2,2
3,1,11:02.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),2,5
4,1,10:52.0,S. Adams misses 2-pt jump shot from 6 ft,,2,5
5,1,10:50.0,,Defensive rebound by Team,2,5
6,1,10:34.0,,M. Gortat makes 2-pt hook shot from 10 ft,2,7
7,1,10:20.0,D. Sabonis misses 2-pt jump shot from 12 ft,,2,7
8,1,10:19.0,Offensive rebound by S. Adams,,2,7
9,1,10:17.0,S. Adams makes 2-pt layup from 1 ft,,4,7
10,1,9:58.0,,M. Morris makes 2-pt jump shot from 15 ft,4,9
11,1,9:49.0,R. Westbrook makes 2-pt layup from 1 ft,,6,9
12,1,9:38.0,,Personal foul by A. Roberson (drawn by B. Beal),6,9
13,1,9:36.0,,B. Beal makes 2-pt layup from 2 ft (assist by J. Wall),6,11
14,1,9:36.0,,Shooting foul by A. Roberson (drawn by B. Beal),6,11
15,1,9:36.0,,B. Beal misses free throw 1 of 1,6,11
16,1,9:36.0,A. Morrow enters the game for A. Roberson,,6,11
17,1,9:35.0,,Offensive rebound by M. Morris,6,11
18,1,9:34.0,,M. Morris makes 2-pt layup from 1 ft,6,13
19,1,9:22.0,Turnover by V. Oladipo (lost ball; steal by J. Wall),,6,13
20,1,9:15.0,,B. Beal makes 3-pt jump shot from 24 ft (assist by J. Wall),6,16
21,1,9:14.0,Oklahoma City full timeout,,6,16
22,1,9:04.0,Turnover by S. Adams (lost ball; steal by M. Morris),,6,16
23,1,8:58.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),6,19
24,1,8:44.0,R. Westbrook misses 2-pt jump shot from 15 ft,,6,19
25,1,8:43.0,,Defensive rebound by O. Porter,6,19
26,1,8:28.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by M. Gortat),6,22
27,1,8:12.0,A. Morrow makes 3-pt jump shot from 24 ft (assist by D. Sabonis),,9,22
28,1,7:58.0,,B. Beal misses 3-pt jump shot from 27 ft,9,22
29,1,7:57.0,Defensive rebound by A. Morrow,,9,22
30,1,7:51.0,Turnover by R. Westbrook (lost ball),,9,22
31,1,7:40.0,,M. Morris misses 2-pt layup from 1 ft,9,22
32,1,7:39.0,Defensive rebound by S. Adams,,9,22
33,1,7:35.0,V. Oladipo makes 2-pt dunk at rim (assist by R. Westbrook),,11,22
34,1,7:21.0,,Turnover by B. Beal (bad pass; steal by S. Adams),11,22
35,1,7:03.0,D. Sabonis misses 3-pt jump shot from 26 ft,,11,22
36,1,7:03.0,,Defensive rebound by Team,11,22
37,1,7:03.0,J. Lauvergne enters the game for S. Adams,,11,22
38,1,6:50.0,,J. Wall makes 2-pt layup from 2 ft,11,24
39,1,6:33.0,A. Morrow makes 2-pt jump shot from 9 ft,,13,24
40,1,6:14.0,,Shooting foul by J. Lauvergne (drawn by M. Morris),13,24
41,1,6:14.0,,M. Morris misses free throw 1 of 2,13,24
42,1,6:14.0,,Offensive rebound by Team,13,24
43,1,6:14.0,,M. Morris makes free throw 2 of 2,13,25
44,1,5:55.0,Personal foul by M. Morris (drawn by J. Lauvergne),,13,25
45,1,5:48.0,R. Westbrook makes 2-pt jump shot from 12 ft,,15,25
46,1,5:33.0,,Shooting foul by D. Sabonis (drawn by B. Beal),15,25
47,1,5:33.0,,B. Beal makes free throw 1 of 2,15,26
48,1,5:33.0,,J. Smith enters the game for M. Morris,15,26
49,1,5:33.0,S. Adams enters the game for D. Sabonis,,15,26
50,1,5:33.0,,B. Beal makes free throw 2 of 2,15,27
51,1,5:14.0,V. Oladipo misses 3-pt jump shot from 25 ft,,15,27
52,1,5:13.0,Offensive rebound by S. Adams,,15,27
53,1,5:10.0,S. Adams misses 2-pt layup from 1 ft,,15,27
54,1,5:09.0,,Defensive rebound by Team,15,27
55,1,5:08.0,A. Roberson enters the game for V. Oladipo,,15,27
56,1,4:54.0,,O. Porter misses 3-pt jump shot from 26 ft,15,27
57,1,4:53.0,Defensive rebound by J. Lauvergne,,15,27
58,1,4:47.0,Shooting block foul by B. Beal (drawn by R. Westbrook),,15,27
59,1,4:47.0,R. Westbrook makes free throw 1 of 2,,16,27
60,1,4:47.0,R. Westbrook makes free throw 2 of 2,,17,27
61,1,4:36.0,,J. Smith misses 2-pt jump shot from 18 ft,17,27
62,1,4:35.0,Defensive rebound by R. Westbrook,,17,27
63,1,4:21.0,S. Adams makes 2-pt layup at rim (assist by R. Westbrook),,19,27
64,1,4:05.0,,J. Wall misses 3-pt jump shot from 26 ft,19,27
65,1,4:05.0,,Offensive rebound by J. Smith,19,27
66,1,4:03.0,,Turnover by J. Smith (traveling),19,27
67,1,4:03.0,D. Sabonis enters the game for J. Lauvergne,,19,27
68,1,3:51.0,R. Westbrook misses 2-pt jump shot from 17 ft,,19,27
69,1,3:50.0,,Defensive rebound by O. Porter,19,27
70,1,3:38.0,,Turnover by J. Wall (lost ball; steal by R. Westbrook),19,27
71,1,3:38.0,Personal foul by B. Beal (drawn by R. Westbrook),,19,27
72,1,3:38.0,,K. Oubre enters the game for O. Porter,19,27
73,1,3:38.0,,T. Burke enters the game for B. Beal,19,27
74,1,3:28.0,R. Westbrook misses 3-pt jump shot from 26 ft,,19,27
75,1,3:27.0,Offensive rebound by D. Sabonis,,19,27
76,1,3:24.0,A. Morrow misses 3-pt jump shot from 26 ft,,19,27
77,1,3:24.0,Offensive rebound by Team,,19,27
78,1,3:24.0,,Loose ball foul by K. Oubre (drawn by S. Adams),19,27
79,1,3:24.0,S. Adams makes free throw 1 of 2,,20,27
80,1,3:24.0,V. Oladipo enters the game for A. Roberson,,20,27
81,1,3:24.0,S. Adams makes free throw 2 of 2,,21,27
82,1,3:08.0,,Shooting foul by D. Sabonis (drawn by J. Wall),21,27
83,1,3:08.0,,J. Wall makes free throw 1 of 2,21,28
84,1,3:08.0,,J. Wall makes free throw 2 of 2,21,29
85,1,2:59.0,R. Westbrook makes 2-pt jump shot from 18 ft,,23,29
86,1,2:59.0,Shooting foul by J. Wall (drawn by R. Westbrook),,23,29
87,1,2:59.0,,Washington full timeout,23,29
88,1,2:59.0,,I. Mahinmi enters the game for M. Gortat,23,29
89,1,2:59.0,R. Westbrook makes free throw 1 of 1,,24,29
90,1,2:49.0,,J. Wall makes 2-pt layup from 1 ft,24,31
91,1,2:49.0,,Shooting foul by S. Adams (drawn by J. Wall),24,31
92,1,2:49.0,,J. Wall makes free throw 1 of 1,24,32
93,1,2:39.0,V. Oladipo misses 3-pt jump shot from 25 ft,,24,32
94,1,2:38.0,,Defensive rebound by J. Wall,24,32
95,1,2:34.0,,K. Oubre makes 2-pt dunk at rim (assist by J. Wall),24,34
96,1,2:19.0,R. Westbrook makes 2-pt hook shot from 15 ft,,26,34
97,1,2:09.0,,Turnover by J. Wall (lost ball; steal by A. Morrow),26,34
98,1,2:07.0,Shooting foul by T. Burke (drawn by R. Westbrook),,26,34
99,1,2:07.0,R. Westbrook makes free throw 1 of 2,,27,34
100,1,2:07.0,,T. Satoranský enters the game for J. Wall,27,34
101,1,2:07.0,R. Westbrook makes free throw 2 of 2,,28,34
102,1,1:57.0,,Shooting foul by S. Adams (drawn by I. Mahinmi),28,34
103,1,1:57.0,,I. Mahinmi misses free throw 1 of 2,28,34
104,1,1:57.0,,Offensive rebound by Team,28,34
105,1,1:57.0,,I. Mahinmi misses free throw 2 of 2,28,34
106,1,1:57.0,C. Payne enters the game for R. Westbrook,,28,34
107,1,1:57.0,J. Lauvergne enters the game for S. Adams,,28,34
108,1,1:56.0,Defensive rebound by D. Sabonis,,28,34
109,1,1:35.0,Shooting foul by K. Oubre (drawn by V. Oladipo),,28,34
110,1,1:35.0,V. Oladipo makes free throw 1 of 2,,29,34
111,1,1:35.0,V. Oladipo makes free throw 2 of 2,,30,34
112,1,1:16.0,,T. Burke makes 2-pt layup at rim,30,36
113,1,1:08.0,A. Morrow misses 2-pt jump shot from 8 ft,,30,36
114,1,1:07.0,Offensive rebound by D. Sabonis,,30,36
115,1,0:55.0,D. Sabonis makes 2-pt jump shot from 7 ft,,32,36
116,1,0:40.0,,J. Smith makes 2-pt jump shot from 18 ft (assist by T. Satoranský),32,38
117,1,0:31.0,Turnover by V. Oladipo (lost ball),,32,38
118,1,0:07.0,,T. Burke misses 3-pt jump shot from 32 ft,32,38
119,1,0:07.0,,Offensive rebound by Team,32,38
120,1,0:07.0,,Turnover by Team (shot clock),32,38
121,1,0:00.0,V. Oladipo misses 3-pt jump shot from 28 ft,,32,38
122,1,0:00.0,Offensive rebound by Team,,32,38
123,2,11:47.0,Shooting block foul by J. Smith (drawn by J. Lauvergne),,32,38
124,2,11:47.0,J. Lauvergne makes free throw 1 of 2,,33,38
125,2,11:47.0,J. Grant enters the game for D. Sabonis,,33,38
126,2,11:47.0,J. Lauvergne makes free throw 2 of 2,,34,38
127,2,11:33.0,,Turnover by J. Smith (lost ball; steal by J. Grant),34,38
128,2,11:26.0,A. Morrow misses 3-pt jump shot from 26 ft,,34,38
129,2,11:25.0,,Defensive rebound by J. Smith,34,38
130,2,11:18.0,,Turnover by J. Smith (traveling),34,38
131,2,11:18.0,Á. Abrines enters the game for A. Morrow,,34,38
132,2,11:05.0,J. Grant misses 2-pt jump shot from 15 ft,,34,38
133,2,11:04.0,,Defensive rebound by K. Oubre,34,38
134,2,11:00.0,,Personal block foul by V. Oladipo (drawn by K. Oubre),34,38
135,2,10:50.0,,K. Oubre makes 2-pt jump shot from 11 ft (assist by J. Smith),34,40
136,2,10:31.0,Personal foul by T. Burke (drawn by Á. Abrines),,34,40
137,2,10:31.0,,M. Morris enters the game for I. Mahinmi,34,40
138,2,10:26.0,J. Lauvergne makes 3-pt jump shot from 26 ft (assist by C. Payne),,37,40
139,2,10:05.0,,M. Morris makes 3-pt jump shot from 27 ft (assist by T. Burke),37,43
140,2,9:51.0,J. Grant misses 3-pt jump shot from 27 ft,,37,43
141,2,9:50.0,,Defensive rebound by T. Satoranský,37,43
142,2,9:45.0,,Shooting foul by Á. Abrines (drawn by T. Burke),37,43
143,2,9:45.0,,T. Burke makes free throw 1 of 2,37,44
144,2,9:45.0,Oklahoma City full timeout,,37,44
145,2,9:45.0,,T. Burke makes free throw 2 of 2,37,45
146,2,9:31.0,J. Lauvergne makes 2-pt hook shot from 5 ft (assist by J. Grant),,39,45
147,2,9:11.0,,M. Morris misses 2-pt jump shot from 9 ft,39,45
148,2,9:10.0,Defensive rebound by J. Grant,,39,45
149,2,8:57.0,V. Oladipo makes 2-pt layup from 2 ft (assist by J. Grant),,41,45
150,2,8:33.0,,K. Oubre misses 2-pt jump shot from 17 ft,41,45
151,2,8:32.0,Defensive rebound by C. Payne,,41,45
152,2,8:29.0,Turnover by C. Payne (bad pass),,41,45
153,2,8:29.0,R. Westbrook enters the game for V. Oladipo,,41,45
154,2,8:29.0,,M. Gortat enters the game for J. Smith,41,45
155,2,8:29.0,,B. Beal enters the game for T. Satoranský,41,45
156,2,8:17.0,,M. Gortat makes 2-pt jump shot from 14 ft (assist by B. Beal),41,47
157,2,8:09.0,Á. Abrines makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,44,47
158,2,7:52.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by T. Burke),44,50
159,2,7:35.0,C. Payne makes 3-pt jump shot from 26 ft (assist by J. Grant),,47,50
160,2,7:26.0,Violation by J. Lauvergne (kicked ball),,47,50
161,2,7:26.0,,O. Porter enters the game for K. Oubre,47,50
162,2,7:26.0,,J. Wall enters the game for T. Burke,47,50
163,2,7:25.0,S. Adams enters the game for J. Lauvergne,,47,50
164,2,7:24.0,A. Roberson enters the game for C. Payne,,47,50
165,2,7:14.0,,M. Morris makes 2-pt dunk at rim (assist by B. Beal),47,52
