,QUARTER,TIME_REMAINING,PHOENIX_ACTION,GOLDEN STATE_ACTION,PHOENIX_SCORE,GOLDEN STATE_SCORE
0,1,11:42.0,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by M. Chriss),,3,0
1,1,11:28.0,,Turnover by S. Curry (bad pass; steal by E. Bledsoe),3,0
2,1,11:23.0,P. Tucker makes 2-pt dunk at rim,,5,0
3,1,11:06.0,,Turnover by Z. Pachulia (bad pass; steal by E. Bledsoe),5,0
4,1,10:58.0,P. Tucker misses 3-pt jump shot from 24 ft,,5,0
5,1,10:57.0,,Defensive rebound by D. Green,5,0
6,1,10:51.0,,K. Durant makes 3-pt jump shot from 23 ft,5,3
7,1,10:29.0,D. Booker misses 3-pt jump shot from 28 ft,,5,3
8,1,10:28.0,Offensive rebound by T. Chandler,,5,3
9,1,10:25.0,D. Booker misses 3-pt jump shot from 26 ft,,5,3
10,1,10:23.0,Offensive rebound by M. Chriss,,5,3
11,1,10:23.0,M. Chriss makes 2-pt layup from 2 ft,,7,3
12,1,10:08.0,,K. Durant misses 2-pt jump shot from 15 ft,7,3
13,1,10:08.0,Defensive rebound by E. Bledsoe,,7,3
14,1,10:00.0,Personal foul by S. Curry (drawn by E. Bledsoe),,7,3
15,1,9:49.0,D. Booker misses 3-pt jump shot from 25 ft,,7,3
16,1,9:48.0,Offensive rebound by P. Tucker,,7,3
17,1,9:39.0,E. Bledsoe makes 2-pt jump shot from 20 ft,,9,3
18,1,9:30.0,,D. Green makes 2-pt jump shot from 11 ft (assist by Z. Pachulia),9,5
19,1,9:30.0,,Shooting foul by M. Chriss (drawn by D. Green),9,5
20,1,9:30.0,,D. Green makes free throw 1 of 1,9,6
21,1,9:16.0,Turnover by M. Chriss (bad pass; steal by K. Thompson),,9,6
22,1,9:11.0,,K. Durant makes 2-pt dunk at rim (assist by S. Curry),9,8
23,1,8:52.0,P. Tucker makes 2-pt layup at rim (assist by E. Bledsoe),,11,8
24,1,8:31.0,,Z. Pachulia makes 2-pt layup from 3 ft,11,10
25,1,8:17.0,M. Chriss misses 2-pt jump shot from 18 ft,,11,10
26,1,8:16.0,,Defensive rebound by K. Thompson,11,10
27,1,8:09.0,,Personal foul by E. Bledsoe (drawn by D. Green),11,10
28,1,8:05.0,,Z. Pachulia misses 2-pt jump shot from 18 ft,11,10
29,1,8:05.0,Defensive rebound by T. Chandler,,11,10
30,1,7:56.0,M. Chriss makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),,14,10
31,1,7:56.0,,Golden State full timeout,14,10
32,1,7:47.0,,Shooting foul by M. Chriss (drawn by D. Green),14,10
33,1,7:47.0,,D. Green makes free throw 1 of 2,14,11
34,1,7:47.0,,D. Green makes free throw 2 of 2,14,12
35,1,7:31.0,D. Booker makes 2-pt jump shot from 15 ft,,16,12
36,1,7:19.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green),16,15
37,1,6:53.0,D. Booker misses 2-pt jump shot from 11 ft,,16,15
38,1,6:53.0,,Defensive rebound by K. Thompson,16,15
39,1,6:46.0,,D. Green misses 2-pt layup from 2 ft (block by M. Chriss),16,15
40,1,6:44.0,Defensive rebound by E. Bledsoe,,16,15
41,1,6:30.0,Turnover by E. Bledsoe (bad pass; steal by S. Curry),,16,15
42,1,6:24.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by K. Durant),16,18
43,1,5:57.0,M. Chriss misses 2-pt layup from 1 ft,,16,18
44,1,5:57.0,,Defensive rebound by Z. Pachulia,16,18
45,1,5:52.0,,Personal foul by T. Chandler (drawn by Z. Pachulia),16,18
46,1,5:52.0,,A. Iguodala enters the game for K. Durant,16,18
47,1,5:52.0,J. Dudley enters the game for M. Chriss,,16,18
48,1,5:46.0,,K. Thompson misses 2-pt jump shot from 16 ft,16,18
49,1,5:45.0,Defensive rebound by P. Tucker,,16,18
50,1,5:45.0,Technical foul by Team,,16,18
51,1,5:45.0,,S. Curry makes technical free throw,16,19
52,1,5:33.0,Personal foul by Z. Pachulia (drawn by E. Bledsoe),,16,19
53,1,5:33.0,E. Bledsoe makes free throw 1 of 2,,17,19
54,1,5:33.0,Violation by Team (jump ball),,17,19
55,1,5:33.0,A. Len enters the game for T. Chandler,,17,19
56,1,5:33.0,E. Bledsoe makes free throw 2 of 2,,18,19
57,1,5:21.0,,Personal foul by A. Len (drawn by Z. Pachulia),18,19
58,1,5:21.0,,Z. Pachulia misses free throw 1 of 2,18,19
59,1,5:21.0,,Offensive rebound by Team,18,19
60,1,5:21.0,B. Knight enters the game for E. Bledsoe,,18,19
61,1,5:21.0,,Z. Pachulia makes free throw 2 of 2,18,20
62,1,4:59.0,Turnover by J. Dudley (bad pass; steal by Z. Pachulia),,18,20
63,1,4:54.0,,Z. Pachulia misses 2-pt layup from 1 ft,18,20
64,1,4:54.0,Defensive rebound by J. Dudley,,18,20
65,1,4:41.0,B. Knight misses 3-pt jump shot from 26 ft,,18,20
66,1,4:39.0,,Defensive rebound by S. Curry,18,20
67,1,4:35.0,,Turnover by Z. Pachulia (3 sec),18,20
68,1,4:35.0,,J. McGee enters the game for Z. Pachulia,18,20
69,1,4:23.0,D. Booker makes 2-pt jump shot from 11 ft,,20,20
70,1,4:14.0,,S. Curry makes 2-pt jump shot from 19 ft,20,22
71,1,3:55.0,B. Knight makes 2-pt layup from 1 ft (assist by A. Len),,22,22
72,1,3:43.0,,J. McGee makes 2-pt layup at rim (assist by D. Green),22,24
73,1,3:29.0,B. Knight makes 2-pt jump shot from 16 ft,,24,24
74,1,3:19.0,,D. Green misses 2-pt jump shot from 3 ft,24,24
75,1,3:19.0,,Offensive rebound by Team,24,24
76,1,3:15.0,Loose ball foul by J. Dudley (drawn by J. McGee),,24,24
77,1,3:15.0,,J. McGee misses free throw 1 of 2,24,24
78,1,3:15.0,,Offensive rebound by Team,24,24
79,1,3:15.0,E. Bledsoe enters the game for D. Booker,,24,24
80,1,3:15.0,,P. McCaw enters the game for K. Thompson,24,24
81,1,3:15.0,,J. McGee makes free throw 2 of 2,24,25
82,1,2:57.0,A. Len makes 2-pt dunk at rim (assist by J. Dudley),,26,25
83,1,2:43.0,,A. Iguodala makes 2-pt jump shot from 19 ft (assist by D. Green),26,27
84,1,2:30.0,B. Knight misses 2-pt jump shot from 16 ft,,26,27
85,1,2:29.0,,Defensive rebound by D. Green,26,27
86,1,2:23.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),26,30
87,1,2:01.0,Personal foul by P. McCaw (drawn by A. Len),,26,30
88,1,2:01.0,Phoenix full timeout,,26,30
89,1,2:01.0,A. Len makes free throw 1 of 2,,27,30
90,1,2:01.0,,K. Durant enters the game for D. Green,26,30
91,1,2:01.0,A. Len makes free throw 2 of 2,,28,30
92,1,1:48.0,,A. Iguodala misses 2-pt jump shot from 18 ft,28,30
93,1,1:48.0,,Offensive rebound by J. McGee,28,30
94,1,1:46.0,,J. McGee misses 2-pt layup from 2 ft,28,30
95,1,1:46.0,Defensive rebound by Team,,28,30
96,1,1:46.0,,Loose ball foul by J. McGee (drawn by J. Dudley),28,30
97,1,1:24.0,P. Tucker misses 2-pt layup from 1 ft,,28,30
98,1,1:23.0,Offensive rebound by P. Tucker,,28,30
99,1,1:22.0,P. Tucker misses 2-pt layup from 1 ft (block by P. McCaw),,28,30
100,1,1:20.0,,Defensive rebound by A. Iguodala,28,30
101,1,1:14.0,,J. McGee makes 2-pt dunk at rim (assist by K. Durant),28,32
102,1,1:00.0,B. Knight makes 2-pt layup from 1 ft,,30,32
103,1,0:38.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by K. Durant),30,35
104,1,0:30.0,J. Dudley misses 3-pt jump shot from 26 ft,,30,35
105,1,0:29.0,,Defensive rebound by Team,30,35
106,1,0:29.0,,Personal foul by A. Len (drawn by J. McGee),30,35
107,1,0:29.0,,J. McGee makes free throw 1 of 2,30,36
108,1,0:29.0,,S. Livingston enters the game for S. Curry,30,36
109,1,0:29.0,,J. McGee makes free throw 2 of 2,30,37
110,1,0:08.0,E. Bledsoe misses 2-pt jump shot from 18 ft,,30,37
111,1,0:07.0,,Defensive rebound by Team,30,37
112,1,0:07.0,,S. Curry enters the game for S. Livingston,30,37
113,1,0:07.0,,K. Thompson enters the game for J. McGee,30,37
114,1,0:07.0,D. Bender enters the game for A. Len,,30,37
115,1,0:03.0,,S. Curry misses 2-pt jump shot from 13 ft,30,37
116,1,0:00.0,,Offensive rebound by A. Iguodala,30,37
117,2,11:43.0,,K. Durant makes 2-pt jump shot from 17 ft,30,39
118,2,11:27.0,B. Knight misses 2-pt jump shot from 21 ft,,30,39
119,2,11:26.0,,Defensive rebound by K. Durant,30,39
120,2,11:15.0,,S. Livingston makes 2-pt jump shot from 10 ft,30,41
121,2,10:48.0,Turnover by Team (shot clock),,30,41
122,2,10:34.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),30,44
123,2,10:33.0,Phoenix full timeout,,30,44
124,2,10:20.0,L. Barbosa misses 2-pt jump shot from 18 ft,,30,44
125,2,10:20.0,,Defensive rebound by A. Iguodala,30,44
126,2,9:58.0,,D. West makes 2-pt hook shot from 5 ft (assist by A. Iguodala),30,46
127,2,9:43.0,A. Len misses 2-pt layup from 2 ft (block by K. Durant),,30,46
128,2,9:42.0,,Defensive rebound by D. West,30,46
129,2,9:25.0,,K. Durant makes 2-pt layup from 2 ft,30,48
130,2,9:13.0,B. Knight makes 2-pt layup from 2 ft,,32,48
131,2,8:50.0,,K. Thompson misses 2-pt jump shot from 20 ft,32,48
132,2,8:50.0,Defensive rebound by J. Dudley,,32,48
133,2,8:32.0,B. Knight misses 3-pt jump shot from 24 ft,,32,48
134,2,8:31.0,,Defensive rebound by A. Iguodala,32,48
135,2,8:26.0,,A. Iguodala misses 2-pt jump shot from 8 ft,32,48
136,2,8:24.0,,Offensive rebound by K. Thompson,32,48
137,2,8:18.0,,K. Thompson makes 2-pt jump shot from 16 ft (assist by K. Durant),32,50
138,2,8:13.0,Phoenix full timeout,,32,50
139,2,8:13.0,D. Booker enters the game for J. Dudley,,32,50
140,2,8:13.0,E. Bledsoe enters the game for B. Knight,,32,50
141,2,8:13.0,,I. Clark enters the game for A. Iguodala,32,50
142,2,8:03.0,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by L. Barbosa),,35,50
143,2,7:46.0,,D. West makes 2-pt jump shot from 18 ft (assist by K. Durant),35,52
144,2,7:24.0,L. Barbosa misses 2-pt jump shot from 5 ft,,35,52
145,2,7:23.0,,Defensive rebound by S. Livingston,35,52
146,2,7:01.0,,D. West makes 2-pt jump shot from 17 ft (assist by I. Clark),35,54
147,2,6:44.0,E. Bledsoe makes 2-pt jump shot from 17 ft (assist by A. Len),,37,54
148,2,6:29.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by D. West),37,56
149,2,6:13.0,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by D. Booker),,40,56
150,2,6:12.0,,Golden State full timeout,40,56
151,2,6:12.0,,S. Curry enters the game for K. Durant,40,56
152,2,6:12.0,,D. Green enters the game for K. Thompson,40,56
153,2,6:12.0,M. Chriss enters the game for A. Len,,40,56
154,2,6:12.0,P. Tucker enters the game for D. Bender,,40,56
155,2,6:12.0,T. Chandler enters the game for L. Barbosa,,40,56
156,2,5:58.0,,D. West makes 2-pt jump shot from 18 ft (assist by D. Green),40,58
157,2,5:30.0,E. Bledsoe misses 2-pt jump shot from 22 ft,,40,58
158,2,5:30.0,,Defensive rebound by I. Clark,40,58
159,2,5:24.0,,D. Green makes 3-pt jump shot from 25 ft (assist by I. Clark),40,61
160,2,5:06.0,E. Bledsoe makes 2-pt jump shot from 10 ft (assist by P. Tucker),,42,61
161,2,4:57.0,,Personal foul by D. Booker (drawn by S. Curry),42,61
162,2,4:51.0,,S. Curry misses 3-pt jump shot from 28 ft,42,61
163,2,4:51.0,Defensive rebound by T. Chandler,,42,61
164,2,4:38.0,P. Tucker misses 3-pt jump shot from 24 ft,,42,61
165,2,4:38.0,,Defensive rebound by S. Curry,42,61
166,2,4:23.0,,Personal foul by E. Bledsoe (drawn by D. West),42,61
167,2,4:10.0,,Turnover by D. Green (lost ball; steal by T. Chandler),42,61
168,2,3:52.0,D. Booker makes 2-pt layup from 2 ft (assist by E. Bledsoe),,44,61
169,2,3:41.0,,Turnover by S. Livingston (bad pass),44,61
170,2,3:41.0,,K. Durant enters the game for D. West,44,61
171,2,3:25.0,D. Booker makes 2-pt jump shot from 14 ft,,46,61
172,2,3:18.0,,Golden State full timeout,46,61
173,2,3:18.0,,A. Iguodala enters the game for S. Livingston,46,61
174,2,3:18.0,,K. Thompson enters the game for I. Clark,46,61
175,2,3:13.0,,Turnover by A. Iguodala (bad pass),46,61
176,2,2:57.0,D. Booker makes 2-pt jump shot from 9 ft,,48,61
