,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CHARLOTTE_ACTION,LA LAKERS_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,,K. Walker makes 2-pt layup from 1 ft,0,2
1,1,11:31.0,D. Russell makes 2-pt layup at rim,,2,2
2,1,11:17.0,,C. Zeller misses 2-pt jump shot from 6 ft,2,2
3,1,11:16.0,Defensive rebound by L. Deng,,2,2
4,1,11:05.0,L. Deng misses 3-pt jump shot from 24 ft,,2,2
5,1,11:04.0,Offensive rebound by D. Russell,,2,2
6,1,10:58.0,D. Russell makes 2-pt jump shot from 15 ft,,4,2
7,1,10:49.0,,K. Walker misses 3-pt jump shot from 26 ft,4,2
8,1,10:46.0,,Offensive rebound by N. Batum,4,2
9,1,10:41.0,,K. Walker misses 3-pt jump shot from 25 ft,4,2
10,1,10:40.0,Defensive rebound by N. Young,,4,2
11,1,10:31.0,N. Young makes 2-pt jump shot from 10 ft (assist by D. Russell),,6,2
12,1,10:13.0,,M. Williams makes 2-pt jump shot from 10 ft (assist by N. Batum),6,4
13,1,9:59.0,D. Russell misses 2-pt jump shot from 15 ft,,6,4
14,1,9:57.0,,Defensive rebound by M. Kidd-Gilchrist,6,4
15,1,9:50.0,,N. Batum misses 2-pt jump shot from 8 ft,6,4
16,1,9:48.0,Defensive rebound by L. Deng,,6,4
17,1,9:37.0,J. Randle makes 2-pt jump shot from 7 ft (assist by D. Russell),,8,4
18,1,9:21.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 16 ft (assist by C. Zeller),8,6
19,1,9:04.0,D. Russell misses 3-pt jump shot from 28 ft,,8,6
20,1,9:03.0,Offensive rebound by T. Mozgov,,8,6
21,1,8:58.0,N. Young makes 3-pt jump shot from 25 ft (assist by T. Mozgov),,11,6
22,1,8:45.0,,Turnover by N. Batum (bad pass),11,6
23,1,8:30.0,J. Randle misses 2-pt jump shot from 19 ft,,11,6
24,1,8:29.0,,Defensive rebound by N. Batum,11,6
25,1,8:24.0,,Shooting foul by T. Mozgov (drawn by K. Walker),11,6
26,1,8:24.0,,K. Walker makes free throw 1 of 2,11,7
27,1,8:24.0,,K. Walker makes free throw 2 of 2,11,8
28,1,8:11.0,Turnover by N. Young (bad pass; steal by C. Zeller),,11,8
29,1,8:04.0,,Shooting foul by T. Mozgov (drawn by M. Williams),11,8
30,1,8:04.0,,M. Williams makes free throw 1 of 2,11,9
31,1,8:04.0,,M. Williams makes free throw 2 of 2,11,10
32,1,7:48.0,L. Deng makes 3-pt jump shot from 24 ft (assist by D. Russell),,14,10
33,1,7:33.0,,K. Walker misses 2-pt layup from 1 ft,14,10
34,1,7:32.0,Defensive rebound by Team,,14,10
35,1,7:18.0,L. Deng makes 2-pt layup from 1 ft (assist by J. Randle),,16,10
36,1,7:08.0,,Offensive foul by C. Zeller (drawn by N. Young),16,10
37,1,7:08.0,,Turnover by C. Zeller (offensive foul),16,10
38,1,6:47.0,J. Randle misses 2-pt layup from 2 ft,,16,10
39,1,6:46.0,Offensive rebound by T. Mozgov,,16,10
40,1,6:46.0,T. Mozgov misses 2-pt layup at rim,,16,10
41,1,6:44.0,Offensive rebound by T. Mozgov,,16,10
42,1,6:44.0,T. Mozgov misses 2-pt layup at rim,,16,10
43,1,6:43.0,,Defensive rebound by K. Walker,16,10
44,1,6:40.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by K. Walker),16,12
45,1,6:28.0,N. Young makes 3-pt jump shot from 28 ft (assist by D. Russell),,19,12
46,1,6:19.0,,Charlotte full timeout,19,12
47,1,6:10.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 16 ft,19,12
48,1,6:08.0,Defensive rebound by T. Mozgov,,19,12
49,1,5:49.0,L. Deng makes 2-pt layup from 2 ft (assist by J. Randle),,21,12
50,1,5:33.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),21,15
51,1,5:05.0,N. Young misses 3-pt jump shot from 37 ft,,21,15
52,1,5:04.0,,Defensive rebound by Team,21,15
53,1,4:53.0,,Personal foul by J. Randle (drawn by N. Batum),21,15
54,1,4:53.0,,M. Belinelli enters the game for M. Williams,21,15
55,1,4:53.0,,F. Kaminsky enters the game for M. Kidd-Gilchrist,21,15
56,1,4:53.0,L. Nance enters the game for T. Mozgov,,21,15
57,1,4:41.0,,C. Zeller makes 2-pt dunk at rim (assist by K. Walker),21,17
58,1,4:22.0,L. Nance misses 2-pt jump shot from 5 ft,,21,17
59,1,4:21.0,Offensive rebound by J. Randle,,21,17
60,1,4:21.0,J. Randle makes 2-pt layup from 1 ft,,23,17
61,1,4:11.0,,Turnover by K. Walker (bad pass),23,17
62,1,3:57.0,D. Russell misses 2-pt jump shot from 15 ft,,23,17
63,1,3:56.0,,Defensive rebound by M. Belinelli,23,17
64,1,3:49.0,B. Ingram enters the game for L. Deng,,23,17
65,1,3:49.0,J. Clarkson enters the game for N. Young,,23,17
66,1,3:49.0,,R. Sessions enters the game for K. Walker,23,17
67,1,3:45.0,,N. Batum makes 2-pt layup from 2 ft (assist by R. Sessions),23,19
68,1,3:45.0,,Shooting foul by B. Ingram (drawn by N. Batum),23,19
69,1,3:45.0,L. Williams enters the game for D. Russell,,23,19
70,1,3:45.0,,N. Batum makes free throw 1 of 1,23,20
71,1,3:40.0,L. Williams makes 2-pt jump shot from 13 ft,,25,20
72,1,3:40.0,Shooting foul by C. Zeller (drawn by L. Williams),,25,20
73,1,3:40.0,L. Williams misses free throw 1 of 1,,25,20
74,1,3:40.0,,R. Hibbert enters the game for C. Zeller,25,20
75,1,3:38.0,,Defensive rebound by R. Hibbert,25,20
76,1,3:21.0,,Shooting foul by L. Nance (drawn by R. Hibbert),25,20
77,1,3:21.0,,R. Hibbert makes free throw 1 of 2,25,21
78,1,3:21.0,,R. Hibbert makes free throw 2 of 2,25,22
79,1,3:07.0,J. Clarkson makes 3-pt jump shot from 25 ft (assist by J. Randle),,28,22
80,1,2:48.0,,F. Kaminsky makes 3-pt jump shot from 27 ft (assist by N. Batum),28,25
81,1,2:36.0,L. Williams makes 3-pt jump shot from 25 ft (assist by J. Randle),,31,25
