,QUARTER,TIME_REMAINING,MIAMI_ACTION,ORLANDO_ACTION,MIAMI_SCORE,ORLANDO_SCORE
0,1,11:42.0,J. Winslow misses 2-pt jump shot from 7 ft,,0,0
1,1,11:41.0,Offensive rebound by H. Whiteside,,0,0
2,1,11:38.0,H. Whiteside makes 2-pt dunk at rim,,2,0
3,1,11:16.0,,E. Fournier misses 2-pt jump shot from 17 ft,2,0
4,1,11:15.0,Defensive rebound by H. Whiteside,,2,0
5,1,11:07.0,H. Whiteside makes 2-pt layup from 1 ft (assist by G. Dragić),,4,0
6,1,10:52.0,,Personal foul by L. Babbitt (drawn by S. Ibaka),4,0
7,1,10:46.0,,N. Vučević misses 2-pt jump shot from 19 ft,4,0
8,1,10:44.0,,Offensive rebound by S. Ibaka,4,0
9,1,10:32.0,,A. Gordon makes 2-pt dunk at rim (assist by N. Vučević),4,2
10,1,10:07.0,L. Babbitt misses 2-pt jump shot from 13 ft,,4,2
11,1,10:06.0,,Defensive rebound by N. Vučević,4,2
12,1,9:56.0,,S. Ibaka misses 2-pt jump shot from 14 ft,4,2
13,1,9:54.0,,Offensive rebound by Team,4,2
14,1,9:40.0,,N. Vučević makes 2-pt jump shot from 11 ft,4,4
15,1,9:25.0,Turnover by G. Dragić (bad pass; steal by A. Gordon),,4,4
16,1,9:21.0,,A. Gordon misses 2-pt layup at rim,4,4
17,1,9:19.0,Defensive rebound by D. Waiters,,4,4
18,1,9:13.0,Personal foul by N. Vučević (drawn by H. Whiteside),,4,4
19,1,9:13.0,H. Whiteside misses free throw 1 of 2,,4,4
20,1,9:13.0,Offensive rebound by Team,,4,4
21,1,9:13.0,H. Whiteside misses free throw 2 of 2,,4,4
22,1,9:10.0,Offensive rebound by J. Winslow,,4,4
23,1,9:08.0,J. Winslow makes 2-pt layup from 2 ft,,6,4
24,1,8:55.0,,Def 3 sec tech foul by H. Whiteside,6,4
25,1,8:55.0,,E. Fournier misses technical free throw,6,4
26,1,8:55.0,,Offensive rebound by Team,6,4
27,1,8:48.0,,E. Payton misses 2-pt jump shot from 8 ft,6,4
28,1,8:47.0,,Offensive rebound by N. Vučević,6,4
29,1,8:47.0,,N. Vučević misses 2-pt layup from 2 ft,6,4
30,1,8:46.0,,Offensive rebound by E. Payton,6,4
31,1,8:46.0,,Shooting foul by J. Winslow (drawn by E. Payton),6,4
32,1,8:46.0,,E. Payton makes free throw 1 of 2,6,5
33,1,8:46.0,,E. Payton makes free throw 2 of 2,6,6
34,1,8:33.0,D. Waiters misses 3-pt jump shot from 26 ft,,6,6
35,1,8:31.0,Offensive rebound by G. Dragić,,6,6
36,1,8:29.0,Turnover by G. Dragić (bad pass),,6,6
37,1,8:16.0,,A. Gordon misses 2-pt jump shot from 5 ft,6,6
38,1,8:14.0,,Offensive rebound by N. Vučević,6,6
39,1,8:12.0,,N. Vučević makes 2-pt layup from 2 ft,6,8
40,1,7:46.0,D. Waiters makes 2-pt jump shot from 8 ft,,8,8
41,1,7:35.0,,N. Vučević misses 2-pt jump shot from 22 ft,8,8
42,1,7:34.0,Defensive rebound by J. Winslow,,8,8
43,1,7:26.0,D. Waiters makes 2-pt layup from 3 ft,,10,8
44,1,7:19.0,,E. Payton makes 2-pt jump shot from 4 ft,10,10
45,1,7:05.0,G. Dragić misses 2-pt jump shot from 13 ft,,10,10
46,1,7:05.0,Offensive rebound by Team,,10,10
47,1,6:53.0,D. Waiters misses 2-pt jump shot from 13 ft,,10,10
48,1,6:52.0,,Defensive rebound by N. Vučević,10,10
49,1,6:40.0,,E. Payton makes 2-pt jump shot from 14 ft,10,12
50,1,6:27.0,L. Babbitt makes 2-pt jump shot from 16 ft (assist by G. Dragić),,12,12
51,1,6:11.0,,E. Fournier misses 2-pt jump shot from 4 ft,12,12
52,1,6:09.0,Defensive rebound by H. Whiteside,,12,12
53,1,6:06.0,J. Winslow makes 2-pt layup from 2 ft,,14,12
54,1,6:06.0,Shooting foul by S. Ibaka (drawn by J. Winslow),,14,12
55,1,6:06.0,,Orlando full timeout,14,12
56,1,6:06.0,,J. Green enters the game for S. Ibaka,14,12
57,1,6:06.0,J. Winslow makes free throw 1 of 1,,15,12
58,1,5:47.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by E. Payton),15,15
59,1,5:27.0,Turnover by G. Dragić (bad pass),,15,15
60,1,5:27.0,T. Johnson enters the game for J. Winslow,,15,15
61,1,5:10.0,,N. Vučević misses 2-pt layup from 2 ft (block by H. Whiteside),15,15
62,1,5:10.0,,Offensive rebound by N. Vučević,15,15
63,1,5:10.0,,Shooting foul by H. Whiteside (drawn by N. Vučević),15,15
64,1,5:10.0,,N. Vučević misses free throw 1 of 2,15,15
65,1,5:10.0,,Offensive rebound by Team,15,15
66,1,5:10.0,,N. Vučević makes free throw 2 of 2,15,16
67,1,4:59.0,L. Babbitt misses 3-pt jump shot from 27 ft,,15,16
68,1,4:58.0,,Defensive rebound by N. Vučević,15,16
69,1,4:51.0,,Turnover by E. Payton (traveling),15,16
70,1,4:38.0,D. Waiters misses 2-pt jump shot from 18 ft,,15,16
71,1,4:35.0,Offensive rebound by H. Whiteside,,15,16
72,1,4:35.0,H. Whiteside misses 2-pt dunk at rim,,15,16
73,1,4:33.0,,Defensive rebound by A. Gordon,15,16
74,1,4:26.0,,J. Green misses 2-pt jump shot from 21 ft,15,16
75,1,4:24.0,,Offensive rebound by E. Fournier,15,16
76,1,4:19.0,,E. Fournier misses 2-pt hook shot from 8 ft,15,16
77,1,4:17.0,,Offensive rebound by N. Vučević,15,16
78,1,4:13.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by J. Green),15,19
79,1,4:10.0,Miami full timeout,,15,19
80,1,4:10.0,J. Johnson enters the game for L. Babbitt,,15,19
81,1,4:10.0,,M. Hezonja enters the game for A. Gordon,15,19
82,1,4:01.0,G. Dragić misses 2-pt jump shot from 3 ft (block by E. Payton),,15,19
83,1,4:01.0,Offensive rebound by Team,,15,19
84,1,3:41.0,Turnover by J. Johnson (lost ball),,15,19
85,1,3:21.0,,E. Fournier misses 3-pt jump shot from 26 ft,15,19
86,1,3:20.0,Defensive rebound by H. Whiteside,,15,19
87,1,3:04.0,,Violation by E. Fournier (kicked ball),15,19
88,1,2:57.0,G. Dragić misses 2-pt jump shot from 7 ft,,15,19
89,1,2:56.0,Offensive rebound by G. Dragić,,15,19
90,1,2:56.0,G. Dragić misses 2-pt layup from 1 ft,,15,19
91,1,2:54.0,Offensive rebound by T. Johnson,,15,19
92,1,2:43.0,H. Whiteside misses 2-pt jump shot from 15 ft,,15,19
93,1,2:41.0,,Defensive rebound by J. Green,15,19
94,1,2:35.0,,Personal foul by H. Whiteside (drawn by N. Vučević),15,19
95,1,2:35.0,W. Reed enters the game for H. Whiteside,,15,19
96,1,2:35.0,,D. Augustin enters the game for E. Payton,15,19
97,1,2:27.0,,E. Fournier misses 2-pt jump shot from 7 ft,15,19
98,1,2:25.0,,Offensive rebound by M. Hezonja,15,19
99,1,2:23.0,,M. Hezonja misses 2-pt jump shot from 22 ft,15,19
100,1,2:21.0,Defensive rebound by T. Johnson,,15,19
101,1,2:13.0,T. Johnson makes 2-pt jump shot from 5 ft,,17,19
102,1,1:59.0,,D. Augustin makes 2-pt jump shot from 7 ft,17,21
103,1,1:59.0,,Shooting foul by G. Dragić (drawn by D. Augustin),17,21
104,1,1:59.0,J. Winslow enters the game for G. Dragić,,17,21
105,1,1:59.0,,D. Augustin makes free throw 1 of 1,17,22
106,1,1:48.0,J. Johnson misses 3-pt jump shot from 22 ft,,17,22
