,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW YORK_ACTION,CHARLOTTE_SCORE,NEW YORK_SCORE
0,1,11:46.0,,K. Porziņģis makes 2-pt jump shot from 19 ft (assist by D. Rose),0,2
1,1,11:25.0,M. Williams misses 2-pt layup from 3 ft (block by J. Noah),,0,2
2,1,11:23.0,,Defensive rebound by Team,0,2
3,1,11:06.0,,D. Rose misses 2-pt jump shot from 18 ft,0,2
4,1,11:05.0,Defensive rebound by R. Hibbert,,0,2
5,1,10:57.0,R. Hibbert misses 2-pt jump shot from 16 ft,,0,2
6,1,10:55.0,,Defensive rebound by C. Anthony,0,2
7,1,10:43.0,,C. Anthony misses 2-pt jump shot from 19 ft,0,2
8,1,10:41.0,Defensive rebound by R. Hibbert,,0,2
9,1,10:28.0,N. Batum misses 2-pt jump shot from 15 ft,,0,2
10,1,10:26.0,,Defensive rebound by C. Lee,0,2
11,1,10:19.0,,Turnover by C. Lee (bad pass; steal by N. Batum),0,2
12,1,10:14.0,Shooting foul by J. Noah (drawn by M. Kidd-Gilchrist),,0,2
13,1,10:14.0,M. Kidd-Gilchrist makes free throw 1 of 2,,1,2
14,1,10:14.0,M. Kidd-Gilchrist makes free throw 2 of 2,,2,2
15,1,9:55.0,,K. Porziņģis makes 2-pt jump shot from 9 ft (assist by D. Rose),2,4
16,1,9:37.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by N. Batum),,4,4
17,1,9:18.0,,C. Anthony misses 2-pt jump shot from 19 ft,4,4
18,1,9:16.0,Defensive rebound by K. Walker,,4,4
19,1,9:07.0,K. Walker misses 3-pt jump shot from 25 ft,,4,4
20,1,9:05.0,,Defensive rebound by J. Noah,4,4
21,1,8:47.0,,C. Lee makes 2-pt jump shot from 20 ft,4,6
22,1,8:27.0,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by N. Batum),,6,6
23,1,8:13.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by D. Rose),6,9
24,1,7:47.0,N. Batum misses 2-pt jump shot from 13 ft,,6,9
25,1,7:46.0,,Defensive rebound by C. Anthony,6,9
26,1,7:40.0,,Personal foul by M. Williams (drawn by K. Porziņģis),6,9
27,1,7:32.0,,K. Porziņģis makes 3-pt jump shot from 24 ft (assist by J. Noah),6,12
28,1,7:27.0,Charlotte full timeout,,6,12
29,1,7:20.0,K. Walker makes 2-pt layup from 1 ft,,8,12
30,1,7:02.0,,D. Rose misses 2-pt layup from 2 ft,8,12
31,1,7:01.0,,Offensive rebound by J. Noah,8,12
32,1,7:01.0,,J. Noah misses 2-pt layup from 1 ft,8,12
33,1,7:00.0,,Offensive rebound by D. Rose,8,12
34,1,6:59.0,,D. Rose makes 2-pt hook shot from 5 ft,8,14
35,1,6:44.0,K. Walker makes 3-pt jump shot from 25 ft,,11,14
36,1,6:34.0,,C. Anthony misses 2-pt jump shot from 22 ft,11,14
37,1,6:33.0,Defensive rebound by N. Batum,,11,14
38,1,6:21.0,K. Walker misses 2-pt jump shot from 10 ft,,11,14
39,1,6:20.0,,Defensive rebound by D. Rose,11,14
40,1,6:09.0,,Shooting block foul by R. Hibbert (drawn by D. Rose),11,14
41,1,6:09.0,,D. Rose makes free throw 1 of 2,11,15
42,1,6:09.0,M. Belinelli enters the game for M. Williams,,11,15
43,1,6:09.0,F. Kaminsky enters the game for N. Batum,,11,15
44,1,6:09.0,,D. Rose makes free throw 2 of 2,11,16
45,1,5:52.0,M. Belinelli misses 2-pt jump shot from 10 ft,,11,16
46,1,5:51.0,,Defensive rebound by C. Anthony,11,16
47,1,5:44.0,,C. Anthony misses 2-pt jump shot from 10 ft,11,16
48,1,5:43.0,Defensive rebound by M. Kidd-Gilchrist,,11,16
49,1,5:30.0,K. Walker makes 2-pt jump shot from 18 ft,,13,16
50,1,5:16.0,,D. Rose makes 2-pt jump shot from 10 ft,13,18
51,1,5:05.0,Personal foul by D. Rose (drawn by K. Walker),,13,18
52,1,5:05.0,,W. Hernangómez enters the game for J. Noah,13,18
53,1,4:59.0,M. Belinelli makes 2-pt layup from 3 ft,,15,18
54,1,4:58.0,Violation by Team (jump ball),,15,18
55,1,4:48.0,Violation by F. Kaminsky (kicked ball),,15,18
