,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DETROIT_ACTION,CHICAGO_SCORE,DETROIT_SCORE
0,1,11:44.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by R. Jackson),0,3
1,1,11:17.0,J. Butler misses 3-pt jump shot from 26 ft,,0,3
2,1,11:17.0,,Defensive rebound by A. Drummond,0,3
3,1,11:10.0,,R. Jackson misses 2-pt layup from 1 ft,0,3
4,1,11:10.0,,Offensive rebound by Team,0,3
5,1,11:10.0,Loose ball foul by T. Gibson (drawn by A. Drummond),,0,3
6,1,11:01.0,,Offensive foul by M. Morris (drawn by R. Rondo),0,3
7,1,11:01.0,,Turnover by M. Morris (offensive foul),0,3
8,1,10:49.0,D. Wade misses 2-pt jump shot from 13 ft,,0,3
9,1,10:48.0,,Defensive rebound by R. Jackson,0,3
10,1,10:37.0,,A. Drummond misses 2-pt hook shot from 6 ft,0,3
11,1,10:36.0,Defensive rebound by R. Lopez,,0,3
12,1,10:29.0,Turnover by R. Lopez (bad pass),,0,3
13,1,10:17.0,,T. Harris makes 3-pt jump shot from 27 ft (assist by K. Caldwell-Pope),0,6
14,1,9:51.0,T. Gibson misses 2-pt jump shot from 3 ft (block by A. Drummond),,0,6
15,1,9:50.0,,Defensive rebound by T. Harris,0,6
16,1,9:46.0,,Shooting foul by D. Wade (drawn by R. Jackson),0,6
17,1,9:46.0,,R. Jackson misses free throw 1 of 3,0,6
18,1,9:46.0,,Offensive rebound by Team,0,6
19,1,9:46.0,,R. Jackson makes free throw 2 of 3,0,7
20,1,9:46.0,,R. Jackson makes free throw 3 of 3,0,8
21,1,9:31.0,R. Rondo makes 3-pt jump shot from 23 ft (assist by D. Wade),,3,8
22,1,9:12.0,,T. Harris misses 2-pt layup from 1 ft (block by R. Lopez),3,8
23,1,9:11.0,Defensive rebound by R. Lopez,,3,8
24,1,9:01.0,D. Wade makes 2-pt layup from 1 ft (assist by J. Butler),,5,8
25,1,8:46.0,,R. Jackson misses 2-pt jump shot from 9 ft,5,8
26,1,8:44.0,Defensive rebound by J. Butler,,5,8
27,1,8:28.0,T. Gibson makes 2-pt hook shot from 6 ft (assist by J. Butler),,7,8
28,1,8:10.0,,Personal foul by R. Rondo (drawn by A. Drummond),7,8
29,1,8:00.0,,T. Harris misses 3-pt jump shot from 26 ft,7,8
30,1,8:00.0,,Offensive rebound by A. Drummond,7,8
31,1,7:56.0,,A. Drummond makes 2-pt layup at rim,7,10
