,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SAN ANTONIO_ACTION,CHARLOTTE_SCORE,SAN ANTONIO_SCORE
0,1,11:35.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. Green),0,2
1,1,11:15.0,Turnover by K. Walker (bad pass; steal by D. Green),,0,2
2,1,11:10.0,,K. Leonard makes 2-pt layup at rim (assist by D. Green),0,4
3,1,10:47.0,C. Zeller makes 2-pt layup from 1 ft (assist by J. Lamb),,2,4
4,1,10:25.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by L. Aldridge),2,7
5,1,10:10.0,J. Lamb misses 2-pt layup from 1 ft,,2,7
6,1,10:10.0,,Defensive rebound by T. Parker,2,7
7,1,9:57.0,,D. Green misses 3-pt jump shot from 25 ft,2,7
8,1,9:57.0,Defensive rebound by M. Kidd-Gilchrist,,2,7
9,1,9:49.0,M. Williams misses 3-pt jump shot from 26 ft,,2,7
10,1,9:48.0,Offensive rebound by Team,,2,7
11,1,9:37.0,C. Zeller misses 2-pt jump shot from 19 ft,,2,7
12,1,9:35.0,Offensive rebound by M. Williams,,2,7
13,1,9:33.0,M. Williams makes 2-pt layup from 1 ft,,4,7
14,1,9:25.0,,K. Leonard misses 2-pt jump shot from 24 ft,4,7
15,1,9:23.0,Defensive rebound by M. Williams,,4,7
16,1,8:57.0,M. Kidd-Gilchrist makes 2-pt jump shot from 16 ft (assist by J. Lamb),,6,7
17,1,8:41.0,,P. Gasol misses 2-pt jump shot from 13 ft,6,7
18,1,8:40.0,Defensive rebound by M. Kidd-Gilchrist,,6,7
19,1,8:21.0,M. Kidd-Gilchrist makes 2-pt jump shot from 19 ft (assist by J. Lamb),,8,7
20,1,7:55.0,,T. Parker misses 2-pt jump shot from 9 ft,8,7
21,1,7:54.0,Defensive rebound by M. Kidd-Gilchrist,,8,7
22,1,7:45.0,K. Walker makes 2-pt jump shot from 16 ft (assist by M. Kidd-Gilchrist),,10,7
23,1,7:19.0,,D. Green makes 3-pt jump shot from 24 ft (assist by K. Leonard),10,10
24,1,7:00.0,M. Kidd-Gilchrist misses 2-pt layup at rim (block by P. Gasol),,10,10
25,1,6:58.0,,Defensive rebound by T. Parker,10,10
26,1,6:52.0,,D. Green misses 2-pt layup from 2 ft,10,10
27,1,6:52.0,,Offensive rebound by L. Aldridge,10,10
28,1,6:52.0,,Shooting foul by M. Kidd-Gilchrist (drawn by L. Aldridge),10,10
29,1,6:52.0,,L. Aldridge misses free throw 1 of 2,10,10
30,1,6:52.0,,Offensive rebound by Team,10,10
31,1,6:52.0,,L. Aldridge makes free throw 2 of 2,10,11
32,1,6:36.0,M. Williams misses 3-pt jump shot from 23 ft,,10,11
33,1,6:35.0,Offensive rebound by C. Zeller,,10,11
34,1,6:28.0,J. Lamb makes 2-pt jump shot from 17 ft,,12,11
35,1,6:27.0,,San Antonio full timeout,12,11
36,1,6:24.0,,P. Mills enters the game for T. Parker,12,11
37,1,6:24.0,,M. Ginóbili enters the game for D. Green,12,11
38,1,6:24.0,,D. Dedmon enters the game for P. Gasol,12,11
39,1,6:19.0,,Personal foul by J. Lamb (drawn by M. Ginóbili),12,11
40,1,6:14.0,,Turnover by P. Mills (bad pass; steal by M. Kidd-Gilchrist),12,11
41,1,6:14.0,Personal foul by D. Dedmon (drawn by M. Kidd-Gilchrist),,12,11
42,1,6:04.0,J. Lamb misses 2-pt jump shot from 15 ft,,12,11
43,1,6:04.0,,Defensive rebound by L. Aldridge,12,11
44,1,5:51.0,,Turnover by K. Leonard (bad pass; steal by K. Walker),12,11
45,1,5:47.0,Turnover by M. Kidd-Gilchrist (lost ball),,12,11
46,1,5:47.0,M. Belinelli enters the game for J. Lamb,,12,11
47,1,5:32.0,,P. Mills makes 2-pt layup from 2 ft (assist by D. Dedmon),12,13
48,1,5:12.0,Shooting foul by D. Dedmon (drawn by C. Zeller),,12,13
49,1,5:12.0,C. Zeller makes free throw 1 of 2,,13,13
50,1,5:12.0,F. Kaminsky enters the game for M. Williams,,13,13
51,1,5:12.0,,J. Simmons enters the game for K. Leonard,13,13
52,1,5:12.0,C. Zeller makes free throw 2 of 2,,14,13
53,1,4:57.0,,P. Mills makes 2-pt jump shot from 18 ft,14,15
54,1,4:45.0,K. Walker makes 2-pt jump shot from 17 ft,,16,15
55,1,4:31.0,,P. Mills makes 2-pt jump shot from 21 ft,16,17
56,1,4:19.0,K. Walker makes 3-pt jump shot from 25 ft,,19,17
57,1,3:59.0,,P. Mills misses 2-pt jump shot from 20 ft,19,17
58,1,3:58.0,Defensive rebound by F. Kaminsky,,19,17
59,1,3:54.0,Offensive foul by C. Zeller (drawn by P. Mills),,19,17
60,1,3:54.0,Turnover by C. Zeller (offensive foul),,19,17
61,1,3:54.0,R. Hibbert enters the game for C. Zeller,,19,17
62,1,3:54.0,J. Lamb enters the game for M. Kidd-Gilchrist,,19,17
63,1,3:54.0,,D. Bertāns enters the game for L. Aldridge,19,17
64,1,3:45.0,,M. Ginóbili misses 2-pt jump shot from 7 ft,19,17
65,1,3:45.0,,Offensive rebound by D. Dedmon,19,17
66,1,3:35.0,,P. Mills misses 2-pt jump shot from 19 ft,19,17
67,1,3:34.0,Defensive rebound by J. Lamb,,19,17
68,1,3:26.0,J. Lamb makes 2-pt jump shot from 15 ft,,21,17
69,1,3:13.0,,M. Ginóbili misses 2-pt jump shot from 7 ft,21,17
70,1,3:10.0,Defensive rebound by R. Hibbert,,21,17
71,1,3:06.0,Shooting foul by J. Simmons (drawn by J. Lamb),,21,17
72,1,3:06.0,J. Lamb makes free throw 1 of 2,,22,17
73,1,3:06.0,J. Lamb misses free throw 2 of 2,,22,17
74,1,3:06.0,R. Sessions enters the game for K. Walker,,22,17
75,1,3:05.0,,Defensive rebound by D. Dedmon,22,17
76,1,2:47.0,,D. Bertāns misses 3-pt jump shot from 25 ft,22,17
77,1,2:46.0,Defensive rebound by R. Hibbert,,22,17
78,1,2:34.0,R. Sessions misses 3-pt jump shot from 25 ft,,22,17
79,1,2:34.0,,Defensive rebound by D. Dedmon,22,17
80,1,2:24.0,,J. Simmons misses 2-pt jump shot from 18 ft,22,17
81,1,2:22.0,Defensive rebound by R. Hibbert,,22,17
82,1,2:14.0,Turnover by R. Sessions (bad pass),,22,17
83,1,2:14.0,Charlotte full timeout,,22,17
84,1,2:14.0,,P. Gasol enters the game for D. Dedmon,22,17
85,1,2:02.0,,D. Bertāns makes 2-pt dunk at rim (assist by J. Simmons),22,19
86,1,1:36.0,R. Sessions misses 2-pt jump shot from 17 ft,,22,19
87,1,1:35.0,,Defensive rebound by J. Simmons,22,19
88,1,1:22.0,,P. Mills makes 2-pt jump shot from 17 ft (assist by P. Gasol),22,21
89,1,1:09.0,R. Sessions makes 2-pt layup from 1 ft,,24,21
90,1,0:55.0,,M. Ginóbili makes 3-pt jump shot from 25 ft (assist by D. Bertāns),24,24
91,1,0:36.0,M. Belinelli misses 2-pt jump shot from 20 ft,,24,24
92,1,0:35.0,,Defensive rebound by P. Mills,24,24
93,1,0:29.0,,P. Mills misses 2-pt layup from 1 ft,24,24
94,1,0:27.0,Defensive rebound by F. Kaminsky,,24,24
95,1,0:07.0,Turnover by R. Sessions (bad pass; steal by P. Mills),,24,24
96,1,0:02.0,,M. Ginóbili misses 3-pt jump shot from 25 ft,24,24
97,1,0:01.0,,Offensive rebound by P. Gasol,24,24
98,1,0:00.0,,P. Gasol misses 2-pt layup from 1 ft,24,24
99,1,0:00.0,Defensive rebound by M. Belinelli,,24,24
100,2,11:40.0,R. Hibbert makes 2-pt hook shot from 7 ft (assist by R. Sessions),,26,24
101,2,11:21.0,,K. Leonard misses 3-pt jump shot from 26 ft,26,24
102,2,11:20.0,Defensive rebound by M. Belinelli,,26,24
103,2,11:11.0,M. Kidd-Gilchrist makes 2-pt jump shot from 18 ft (assist by M. Belinelli),,28,24
104,2,10:53.0,,T. Parker makes 2-pt jump shot from 10 ft (assist by P. Gasol),28,26
105,2,10:42.0,M. Belinelli misses 2-pt jump shot from 20 ft,,28,26
106,2,10:41.0,,Defensive rebound by D. Green,28,26
107,2,10:30.0,,T. Parker misses 2-pt hook shot from 7 ft,28,26
108,2,10:29.0,Defensive rebound by M. Kidd-Gilchrist,,28,26
109,2,10:24.0,M. Belinelli misses 3-pt jump shot from 24 ft,,28,26
110,2,10:22.0,,Defensive rebound by P. Gasol,28,26
111,2,10:07.0,,D. Green misses 3-pt jump shot from 25 ft,28,26
112,2,10:07.0,Defensive rebound by R. Sessions,,28,26
113,2,10:02.0,Shooting foul by P. Gasol (drawn by R. Hibbert),,28,26
114,2,10:02.0,R. Hibbert makes free throw 1 of 2,,29,26
115,2,10:02.0,R. Hibbert makes free throw 2 of 2,,30,26
116,2,9:40.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. Gasol),30,29
117,2,9:26.0,Shooting foul by T. Parker (drawn by R. Sessions),,30,29
118,2,9:26.0,R. Sessions misses free throw 1 of 2,,30,29
119,2,9:26.0,Offensive rebound by Team,,30,29
120,2,9:26.0,R. Sessions makes free throw 2 of 2,,31,29
121,2,9:02.0,,L. Aldridge misses 2-pt jump shot from 16 ft,31,29
122,2,9:01.0,,Offensive rebound by D. Green,31,29
123,2,9:01.0,,D. Green misses 2-pt layup from 3 ft,31,29
124,2,8:59.0,Defensive rebound by R. Hibbert,,31,29
125,2,8:44.0,M. Belinelli misses 3-pt jump shot from 25 ft,,31,29
126,2,8:43.0,,Defensive rebound by T. Parker,31,29
127,2,8:32.0,,D. Green makes 3-pt jump shot from 25 ft (assist by L. Aldridge),31,32
128,2,8:16.0,R. Hibbert makes 2-pt dunk at rim (assist by M. Belinelli),,33,32
129,2,7:57.0,,T. Parker misses 2-pt layup from 1 ft,33,32
130,2,7:57.0,Defensive rebound by F. Kaminsky,,33,32
131,2,7:49.0,R. Sessions misses 2-pt layup from 2 ft (block by D. Green),,33,32
132,2,7:47.0,,Defensive rebound by D. Green,33,32
133,2,7:41.0,,L. Aldridge misses 3-pt jump shot from 25 ft,33,32
134,2,7:40.0,Defensive rebound by M. Belinelli,,33,32
135,2,7:28.0,M. Belinelli misses 2-pt jump shot from 12 ft,,33,32
136,2,7:25.0,,Defensive rebound by P. Gasol,33,32
137,2,7:19.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by T. Parker),33,35
138,2,7:10.0,Charlotte full timeout,,33,35
139,2,7:10.0,C. Zeller enters the game for R. Hibbert,,33,35
140,2,7:10.0,K. Walker enters the game for M. Kidd-Gilchrist,,33,35
141,2,7:10.0,M. Kidd-Gilchrist enters the game for R. Sessions,,33,35
142,2,6:56.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,33,35
143,2,6:56.0,Offensive rebound by M. Kidd-Gilchrist,,33,35
144,2,6:43.0,M. Kidd-Gilchrist makes 2-pt jump shot from 20 ft (assist by F. Kaminsky),,35,35
145,2,6:19.0,,T. Parker misses 3-pt jump shot from 23 ft,35,35
146,2,6:19.0,Defensive rebound by Team,,35,35
147,2,6:07.0,C. Zeller makes 2-pt dunk at rim (assist by K. Walker),,37,35
148,2,5:57.0,,Turnover by D. Green (bad pass; steal by M. Kidd-Gilchrist),37,35
149,2,5:53.0,Turnover by M. Kidd-Gilchrist (bad pass),,37,35
150,2,5:53.0,Official timeout,,37,35
151,2,5:53.0,,D. Dedmon enters the game for P. Gasol,37,35
152,2,5:53.0,M. Williams enters the game for F. Kaminsky,,37,35
153,2,5:31.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by D. Green),37,37
154,2,5:17.0,M. Belinelli makes 2-pt jump shot from 16 ft (assist by K. Walker),,39,37
155,2,5:02.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by D. Green),39,39
156,2,5:02.0,,Shooting foul by M. Kidd-Gilchrist (drawn by D. Dedmon),39,39
157,2,5:02.0,,M. Ginóbili enters the game for D. Green,39,39
158,2,5:02.0,,P. Mills enters the game for T. Parker,39,39
159,2,5:02.0,,D. Dedmon makes free throw 1 of 1,39,40
160,2,4:39.0,M. Belinelli misses 2-pt jump shot from 15 ft,,39,40
161,2,4:37.0,,Defensive rebound by D. Dedmon,39,40
162,2,4:31.0,,L. Aldridge misses 2-pt jump shot from 9 ft,39,40
163,2,4:31.0,Defensive rebound by Team,,39,40
164,2,4:31.0,,Loose ball foul by L. Aldridge (drawn by M. Williams),39,40
165,2,4:31.0,T. Graham enters the game for M. Kidd-Gilchrist,,39,40
166,2,4:08.0,M. Belinelli makes 3-pt jump shot from 29 ft (assist by M. Williams),,42,40
167,2,3:50.0,,K. Leonard makes 2-pt jump shot from 16 ft (assist by M. Ginóbili),42,42
168,2,3:36.0,K. Walker misses 3-pt jump shot from 25 ft,,42,42
169,2,3:35.0,,Defensive rebound by D. Dedmon,42,42
170,2,3:30.0,,Personal foul by T. Graham (drawn by K. Leonard),42,42
171,2,3:30.0,J. Lamb enters the game for M. Belinelli,,42,42
172,2,3:18.0,,K. Leonard misses 3-pt jump shot from 25 ft,42,42
173,2,3:18.0,Defensive rebound by C. Zeller,,42,42
174,2,3:08.0,K. Walker misses 2-pt layup from 1 ft (block by D. Dedmon),,42,42
175,2,3:08.0,Offensive rebound by Team,,42,42
176,2,2:54.0,K. Walker misses 3-pt jump shot from 25 ft,,42,42
177,2,2:54.0,,Defensive rebound by Team,42,42
178,2,2:54.0,,San Antonio full timeout,42,42
179,2,2:40.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by K. Leonard),42,45
180,2,2:25.0,Turnover by K. Walker (bad pass; steal by P. Mills),,42,45
181,2,2:20.0,,P. Mills misses 3-pt jump shot from 25 ft,42,45
182,2,2:20.0,Defensive rebound by C. Zeller,,42,45
183,2,2:08.0,M. Williams makes 3-pt jump shot from 24 ft (assist by T. Graham),,45,45
184,2,1:56.0,,K. Leonard misses 2-pt layup from 1 ft (block by M. Williams),45,45
185,2,1:56.0,,Offensive rebound by Team,45,45
186,2,1:48.0,,P. Mills misses 3-pt jump shot from 24 ft,45,45
187,2,1:47.0,Defensive rebound by J. Lamb,,45,45
188,2,1:31.0,Personal foul by M. Ginóbili (drawn by T. Graham),,45,45
189,2,1:17.0,J. Lamb misses 2-pt jump shot from 21 ft,,45,45
190,2,1:17.0,,Defensive rebound by Team,45,45
191,2,1:04.0,,K. Leonard misses 3-pt jump shot from 25 ft,45,45
192,2,1:03.0,Defensive rebound by K. Walker,,45,45
193,2,0:46.0,Shooting foul by L. Aldridge (drawn by J. Lamb),,45,45
194,2,0:46.0,J. Lamb makes free throw 1 of 2,,46,45
195,2,0:46.0,,D. Bertāns enters the game for L. Aldridge,46,45
196,2,0:46.0,J. Lamb makes free throw 2 of 2,,47,45
197,2,0:41.0,,San Antonio full timeout,47,45
198,2,0:41.0,,L. Aldridge enters the game for D. Dedmon,47,45
199,2,0:34.0,,K. Leonard makes 2-pt jump shot from 9 ft,47,47
200,2,0:24.0,Shooting foul by P. Mills (drawn by K. Walker),,47,47
201,2,0:24.0,K. Walker makes 3-pt jump shot from 25 ft,,50,47
202,2,0:24.0,K. Walker misses free throw 1 of 1,,50,47
203,2,0:24.0,,Defensive rebound by K. Leonard,50,47
204,2,0:02.0,,P. Mills misses 2-pt layup from 1 ft (block by C. Zeller),50,47
205,2,0:01.0,,Offensive rebound by M. Ginóbili,50,47
206,2,0:00.0,,M. Ginóbili misses 3-pt jump shot from 26 ft,50,47
207,2,0:00.0,,Offensive rebound by Team,50,47
