,QUARTER,TIME_REMAINING,UTAH_ACTION,BOSTON_ACTION,UTAH_SCORE,BOSTON_SCORE
0,1,11:41.0,,I. Thomas makes 2-pt jump shot from 6 ft (assist by A. Horford),0,2
1,1,11:26.0,G. Hayward makes 2-pt jump shot from 22 ft (assist by S. Mack),,2,2
2,1,11:07.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by I. Thomas),2,5
3,1,10:43.0,G. Hayward makes 2-pt jump shot from 13 ft (assist by S. Mack),,4,5
4,1,10:21.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by A. Horford),4,8
5,1,10:06.0,R. Hood misses 2-pt jump shot from 12 ft,,4,8
6,1,10:05.0,,Defensive rebound by J. Crowder,4,8
7,1,9:59.0,,A. Horford makes 2-pt dunk at rim (assist by J. Crowder),4,10
8,1,9:59.0,Utah full timeout,,4,10
9,1,9:36.0,S. Mack makes 2-pt jump shot from 5 ft,,6,10
10,1,9:21.0,,A. Johnson misses 2-pt hook shot from 4 ft,6,10
11,1,9:20.0,Defensive rebound by D. Favors,,6,10
12,1,9:06.0,S. Mack misses 2-pt layup from 3 ft,,6,10
13,1,9:05.0,,Defensive rebound by A. Horford,6,10
14,1,8:57.0,,A. Bradley misses 3-pt jump shot from 24 ft,6,10
15,1,8:56.0,Defensive rebound by D. Favors,,6,10
16,1,8:35.0,R. Hood makes 2-pt jump shot from 9 ft,,8,10
17,1,8:20.0,,A. Johnson misses 2-pt jump shot from 3 ft (block by R. Gobert),8,10
18,1,8:19.0,Defensive rebound by R. Gobert,,8,10
19,1,8:05.0,Turnover by G. Hayward (bad pass; steal by J. Crowder),,8,10
20,1,8:00.0,,I. Thomas makes 2-pt layup from 2 ft (assist by A. Bradley),8,12
21,1,7:43.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by D. Favors),,11,12
22,1,7:14.0,,I. Thomas makes 2-pt jump shot from 18 ft,11,14
23,1,6:55.0,S. Mack makes 2-pt jump shot from 22 ft (assist by D. Favors),,13,14
24,1,6:38.0,,A. Bradley makes 2-pt jump shot from 13 ft (assist by A. Johnson),13,16
25,1,6:17.0,G. Hayward misses 3-pt jump shot from 25 ft,,13,16
26,1,6:16.0,,Defensive rebound by A. Bradley,13,16
27,1,6:04.0,,A. Horford misses 3-pt jump shot from 25 ft,13,16
28,1,6:03.0,Defensive rebound by S. Mack,,13,16
29,1,5:59.0,Personal foul by J. Crowder (drawn by R. Gobert),,13,16
30,1,5:59.0,,K. Olynyk enters the game for A. Johnson,13,16
31,1,5:59.0,J. Ingles enters the game for D. Favors,,13,16
32,1,5:59.0,T. Lyles enters the game for R. Hood,,13,16
33,1,5:42.0,J. Ingles makes 3-pt jump shot from 24 ft (assist by G. Hayward),,16,16
34,1,5:15.0,,A. Horford misses 2-pt jump shot from 14 ft,16,16
35,1,5:14.0,Defensive rebound by G. Hayward,,16,16
36,1,4:57.0,J. Ingles misses 3-pt jump shot from 24 ft,,16,16
37,1,4:56.0,,Defensive rebound by I. Thomas,16,16
38,1,4:46.0,,I. Thomas misses 3-pt jump shot from 24 ft,16,16
39,1,4:45.0,,Offensive rebound by K. Olynyk,16,16
40,1,4:41.0,,I. Thomas makes 3-pt jump shot from 24 ft (assist by K. Olynyk),16,19
41,1,4:27.0,T. Lyles misses 3-pt jump shot from 25 ft,,16,19
42,1,4:26.0,Offensive rebound by Team,,16,19
43,1,4:26.0,,Loose ball foul by A. Horford (drawn by R. Gobert),16,19
44,1,4:26.0,,M. Smart enters the game for I. Thomas,16,19
45,1,4:14.0,S. Mack misses 2-pt jump shot from 14 ft,,16,19
46,1,4:13.0,,Defensive rebound by K. Olynyk,16,19
47,1,4:01.0,,A. Horford makes 2-pt layup from 2 ft (assist by K. Olynyk),16,21
48,1,3:46.0,Personal block foul by K. Olynyk (drawn by G. Hayward),,16,21
49,1,3:34.0,J. Ingles misses 3-pt jump shot from 25 ft,,16,21
50,1,3:33.0,,Defensive rebound by Team,16,21
51,1,3:19.0,,J. Crowder misses 2-pt jump shot from 23 ft,16,21
52,1,3:18.0,Defensive rebound by R. Gobert,,16,21
53,1,3:08.0,G. Hayward misses 2-pt jump shot from 18 ft,,16,21
54,1,3:06.0,,Defensive rebound by K. Olynyk,16,21
55,1,3:01.0,,Personal foul by G. Hayward (drawn by A. Horford),16,21
56,1,3:01.0,D. Favors enters the game for R. Gobert,,16,21
57,1,3:01.0,R. Neto enters the game for S. Mack,,16,21
58,1,2:55.0,,M. Smart makes 2-pt layup from 3 ft (assist by A. Horford),16,23
59,1,2:39.0,D. Favors makes 2-pt jump shot from 19 ft (assist by T. Lyles),,18,23
60,1,2:21.0,,A. Horford misses 2-pt jump shot from 19 ft,18,23
61,1,2:20.0,Defensive rebound by J. Ingles,,18,23
62,1,2:11.0,T. Lyles misses 3-pt jump shot from 25 ft,,18,23
63,1,2:10.0,,Defensive rebound by A. Horford,18,23
64,1,1:56.0,,A. Horford makes 2-pt hook shot from 10 ft,18,25
65,1,1:44.0,G. Hayward makes 2-pt layup from 2 ft (assist by D. Favors),,20,25
66,1,1:44.0,Shooting foul by M. Smart (drawn by G. Hayward),,20,25
67,1,1:44.0,,Boston full timeout,20,25
68,1,1:44.0,,J. Brown enters the game for J. Crowder,20,25
69,1,1:44.0,,J. Jerebko enters the game for A. Horford,20,25
70,1,1:44.0,G. Hayward makes free throw 1 of 1,,21,25
71,1,1:25.0,,A. Bradley misses 3-pt jump shot from 25 ft,21,25
72,1,1:24.0,Defensive rebound by J. Ingles,,21,25
73,1,1:15.0,Shooting foul by M. Smart (drawn by D. Favors),,21,25
74,1,1:15.0,D. Favors makes free throw 1 of 2,,22,25
75,1,1:15.0,J. Johnson enters the game for G. Hayward,,22,25
76,1,1:15.0,D. Favors makes free throw 2 of 2,,23,25
77,1,0:54.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by A. Bradley),23,28
78,1,0:40.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by T. Lyles),,26,28
79,1,0:32.0,,Turnover by K. Olynyk (bad pass),26,28
80,1,0:16.0,Turnover by J. Ingles (bad pass; steal by M. Smart),,26,28
81,1,0:12.0,,Turnover by J. Brown (bad pass; steal by T. Lyles),26,28
82,1,0:09.0,Turnover by T. Lyles (bad pass),,26,28
83,1,0:03.0,,Turnover by M. Smart (bad pass),26,28
84,1,0:00.0,R. Neto makes 3-pt jump shot from 27 ft (assist by T. Lyles),,29,28
85,2,11:45.0,D. Favors misses 2-pt jump shot from 16 ft,,29,28
86,2,11:44.0,,Defensive rebound by J. Brown,29,28
87,2,11:29.0,,Personal block foul by J. Ingles (drawn by I. Thomas),29,28
88,2,11:29.0,R. Hood enters the game for J. Ingles,,29,28
89,2,11:20.0,,J. Brown misses 3-pt jump shot from 25 ft,29,28
90,2,11:19.0,Defensive rebound by R. Neto,,29,28
91,2,11:13.0,R. Neto misses 2-pt layup from 2 ft (block by J. Brown),,29,28
92,2,11:12.0,,Defensive rebound by I. Thomas,29,28
93,2,11:08.0,,J. Brown makes 2-pt layup from 3 ft (assist by I. Thomas),29,30
94,2,11:08.0,,Shooting foul by D. Favors (drawn by J. Brown),29,30
95,2,11:08.0,,J. Brown makes free throw 1 of 1,29,31
96,2,10:55.0,R. Hood makes 2-pt hook shot from 6 ft (assist by J. Johnson),,31,31
97,2,10:39.0,,J. Brown makes 2-pt layup from 3 ft (assist by I. Thomas),31,33
98,2,10:18.0,,Offensive charge foul by D. Favors (drawn by K. Olynyk),31,33
99,2,10:18.0,Turnover by D. Favors (offensive foul),,31,33
100,2,10:18.0,R. Gobert enters the game for D. Favors,,31,33
101,2,10:05.0,,Turnover by J. Brown (bad pass; steal by B. Diaw),31,33
102,2,9:50.0,R. Hood misses 2-pt jump shot from 14 ft,,31,33
103,2,9:49.0,Offensive rebound by Team,,31,33
104,2,9:49.0,,Loose ball foul by J. Jerebko (drawn by R. Gobert),31,33
105,2,9:40.0,R. Neto misses 3-pt jump shot from 25 ft,,31,33
106,2,9:39.0,,Defensive rebound by J. Brown,31,33
