,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PHILADELPHIA_ACTION,LA CLIPPERS_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,J. Redick makes 2-pt jump shot from 5 ft (assist by A. Rivers),,2,0
1,1,11:19.0,,T. McConnell misses 2-pt jump shot from 6 ft,2,0
2,1,11:18.0,Defensive rebound by D. Jordan,,2,0
3,1,11:04.0,B. Griffin misses 2-pt jump shot from 5 ft,,2,0
4,1,11:03.0,Offensive rebound by B. Griffin,,2,0
5,1,10:55.0,B. Griffin makes 2-pt layup from 1 ft,,4,0
6,1,10:38.0,,N. Noel misses 2-pt layup from 3 ft,4,0
7,1,10:37.0,Defensive rebound by D. Jordan,,4,0
8,1,10:29.0,A. Rivers misses 2-pt jump shot from 6 ft,,4,0
9,1,10:28.0,,Defensive rebound by E. İlyasova,4,0
10,1,10:18.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by T. McConnell),4,3
11,1,10:02.0,J. Redick misses 2-pt jump shot from 17 ft,,4,3
12,1,10:01.0,,Defensive rebound by E. İlyasova,4,3
13,1,9:47.0,,N. Noel makes 2-pt layup from 1 ft (assist by T. McConnell),4,5
14,1,9:29.0,Turnover by A. Rivers (bad pass; steal by N. Noel),,4,5
15,1,9:27.0,,Shooting foul by B. Griffin (drawn by N. Noel),4,5
16,1,9:27.0,,N. Noel makes free throw 1 of 2,4,6
17,1,9:27.0,,N. Noel makes free throw 2 of 2,4,7
18,1,9:15.0,Turnover by D. Jordan (bad pass; steal by N. Stauskas),,4,7
19,1,9:08.0,,R. Covington misses 3-pt jump shot from 24 ft,4,7
20,1,9:07.0,Defensive rebound by D. Jordan,,4,7
21,1,8:58.0,B. Griffin misses 2-pt jump shot from 17 ft,,4,7
22,1,8:57.0,,Defensive rebound by R. Covington,4,7
23,1,8:51.0,,N. Stauskas makes 3-pt jump shot from 25 ft (assist by T. McConnell),4,10
24,1,8:28.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by D. Jordan),,7,10
25,1,8:17.0,,T. McConnell misses 2-pt jump shot from 16 ft,7,10
26,1,8:16.0,Defensive rebound by J. Redick,,7,10
27,1,8:07.0,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Griffin),,10,10
