,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,TORONTO_ACTION,CHARLOTTE_SCORE,TORONTO_SCORE
0,1,11:40.0,,K. Lowry makes 3-pt jump shot from 26 ft (assist by D. Carroll),0,3
1,1,11:27.0,K. Walker misses 3-pt jump shot from 25 ft,,0,3
2,1,11:27.0,,Defensive rebound by J. Valančiūnas,0,3
3,1,11:19.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),0,5
4,1,11:04.0,Turnover by N. Batum (bad pass; steal by J. Valančiūnas),,0,5
5,1,10:52.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),0,7
6,1,10:37.0,Turnover by F. Kaminsky (bad pass; steal by N. Powell),,0,7
7,1,10:26.0,,Turnover by D. DeRozan (bad pass; steal by M. Kidd-Gilchrist),0,7
8,1,10:20.0,Personal foul by D. Carroll (drawn by K. Walker),,0,7
9,1,10:12.0,M. Kidd-Gilchrist misses 2-pt jump shot from 19 ft,,0,7
10,1,10:12.0,,Defensive rebound by J. Valančiūnas,0,7
11,1,10:04.0,,Turnover by K. Lowry (bad pass; steal by M. Kidd-Gilchrist),0,7
12,1,10:00.0,Shooting block foul by K. Lowry (drawn by M. Kidd-Gilchrist),,0,7
13,1,10:00.0,M. Kidd-Gilchrist makes free throw 1 of 2,,1,7
14,1,10:00.0,M. Kidd-Gilchrist makes free throw 2 of 2,,2,7
15,1,9:41.0,,Turnover by D. DeRozan (bad pass; steal by K. Walker),2,7
16,1,9:34.0,F. Kaminsky makes 2-pt layup from 3 ft (assist by M. Williams),,4,7
17,1,9:17.0,,N. Powell misses 2-pt layup from 1 ft,4,7
18,1,9:16.0,Defensive rebound by M. Kidd-Gilchrist,,4,7
19,1,9:06.0,F. Kaminsky makes 2-pt layup from 2 ft (assist by K. Walker),,6,7
20,1,8:44.0,,D. Carroll misses 3-pt jump shot from 23 ft,6,7
21,1,8:43.0,,Offensive rebound by J. Valančiūnas,6,7
22,1,8:41.0,,J. Valančiūnas makes 2-pt layup from 2 ft,6,9
