,QUARTER,TIME_REMAINING,DALLAS_ACTION,PORTLAND_ACTION,DALLAS_SCORE,PORTLAND_SCORE
0,1,11:40.0,,M. Plumlee makes 2-pt jump shot from 11 ft (assist by D. Lillard),0,2
1,1,11:23.0,Def 3 sec tech foul by M. Plumlee,,0,2
2,1,11:23.0,W. Matthews misses technical free throw,,0,2
3,1,11:23.0,Offensive rebound by Team,,0,2
4,1,11:16.0,D. Williams makes 3-pt jump shot from 24 ft (assist by W. Matthews),,3,2
5,1,10:59.0,,Turnover by D. Lillard (bad pass; steal by W. Matthews),3,2
6,1,10:39.0,W. Matthews makes 2-pt layup from 1 ft (assist by D. Williams),,5,2
7,1,10:24.0,,M. Harkless misses 3-pt jump shot from 23 ft,5,2
8,1,10:23.0,Defensive rebound by W. Matthews,,5,2
9,1,10:05.0,D. Williams misses 2-pt jump shot from 23 ft,,5,2
10,1,10:04.0,,Defensive rebound by M. Plumlee,5,2
11,1,9:55.0,,D. Lillard misses 2-pt layup at rim (block by S. Mejri),5,2
12,1,9:55.0,Defensive rebound by Team,,5,2
13,1,9:41.0,H. Barnes makes 2-pt jump shot from 19 ft (assist by D. Williams),,7,2
14,1,9:20.0,,C. McCollum misses 2-pt jump shot from 19 ft,7,2
15,1,9:20.0,Defensive rebound by D. Finney-Smith,,7,2
16,1,9:08.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,7,2
17,1,9:07.0,Offensive rebound by S. Mejri,,7,2
18,1,9:05.0,D. Williams makes 2-pt jump shot from 22 ft (assist by S. Mejri),,9,2
19,1,9:05.0,,Portland full timeout,9,2
20,1,8:45.0,,M. Harkless misses 2-pt hook shot from 4 ft,9,2
21,1,8:45.0,,Offensive rebound by M. Harkless,9,2
22,1,8:44.0,,M. Harkless makes 2-pt layup from 1 ft,9,4
23,1,8:28.0,W. Matthews misses 3-pt jump shot from 25 ft,,9,4
24,1,8:26.0,,Defensive rebound by M. Plumlee,9,4
25,1,8:16.0,,Turnover by D. Lillard (bad pass),9,4
26,1,8:02.0,H. Barnes misses 2-pt jump shot from 18 ft,,9,4
27,1,8:01.0,,Defensive rebound by M. Harkless,9,4
28,1,7:54.0,,D. Lillard makes 3-pt jump shot from 30 ft,9,7
29,1,7:33.0,H. Barnes makes 2-pt jump shot from 8 ft (assist by D. Williams),,11,7
30,1,7:22.0,,Shooting foul by W. Matthews (drawn by C. McCollum),11,7
31,1,7:22.0,Technical foul by W. Matthews,,11,7
32,1,7:22.0,,C. McCollum makes technical free throw,11,8
33,1,7:22.0,,C. McCollum makes free throw 1 of 2,11,9
34,1,7:22.0,,C. McCollum makes free throw 2 of 2,11,10
35,1,7:04.0,H. Barnes makes 2-pt hook shot from 6 ft,,13,10
36,1,6:50.0,,C. McCollum misses 3-pt jump shot from 25 ft,13,10
37,1,6:50.0,Defensive rebound by S. Mejri,,13,10
38,1,6:39.0,D. Williams makes 3-pt jump shot from 24 ft,,16,10
39,1,6:22.0,,A. Aminu misses 3-pt jump shot from 24 ft,16,10
40,1,6:22.0,Defensive rebound by D. Williams,,16,10
41,1,6:08.0,Shooting foul by C. McCollum (drawn by W. Matthews),,16,10
42,1,6:08.0,W. Matthews makes free throw 1 of 2,,17,10
43,1,6:08.0,,A. Crabbe enters the game for A. Aminu,17,10
44,1,6:08.0,W. Matthews makes free throw 2 of 2,,18,10
45,1,5:55.0,,Personal foul by H. Barnes (drawn by C. McCollum),18,10
46,1,5:55.0,J. Barea enters the game for H. Barnes,,18,10
47,1,5:55.0,D. Harris enters the game for S. Mejri,,18,10
48,1,5:55.0,D. Powell enters the game for D. Williams,,18,10
49,1,5:46.0,,M. Harkless misses 3-pt jump shot from 23 ft,18,10
50,1,5:46.0,Defensive rebound by D. Finney-Smith,,18,10
51,1,5:35.0,W. Matthews misses 2-pt jump shot from 7 ft,,18,10
52,1,5:35.0,,Defensive rebound by M. Harkless,18,10
53,1,5:21.0,,D. Lillard makes 2-pt layup from 2 ft (assist by M. Plumlee),18,12
54,1,5:07.0,Shooting foul by M. Plumlee (drawn by D. Powell),,18,12
55,1,5:07.0,D. Powell makes free throw 1 of 2,,19,12
56,1,5:07.0,D. Powell misses free throw 2 of 2,,19,12
