,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW ORLEANS_ACTION,PHOENIX_SCORE,NEW ORLEANS_SCORE
0,1,11:42.0,,J. Holiday misses 2-pt jump shot from 16 ft,0,0
1,1,11:42.0,,Offensive rebound by A. Davis,0,0
2,1,11:37.0,,A. Davis misses 2-pt jump shot from 14 ft,0,0
3,1,11:37.0,Defensive rebound by T. Warren,,0,0
4,1,11:23.0,M. Chriss makes 2-pt jump shot from 20 ft (assist by E. Bledsoe),,2,0
5,1,11:06.0,,S. Hill makes 2-pt jump shot from 16 ft,2,2
6,1,10:50.0,M. Chriss misses 3-pt jump shot from 26 ft,,2,2
7,1,10:50.0,,Defensive rebound by T. Jones,2,2
8,1,10:44.0,,Personal foul by T. Chandler (drawn by A. Davis),2,2
9,1,10:31.0,,J. Holiday makes 2-pt layup from 2 ft (assist by B. Hield),2,4
10,1,10:13.0,E. Bledsoe makes 2-pt layup at rim (assist by M. Chriss),,4,4
11,1,10:02.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by S. Hill),4,7
12,1,9:41.0,M. Chriss misses 2-pt dunk at rim,,4,7
13,1,9:40.0,,Defensive rebound by A. Davis,4,7
14,1,9:28.0,,S. Hill misses 3-pt jump shot from 25 ft,4,7
15,1,9:27.0,Defensive rebound by T. Chandler,,4,7
16,1,9:18.0,D. Booker misses 2-pt jump shot from 19 ft,,4,7
17,1,9:18.0,,Defensive rebound by A. Davis,4,7
18,1,8:58.0,,Turnover by A. Davis (lost ball; steal by T. Warren),4,7
19,1,8:58.0,,Loose ball foul by A. Davis,4,7
20,1,8:40.0,M. Chriss misses 2-pt jump shot from 10 ft,,4,7
21,1,8:40.0,,Defensive rebound by T. Jones,4,7
22,1,8:35.0,,Turnover by J. Holiday (lost ball; steal by T. Warren),4,7
23,1,8:21.0,T. Warren misses 3-pt jump shot from 24 ft,,4,7
24,1,8:20.0,,Defensive rebound by A. Davis,4,7
25,1,8:07.0,,B. Hield makes 2-pt layup from 2 ft (assist by S. Hill),4,9
26,1,7:50.0,D. Booker makes 3-pt jump shot from 27 ft,,7,9
27,1,7:36.0,,J. Holiday misses 2-pt jump shot from 4 ft (block by M. Chriss),7,9
28,1,7:35.0,Defensive rebound by D. Booker,,7,9
29,1,7:31.0,Turnover by E. Bledsoe (bad pass),,7,9
30,1,7:15.0,,S. Hill misses 3-pt jump shot from 25 ft,7,9
31,1,7:14.0,Defensive rebound by T. Chandler,,7,9
32,1,7:10.0,D. Booker misses 3-pt jump shot from 25 ft,,7,9
33,1,7:08.0,,Defensive rebound by T. Jones,7,9
34,1,6:57.0,,T. Jones makes 2-pt dunk at rim,7,11
35,1,6:57.0,,Shooting foul by M. Chriss (drawn by T. Jones),7,11
36,1,6:57.0,,T. Jones makes free throw 1 of 1,7,12
37,1,6:40.0,Offensive foul by E. Bledsoe (drawn by J. Holiday),,7,12
38,1,6:40.0,Turnover by E. Bledsoe (offensive foul),,7,12
39,1,6:26.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by J. Holiday),7,15
40,1,6:25.0,Phoenix full timeout,,7,15
41,1,6:09.0,E. Bledsoe misses 2-pt jump shot from 23 ft,,7,15
42,1,6:09.0,,Defensive rebound by T. Jones,7,15
43,1,5:51.0,,T. Jones misses 3-pt jump shot from 26 ft,7,15
44,1,5:51.0,,Offensive rebound by J. Holiday,7,15
45,1,5:40.0,,B. Hield misses 3-pt jump shot from 26 ft,7,15
46,1,5:39.0,Defensive rebound by E. Bledsoe,,7,15
47,1,5:30.0,T. Warren makes 2-pt jump shot from 16 ft (assist by E. Bledsoe),,9,15
48,1,5:22.0,,J. Holiday makes 3-pt jump shot from 26 ft,9,18
49,1,5:05.0,M. Chriss makes 2-pt dunk at rim (assist by D. Booker),,11,18
50,1,4:44.0,,A. Davis makes 2-pt jump shot from 7 ft (assist by J. Holiday),11,20
51,1,4:34.0,Turnover by E. Bledsoe (bad pass; steal by A. Davis),,11,20
52,1,4:34.0,,Personal foul by E. Bledsoe (drawn by A. Davis),11,20
53,1,4:34.0,,E. Moore enters the game for S. Hill,11,20
54,1,4:34.0,B. Knight enters the game for E. Bledsoe,,11,20
55,1,4:34.0,,D. Cunningham enters the game for T. Jones,11,20
56,1,4:09.0,,B. Hield misses 2-pt layup from 1 ft (block by T. Chandler),11,20
57,1,4:08.0,,Offensive rebound by B. Hield,11,20
58,1,4:05.0,,B. Hield misses 2-pt layup from 2 ft,11,20
59,1,4:05.0,Defensive rebound by M. Chriss,,11,20
60,1,4:00.0,T. Warren makes 2-pt jump shot from 9 ft (assist by D. Booker),,13,20
61,1,3:50.0,,D. Cunningham misses 2-pt layup from 2 ft,13,20
62,1,3:49.0,Defensive rebound by M. Chriss,,13,20
63,1,3:39.0,D. Booker misses 3-pt jump shot from 25 ft,,13,20
64,1,3:38.0,,Defensive rebound by J. Holiday,13,20
65,1,3:26.0,,A. Davis makes 2-pt jump shot from 16 ft,13,22
66,1,3:01.0,D. Booker makes 2-pt jump shot from 14 ft,,15,22
67,1,2:51.0,,J. Holiday misses 2-pt layup from 2 ft,15,22
68,1,2:50.0,Defensive rebound by T. Chandler,,15,22
69,1,2:32.0,Personal foul by E. Moore (drawn by T. Chandler),,15,22
70,1,2:32.0,,New Orleans full timeout,15,22
71,1,2:32.0,Technical foul by T. Chandler,,15,22
72,1,2:32.0,J. Dudley enters the game for M. Chriss,,15,22
