,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,HOUSTON_ACTION,GOLDEN STATE_SCORE,HOUSTON_SCORE
0,1,11:45.0,,Turnover by P. Beverley (bad pass; steal by D. Green),0,0
1,1,11:40.0,K. Thompson makes 2-pt layup from 1 ft (assist by S. Curry),,2,0
2,1,11:30.0,,C. Capela misses 2-pt dunk at rim,2,0
3,1,11:29.0,Defensive rebound by S. Curry,,2,0
4,1,11:18.0,K. Thompson makes 2-pt layup from 2 ft (assist by Z. Pachulia),,4,0
5,1,10:56.0,,T. Ariza makes 2-pt layup at rim,4,2
6,1,10:39.0,S. Curry makes 3-pt jump shot from 25 ft (assist by P. McCaw),,7,2
7,1,10:21.0,,Turnover by C. Capela (lost ball),7,2
8,1,10:13.0,Offensive foul by Z. Pachulia (drawn by T. Ariza),,7,2
9,1,10:13.0,Turnover by Z. Pachulia (offensive foul),,7,2
10,1,10:04.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),7,4
11,1,9:44.0,D. Green makes 2-pt layup from 1 ft,,9,4
12,1,9:37.0,,E. Gordon misses 3-pt jump shot from 25 ft,9,4
13,1,9:36.0,Defensive rebound by Z. Pachulia,,9,4
14,1,9:25.0,K. Thompson misses 2-pt layup from 1 ft,,9,4
15,1,9:25.0,,Defensive rebound by J. Harden,9,4
16,1,9:18.0,,Turnover by J. Harden (lost ball; steal by D. Green),9,4
17,1,9:15.0,Turnover by S. Curry (bad pass),,9,4
18,1,9:11.0,,Turnover by E. Gordon (lost ball; steal by P. McCaw),9,4
19,1,9:06.0,D. Green makes 2-pt dunk at rim (assist by P. McCaw),,11,4
20,1,8:50.0,,J. Harden makes 2-pt layup at rim,11,6
21,1,8:37.0,Z. Pachulia makes 2-pt layup at rim (assist by S. Curry),,13,6
22,1,8:22.0,,T. Ariza makes 2-pt jump shot from 19 ft,13,8
23,1,8:06.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by Z. Pachulia),,16,8
24,1,7:44.0,,E. Gordon misses 3-pt jump shot from 25 ft,16,8
25,1,7:43.0,Defensive rebound by K. Thompson,,16,8
26,1,7:28.0,S. Curry misses 2-pt jump shot from 8 ft,,16,8
27,1,7:28.0,,Defensive rebound by J. Harden,16,8
28,1,7:19.0,,P. Beverley misses 3-pt jump shot from 24 ft,16,8
29,1,7:18.0,,Offensive rebound by J. Harden,16,8
30,1,7:14.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by J. Harden),16,11
31,1,7:02.0,P. McCaw misses 3-pt jump shot from 24 ft,,16,11
32,1,7:01.0,Offensive rebound by S. Curry,,16,11
33,1,7:00.0,Personal foul by T. Ariza (drawn by S. Curry),,16,11
34,1,7:00.0,Golden State full timeout,,16,11
35,1,6:44.0,K. Thompson makes 2-pt layup at rim (assist by D. Green),,18,11
36,1,6:28.0,,T. Ariza misses 3-pt jump shot from 23 ft,18,11
37,1,6:26.0,Defensive rebound by Z. Pachulia,,18,11
38,1,6:09.0,D. Green makes 3-pt jump shot from 25 ft (assist by P. McCaw),,21,11
39,1,5:57.0,,E. Gordon makes 3-pt jump shot from 24 ft (assist by J. Harden),21,14
40,1,5:34.0,K. Thompson misses 3-pt jump shot from 25 ft,,21,14
41,1,5:33.0,,Defensive rebound by J. Harden,21,14
42,1,5:25.0,,J. Harden misses 3-pt jump shot from 24 ft,21,14
43,1,5:23.0,,Offensive rebound by J. Harden,21,14
44,1,5:20.0,,J. Harden misses 3-pt jump shot from 25 ft,21,14
45,1,5:19.0,Defensive rebound by D. Green,,21,14
46,1,5:07.0,P. McCaw makes 3-pt jump shot from 23 ft (assist by S. Curry),,24,14
47,1,4:57.0,,Shooting foul by Z. Pachulia (drawn by E. Gordon),24,14
48,1,4:57.0,,E. Gordon makes free throw 1 of 2,24,15
49,1,4:57.0,,L. Williams enters the game for P. Beverley,24,15
50,1,4:57.0,J. McAdoo enters the game for P. McCaw,,24,15
51,1,4:57.0,A. Iguodala enters the game for Z. Pachulia,,24,15
52,1,4:57.0,,E. Gordon makes free throw 2 of 2,24,16
53,1,4:44.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),,27,16
54,1,4:33.0,,Turnover by J. Harden (bad pass),27,16
55,1,4:13.0,Turnover by K. Thompson (bad pass; steal by J. Harden),,27,16
56,1,4:11.0,,Personal foul by J. McAdoo (drawn by J. Harden),27,16
57,1,4:11.0,,S. Dekker enters the game for E. Gordon,27,16
58,1,4:11.0,S. Livingston enters the game for K. Thompson,,27,16
59,1,4:03.0,,S. Dekker misses 3-pt jump shot from 25 ft,27,16
60,1,4:02.0,Defensive rebound by S. Curry,,27,16
61,1,3:58.0,S. Curry misses 3-pt jump shot from 25 ft,,27,16
62,1,3:56.0,,Defensive rebound by T. Ariza,27,16
63,1,3:34.0,,J. Harden misses 2-pt layup from 1 ft (block by J. McAdoo),27,16
64,1,3:32.0,Defensive rebound by A. Iguodala,,27,16
65,1,3:29.0,S. Curry makes 2-pt layup from 1 ft (assist by J. McAdoo),,29,16
66,1,3:20.0,,L. Williams misses 2-pt layup from 1 ft,29,16
67,1,3:19.0,Defensive rebound by S. Livingston,,29,16
