,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MILWAUKEE_ACTION,PHOENIX_SCORE,MILWAUKEE_SCORE
0,1,11:39.0,,T. Maker misses 2-pt layup from 1 ft,0,0
1,1,11:37.0,,Offensive rebound by T. Maker,0,0
2,1,11:35.0,,T. Snell makes 2-pt dunk at rim (assist by T. Maker),0,2
3,1,11:12.0,D. Booker misses 2-pt jump shot from 15 ft,,0,2
4,1,11:11.0,,Defensive rebound by G. Antetokounmpo,0,2
5,1,11:03.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,0,2
6,1,11:03.0,Defensive rebound by Team,,0,2
7,1,10:40.0,D. Booker makes 3-pt jump shot from 28 ft (assist by T. Warren),,3,2
8,1,10:26.0,,Turnover by T. Snell (traveling),3,2
9,1,10:07.0,M. Chriss misses 2-pt layup from 1 ft (block by T. Maker),,3,2
10,1,10:05.0,,Defensive rebound by M. Dellavedova,3,2
11,1,9:54.0,,T. Maker misses 3-pt jump shot from 24 ft,3,2
12,1,9:53.0,Defensive rebound by T. Warren,,3,2
13,1,9:38.0,A. Len misses 2-pt hook shot from 6 ft,,3,2
14,1,9:36.0,,Defensive rebound by G. Antetokounmpo,3,2
15,1,9:28.0,,G. Antetokounmpo makes 2-pt jump shot from 17 ft,3,4
16,1,9:11.0,T. Warren makes 2-pt dunk at rim (assist by E. Bledsoe),,5,4
17,1,8:58.0,,T. Snell misses 3-pt jump shot from 25 ft,5,4
18,1,8:56.0,,Offensive rebound by T. Snell,5,4
19,1,8:51.0,,M. Dellavedova misses 3-pt jump shot from 26 ft,5,4
20,1,8:50.0,Defensive rebound by A. Len,,5,4
21,1,8:32.0,T. Warren makes 2-pt layup from 4 ft,,7,4
22,1,8:12.0,,K. Middleton makes 3-pt jump shot from 23 ft (assist by T. Snell),7,7
23,1,8:00.0,E. Bledsoe misses 2-pt jump shot from 4 ft,,7,7
24,1,7:59.0,,Defensive rebound by K. Middleton,7,7
25,1,7:59.0,,Personal foul by E. Bledsoe (drawn by K. Middleton),7,7
26,1,7:44.0,,Shooting foul by T. Warren (drawn by T. Maker),7,7
27,1,7:44.0,,T. Maker makes free throw 1 of 2,7,8
28,1,7:44.0,,T. Maker makes free throw 2 of 2,7,9
29,1,7:33.0,Turnover by E. Bledsoe (bad pass),,7,9
30,1,7:15.0,,K. Middleton misses 2-pt jump shot from 11 ft,7,9
31,1,7:14.0,,Offensive rebound by G. Antetokounmpo,7,9
32,1,7:13.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,7,9
33,1,7:11.0,Defensive rebound by A. Len,,7,9
