,QUARTER,TIME_REMAINING,HOUSTON_ACTION,TORONTO_ACTION,HOUSTON_SCORE,TORONTO_SCORE
0,1,11:42.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft,0,2
1,1,11:17.0,N. Hilário makes 2-pt hook shot from 6 ft (assist by J. Harden),,2,2
2,1,10:52.0,,D. DeRozan misses 2-pt jump shot from 19 ft,2,2
3,1,10:51.0,Defensive rebound by J. Harden,,2,2
4,1,10:41.0,P. Beverley misses 3-pt jump shot from 22 ft,,2,2
5,1,10:40.0,,Defensive rebound by D. DeRozan,2,2
6,1,10:29.0,,N. Powell misses 2-pt layup from 3 ft,2,2
7,1,10:28.0,Defensive rebound by N. Hilário,,2,2
8,1,10:20.0,J. Harden makes 2-pt layup from 2 ft,,4,2
9,1,10:14.0,,Turnover by N. Powell (bad pass; steal by T. Ariza),4,2
10,1,10:08.0,R. Anderson misses 3-pt jump shot from 24 ft,,4,2
11,1,10:07.0,,Defensive rebound by J. Valančiūnas,4,2
12,1,10:03.0,,Shooting foul by N. Hilário (drawn by K. Lowry),4,2
13,1,10:03.0,,K. Lowry makes free throw 1 of 2,4,3
14,1,10:03.0,,K. Lowry misses free throw 2 of 2,4,3
15,1,10:02.0,Defensive rebound by T. Ariza,,4,3
16,1,9:48.0,N. Hilário makes 2-pt jump shot from 15 ft (assist by T. Ariza),,6,3
17,1,9:27.0,,J. Valančiūnas makes 2-pt jump shot from 14 ft (assist by N. Powell),6,5
18,1,9:13.0,Turnover by J. Harden (lost ball; steal by K. Lowry),,6,5
19,1,8:58.0,,D. Carroll misses 3-pt jump shot from 25 ft,6,5
20,1,8:57.0,Defensive rebound by T. Ariza,,6,5
21,1,8:42.0,R. Anderson makes 2-pt layup from 3 ft,,8,5
22,1,8:35.0,,Offensive foul by N. Powell (drawn by N. Hilário),8,5
23,1,8:35.0,,Turnover by N. Powell (offensive foul),8,5
24,1,8:18.0,J. Harden misses 2-pt jump shot from 18 ft (block by D. DeRozan),,8,5
25,1,8:17.0,Offensive rebound by J. Harden,,8,5
26,1,8:14.0,Turnover by J. Harden (bad pass; steal by K. Lowry),,8,5
27,1,7:59.0,,Shooting foul by R. Anderson (drawn by D. DeRozan),8,5
28,1,7:59.0,,D. DeRozan makes free throw 1 of 2,8,6
29,1,7:59.0,,D. DeRozan makes free throw 2 of 2,8,7
30,1,7:46.0,J. Harden misses 2-pt jump shot from 11 ft,,8,7
31,1,7:46.0,,Defensive rebound by D. Carroll,8,7
32,1,7:38.0,,N. Powell makes 3-pt jump shot from 24 ft (assist by K. Lowry),8,10
33,1,7:26.0,J. Harden misses 3-pt jump shot from 24 ft,,8,10
34,1,7:25.0,,Defensive rebound by J. Valančiūnas,8,10
35,1,7:12.0,,Turnover by D. DeRozan (bad pass; steal by J. Harden),8,10
36,1,7:07.0,T. Ariza misses 3-pt jump shot from 25 ft,,8,10
37,1,7:06.0,Offensive rebound by R. Anderson,,8,10
38,1,7:06.0,Shooting foul by K. Lowry (drawn by R. Anderson),,8,10
39,1,7:06.0,R. Anderson makes free throw 1 of 2,,9,10
40,1,7:06.0,R. Anderson makes free throw 2 of 2,,10,10
41,1,6:52.0,,D. DeRozan makes 2-pt jump shot from 16 ft,10,12
42,1,6:42.0,N. Hilário makes 2-pt dunk at rim (assist by T. Ariza),,12,12
43,1,6:18.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by N. Powell),12,15
44,1,6:08.0,Personal foul by N. Powell (drawn by R. Anderson),,12,15
45,1,6:08.0,E. Gordon enters the game for P. Beverley,,12,15
46,1,6:08.0,,P. Patterson enters the game for N. Powell,12,15
