,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,SAN ANTONIO_ACTION,NEW ORLEANS_SCORE,SAN ANTONIO_SCORE
0,1,11:49.0,E. Moore misses 2-pt jump shot from 9 ft,,0,0
1,1,11:48.0,Offensive rebound by Ö. Aşık,,0,0
2,1,11:43.0,T. Frazier makes 3-pt jump shot from 27 ft (assist by Ö. Aşık),,3,0
3,1,11:25.0,,L. Aldridge misses 2-pt jump shot from 19 ft,3,0
4,1,11:22.0,Defensive rebound by Ö. Aşık,,3,0
5,1,11:13.0,S. Hill misses 2-pt jump shot from 8 ft,,3,0
6,1,11:12.0,,Defensive rebound by K. Anderson,3,0
7,1,10:56.0,,K. Anderson misses 2-pt jump shot from 8 ft,3,0
8,1,10:55.0,Defensive rebound by Ö. Aşık,,3,0
9,1,10:47.0,T. Frazier misses 2-pt layup from 1 ft,,3,0
10,1,10:44.0,,Defensive rebound by P. Gasol,3,0
11,1,10:32.0,,P. Mills makes 3-pt jump shot from 27 ft (assist by P. Gasol),3,3
12,1,10:22.0,Turnover by S. Hill (bad pass),,3,3
13,1,10:10.0,,P. Mills makes 2-pt layup from 2 ft (assist by P. Gasol),3,5
14,1,9:55.0,S. Hill misses 3-pt jump shot from 27 ft,,3,5
15,1,9:53.0,,Defensive rebound by L. Aldridge,3,5
16,1,9:45.0,,P. Gasol makes 2-pt layup from 2 ft (assist by P. Mills),3,7
17,1,9:31.0,A. Davis makes 2-pt jump shot from 4 ft (assist by T. Frazier),,5,7
18,1,9:10.0,,K. Leonard misses 2-pt jump shot from 12 ft,5,7
19,1,9:09.0,Defensive rebound by S. Hill,,5,7
20,1,8:53.0,T. Frazier makes 2-pt jump shot from 4 ft,,7,7
21,1,8:38.0,,L. Aldridge misses 2-pt jump shot from 6 ft,7,7
22,1,8:37.0,Defensive rebound by Ö. Aşık,,7,7
23,1,8:28.0,S. Hill misses 2-pt jump shot from 17 ft,,7,7
24,1,8:26.0,,Defensive rebound by P. Gasol,7,7
25,1,8:17.0,,L. Aldridge misses 2-pt layup from 4 ft,7,7
26,1,8:14.0,Defensive rebound by T. Frazier,,7,7
27,1,7:54.0,T. Frazier misses 2-pt jump shot from 4 ft,,7,7
28,1,7:52.0,,Defensive rebound by P. Gasol,7,7
29,1,7:51.0,,Personal foul by S. Hill (drawn by K. Leonard),7,7
30,1,7:37.0,,Turnover by P. Mills (bad pass; steal by S. Hill),7,7
31,1,7:31.0,S. Hill makes 2-pt dunk at rim,,9,7
32,1,7:15.0,,P. Gasol makes 2-pt jump shot from 18 ft (assist by P. Mills),9,9
33,1,7:07.0,E. Moore misses 2-pt jump shot from 4 ft,,9,9
34,1,7:06.0,,Defensive rebound by K. Anderson,9,9
35,1,6:48.0,,P. Gasol makes 3-pt jump shot from 25 ft (assist by K. Anderson),9,12
36,1,6:21.0,A. Davis makes 2-pt jump shot from 13 ft,,11,12
37,1,6:21.0,Shooting foul by L. Aldridge (drawn by A. Davis),,11,12
38,1,6:21.0,A. Davis makes free throw 1 of 1,,12,12
39,1,6:03.0,,K. Leonard misses 2-pt jump shot from 5 ft (block by A. Davis),12,12
40,1,6:03.0,,Offensive rebound by Team,12,12
41,1,5:57.0,,Shooting foul by A. Davis (drawn by L. Aldridge),12,12
42,1,5:57.0,,San Antonio full timeout,12,12
43,1,5:57.0,,L. Aldridge makes free throw 1 of 2,12,13
44,1,5:57.0,,L. Aldridge misses free throw 2 of 2,12,13
45,1,5:55.0,,Offensive rebound by P. Gasol,12,13
46,1,5:39.0,,L. Aldridge makes 2-pt jump shot from 9 ft,12,15
47,1,5:19.0,E. Moore makes 2-pt jump shot from 23 ft (assist by T. Frazier),,14,15
48,1,5:03.0,,L. Aldridge misses 2-pt jump shot from 18 ft,14,15
49,1,5:00.0,Defensive rebound by A. Davis,,14,15
50,1,4:50.0,A. Davis misses 2-pt jump shot from 17 ft,,14,15
51,1,4:49.0,,Defensive rebound by K. Anderson,14,15
