,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,CHICAGO_ACTION,OKLAHOMA CITY_SCORE,CHICAGO_SCORE
0,1,12:00.0,Violation by Team (jump ball),,0,0
1,1,11:42.0,,T. Gibson makes 2-pt hook shot from 10 ft,0,2
2,1,11:22.0,S. Adams makes 2-pt hook shot from 8 ft,,2,2
3,1,11:07.0,,D. Wade misses 2-pt jump shot from 15 ft,2,2
4,1,11:06.0,Defensive rebound by D. Sabonis,,2,2
5,1,11:03.0,Turnover by D. Sabonis (bad pass; steal by T. Gibson),,2,2
6,1,10:48.0,,T. Gibson misses 2-pt jump shot from 10 ft,2,2
7,1,10:45.0,Defensive rebound by R. Westbrook,,2,2
8,1,10:26.0,A. Roberson makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,5,2
9,1,10:03.0,,R. Lopez misses 2-pt jump shot from 18 ft,5,2
10,1,10:02.0,Defensive rebound by R. Westbrook,,5,2
11,1,9:56.0,V. Oladipo misses 2-pt layup from 1 ft,,5,2
12,1,9:55.0,,Defensive rebound by M. Carter-Williams,5,2
13,1,9:45.0,,T. Gibson misses 2-pt jump shot from 16 ft,5,2
14,1,9:44.0,Defensive rebound by R. Westbrook,,5,2
15,1,9:31.0,D. Sabonis misses 3-pt jump shot from 25 ft,,5,2
16,1,9:30.0,,Defensive rebound by J. Butler,5,2
17,1,9:20.0,,D. Wade makes 2-pt layup from 1 ft (assist by J. Butler),5,4
18,1,8:59.0,S. Adams misses 2-pt jump shot from 13 ft,,5,4
19,1,8:58.0,,Defensive rebound by T. Gibson,5,4
20,1,8:38.0,,R. Lopez misses 2-pt hook shot from 5 ft,5,4
21,1,8:37.0,Defensive rebound by D. Sabonis,,5,4
22,1,8:30.0,S. Adams makes 2-pt hook shot from 5 ft (assist by R. Westbrook),,7,4
23,1,8:14.0,,D. Wade makes 2-pt jump shot from 6 ft,7,6
24,1,8:14.0,,Shooting foul by V. Oladipo (drawn by D. Wade),7,6
25,1,8:14.0,,D. Wade makes free throw 1 of 1,7,7
26,1,8:00.0,D. Sabonis makes 2-pt layup from 3 ft,,9,7
27,1,8:00.0,Shooting foul by T. Gibson (drawn by D. Sabonis),,9,7
28,1,8:00.0,D. Sabonis makes free throw 1 of 1,,10,7
29,1,7:44.0,,R. Lopez misses 2-pt hook shot from 9 ft,10,7
30,1,7:43.0,Defensive rebound by R. Westbrook,,10,7
31,1,7:36.0,R. Westbrook misses 2-pt jump shot from 20 ft,,10,7
32,1,7:35.0,,Defensive rebound by T. Gibson,10,7
33,1,7:26.0,,M. Carter-Williams misses 3-pt jump shot from 26 ft,10,7
34,1,7:26.0,Defensive rebound by Team,,10,7
35,1,7:26.0,,Loose ball foul by T. Gibson (drawn by D. Sabonis),10,7
36,1,7:26.0,,N. Mirotić enters the game for T. Gibson,10,7
37,1,7:16.0,Turnover by A. Roberson (bad pass; steal by N. Mirotić),,10,7
38,1,6:58.0,,N. Mirotić makes 3-pt jump shot from 23 ft (assist by D. Wade),10,10
39,1,6:42.0,V. Oladipo makes 2-pt jump shot from 15 ft (assist by R. Westbrook),,12,10
40,1,6:33.0,,Turnover by N. Mirotić (bad pass; steal by V. Oladipo),12,10
41,1,6:31.0,V. Oladipo makes 2-pt dunk at rim,,14,10
42,1,6:31.0,,Chicago full timeout,14,10
43,1,6:15.0,,M. Carter-Williams makes 2-pt jump shot from 5 ft (assist by D. Wade),14,12
44,1,6:15.0,,Shooting foul by D. Sabonis (drawn by M. Carter-Williams),14,12
45,1,6:15.0,,M. Carter-Williams makes free throw 1 of 1,14,13
46,1,5:56.0,R. Westbrook makes 2-pt jump shot from 21 ft (assist by S. Adams),,16,13
47,1,5:29.0,,D. Wade misses 2-pt jump shot from 19 ft,16,13
48,1,5:28.0,,Offensive rebound by R. Lopez,16,13
49,1,5:18.0,,M. Carter-Williams misses 2-pt jump shot from 22 ft,16,13
50,1,5:16.0,Defensive rebound by V. Oladipo,,16,13
51,1,5:10.0,S. Adams makes 2-pt dunk at rim (assist by V. Oladipo),,18,13
52,1,4:52.0,,R. Lopez makes 2-pt jump shot from 18 ft (assist by M. Carter-Williams),18,15
53,1,4:39.0,D. Sabonis misses 3-pt jump shot from 25 ft,,18,15
54,1,4:38.0,,Defensive rebound by R. Lopez,18,15
55,1,4:23.0,,R. Lopez misses 2-pt layup at rim,18,15
56,1,4:22.0,Defensive rebound by S. Adams,,18,15
57,1,4:18.0,Personal take foul by M. Carter-Williams (drawn by S. Adams),,18,15
58,1,4:18.0,,Chicago full timeout,18,15
59,1,4:18.0,,D. McDermott enters the game for D. Wade,18,15
60,1,4:18.0,E. Freedom enters the game for D. Sabonis,,18,15
61,1,3:59.0,E. Freedom makes 2-pt jump shot from 4 ft (assist by R. Westbrook),,20,15
62,1,3:42.0,,J. Butler misses 3-pt jump shot from 25 ft,20,15
63,1,3:41.0,Defensive rebound by R. Westbrook,,20,15
