,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MIAMI_ACTION,CLEVELAND_SCORE,MIAMI_SCORE
0,1,11:40.0,,H. Whiteside misses 2-pt jump shot from 12 ft,0,0
1,1,11:39.0,Defensive rebound by D. Williams,,0,0
2,1,11:24.0,J. Jones misses 3-pt jump shot from 24 ft,,0,0
3,1,11:23.0,,Defensive rebound by H. Whiteside,0,0
4,1,11:14.0,,Turnover by G. Dragić (bad pass; steal by I. Shumpert),0,0
5,1,11:06.0,I. Shumpert makes 3-pt jump shot from 24 ft (assist by D. Williams),,3,0
6,1,10:38.0,,R. McGruder misses 3-pt jump shot from 24 ft,3,0
7,1,10:37.0,Defensive rebound by D. Williams,,3,0
8,1,10:23.0,K. Korver makes 3-pt jump shot from 25 ft (assist by D. Williams),,6,0
9,1,10:08.0,,G. Dragić makes 3-pt jump shot from 25 ft,6,3
10,1,9:54.0,T. Thompson makes 2-pt dunk at rim (assist by K. Korver),,8,3
11,1,9:37.0,,D. Waiters misses 2-pt jump shot from 16 ft,8,3
12,1,9:36.0,,Offensive rebound by G. Dragić,8,3
13,1,9:26.0,,Shooting foul by K. Korver (drawn by R. McGruder),8,3
14,1,9:26.0,,R. McGruder misses free throw 1 of 3,8,3
15,1,9:26.0,,Offensive rebound by Team,8,3
16,1,9:26.0,,R. McGruder makes free throw 2 of 3,8,4
17,1,9:26.0,,R. McGruder makes free throw 3 of 3,8,5
18,1,9:03.0,Personal foul by D. Waiters (drawn by I. Shumpert),,8,5
19,1,8:56.0,K. Korver misses 3-pt jump shot from 24 ft,,8,5
20,1,8:55.0,,Defensive rebound by H. Whiteside,8,5
21,1,8:45.0,,Turnover by D. Waiters (bad pass; steal by J. Jones),8,5
22,1,8:35.0,Personal foul by L. Babbitt (drawn by D. Williams),,8,5
23,1,8:27.0,T. Thompson makes 2-pt dunk at rim (assist by I. Shumpert),,10,5
24,1,8:10.0,,L. Babbitt makes 3-pt jump shot from 26 ft (assist by G. Dragić),10,8
25,1,7:47.0,D. Williams makes 2-pt jump shot from 19 ft (assist by T. Thompson),,12,8
26,1,7:26.0,,H. Whiteside makes 2-pt hook shot from 10 ft,12,10
27,1,7:17.0,D. Williams makes 2-pt jump shot from 9 ft,,14,10
28,1,6:59.0,,H. Whiteside misses 2-pt jump shot from 13 ft,14,10
29,1,6:58.0,Defensive rebound by J. Jones,,14,10
30,1,6:46.0,I. Shumpert makes 2-pt jump shot from 14 ft,,16,10
31,1,6:32.0,,D. Waiters misses 2-pt jump shot from 20 ft,16,10
32,1,6:31.0,Defensive rebound by K. Korver,,16,10
33,1,6:15.0,T. Thompson makes 2-pt hook shot from 4 ft,,18,10
34,1,6:10.0,,Miami full timeout,18,10
35,1,6:10.0,,T. Johnson enters the game for L. Babbitt,18,10
36,1,6:10.0,,J. Johnson enters the game for D. Waiters,18,10
37,1,6:01.0,,T. Johnson makes 3-pt jump shot from 25 ft (assist by G. Dragić),18,13
38,1,5:44.0,K. Korver makes 3-pt jump shot from 25 ft (assist by D. Williams),,21,13
39,1,5:36.0,,G. Dragić makes 2-pt jump shot from 15 ft,21,15
40,1,5:19.0,T. Thompson makes 2-pt jump shot from 12 ft,,23,15
41,1,5:11.0,,Turnover by G. Dragić (step out of bounds),23,15
42,1,5:11.0,D. Williams enters the game for J. Jones,,23,15
43,1,5:00.0,K. Korver misses 2-pt jump shot from 19 ft,,23,15
44,1,4:59.0,,Defensive rebound by T. Johnson,23,15
45,1,4:46.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by R. McGruder),23,18
46,1,4:31.0,D. Williams misses 2-pt jump shot from 17 ft,,23,18
47,1,4:30.0,,Defensive rebound by T. Johnson,23,18
48,1,4:22.0,,G. Dragić makes 2-pt jump shot from 10 ft,23,20
49,1,4:22.0,Cleveland full timeout,,23,20
50,1,4:22.0,,J. Richardson enters the game for R. McGruder,23,20
51,1,4:22.0,D. Liggins enters the game for D. Williams,,23,20
52,1,4:10.0,Shooting foul by J. Johnson (drawn by D. Williams),,23,20
53,1,4:10.0,D. Williams makes free throw 1 of 2,,24,20
54,1,4:10.0,D. Williams misses free throw 2 of 2,,24,20
55,1,4:09.0,,Defensive rebound by H. Whiteside,24,20
56,1,3:52.0,,T. Johnson misses 2-pt jump shot from 22 ft,24,20
57,1,3:51.0,Defensive rebound by D. Williams,,24,20
58,1,3:46.0,Offensive foul by D. Liggins (drawn by T. Johnson),,24,20
59,1,3:46.0,Turnover by D. Liggins (offensive foul),,24,20
60,1,3:46.0,R. Jefferson enters the game for K. Korver,,24,20
61,1,3:27.0,,J. Johnson makes 2-pt layup from 2 ft,24,22
62,1,3:14.0,I. Shumpert makes 2-pt layup from 2 ft,,26,22
63,1,3:14.0,,Violation by T. Johnson (def goaltending),26,22
64,1,3:01.0,,G. Dragić misses 2-pt layup from 1 ft,26,22
65,1,3:00.0,,Offensive rebound by H. Whiteside,26,22
66,1,2:59.0,,H. Whiteside makes 2-pt layup from 1 ft,26,24
67,1,2:44.0,I. Shumpert misses 2-pt jump shot from 19 ft,,26,24
68,1,2:43.0,,Defensive rebound by H. Whiteside,26,24
69,1,2:21.0,,J. Johnson misses 3-pt jump shot from 25 ft,26,24
70,1,2:20.0,Defensive rebound by D. Williams,,26,24
71,1,2:18.0,Shooting block foul by T. Johnson (drawn by D. Williams),,26,24
72,1,2:18.0,D. Williams makes free throw 1 of 2,,27,24
73,1,2:18.0,,W. Ellington enters the game for G. Dragić,27,24
74,1,2:18.0,C. Frye enters the game for T. Thompson,,27,24
75,1,2:18.0,,O. White enters the game for H. Whiteside,27,24
76,1,2:18.0,D. Williams makes free throw 2 of 2,,28,24
77,1,2:03.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by J. Johnson),28,27
78,1,1:49.0,Shooting foul by W. Ellington (drawn by I. Shumpert),,28,27
79,1,1:49.0,I. Shumpert makes free throw 1 of 2,,29,27
80,1,1:49.0,I. Shumpert makes free throw 2 of 2,,30,27
81,1,1:41.0,,J. Johnson makes 2-pt jump shot from 12 ft,30,29
82,1,1:41.0,,Shooting foul by R. Jefferson (drawn by J. Johnson),30,29
83,1,1:41.0,,J. Johnson makes free throw 1 of 1,30,30
84,1,1:24.0,C. Frye misses 2-pt jump shot from 20 ft,,30,30
85,1,1:23.0,,Defensive rebound by J. Richardson,30,30
86,1,1:04.0,,J. Richardson makes 2-pt jump shot from 12 ft,30,32
87,1,0:50.0,R. Jefferson makes 2-pt jump shot from 8 ft,,32,32
88,1,0:38.0,,J. Johnson misses 2-pt jump shot from 16 ft,32,32
89,1,0:36.0,,Offensive rebound by O. White,32,32
90,1,0:36.0,,O. White misses 2-pt layup from 1 ft,32,32
91,1,0:35.0,Defensive rebound by C. Frye,,32,32
92,1,0:32.0,,Offensive charge foul by D. Liggins (drawn by T. Johnson),32,32
93,1,0:32.0,Turnover by D. Liggins (offensive foul),,32,32
94,1,0:12.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by T. Johnson),32,35
95,1,0:00.0,R. Jefferson makes 3-pt jump shot from 23 ft (assist by I. Shumpert),,35,35
96,2,11:45.0,R. Jefferson makes 2-pt layup from 2 ft,,37,35
97,2,11:24.0,,Turnover by J. Johnson (bad pass; steal by C. Frye),37,35
98,2,11:15.0,Turnover by I. Shumpert (bad pass; steal by T. Johnson),,37,35
99,2,11:11.0,,T. Johnson makes 2-pt dunk at rim,37,37
100,2,10:59.0,D. Williams misses 2-pt layup from 1 ft,,37,37
101,2,10:58.0,,Defensive rebound by O. White,37,37
102,2,10:44.0,,T. Johnson makes 3-pt jump shot from 25 ft,37,40
103,2,10:33.0,Offensive foul by C. Frye (drawn by T. Johnson),,37,40
104,2,10:33.0,Turnover by C. Frye (offensive foul),,37,40
105,2,10:33.0,K. Korver enters the game for I. Shumpert,,37,40
106,2,10:16.0,,O. White misses 2-pt jump shot from 15 ft,37,40
107,2,10:15.0,,Offensive rebound by J. Richardson,37,40
108,2,10:03.0,,T. Johnson misses 2-pt layup from 1 ft,37,40
109,2,10:03.0,,Offensive rebound by O. White,37,40
