,QUARTER,TIME_REMAINING,INDIANA_ACTION,BROOKLYN_ACTION,INDIANA_SCORE,BROOKLYN_SCORE
0,1,11:46.0,M. Turner misses 2-pt layup from 3 ft,,0,0
1,1,11:45.0,,Defensive rebound by T. Booker,0,0
2,1,11:25.0,,B. Lopez makes 2-pt jump shot from 7 ft (assist by T. Booker),0,2
3,1,11:13.0,Turnover by J. Teague (bad pass),,0,2
4,1,10:58.0,,B. Lopez misses 3-pt jump shot from 25 ft,0,2
5,1,10:56.0,Defensive rebound by P. George,,0,2
6,1,10:43.0,T. Young misses 2-pt layup from 3 ft,,0,2
7,1,10:41.0,Offensive rebound by M. Turner,,0,2
8,1,10:40.0,M. Turner makes 2-pt layup from 2 ft,,2,2
9,1,10:33.0,,Personal foul by J. Teague (drawn by J. Lin),2,2
10,1,10:28.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by T. Young),2,2
11,1,10:27.0,Defensive rebound by Team,,2,2
12,1,10:19.0,M. Turner misses 2-pt jump shot from 9 ft,,2,2
13,1,10:17.0,Offensive rebound by P. George,,2,2
14,1,10:16.0,P. George misses 2-pt layup from 1 ft,,2,2
15,1,10:13.0,,Defensive rebound by T. Booker,2,2
16,1,10:03.0,,J. Lin misses 2-pt layup from 2 ft,2,2
17,1,10:02.0,Defensive rebound by T. Young,,2,2
18,1,9:51.0,M. Turner makes 2-pt jump shot from 4 ft (assist by J. Teague),,4,2
19,1,9:51.0,Shooting foul by T. Booker (drawn by M. Turner),,4,2
20,1,9:51.0,M. Turner makes free throw 1 of 1,,5,2
21,1,9:30.0,,J. Lin misses 3-pt jump shot from 24 ft,5,2
22,1,9:28.0,Defensive rebound by T. Young,,5,2
23,1,9:14.0,T. Young makes 2-pt jump shot from 5 ft (assist by J. Teague),,7,2
24,1,9:04.0,,B. Bogdanović misses 2-pt jump shot from 24 ft,7,2
25,1,9:03.0,Defensive rebound by T. Young,,7,2
26,1,8:53.0,J. Teague misses 3-pt jump shot from 24 ft,,7,2
27,1,8:52.0,,Defensive rebound by T. Booker,7,2
28,1,8:46.0,,T. Booker makes 2-pt layup from 1 ft,7,4
29,1,8:27.0,P. George makes 3-pt jump shot from 25 ft (assist by J. Teague),,10,4
30,1,8:18.0,,Personal foul by J. Teague (drawn by B. Lopez),10,4
31,1,8:18.0,R. Stuckey enters the game for J. Teague,,10,4
32,1,8:13.0,,T. Booker makes 2-pt layup from 1 ft (assist by J. Lin),10,6
33,1,7:53.0,P. George misses 2-pt layup from 3 ft,,10,6
34,1,7:52.0,,Defensive rebound by B. Lopez,10,6
35,1,7:47.0,,Shooting foul by M. Ellis (drawn by J. Lin),10,6
36,1,7:47.0,,J. Lin makes free throw 1 of 2,10,7
37,1,7:47.0,,J. Lin makes free throw 2 of 2,10,8
38,1,7:35.0,M. Turner misses 2-pt jump shot from 18 ft,,10,8
39,1,7:34.0,Offensive rebound by T. Young,,10,8
40,1,7:20.0,T. Young makes 3-pt jump shot from 23 ft (assist by M. Ellis),,13,8
41,1,7:03.0,,B. Lopez misses 3-pt jump shot from 25 ft,13,8
42,1,7:02.0,Defensive rebound by P. George,,13,8
43,1,7:00.0,P. George makes 2-pt layup from 3 ft,,15,8
44,1,7:00.0,Shooting foul by R. Hollis-Jefferson (drawn by P. George),,15,8
45,1,7:00.0,,L. Scola enters the game for T. Booker,15,8
46,1,7:00.0,,J. Hamilton enters the game for B. Lopez,15,8
47,1,7:00.0,P. George makes free throw 1 of 1,,16,8
48,1,6:49.0,,J. Lin makes 2-pt jump shot from 21 ft,16,10
49,1,6:40.0,Personal foul by L. Scola (drawn by M. Turner),,16,10
50,1,6:31.0,P. George misses 2-pt jump shot from 15 ft,,16,10
51,1,6:30.0,Offensive rebound by M. Turner,,16,10
52,1,6:25.0,M. Ellis makes 2-pt layup from 4 ft (assist by R. Stuckey),,18,10
53,1,6:05.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by L. Scola),18,12
54,1,6:00.0,Personal foul by B. Bogdanović (drawn by R. Stuckey),,18,12
55,1,5:49.0,M. Ellis misses 2-pt jump shot from 20 ft,,18,12
56,1,5:48.0,Offensive rebound by M. Turner,,18,12
57,1,5:42.0,T. Young misses 2-pt jump shot from 22 ft,,18,12
58,1,5:40.0,,Defensive rebound by J. Hamilton,18,12
59,1,5:35.0,,Personal foul by P. George (drawn by J. Lin),18,12
60,1,5:35.0,,Brooklyn full timeout,18,12
61,1,5:35.0,,J. Harris enters the game for J. Lin,18,12
62,1,5:35.0,,G. Vásquez enters the game for B. Bogdanović,18,12
63,1,5:29.0,,J. Harris misses 3-pt jump shot from 24 ft,18,12
64,1,5:27.0,Defensive rebound by M. Turner,,18,12
65,1,5:17.0,M. Ellis makes 2-pt layup from 2 ft (assist by T. Young),,20,12
66,1,4:59.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft,20,12
67,1,4:56.0,Defensive rebound by R. Stuckey,,20,12
68,1,4:48.0,R. Stuckey misses 2-pt jump shot from 5 ft,,20,12
69,1,4:47.0,,Defensive rebound by J. Harris,20,12
70,1,4:38.0,,R. Hollis-Jefferson misses 3-pt jump shot from 25 ft,20,12
71,1,4:37.0,Defensive rebound by M. Turner,,20,12
72,1,4:35.0,Indiana full timeout,,20,12
73,1,4:35.0,J. Young enters the game for R. Stuckey,,20,12
74,1,4:35.0,L. Allen enters the game for T. Young,,20,12
75,1,4:22.0,P. George misses 2-pt jump shot from 5 ft,,20,12
76,1,4:21.0,,Defensive rebound by R. Hollis-Jefferson,20,12
77,1,4:06.0,,L. Scola misses 3-pt jump shot from 26 ft,20,12
78,1,4:05.0,Defensive rebound by P. George,,20,12
79,1,3:49.0,Turnover by M. Ellis (bad pass; steal by L. Scola),,20,12
80,1,3:42.0,,R. Hollis-Jefferson misses 3-pt jump shot from 24 ft,20,12
81,1,3:41.0,Defensive rebound by M. Turner,,20,12
82,1,3:34.0,M. Ellis misses 2-pt jump shot from 7 ft,,20,12
83,1,3:34.0,Offensive rebound by Team,,20,12
84,1,3:34.0,,Loose ball foul by G. Vásquez (drawn by L. Allen),20,12
85,1,3:34.0,L. Allen misses free throw 1 of 2,,20,12
86,1,3:34.0,Offensive rebound by Team,,20,12
87,1,3:34.0,L. Allen misses free throw 2 of 2,,20,12
88,1,3:34.0,,S. Kilpatrick enters the game for R. Hollis-Jefferson,20,12
89,1,3:34.0,A. Jefferson enters the game for M. Turner,,20,12
90,1,3:33.0,,Defensive rebound by L. Scola,20,12
91,1,3:20.0,,J. Harris misses 3-pt jump shot from 24 ft,20,12
92,1,3:19.0,Defensive rebound by A. Jefferson,,20,12
93,1,3:07.0,M. Ellis makes 2-pt jump shot from 19 ft (assist by A. Jefferson),,22,12
94,1,2:46.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by J. Hamilton),22,15
95,1,2:33.0,J. Young misses 2-pt jump shot from 18 ft,,22,15
96,1,2:31.0,,Defensive rebound by J. Hamilton,22,15
97,1,2:24.0,,L. Scola misses 2-pt jump shot from 6 ft (block by A. Jefferson),22,15
98,1,2:23.0,Defensive rebound by A. Jefferson,,22,15
99,1,2:10.0,L. Allen misses 3-pt jump shot from 25 ft,,22,15
100,1,2:09.0,,Defensive rebound by S. Kilpatrick,22,15
101,1,1:56.0,,J. Hamilton misses 3-pt jump shot from 25 ft,22,15
102,1,1:55.0,,Offensive rebound by L. Scola,22,15
103,1,1:48.0,,G. Vásquez misses 2-pt jump shot from 7 ft (block by L. Allen),22,15
104,1,1:46.0,,Offensive rebound by S. Kilpatrick,22,15
105,1,1:44.0,,S. Kilpatrick misses 2-pt layup from 3 ft,22,15
106,1,1:42.0,,Offensive rebound by J. Hamilton,22,15
107,1,1:40.0,,J. Hamilton makes 2-pt layup from 2 ft,22,17
108,1,1:37.0,Turnover by M. Ellis (bad pass),,22,17
109,1,1:37.0,,J. Lin enters the game for G. Vásquez,22,17
110,1,1:37.0,,T. Booker enters the game for L. Scola,22,17
111,1,1:37.0,C. Miles enters the game for M. Ellis,,22,17
112,1,1:25.0,,J. Harris misses 2-pt layup from 1 ft,22,17
113,1,1:24.0,Defensive rebound by L. Allen,,22,17
114,1,1:05.0,A. Jefferson makes 2-pt layup from 2 ft,,24,17
115,1,0:53.0,,Turnover by S. Kilpatrick (step out of bounds),24,17
116,1,0:36.0,Def 3 sec tech foul by S. Kilpatrick,,24,17
117,1,0:36.0,P. George makes technical free throw,,25,17
118,1,0:33.0,C. Miles makes 2-pt dunk at rim (assist by A. Jefferson),,27,17
119,1,0:13.0,,J. Lin makes 3-pt jump shot from 26 ft,27,20
120,1,0:02.0,J. Young misses 2-pt jump shot from 19 ft,,27,20
121,1,0:01.0,,Defensive rebound by J. Hamilton,27,20
122,2,11:47.0,,B. Lopez makes 2-pt jump shot from 6 ft,27,22
123,2,11:33.0,Turnover by A. Jefferson (lost ball; steal by B. Lopez),,27,22
124,2,11:29.0,,S. Kilpatrick makes 2-pt dunk at rim (assist by J. Lin),27,24
125,2,11:12.0,C. Miles makes 3-pt jump shot from 26 ft (assist by J. Young),,30,24
126,2,11:03.0,,Shooting foul by A. Jefferson (drawn by B. Lopez),30,24
127,2,11:03.0,,B. Lopez makes free throw 1 of 2,30,25
128,2,11:03.0,,B. Lopez makes free throw 2 of 2,30,26
129,2,10:52.0,Personal foul by B. Bogdanović (drawn by G. Robinson),,30,26
130,2,10:38.0,L. Allen misses 2-pt jump shot from 20 ft,,30,26
131,2,10:37.0,,Defensive rebound by Team,30,26
132,2,10:26.0,,B. Lopez makes 2-pt layup from 3 ft,30,28
133,2,10:13.0,A. Jefferson misses 2-pt layup from 1 ft,,30,28
134,2,10:12.0,,Defensive rebound by T. Booker,30,28
135,2,10:08.0,,Turnover by T. Booker (bad pass),30,28
136,2,10:08.0,T. Young enters the game for L. Allen,,30,28
137,2,9:52.0,J. Young misses 2-pt layup from 1 ft,,30,28
138,2,9:51.0,,Defensive rebound by Team,30,28
139,2,9:51.0,J. Teague enters the game for J. Young,,30,28
140,2,9:38.0,,S. Kilpatrick makes 3-pt jump shot from 26 ft (assist by B. Lopez),30,31
141,2,9:24.0,J. Teague makes 2-pt jump shot from 13 ft,,32,31
142,2,9:05.0,,B. Lopez misses 3-pt jump shot from 25 ft,32,31
143,2,9:04.0,Defensive rebound by C. Miles,,32,31
144,2,8:53.0,T. Young misses 2-pt hook shot from 8 ft,,32,31
145,2,8:52.0,Offensive rebound by G. Robinson,,32,31
146,2,8:50.0,G. Robinson misses 2-pt jump shot from 7 ft,,32,31
147,2,8:49.0,Offensive rebound by Team,,32,31
148,2,8:49.0,Official timeout,,32,31
149,2,8:37.0,Turnover by A. Jefferson (lost ball),,32,31
150,2,8:16.0,,B. Lopez makes 2-pt dunk at rim (assist by J. Lin),32,33
151,2,8:02.0,T. Young makes 2-pt layup from 3 ft (assist by J. Teague),,34,33
152,2,7:46.0,,Turnover by B. Lopez (bad pass; steal by G. Robinson),34,33
153,2,7:39.0,C. Miles makes 2-pt layup from 2 ft (assist by G. Robinson),,36,33
154,2,7:39.0,Shooting foul by B. Bogdanović (drawn by C. Miles),,36,33
155,2,7:39.0,M. Turner enters the game for A. Jefferson,,36,33
156,2,7:39.0,,J. Hamilton enters the game for T. Booker,36,33
157,2,7:39.0,,G. Vásquez enters the game for J. Lin,36,33
158,2,7:39.0,C. Miles makes free throw 1 of 1,,37,33
159,2,7:32.0,,Turnover by B. Lopez (3 sec),37,33
160,2,7:32.0,,J. Harris enters the game for B. Bogdanović,37,33
161,2,7:21.0,C. Miles misses 3-pt jump shot from 25 ft,,37,33
162,2,7:20.0,,Defensive rebound by S. Kilpatrick,37,33
163,2,7:08.0,,B. Lopez misses 2-pt layup from 3 ft,37,33
164,2,7:07.0,Defensive rebound by Team,,37,33
165,2,6:59.0,Personal foul by G. Vásquez (drawn by J. Teague),,37,33
166,2,6:59.0,,L. Scola enters the game for B. Lopez,37,33
167,2,6:53.0,G. Robinson makes 2-pt dunk at rim (assist by T. Young),,39,33
168,2,6:38.0,,S. Kilpatrick makes 3-pt jump shot from 27 ft (assist by G. Vásquez),39,36
169,2,6:22.0,G. Robinson misses 2-pt jump shot from 20 ft,,39,36
170,2,6:21.0,,Defensive rebound by G. Vásquez,39,36
171,2,6:19.0,Offensive charge foul by S. Kilpatrick (drawn by C. Miles),,39,36
172,2,6:19.0,,Turnover by S. Kilpatrick (offensive foul),39,36
173,2,6:07.0,J. Teague misses 2-pt jump shot from 17 ft,,39,36
174,2,6:06.0,Offensive rebound by C. Miles,,39,36
175,2,6:04.0,Turnover by C. Miles (bad pass),,39,36
176,2,5:49.0,,Brooklyn full timeout,39,36
177,2,5:49.0,,R. Hollis-Jefferson enters the game for J. Harris,39,36
178,2,5:49.0,M. Ellis enters the game for C. Miles,,39,36
179,2,5:49.0,P. George enters the game for G. Robinson,,39,36
180,2,5:37.0,,R. Hollis-Jefferson makes 2-pt jump shot from 15 ft,39,38
