,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,GOLDEN STATE_ACTION,MILWAUKEE_SCORE,GOLDEN STATE_SCORE
0,1,11:36.0,G. Antetokounmpo misses 2-pt jump shot from 10 ft,,0,0
1,1,11:35.0,Offensive rebound by T. Maker,,0,0
2,1,11:27.0,K. Middleton misses 2-pt hook shot from 5 ft,,0,0
3,1,11:27.0,Offensive rebound by T. Maker,,0,0
4,1,11:26.0,T. Maker makes 2-pt layup from 1 ft,,2,0
5,1,11:05.0,,Shooting foul by T. Maker (drawn by Z. Pachulia),2,0
6,1,11:05.0,,Z. Pachulia misses free throw 1 of 2,2,0
7,1,11:05.0,,Offensive rebound by Team,2,0
8,1,11:05.0,,Z. Pachulia makes free throw 2 of 2,2,1
9,1,10:48.0,M. Brogdon makes 3-pt jump shot from 24 ft (assist by T. Maker),,5,1
10,1,10:35.0,,P. McCaw makes 2-pt dunk at rim (assist by Z. Pachulia),5,3
11,1,10:21.0,T. Snell makes 3-pt jump shot from 25 ft (assist by K. Middleton),,8,3
12,1,10:04.0,,K. Thompson misses 2-pt layup from 2 ft,8,3
13,1,10:03.0,Defensive rebound by T. Snell,,8,3
14,1,9:43.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by T. Snell),,10,3
15,1,9:23.0,,Z. Pachulia makes 2-pt layup from 2 ft (assist by D. Green),10,5
16,1,9:17.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,10,5
17,1,9:14.0,,Defensive rebound by S. Curry,10,5
18,1,9:10.0,,S. Curry misses 2-pt layup from 2 ft (block by T. Maker),10,5
19,1,9:10.0,,Offensive rebound by Team,10,5
20,1,9:10.0,,Personal foul by T. Snell (drawn by K. Thompson),10,5
21,1,9:05.0,,Z. Pachulia misses 2-pt layup from 2 ft (block by G. Antetokounmpo),10,5
22,1,9:05.0,Defensive rebound by G. Antetokounmpo,,10,5
23,1,9:01.0,Shooting foul by K. Thompson (drawn by G. Antetokounmpo),,10,5
24,1,9:01.0,G. Antetokounmpo misses free throw 1 of 2,,10,5
25,1,9:01.0,Offensive rebound by Team,,10,5
26,1,9:01.0,G. Antetokounmpo makes free throw 2 of 2,,11,5
27,1,8:52.0,,Personal foul by M. Brogdon (drawn by S. Curry),11,5
28,1,8:46.0,,Turnover by S. Curry (bad pass; steal by G. Antetokounmpo),11,5
29,1,8:39.0,T. Maker makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,13,5
30,1,8:38.0,,Golden State full timeout,13,5
31,1,8:19.0,,D. Green misses 2-pt jump shot from 10 ft,13,5
32,1,8:18.0,Defensive rebound by K. Middleton,,13,5
33,1,8:14.0,Shooting foul by Z. Pachulia (drawn by T. Maker),,13,5
34,1,8:14.0,T. Maker makes free throw 1 of 2,,14,5
35,1,8:14.0,,A. Iguodala enters the game for P. McCaw,14,5
36,1,8:14.0,T. Maker makes free throw 2 of 2,,15,5
37,1,7:52.0,,A. Iguodala misses 2-pt jump shot from 17 ft,15,5
38,1,7:52.0,Defensive rebound by T. Maker,,15,5
39,1,7:39.0,G. Antetokounmpo makes 2-pt jump shot from 20 ft,,17,5
40,1,7:31.0,Violation by T. Maker (kicked ball),,17,5
41,1,7:31.0,G. Monroe enters the game for T. Maker,,17,5
42,1,7:31.0,M. Teletović enters the game for G. Antetokounmpo,,17,5
43,1,7:21.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by S. Curry),17,7
44,1,6:57.0,Turnover by K. Middleton (bad pass; steal by D. Green),,17,7
45,1,6:51.0,,S. Curry makes 2-pt layup from 2 ft (assist by D. Green),17,9
46,1,6:28.0,G. Monroe makes 2-pt layup from 1 ft,,19,9
47,1,6:20.0,,D. Green misses 2-pt jump shot from 12 ft,19,9
48,1,6:19.0,Defensive rebound by K. Middleton,,19,9
49,1,6:03.0,K. Middleton makes 2-pt jump shot from 19 ft,,21,9
50,1,5:50.0,,Z. Pachulia misses 2-pt layup from 2 ft,21,9
51,1,5:50.0,Defensive rebound by G. Monroe,,21,9
52,1,5:40.0,G. Monroe makes 2-pt layup from 2 ft (assist by K. Middleton),,23,9
53,1,5:40.0,,Golden State full timeout,23,9
54,1,5:40.0,,J. McGee enters the game for Z. Pachulia,23,9
55,1,5:40.0,,S. Livingston enters the game for D. Green,23,9
56,1,5:22.0,,A. Iguodala makes 2-pt jump shot from 11 ft (assist by S. Livingston),23,11
57,1,5:05.0,T. Snell makes 2-pt layup from 3 ft (assist by M. Brogdon),,25,11
58,1,4:53.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by S. Livingston),25,14
59,1,4:34.0,G. Monroe makes 2-pt layup from 3 ft (assist by K. Middleton),,27,14
60,1,4:19.0,,A. Iguodala misses 3-pt jump shot from 26 ft,27,14
61,1,4:19.0,Defensive rebound by M. Brogdon,,27,14
62,1,3:59.0,Turnover by G. Monroe (lost ball; steal by S. Curry),,27,14
63,1,3:58.0,,Personal foul by M. Teletović (drawn by K. Thompson),27,14
64,1,3:58.0,M. Dellavedova enters the game for M. Brogdon,,27,14
65,1,3:58.0,,D. Green enters the game for K. Thompson,27,14
66,1,3:45.0,,A. Iguodala makes 2-pt dunk at rim (assist by D. Green),27,16
67,1,3:29.0,G. Monroe misses 2-pt jump shot from 4 ft (block by J. McGee),,27,16
68,1,3:28.0,,Defensive rebound by S. Livingston,27,16
69,1,3:22.0,,S. Curry misses 3-pt jump shot from 27 ft,27,16
70,1,3:22.0,Defensive rebound by Team,,27,16
71,1,3:20.0,G. Antetokounmpo enters the game for K. Middleton,,27,16
72,1,3:14.0,Personal foul by S. Curry (drawn by G. Antetokounmpo),,27,16
73,1,3:03.0,M. Teletović misses 3-pt jump shot from 28 ft,,27,16
74,1,3:03.0,Offensive rebound by G. Monroe,,27,16
75,1,2:58.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,27,16
76,1,2:56.0,Offensive rebound by Team,,27,16
77,1,2:56.0,,Loose ball foul by S. Livingston (drawn by G. Antetokounmpo),27,16
78,1,2:56.0,Milwaukee full timeout,,27,16
79,1,2:47.0,T. Snell misses 3-pt jump shot from 26 ft,,27,16
80,1,2:47.0,Offensive rebound by G. Monroe,,27,16
81,1,2:43.0,Turnover by T. Snell (lost ball),,27,16
82,1,2:20.0,,Turnover by A. Iguodala (bad pass; steal by G. Monroe),27,16
83,1,2:11.0,Turnover by G. Monroe (bad pass; steal by S. Livingston),,27,16
84,1,2:00.0,,J. McGee makes 2-pt dunk at rim (assist by D. Green),27,18
85,1,1:40.0,M. Dellavedova misses 3-pt jump shot from 26 ft,,27,18
86,1,1:40.0,,Defensive rebound by J. McGee,27,18
