,QUARTER,TIME_REMAINING,MIAMI_ACTION,BOSTON_ACTION,MIAMI_SCORE,BOSTON_SCORE
0,1,11:40.0,L. Babbitt misses 3-pt jump shot from 26 ft,,0,0
1,1,11:39.0,,Defensive rebound by J. Crowder,0,0
2,1,11:24.0,,J. Crowder makes 2-pt layup from 2 ft (assist by A. Horford),0,2
3,1,11:13.0,G. Dragić misses 2-pt jump shot from 9 ft,,0,2
4,1,11:12.0,Offensive rebound by H. Whiteside,,0,2
5,1,11:12.0,H. Whiteside makes 2-pt dunk at rim,,2,2
6,1,10:56.0,,J. Crowder misses 2-pt jump shot from 22 ft,2,2
7,1,10:55.0,Defensive rebound by L. Babbitt,,2,2
8,1,10:46.0,L. Babbitt misses 3-pt jump shot from 27 ft,,2,2
9,1,10:45.0,Offensive rebound by G. Dragić,,2,2
10,1,10:41.0,R. McGruder misses 3-pt jump shot from 26 ft,,2,2
11,1,10:40.0,,Defensive rebound by A. Johnson,2,2
12,1,10:19.0,,A. Bradley misses 3-pt jump shot from 26 ft,2,2
13,1,10:18.0,Defensive rebound by L. Babbitt,,2,2
14,1,9:58.0,G. Dragić misses 3-pt jump shot from 26 ft,,2,2
15,1,9:57.0,,Defensive rebound by A. Johnson,2,2
16,1,9:48.0,,I. Thomas misses 3-pt jump shot from 25 ft,2,2
17,1,9:47.0,Defensive rebound by R. McGruder,,2,2
18,1,9:34.0,Shooting foul by I. Thomas (drawn by R. McGruder),,2,2
19,1,9:34.0,R. McGruder makes free throw 1 of 2,,3,2
20,1,9:34.0,R. McGruder misses free throw 2 of 2,,3,2
21,1,9:34.0,,Defensive rebound by A. Horford,3,2
22,1,9:20.0,,A. Horford misses 2-pt jump shot from 15 ft,3,2
23,1,9:16.0,Defensive rebound by H. Whiteside,,3,2
24,1,9:00.0,H. Whiteside makes 2-pt hook shot from 12 ft,,5,2
25,1,9:00.0,Shooting foul by A. Johnson (drawn by H. Whiteside),,5,2
26,1,9:00.0,H. Whiteside makes free throw 1 of 1,,6,2
27,1,8:49.0,,Shooting foul by G. Dragić (drawn by J. Crowder),6,2
28,1,8:49.0,,J. Crowder misses free throw 1 of 2,6,2
29,1,8:49.0,,Offensive rebound by Team,6,2
30,1,8:49.0,,J. Crowder makes free throw 2 of 2,6,3
31,1,8:36.0,H. Whiteside misses 2-pt layup from 1 ft,,6,3
32,1,8:36.0,Offensive rebound by H. Whiteside,,6,3
33,1,8:36.0,G. Dragić misses 2-pt layup from 2 ft,,6,3
34,1,8:35.0,Offensive rebound by H. Whiteside,,6,3
35,1,8:35.0,H. Whiteside misses 2-pt layup from 1 ft,,6,3
36,1,8:33.0,,Defensive rebound by A. Johnson,6,3
37,1,8:28.0,,Turnover by J. Crowder (bad pass),6,3
38,1,8:12.0,Turnover by H. Whiteside (traveling),,6,3
39,1,7:55.0,,J. Crowder misses 2-pt layup from 1 ft,6,3
40,1,7:54.0,Defensive rebound by H. Whiteside,,6,3
41,1,7:48.0,G. Dragić makes 2-pt layup from 2 ft,,8,3
42,1,7:48.0,,Boston full timeout,8,3
43,1,7:41.0,,Turnover by J. Crowder (bad pass; steal by J. Richardson),8,3
44,1,7:36.0,J. Richardson makes 2-pt dunk at rim,,10,3
45,1,7:17.0,,A. Bradley makes 2-pt jump shot from 19 ft (assist by A. Johnson),10,5
46,1,7:01.0,Offensive foul by G. Dragić (drawn by A. Bradley),,10,5
47,1,7:01.0,Turnover by G. Dragić (offensive foul),,10,5
48,1,7:01.0,T. Johnson enters the game for G. Dragić,,10,5
49,1,7:01.0,,Violation by Team (jump ball),10,5
50,1,6:50.0,,A. Bradley misses 2-pt jump shot from 20 ft,10,5
51,1,6:49.0,Defensive rebound by Team,,10,5
52,1,6:32.0,Turnover by R. McGruder (bad pass; steal by J. Crowder),,10,5
53,1,6:25.0,,J. Crowder makes 2-pt jump shot from 21 ft (assist by A. Horford),10,7
54,1,6:10.0,T. Johnson makes 2-pt layup from 3 ft,,12,7
55,1,5:57.0,,I. Thomas makes 2-pt layup from 2 ft,12,9
56,1,5:39.0,L. Babbitt makes 3-pt jump shot from 26 ft (assist by H. Whiteside),,15,9
57,1,5:19.0,,A. Bradley misses 3-pt jump shot from 24 ft,15,9
58,1,5:18.0,,Offensive rebound by J. Crowder,15,9
59,1,5:17.0,,J. Crowder makes 2-pt layup at rim,15,11
60,1,4:58.0,J. Richardson makes 2-pt hook shot from 7 ft,,17,11
