,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,UTAH_ACTION,MINNESOTA_SCORE,UTAH_SCORE
0,1,11:44.0,G. Dieng makes 2-pt jump shot from 10 ft (assist by R. Rubio),,2,0
1,1,11:19.0,,R. Gobert makes 2-pt dunk at rim (assist by J. Ingles),2,2
2,1,10:58.0,A. Wiggins makes 2-pt layup from 2 ft,,4,2
3,1,10:41.0,,G. Hayward misses 3-pt jump shot from 24 ft,4,2
4,1,10:41.0,Defensive rebound by K. Towns,,4,2
5,1,10:29.0,A. Wiggins misses 2-pt jump shot from 22 ft,,4,2
6,1,10:29.0,,Defensive rebound by D. Exum,4,2
7,1,10:17.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by B. Diaw),4,5
8,1,9:59.0,K. Towns makes 2-pt jump shot from 19 ft (assist by R. Rubio),,6,5
9,1,9:43.0,,R. Gobert misses 2-pt jump shot from 3 ft,6,5
10,1,9:43.0,Defensive rebound by K. Towns,,6,5
11,1,9:37.0,R. Rubio misses 2-pt layup from 2 ft (block by B. Diaw),,6,5
12,1,9:36.0,,Defensive rebound by J. Ingles,6,5
13,1,9:32.0,,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),6,7
14,1,9:32.0,,Shooting foul by A. Wiggins (drawn by R. Gobert),6,7
15,1,9:32.0,,R. Gobert makes free throw 1 of 1,6,8
16,1,9:22.0,K. Towns makes 2-pt dunk at rim (assist by B. Rush),,8,8
17,1,9:00.0,,Personal foul by K. Towns (drawn by R. Gobert),8,8
18,1,8:55.0,,Shooting foul by G. Dieng (drawn by G. Hayward),8,8
19,1,8:55.0,,G. Hayward makes free throw 1 of 2,8,9
20,1,8:55.0,,G. Hayward makes free throw 2 of 2,8,10
21,1,8:44.0,K. Towns misses 2-pt layup from 2 ft (block by B. Diaw),,8,10
22,1,8:44.0,Offensive rebound by A. Wiggins,,8,10
23,1,8:44.0,A. Wiggins makes 2-pt layup from 2 ft,,10,10
24,1,8:44.0,Shooting foul by G. Hayward (drawn by A. Wiggins),,10,10
25,1,8:44.0,A. Wiggins makes free throw 1 of 1,,11,10
26,1,8:31.0,,G. Hayward makes 2-pt jump shot from 12 ft,11,12
27,1,8:10.0,A. Wiggins misses 2-pt jump shot from 16 ft,,11,12
28,1,8:10.0,,Defensive rebound by R. Gobert,11,12
29,1,7:55.0,,G. Hayward misses 2-pt layup from 2 ft,11,12
30,1,7:54.0,Defensive rebound by A. Wiggins,,11,12
31,1,7:47.0,R. Rubio misses 2-pt jump shot from 21 ft,,11,12
32,1,7:47.0,Offensive rebound by G. Dieng,,11,12
33,1,7:43.0,R. Rubio misses 3-pt jump shot from 25 ft,,11,12
34,1,7:42.0,Offensive rebound by K. Towns,,11,12
35,1,7:37.0,B. Rush makes 3-pt jump shot from 25 ft (assist by K. Towns),,14,12
36,1,7:21.0,,G. Hayward makes 3-pt jump shot from 25 ft (assist by B. Diaw),14,15
37,1,6:55.0,R. Rubio makes 2-pt jump shot from 20 ft,,16,15
38,1,6:54.0,,Utah full timeout,16,15
39,1,6:54.0,,J. Johnson enters the game for B. Diaw,16,15
40,1,6:43.0,,Turnover by G. Hayward (bad pass; steal by B. Rush),16,15
41,1,6:25.0,K. Towns misses 2-pt layup from 1 ft (block by R. Gobert),,16,15
42,1,6:25.0,,Defensive rebound by J. Ingles,16,15
43,1,6:16.0,,R. Gobert makes 2-pt dunk at rim (assist by D. Exum),16,17
44,1,5:54.0,Offensive foul by K. Towns (drawn by D. Exum),,16,17
45,1,5:54.0,Turnover by K. Towns (offensive foul),,16,17
46,1,5:54.0,,R. Hood enters the game for J. Ingles,16,17
47,1,5:54.0,O. Casspi enters the game for K. Towns,,16,17
48,1,5:39.0,,R. Gobert makes 2-pt layup from 2 ft (assist by G. Hayward),16,19
49,1,5:23.0,A. Wiggins misses 2-pt jump shot from 3 ft,,16,19
50,1,5:22.0,,Defensive rebound by D. Exum,16,19
51,1,5:16.0,,D. Exum misses 2-pt layup from 2 ft,16,19
52,1,5:15.0,Defensive rebound by B. Rush,,16,19
53,1,5:11.0,R. Rubio makes 2-pt jump shot from 20 ft (assist by B. Rush),,18,19
54,1,4:51.0,,R. Hood misses 3-pt jump shot from 25 ft,18,19
55,1,4:51.0,Defensive rebound by G. Dieng,,18,19
56,1,4:42.0,Shooting foul by D. Exum (drawn by R. Rubio),,18,19
57,1,4:42.0,R. Rubio makes free throw 1 of 2,,19,19
58,1,4:42.0,,S. Mack enters the game for D. Exum,19,19
59,1,4:42.0,R. Rubio makes free throw 2 of 2,,20,19
60,1,4:29.0,,G. Hayward makes 2-pt jump shot from 15 ft (assist by S. Mack),20,21
61,1,4:11.0,A. Wiggins makes 2-pt layup from 2 ft,,22,21
62,1,3:50.0,,S. Mack misses 2-pt jump shot from 22 ft,22,21
63,1,3:50.0,Defensive rebound by R. Rubio,,22,21
64,1,3:26.0,B. Rush misses 3-pt jump shot from 24 ft,,22,21
65,1,3:25.0,,Defensive rebound by J. Johnson,22,21
66,1,3:02.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by S. Mack),22,24
67,1,2:33.0,R. Rubio makes 2-pt jump shot from 20 ft,,24,24
68,1,2:19.0,,G. Hayward misses 2-pt layup from 2 ft,24,24
69,1,2:19.0,Defensive rebound by O. Casspi,,24,24
70,1,2:12.0,R. Rubio misses 3-pt jump shot from 25 ft,,24,24
71,1,2:12.0,,Defensive rebound by Team,24,24
72,1,2:12.0,Minnesota full timeout,,24,24
73,1,2:12.0,S. Muhammad enters the game for B. Rush,,24,24
74,1,2:12.0,,J. Ingles enters the game for G. Hayward,24,24
75,1,2:12.0,,D. Favors enters the game for R. Gobert,24,24
76,1,1:59.0,,Turnover by J. Johnson (lost ball; steal by G. Dieng),24,24
77,1,1:45.0,Personal foul by S. Mack (drawn by A. Wiggins),,24,24
78,1,1:36.0,S. Muhammad makes 2-pt layup from 2 ft (assist by R. Rubio),,26,24
79,1,1:36.0,Shooting foul by D. Favors (drawn by S. Muhammad),,26,24
80,1,1:36.0,S. Muhammad makes free throw 1 of 1,,27,24
81,1,1:17.0,,D. Favors makes 2-pt dunk at rim (assist by J. Ingles),27,26
82,1,1:00.0,Shooting foul by R. Hood (drawn by A. Wiggins),,27,26
83,1,1:00.0,A. Wiggins makes free throw 1 of 2,,28,26
84,1,1:00.0,A. Wiggins makes free throw 2 of 2,,29,26
85,1,0:42.0,,Personal foul by O. Casspi (drawn by J. Ingles),29,26
86,1,0:36.0,,Shooting foul by S. Muhammad (drawn by R. Hood),29,26
87,1,0:36.0,,R. Hood makes 2-pt jump shot from 16 ft,29,28
88,1,0:36.0,,R. Hood makes free throw 1 of 1,29,29
89,1,0:31.0,G. Dieng misses 2-pt jump shot from 18 ft,,29,29
90,1,0:31.0,,Defensive rebound by R. Hood,29,29
91,1,0:10.0,,R. Hood misses 3-pt jump shot from 25 ft,29,29
92,1,0:10.0,Defensive rebound by G. Dieng,,29,29
93,1,0:02.0,Personal foul by R. Hood (drawn by R. Rubio),,29,29
94,1,0:02.0,R. Rubio makes free throw 1 of 2,,30,29
95,1,0:02.0,R. Rubio makes free throw 2 of 2,,31,29
96,1,0:00.0,,R. Hood misses 3-pt jump shot from 51 ft,31,29
97,1,0:00.0,,Offensive rebound by Team,31,29
98,2,11:37.0,,R. Hood misses 2-pt jump shot from 10 ft,31,29
99,2,11:36.0,,Offensive rebound by D. Favors,31,29
100,2,11:34.0,,D. Favors misses 2-pt layup from 2 ft,31,29
101,2,11:33.0,Defensive rebound by O. Casspi,,31,29
102,2,11:22.0,Shooting foul by D. Favors (drawn by K. Towns),,31,29
103,2,11:22.0,K. Towns makes free throw 1 of 2,,32,29
104,2,11:22.0,K. Towns makes free throw 2 of 2,,33,29
105,2,11:06.0,,J. Johnson makes 2-pt jump shot from 7 ft,33,31
106,2,10:44.0,Turnover by K. Towns (offensive goaltending),,33,31
107,2,10:32.0,,Personal foul by T. Jones (drawn by D. Favors),33,31
108,2,10:29.0,,Turnover by R. Hood (lost ball; steal by O. Casspi),33,31
109,2,10:21.0,K. Towns misses 3-pt jump shot from 25 ft,,33,31
110,2,10:21.0,,Defensive rebound by S. Mack,33,31
111,2,10:08.0,,D. Favors misses 2-pt jump shot from 15 ft,33,31
112,2,10:07.0,Defensive rebound by K. Towns,,33,31
113,2,9:48.0,K. Towns makes 2-pt hook shot from 7 ft,,35,31
114,2,9:38.0,,Shooting foul by T. Jones (drawn by D. Favors),35,31
115,2,9:38.0,,D. Favors makes free throw 1 of 2,35,32
116,2,9:38.0,,D. Favors misses free throw 2 of 2,35,32
117,2,9:38.0,,D. Exum enters the game for R. Hood,35,32
118,2,9:38.0,,B. Diaw enters the game for J. Johnson,35,32
119,2,9:37.0,Defensive rebound by K. Towns,,35,32
120,2,9:14.0,K. Towns makes 3-pt jump shot from 24 ft (assist by K. Dunn),,38,32
121,2,8:53.0,,D. Favors misses 2-pt layup from 2 ft,38,32
122,2,8:52.0,,Offensive rebound by D. Favors,38,32
123,2,8:51.0,,D. Favors makes 2-pt dunk at rim,38,34
124,2,8:33.0,Shooting foul by B. Diaw (drawn by K. Towns),,38,34
125,2,8:33.0,Minnesota full timeout,,38,34
126,2,8:33.0,K. Towns makes free throw 1 of 2,,39,34
127,2,8:33.0,,R. Gobert enters the game for D. Favors,38,34
128,2,8:33.0,,R. Hood enters the game for J. Ingles,38,34
129,2,8:33.0,,G. Hayward enters the game for S. Mack,38,34
130,2,8:33.0,K. Towns makes free throw 2 of 2,,40,34
131,2,8:19.0,,Turnover by D. Exum (bad pass; steal by S. Muhammad),40,34
132,2,8:15.0,S. Muhammad makes 2-pt layup from 2 ft,,42,34
133,2,8:03.0,,Personal foul by K. Dunn (drawn by G. Hayward),42,34
134,2,7:56.0,,R. Gobert makes 2-pt layup from 2 ft,42,36
135,2,7:41.0,K. Towns makes 2-pt hook shot from 2 ft (assist by K. Dunn),,44,36
136,2,7:34.0,,R. Gobert makes 2-pt dunk at rim (assist by B. Diaw),44,38
137,2,7:24.0,Minnesota full timeout,,44,38
138,2,7:10.0,K. Dunn makes 3-pt jump shot from 24 ft (assist by T. Jones),,47,38
139,2,6:56.0,,Turnover by D. Exum (lost ball; steal by K. Towns),47,38
140,2,6:51.0,S. Muhammad makes 2-pt dunk at rim (assist by K. Towns),,49,38
141,2,6:28.0,,G. Hayward makes 2-pt dunk at rim,49,40
142,2,6:10.0,K. Towns misses 2-pt jump shot from 16 ft,,49,40
143,2,6:08.0,,Defensive rebound by R. Hood,49,40
144,2,6:01.0,,D. Exum makes 3-pt jump shot from 23 ft (assist by B. Diaw),49,43
145,2,5:46.0,Offensive foul by K. Towns (drawn by R. Gobert),,49,43
146,2,5:46.0,Turnover by K. Towns (offensive foul),,49,43
147,2,5:46.0,,S. Mack enters the game for D. Exum,49,43
148,2,5:46.0,,J. Johnson enters the game for B. Diaw,49,43
149,2,5:46.0,,J. Ingles enters the game for R. Hood,49,43
150,2,5:46.0,G. Dieng enters the game for O. Casspi,,49,43
151,2,5:46.0,A. Wiggins enters the game for K. Towns,,49,43
152,2,5:46.0,R. Rubio enters the game for T. Jones,,49,43
153,2,5:46.0,O. Casspi enters the game for K. Dunn,,49,43
154,2,5:31.0,,S. Mack misses 2-pt layup from 3 ft (block by G. Dieng),49,43
155,2,5:30.0,Defensive rebound by A. Wiggins,,49,43
156,2,5:11.0,O. Casspi misses 3-pt jump shot from 24 ft,,49,43
157,2,5:10.0,Offensive rebound by G. Dieng,,49,43
158,2,5:06.0,Turnover by A. Wiggins (bad pass; steal by G. Hayward),,49,43
159,2,4:59.0,,G. Hayward misses 2-pt jump shot from 6 ft,49,43
160,2,4:57.0,,Offensive rebound by J. Ingles,49,43
161,2,4:52.0,,Personal foul by R. Rubio (drawn by R. Gobert),49,43
162,2,4:39.0,,J. Ingles makes 2-pt layup from 3 ft,49,45
163,2,4:21.0,A. Wiggins misses 2-pt jump shot from 20 ft,,49,45
164,2,4:20.0,,Defensive rebound by R. Gobert,49,45
165,2,4:11.0,,Shooting foul by O. Casspi (drawn by R. Gobert),49,45
166,2,4:11.0,,R. Gobert makes free throw 1 of 2,49,46
167,2,4:11.0,,R. Gobert misses free throw 2 of 2,49,46
168,2,4:11.0,B. Rush enters the game for S. Muhammad,,49,46
169,2,4:10.0,Defensive rebound by O. Casspi,,49,46
170,2,3:59.0,Shooting foul by R. Gobert (drawn by A. Wiggins),,49,46
171,2,3:59.0,A. Wiggins makes free throw 1 of 2,,50,46
172,2,3:59.0,A. Wiggins makes free throw 2 of 2,,51,46
173,2,3:44.0,,J. Johnson makes 3-pt jump shot from 24 ft (assist by J. Ingles),51,49
174,2,3:16.0,A. Wiggins misses 3-pt jump shot from 26 ft,,51,49
175,2,3:15.0,,Defensive rebound by S. Mack,51,49
176,2,2:56.0,,G. Hayward misses 2-pt jump shot from 17 ft,51,49
177,2,2:55.0,Defensive rebound by Team,,51,49
178,2,2:55.0,,Loose ball foul by R. Gobert (drawn by O. Casspi),51,49
179,2,2:55.0,,Utah full timeout,51,49
180,2,2:45.0,Turnover by B. Rush (bad pass; steal by J. Ingles),,51,49
181,2,2:42.0,,J. Ingles makes 2-pt layup from 2 ft,51,51
182,2,2:26.0,Personal foul by S. Mack (drawn by R. Rubio),,51,51
183,2,2:26.0,R. Rubio makes free throw 1 of 2,,52,51
184,2,2:26.0,R. Rubio makes free throw 2 of 2,,53,51
185,2,2:10.0,,Shooting foul by R. Rubio (drawn by S. Mack),53,51
186,2,2:10.0,,S. Mack misses free throw 1 of 2,53,51
187,2,2:10.0,,Offensive rebound by Team,53,51
188,2,2:10.0,,S. Mack makes free throw 2 of 2,53,52
189,2,1:59.0,B. Rush makes 3-pt jump shot from 24 ft (assist by R. Rubio),,56,52
190,2,1:47.0,,G. Hayward makes 3-pt jump shot from 26 ft (assist by S. Mack),56,55
191,2,1:25.0,R. Rubio misses 2-pt jump shot from 21 ft,,56,55
192,2,1:25.0,,Defensive rebound by G. Hayward,56,55
193,2,1:19.0,,Turnover by J. Johnson (bad pass),56,55
194,2,1:02.0,A. Wiggins makes 2-pt layup from 2 ft,,58,55
195,2,0:47.0,,Turnover by R. Gobert (bad pass; steal by G. Dieng),58,55
196,2,0:35.0,A. Wiggins misses 2-pt jump shot from 15 ft,,58,55
197,2,0:34.0,,Defensive rebound by J. Ingles,58,55
198,2,0:17.0,,Turnover by J. Johnson (lost ball; steal by O. Casspi),58,55
199,2,0:01.0,Shooting foul by R. Gobert (drawn by R. Rubio),,58,55
200,2,0:01.0,R. Rubio makes free throw 1 of 2,,59,55
201,2,0:01.0,,D. Favors enters the game for R. Gobert,59,55
202,2,0:01.0,R. Rubio makes free throw 2 of 2,,60,55
203,3,11:39.0,,G. Hayward misses 2-pt jump shot from 17 ft,60,55
204,3,11:38.0,Defensive rebound by K. Towns,,60,55
205,3,11:30.0,Shooting foul by R. Gobert (drawn by G. Dieng),,60,55
206,3,11:30.0,G. Dieng makes free throw 1 of 2,,61,55
207,3,11:30.0,,D. Favors enters the game for R. Gobert,61,55
208,3,11:30.0,G. Dieng makes free throw 2 of 2,,62,55
209,3,11:15.0,,D. Exum misses 3-pt jump shot from 23 ft,62,55
210,3,11:14.0,,Offensive rebound by D. Favors,62,55
211,3,11:07.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by D. Exum),62,58
212,3,10:44.0,Personal foul by D. Favors (drawn by A. Wiggins),,62,58
213,3,10:40.0,K. Towns makes 2-pt jump shot from 23 ft (assist by R. Rubio),,64,58
214,3,10:26.0,,Personal foul by B. Rush (drawn by J. Ingles),64,58
215,3,10:12.0,,J. Ingles misses 2-pt jump shot from 13 ft,64,58
216,3,10:12.0,Defensive rebound by A. Wiggins,,64,58
217,3,9:52.0,G. Dieng makes 2-pt jump shot from 17 ft (assist by R. Rubio),,66,58
218,3,9:34.0,,D. Exum makes 3-pt jump shot from 24 ft (assist by G. Hayward),66,61
219,3,9:18.0,K. Towns makes 2-pt layup from 2 ft (assist by R. Rubio),,68,61
220,3,8:59.0,,D. Favors makes 2-pt dunk at rim (assist by D. Exum),68,63
221,3,8:43.0,K. Towns makes 3-pt jump shot from 24 ft (assist by R. Rubio),,71,63
222,3,8:42.0,,Utah full timeout,71,63
223,3,8:42.0,,J. Johnson enters the game for B. Diaw,71,63
224,3,8:30.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by J. Ingles),71,66
225,3,8:10.0,A. Wiggins misses 2-pt layup from 2 ft,,71,66
226,3,8:10.0,Offensive rebound by K. Towns,,71,66
227,3,8:06.0,K. Towns misses 2-pt layup from 1 ft (block by J. Johnson),,71,66
228,3,8:04.0,,Defensive rebound by G. Hayward,71,66
229,3,7:55.0,,J. Johnson makes 3-pt jump shot from 24 ft (assist by G. Hayward),71,69
230,3,7:54.0,Minnesota full timeout,,71,69
231,3,7:54.0,O. Casspi enters the game for G. Dieng,,71,69
232,3,7:41.0,K. Towns misses 2-pt dunk at rim,,71,69
233,3,7:40.0,,Defensive rebound by D. Favors,71,69
234,3,7:35.0,,G. Hayward makes 2-pt layup from 2 ft (assist by D. Favors),71,71
235,3,7:17.0,R. Rubio makes 2-pt jump shot from 21 ft,,73,71
236,3,7:00.0,,D. Exum makes 3-pt jump shot from 25 ft (assist by G. Hayward),73,74
237,3,6:42.0,Shooting foul by D. Favors (drawn by A. Wiggins),,73,74
238,3,6:42.0,A. Wiggins makes free throw 1 of 2,,74,74
239,3,6:42.0,A. Wiggins makes free throw 2 of 2,,75,74
240,3,6:28.0,,Turnover by J. Johnson (bad pass; steal by O. Casspi),75,74
241,3,6:19.0,R. Rubio makes 2-pt jump shot from 18 ft,,77,74
242,3,6:02.0,,D. Favors makes 2-pt jump shot from 10 ft (assist by J. Ingles),77,76
243,3,5:40.0,O. Casspi misses 2-pt layup from 2 ft,,77,76
244,3,5:40.0,,Defensive rebound by J. Ingles,77,76
245,3,5:20.0,,Turnover by J. Ingles (bad pass; steal by O. Casspi),77,76
246,3,5:17.0,Personal foul by J. Johnson (drawn by O. Casspi),,77,76
247,3,5:17.0,,R. Hood enters the game for J. Ingles,77,76
248,3,5:13.0,Turnover by R. Rubio (bad pass; steal by D. Favors),,77,76
249,3,4:58.0,,J. Johnson makes 2-pt jump shot from 8 ft,77,78
250,3,4:40.0,Personal foul by G. Hayward (drawn by A. Wiggins),,77,78
251,3,4:40.0,A. Wiggins makes free throw 1 of 2,,78,78
252,3,4:40.0,,S. Mack enters the game for D. Exum,78,78
253,3,4:40.0,G. Dieng enters the game for K. Towns,,78,78
254,3,4:40.0,,J. Withey enters the game for D. Favors,78,78
255,3,4:40.0,A. Wiggins makes free throw 2 of 2,,79,78
256,3,4:16.0,,R. Hood makes 3-pt jump shot from 23 ft (assist by S. Mack),79,81
257,3,3:53.0,A. Wiggins misses 2-pt jump shot from 22 ft,,79,81
258,3,3:52.0,,Defensive rebound by R. Hood,79,81
259,3,3:41.0,,G. Hayward makes 2-pt jump shot from 3 ft (assist by R. Hood),79,83
260,3,3:41.0,,Shooting foul by O. Casspi (drawn by G. Hayward),79,83
261,3,3:41.0,S. Muhammad enters the game for B. Rush,,79,83
262,3,3:41.0,,G. Hayward makes free throw 1 of 1,79,84
263,3,3:28.0,A. Wiggins makes 2-pt layup from 2 ft,,81,84
264,3,3:15.0,,R. Hood misses 3-pt jump shot from 23 ft,81,84
265,3,3:15.0,Defensive rebound by R. Rubio,,81,84
266,3,3:05.0,S. Muhammad misses 2-pt jump shot from 3 ft (block by R. Hood),,81,84
267,3,3:05.0,,Defensive rebound by S. Mack,81,84
268,3,2:46.0,,R. Hood misses 3-pt jump shot from 25 ft,81,84
269,3,2:46.0,Defensive rebound by G. Dieng,,81,84
270,3,2:29.0,A. Wiggins misses 2-pt jump shot from 4 ft (block by J. Withey),,81,84
271,3,2:28.0,,Defensive rebound by G. Hayward,81,84
272,3,2:10.0,,G. Hayward makes 3-pt jump shot from 25 ft,81,87
273,3,1:48.0,R. Rubio makes 3-pt jump shot from 24 ft (assist by G. Dieng),,84,87
274,3,1:26.0,,G. Hayward misses 2-pt jump shot from 8 ft,84,87
275,3,1:25.0,Defensive rebound by R. Rubio,,84,87
276,3,1:17.0,R. Rubio misses 2-pt jump shot from 22 ft,,84,87
277,3,1:17.0,,Defensive rebound by S. Mack,84,87
278,3,1:08.0,,S. Mack misses 2-pt jump shot from 4 ft,84,87
279,3,1:08.0,,Offensive rebound by J. Withey,84,87
280,3,1:07.0,,Shooting foul by R. Rubio (drawn by J. Withey),84,87
281,3,1:07.0,,J. Withey misses free throw 1 of 2,84,87
282,3,1:07.0,,Offensive rebound by Team,84,87
283,3,1:07.0,,J. Ingles enters the game for G. Hayward,84,87
284,3,1:07.0,,J. Withey makes free throw 2 of 2,84,88
285,3,0:54.0,G. Dieng misses 2-pt jump shot from 18 ft,,84,88
286,3,0:53.0,,Defensive rebound by J. Johnson,84,88
287,3,0:46.0,,J. Johnson makes 2-pt jump shot from 19 ft,84,90
288,3,0:36.0,R. Rubio makes 2-pt jump shot from 15 ft,,86,90
289,3,0:27.0,,J. Johnson makes 3-pt jump shot from 25 ft,86,93
290,3,0:09.0,Personal foul by J. Withey (drawn by R. Rubio),,86,93
291,3,0:09.0,R. Rubio makes free throw 1 of 2,,87,93
292,3,0:09.0,,D. Favors enters the game for J. Withey,87,93
293,3,0:09.0,R. Rubio makes free throw 2 of 2,,88,93
294,3,0:01.0,,J. Johnson makes 2-pt jump shot from 8 ft,88,95
295,4,11:35.0,S. Muhammad makes 2-pt jump shot from 18 ft (assist by T. Jones),,90,95
296,4,11:31.0,,Technical foul by Team,90,95
297,4,11:31.0,K. Towns makes technical free throw,,91,95
298,4,11:16.0,,Turnover by J. Ingles (bad pass),91,95
299,4,10:54.0,K. Dunn misses 2-pt jump shot from 16 ft,,91,95
300,4,10:53.0,,Defensive rebound by R. Gobert,91,95
301,4,10:45.0,,S. Mack makes 2-pt layup from 2 ft (assist by R. Hood),91,97
302,4,10:45.0,Minnesota full timeout,,91,97
303,4,10:21.0,O. Casspi makes 2-pt jump shot from 4 ft (assist by K. Dunn),,93,97
304,4,10:02.0,,J. Johnson misses 2-pt jump shot from 7 ft,93,97
305,4,10:02.0,Defensive rebound by K. Towns,,93,97
306,4,9:47.0,K. Towns misses 2-pt layup from 2 ft,,93,97
307,4,9:47.0,Offensive rebound by Team,,93,97
308,4,9:47.0,,G. Hayward enters the game for J. Johnson,93,97
309,4,9:36.0,T. Jones makes 2-pt jump shot from 13 ft,,95,97
310,4,9:24.0,,Offensive foul by G. Hayward (drawn by T. Jones),95,97
311,4,9:24.0,,Turnover by G. Hayward (offensive foul),95,97
312,4,9:24.0,,D. Exum enters the game for S. Mack,95,97
313,4,9:13.0,O. Casspi misses 2-pt jump shot from 10 ft,,95,97
314,4,9:13.0,,Defensive rebound by R. Gobert,95,97
315,4,9:04.0,,Turnover by J. Ingles (lost ball; steal by K. Dunn),95,97
316,4,8:56.0,S. Muhammad misses 2-pt jump shot from 3 ft (block by R. Gobert),,95,97
317,4,8:54.0,Offensive rebound by S. Muhammad,,95,97
318,4,8:54.0,Turnover by S. Muhammad (lost ball; steal by R. Gobert),,95,97
319,4,8:53.0,,Personal foul by K. Dunn (drawn by J. Ingles),95,97
320,4,8:44.0,,G. Hayward makes 2-pt dunk at rim (assist by J. Ingles),95,99
321,4,8:19.0,S. Muhammad makes 2-pt layup from 2 ft,,97,99
322,4,7:58.0,,G. Hayward makes 2-pt layup from 2 ft,97,101
323,4,7:39.0,K. Dunn misses 2-pt jump shot from 16 ft,,97,101
324,4,7:39.0,Offensive rebound by S. Muhammad,,97,101
325,4,7:36.0,S. Muhammad misses 2-pt jump shot from 15 ft,,97,101
326,4,7:34.0,Offensive rebound by K. Towns,,97,101
327,4,7:33.0,K. Towns makes 2-pt hook shot from 6 ft,,99,101
328,4,7:19.0,,Shooting foul by K. Dunn (drawn by G. Hayward),99,101
329,4,7:19.0,,G. Hayward makes free throw 1 of 2,99,102
330,4,7:19.0,,G. Hayward misses free throw 2 of 2,99,102
331,4,7:19.0,,D. Favors enters the game for J. Ingles,99,102
332,4,7:19.0,,S. Mack enters the game for R. Hood,99,102
333,4,7:19.0,A. Wiggins enters the game for T. Jones,,99,102
334,4,7:19.0,R. Rubio enters the game for K. Dunn,,99,102
335,4,7:18.0,Defensive rebound by S. Muhammad,,99,102
336,4,7:06.0,Turnover by R. Rubio (bad pass; steal by S. Mack),,99,102
337,4,7:01.0,,G. Hayward makes 2-pt layup from 1 ft (assist by R. Gobert),99,104
338,4,6:47.0,Personal foul by R. Gobert (drawn by K. Towns),,99,104
339,4,6:47.0,,Technical foul by R. Gobert,99,104
340,4,6:47.0,,J. Johnson enters the game for R. Gobert,99,104
341,4,6:47.0,G. Dieng enters the game for O. Casspi,,99,104
342,4,6:47.0,O. Casspi enters the game for G. Dieng,,100,104
343,4,6:47.0,R. Rubio makes technical free throw,,100,104
344,4,6:41.0,Personal foul by D. Favors (drawn by K. Towns),,100,104
345,4,6:29.0,Turnover by O. Casspi (bad pass; steal by G. Hayward),,100,104
346,4,6:29.0,,Personal foul by S. Muhammad (drawn by J. Johnson),100,104
347,4,6:18.0,,D. Favors makes 2-pt dunk at rim (assist by G. Hayward),100,106
348,4,5:50.0,Offensive foul by S. Muhammad (drawn by D. Exum),,100,106
349,4,5:50.0,Turnover by S. Muhammad (offensive foul),,100,106
350,4,5:50.0,,Utah full timeout,100,106
351,4,5:50.0,B. Rush enters the game for S. Muhammad,,100,106
352,4,5:38.0,,G. Hayward misses 2-pt layup from 3 ft,100,106
353,4,5:37.0,,Offensive rebound by D. Favors,100,106
354,4,5:36.0,,D. Favors makes 2-pt dunk at rim,100,108
355,4,5:21.0,A. Wiggins makes 2-pt layup from 2 ft,,102,108
356,4,5:06.0,,Personal foul by A. Wiggins (drawn by D. Favors),102,108
357,4,4:52.0,,J. Johnson misses 3-pt jump shot from 24 ft,102,108
358,4,4:50.0,Defensive rebound by B. Rush,,102,108
359,4,4:37.0,K. Towns makes 3-pt jump shot from 24 ft (assist by R. Rubio),,105,108
360,4,4:26.0,,Utah full timeout,105,108
