,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,INDIANA_ACTION,CLEVELAND_SCORE,INDIANA_SCORE
0,1,11:45.0,,C. Miles misses 3-pt jump shot from 23 ft,0,0
1,1,11:44.0,Defensive rebound by K. Love,,0,0
2,1,11:29.0,Turnover by K. Love (bad pass; steal by P. George),,0,0
3,1,11:20.0,,T. Young misses 2-pt hook shot from 11 ft,0,0
4,1,11:18.0,,Offensive rebound by P. George,0,0
5,1,11:18.0,,P. George misses 2-pt layup from 1 ft,0,0
6,1,11:18.0,Defensive rebound by K. Love,,0,0
7,1,10:59.0,K. Irving misses 3-pt jump shot from 24 ft,,0,0
8,1,10:59.0,,Defensive rebound by M. Turner,0,0
9,1,10:48.0,,J. Teague makes 2-pt layup from 2 ft,0,2
10,1,10:32.0,Offensive foul by J. Smith (drawn by T. Young),,0,2
11,1,10:32.0,Turnover by J. Smith (offensive foul),,0,2
12,1,10:17.0,,Turnover by P. George (bad pass; steal by J. Smith),0,2
13,1,9:58.0,K. Love misses 2-pt layup from 2 ft,,0,2
14,1,9:58.0,,Defensive rebound by M. Turner,0,2
15,1,9:40.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by P. George),0,5
16,1,9:19.0,L. James misses 2-pt layup from 2 ft,,0,5
17,1,9:17.0,Offensive rebound by T. Thompson,,0,5
18,1,9:17.0,T. Thompson misses 2-pt layup from 1 ft,,0,5
19,1,9:17.0,,Defensive rebound by Team,0,5
20,1,9:04.0,,P. George misses 2-pt jump shot from 20 ft,0,5
21,1,9:04.0,Defensive rebound by K. Love,,0,5
22,1,8:52.0,K. Irving makes 2-pt jump shot from 11 ft,,2,5
23,1,8:43.0,,Turnover by J. Teague (lost ball),2,5
24,1,8:33.0,Shooting foul by M. Turner (drawn by L. James),,2,5
25,1,8:33.0,L. James misses free throw 1 of 2,,2,5
26,1,8:33.0,Offensive rebound by Team,,2,5
27,1,8:33.0,L. James makes free throw 2 of 2,,3,5
28,1,8:21.0,,T. Young misses 2-pt jump shot from 19 ft,3,5
29,1,8:19.0,Defensive rebound by L. James,,3,5
30,1,8:01.0,Turnover by L. James (bad pass; steal by P. George),,3,5
31,1,7:54.0,,Shooting foul by K. Irving (drawn by T. Young),3,5
32,1,7:54.0,,T. Young makes free throw 1 of 2,3,6
33,1,7:54.0,,T. Young misses free throw 2 of 2,3,6
34,1,7:54.0,Defensive rebound by K. Love,,3,6
35,1,7:43.0,K. Irving makes 2-pt jump shot from 16 ft,,5,6
36,1,7:39.0,,Turnover by M. Turner (bad pass; steal by T. Thompson),5,6
37,1,7:32.0,K. Love misses 3-pt jump shot from 26 ft,,5,6
38,1,7:31.0,,Defensive rebound by T. Young,5,6
39,1,7:23.0,,C. Miles misses 3-pt jump shot from 23 ft,5,6
40,1,7:23.0,Defensive rebound by J. Smith,,5,6
41,1,7:15.0,K. Irving misses 2-pt jump shot from 16 ft (block by J. Teague),,5,6
42,1,7:14.0,,Defensive rebound by J. Teague,5,6
43,1,7:07.0,,Personal foul by T. Thompson (drawn by T. Young),5,6
44,1,6:56.0,,P. George makes 2-pt jump shot from 18 ft (assist by T. Young),5,8
45,1,6:40.0,L. James makes 2-pt layup from 1 ft,,7,8
46,1,6:24.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by J. Teague),7,10
47,1,6:16.0,L. James makes 2-pt layup from 2 ft,,9,10
48,1,6:16.0,Shooting foul by P. George (drawn by L. James),,9,10
49,1,6:16.0,L. James makes free throw 1 of 1,,10,10
50,1,6:00.0,,P. George makes 3-pt jump shot from 27 ft,10,13
51,1,5:58.0,Cleveland full timeout,,10,13
52,1,5:46.0,L. James misses 2-pt hook shot from 7 ft,,10,13
53,1,5:45.0,,Defensive rebound by P. George,10,13
54,1,5:34.0,,Offensive foul by M. Turner (drawn by L. James),10,13
55,1,5:34.0,,Turnover by M. Turner (offensive foul),10,13
56,1,5:34.0,,K. Séraphin enters the game for M. Turner,10,13
57,1,5:22.0,K. Love misses 3-pt jump shot from 27 ft,,10,13
58,1,5:22.0,,Defensive rebound by C. Miles,10,13
59,1,5:14.0,,K. Séraphin makes 2-pt hook shot from 5 ft (assist by J. Teague),10,15
60,1,4:58.0,Shooting block foul by J. Teague (drawn by K. Irving),,10,15
61,1,4:58.0,K. Irving makes free throw 1 of 2,,11,15
62,1,4:58.0,,L. Stephenson enters the game for C. Miles,11,15
63,1,4:58.0,K. Irving makes free throw 2 of 2,,12,15
64,1,4:43.0,,L. Stephenson makes 3-pt jump shot from 25 ft (assist by P. George),12,18
65,1,4:26.0,K. Irving misses 3-pt jump shot from 27 ft,,12,18
66,1,4:25.0,,Defensive rebound by L. Stephenson,12,18
67,1,4:08.0,,L. Stephenson misses 3-pt jump shot from 23 ft,12,18
68,1,4:07.0,,Offensive rebound by T. Young,12,18
69,1,4:04.0,,L. Stephenson misses 3-pt jump shot from 26 ft,12,18
70,1,4:03.0,Defensive rebound by K. Love,,12,18
71,1,3:40.0,L. James misses 2-pt jump shot from 14 ft,,12,18
72,1,3:40.0,Offensive rebound by K. Love,,12,18
73,1,3:37.0,K. Love misses 2-pt layup from 1 ft,,12,18
74,1,3:36.0,Offensive rebound by K. Love,,12,18
75,1,3:36.0,K. Love misses 2-pt layup from 2 ft,,12,18
76,1,3:34.0,Offensive rebound by T. Thompson,,12,18
77,1,3:34.0,T. Thompson makes 2-pt layup from 1 ft,,14,18
78,1,3:20.0,,K. Séraphin misses 2-pt hook shot from 7 ft,14,18
79,1,3:20.0,Defensive rebound by L. James,,14,18
80,1,3:09.0,L. James makes 2-pt layup from 2 ft,,16,18
81,1,2:49.0,,P. George misses 3-pt jump shot from 24 ft,16,18
82,1,2:48.0,,Offensive rebound by P. George,16,18
83,1,2:45.0,,P. George misses 2-pt layup from 1 ft (block by K. Love),16,18
84,1,2:45.0,Defensive rebound by Team,,16,18
85,1,2:45.0,,Indiana full timeout,16,18
86,1,2:45.0,,L. Allen enters the game for T. Young,16,18
87,1,2:22.0,J. Smith makes 2-pt jump shot from 22 ft,,18,18
88,1,2:00.0,,L. Stephenson misses 2-pt jump shot from 19 ft,18,18
89,1,2:00.0,Defensive rebound by K. Love,,18,18
90,1,1:50.0,Turnover by L. James (bad pass; steal by P. George),,18,18
91,1,1:35.0,,L. Stephenson makes 2-pt jump shot from 18 ft,18,20
92,1,1:25.0,Cleveland full timeout,,18,20
93,1,1:25.0,C. Frye enters the game for L. James,,18,20
94,1,1:25.0,K. Korver enters the game for J. Smith,,18,20
95,1,1:25.0,I. Shumpert enters the game for K. Love,,18,20
96,1,1:25.0,,M. Ellis enters the game for P. George,18,20
97,1,1:25.0,,G. Robinson enters the game for L. Allen,18,20
98,1,1:08.0,K. Irving makes 2-pt jump shot from 7 ft,,20,20
99,1,0:50.0,,J. Teague misses 2-pt jump shot from 15 ft (block by K. Irving),20,20
100,1,0:49.0,,Offensive rebound by K. Séraphin,20,20
101,1,0:45.0,,J. Teague makes 2-pt jump shot from 13 ft,20,22
102,1,0:34.0,K. Irving makes 2-pt jump shot from 14 ft,,22,22
103,1,0:28.0,,J. Teague makes 2-pt jump shot from 5 ft,22,24
104,1,0:09.0,K. Korver misses 3-pt jump shot from 26 ft,,22,24
105,1,0:08.0,,Defensive rebound by M. Ellis,22,24
106,1,0:02.0,,Turnover by M. Ellis (bad pass; steal by I. Shumpert),22,24
107,1,0:00.0,K. Irving misses 3-pt jump shot from 43 ft,,22,24
108,1,0:00.0,Offensive rebound by Team,,22,24
109,2,11:50.0,Shooting foul by K. Séraphin (drawn by C. Frye),,22,24
110,2,11:50.0,C. Frye makes free throw 1 of 2,,23,24
111,2,11:50.0,C. Frye makes free throw 2 of 2,,24,24
112,2,11:33.0,,L. Stephenson misses 3-pt jump shot from 24 ft,24,24
113,2,11:32.0,Defensive rebound by L. James,,24,24
114,2,11:24.0,L. James misses 2-pt layup at rim,,24,24
115,2,11:24.0,,Defensive rebound by L. Stephenson,24,24
116,2,11:17.0,,G. Robinson makes 2-pt layup from 1 ft,24,26
117,2,11:07.0,D. Williams makes 3-pt jump shot from 29 ft,,27,26
118,2,10:51.0,,P. George misses 2-pt jump shot from 18 ft,27,26
119,2,10:50.0,Defensive rebound by C. Frye,,27,26
120,2,10:44.0,L. James misses 2-pt layup from 2 ft,,27,26
121,2,10:44.0,,Defensive rebound by P. George,27,26
122,2,10:28.0,,G. Robinson makes 2-pt jump shot from 17 ft (assist by L. Stephenson),27,28
123,2,10:10.0,C. Frye makes 3-pt jump shot from 26 ft,,30,28
124,2,9:54.0,,Shooting foul by D. Williams (drawn by M. Ellis),30,28
125,2,9:54.0,,M. Ellis misses free throw 1 of 2,30,28
126,2,9:54.0,,Offensive rebound by Team,30,28
127,2,9:54.0,,M. Ellis makes free throw 2 of 2,30,29
128,2,9:44.0,C. Frye makes 2-pt jump shot from 13 ft,,32,29
