,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MINNESOTA_ACTION,SAN ANTONIO_SCORE,MINNESOTA_SCORE
0,1,11:47.0,,A. Wiggins makes 2-pt dunk at rim (assist by G. Dieng),0,2
1,1,11:19.0,K. Leonard misses 3-pt jump shot from 24 ft,,0,2
2,1,11:16.0,Offensive rebound by D. Dedmon,,0,2
3,1,11:02.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Leonard),,3,2
4,1,10:48.0,,Turnover by K. Towns (lost ball; steal by L. Aldridge),3,2
5,1,10:42.0,T. Parker misses 2-pt jump shot from 12 ft,,3,2
6,1,10:41.0,,Defensive rebound by R. Rubio,3,2
7,1,10:31.0,,G. Dieng makes 2-pt jump shot from 15 ft,3,4
8,1,10:18.0,L. Aldridge misses 2-pt jump shot from 20 ft,,3,4
9,1,10:17.0,,Defensive rebound by R. Rubio,3,4
10,1,10:13.0,,R. Rubio misses 2-pt jump shot from 20 ft,3,4
11,1,10:11.0,Defensive rebound by D. Dedmon,,3,4
12,1,10:01.0,L. Aldridge misses 2-pt jump shot from 17 ft,,3,4
13,1,10:00.0,,Defensive rebound by R. Rubio,3,4
14,1,9:43.0,,A. Wiggins misses 2-pt jump shot from 18 ft,3,4
15,1,9:42.0,Defensive rebound by D. Green,,3,4
16,1,9:35.0,T. Parker misses 2-pt jump shot from 18 ft,,3,4
17,1,9:32.0,,Defensive rebound by K. Towns,3,4
18,1,9:21.0,,R. Rubio misses 2-pt layup from 1 ft (block by D. Green),3,4
19,1,9:19.0,Defensive rebound by D. Green,,3,4
20,1,9:12.0,K. Leonard misses 3-pt jump shot from 24 ft,,3,4
21,1,9:10.0,Offensive rebound by L. Aldridge,,3,4
22,1,9:06.0,Turnover by L. Aldridge (lost ball; steal by R. Rubio),,3,4
23,1,8:55.0,,Turnover by R. Rubio (bad pass; steal by T. Parker),3,4
24,1,8:53.0,,Offensive charge foul by T. Parker (drawn by R. Rubio),3,4
25,1,8:53.0,Turnover by T. Parker (offensive foul),,3,4
26,1,8:42.0,,A. Wiggins misses 2-pt jump shot from 10 ft,3,4
27,1,8:41.0,,Offensive rebound by K. Towns,3,4
28,1,8:40.0,,K. Towns misses 2-pt layup from 2 ft,3,4
29,1,8:38.0,Defensive rebound by D. Dedmon,,3,4
30,1,8:19.0,L. Aldridge makes 2-pt hook shot from 7 ft,,5,4
31,1,8:07.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by R. Rubio),5,7
32,1,7:40.0,D. Green misses 3-pt jump shot from 24 ft,,5,7
33,1,7:38.0,Offensive rebound by L. Aldridge,,5,7
34,1,7:30.0,K. Leonard makes 2-pt jump shot from 12 ft (assist by T. Parker),,7,7
35,1,7:12.0,,Shooting foul by D. Green (drawn by A. Wiggins),7,7
36,1,7:12.0,,A. Wiggins makes free throw 1 of 2,7,8
37,1,7:12.0,San Antonio full timeout,,7,8
