,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW YORK_ACTION,PHILADELPHIA_SCORE,NEW YORK_SCORE
0,1,11:40.0,,C. Anthony misses 2-pt jump shot from 13 ft,0,0
1,1,11:39.0,Defensive rebound by R. Holmes,,0,0
2,1,11:19.0,Shooting foul by C. Anthony (drawn by J. Anderson),,0,0
3,1,11:19.0,J. Anderson misses free throw 1 of 2,,0,0
4,1,11:19.0,Offensive rebound by Team,,0,0
5,1,11:19.0,J. Anderson makes free throw 2 of 2,,1,0
6,1,11:08.0,,W. Hernangómez misses 2-pt jump shot from 17 ft,1,0
7,1,11:08.0,Defensive rebound by A. Poythress,,1,0
8,1,10:47.0,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by T. McConnell),,3,0
9,1,10:24.0,,Shooting foul by R. Holmes (drawn by C. Lee),3,0
10,1,10:24.0,,C. Lee makes free throw 1 of 2,3,1
11,1,10:24.0,,C. Lee misses free throw 2 of 2,3,1
12,1,10:23.0,Defensive rebound by R. Holmes,,3,1
13,1,10:10.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 25 ft (assist by A. Poythress),,6,1
14,1,9:54.0,,M. Ndour misses 2-pt hook shot from 5 ft,6,1
15,1,9:53.0,,Offensive rebound by W. Hernangómez,6,1
16,1,9:52.0,,Turnover by M. Ndour (lost ball),6,1
17,1,9:39.0,Offensive foul by T. Luwawu-Cabarrot (drawn by R. Baker),,6,1
18,1,9:39.0,Turnover by T. Luwawu-Cabarrot (offensive foul),,6,1
19,1,9:20.0,,C. Anthony makes 2-pt jump shot from 11 ft,6,3
20,1,9:05.0,R. Holmes makes 2-pt layup from 1 ft (assist by T. McConnell),,8,3
21,1,8:52.0,,C. Lee makes 2-pt jump shot from 18 ft,8,5
22,1,8:52.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by C. Lee),8,5
23,1,8:52.0,,C. Lee misses free throw 1 of 1,8,5
24,1,8:51.0,Defensive rebound by T. McConnell,,8,5
25,1,8:45.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,,8,5
26,1,8:44.0,,Defensive rebound by W. Hernangómez,8,5
27,1,8:30.0,,Shooting foul by A. Poythress (drawn by M. Ndour),8,5
28,1,8:30.0,,M. Ndour makes free throw 1 of 2,8,6
