,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DETROIT_ACTION,SAN ANTONIO_SCORE,DETROIT_SCORE
0,1,11:43.0,,A. Drummond misses 2-pt hook shot from 10 ft,0,0
1,1,11:43.0,Defensive rebound by D. Dedmon,,0,0
2,1,11:27.0,L. Aldridge makes 2-pt jump shot from 16 ft (assist by T. Parker),,2,0
3,1,11:04.0,,A. Drummond misses 2-pt hook shot from 6 ft,2,0
4,1,11:03.0,Defensive rebound by K. Leonard,,2,0
5,1,10:48.0,L. Aldridge misses 2-pt jump shot from 14 ft,,2,0
6,1,10:47.0,,Defensive rebound by A. Drummond,2,0
7,1,10:35.0,,A. Drummond misses 2-pt hook shot from 9 ft,2,0
8,1,10:35.0,Defensive rebound by D. Green,,2,0
9,1,10:22.0,D. Dedmon makes 2-pt jump shot from 6 ft (assist by T. Parker),,4,0
10,1,10:08.0,,J. Leuer misses 2-pt jump shot from 9 ft,4,0
11,1,10:08.0,Defensive rebound by D. Dedmon,,4,0
12,1,10:00.0,L. Aldridge misses 2-pt jump shot from 18 ft,,4,0
13,1,9:59.0,Offensive rebound by D. Dedmon,,4,0
14,1,9:45.0,K. Leonard makes 2-pt jump shot from 12 ft,,6,0
15,1,9:37.0,,Turnover by J. Leuer (bad pass),6,0
16,1,9:27.0,Turnover by D. Dedmon (offensive foul),,6,0
17,1,9:27.0,Offensive foul by D. Dedmon (drawn by M. Morris),,6,0
18,1,9:09.0,,K. Caldwell-Pope makes 2-pt jump shot from 18 ft (assist by J. Leuer),6,2
19,1,8:58.0,L. Aldridge misses 2-pt layup from 1 ft,,6,2
20,1,8:57.0,,Defensive rebound by J. Leuer,6,2
21,1,8:49.0,,R. Jackson misses 2-pt layup from 1 ft,6,2
22,1,8:49.0,,Offensive rebound by A. Drummond,6,2
23,1,8:46.0,,A. Drummond misses 2-pt layup at rim,6,2
24,1,8:45.0,Defensive rebound by L. Aldridge,,6,2
25,1,8:34.0,K. Leonard misses 2-pt jump shot from 16 ft,,6,2
26,1,8:33.0,,Defensive rebound by A. Drummond,6,2
27,1,8:18.0,,K. Caldwell-Pope misses 2-pt layup at rim,6,2
28,1,8:18.0,Defensive rebound by D. Green,,6,2
29,1,8:03.0,L. Aldridge misses 2-pt jump shot from 6 ft,,6,2
30,1,8:03.0,,Defensive rebound by Team,6,2
31,1,7:49.0,,R. Jackson makes 2-pt jump shot from 18 ft,6,4
32,1,7:32.0,D. Dedmon makes 2-pt dunk at rim (assist by T. Parker),,8,4
33,1,7:09.0,,R. Jackson misses 3-pt jump shot from 24 ft,8,4
34,1,7:09.0,Defensive rebound by D. Dedmon,,8,4
35,1,6:46.0,D. Dedmon misses 2-pt jump shot from 8 ft,,8,4
36,1,6:46.0,Offensive rebound by Team,,8,4
37,1,6:46.0,Turnover by Team (shot clock),,8,4
38,1,6:32.0,,M. Morris misses 2-pt jump shot from 7 ft,8,4
39,1,6:31.0,Defensive rebound by L. Aldridge,,8,4
40,1,6:17.0,Turnover by K. Leonard (bad pass),,8,4
41,1,5:59.0,,Turnover by R. Jackson (bad pass; steal by D. Dedmon),8,4
42,1,5:55.0,San Antonio full timeout,,8,4
43,1,5:42.0,Turnover by L. Aldridge (bad pass; steal by M. Morris),,8,4
44,1,5:26.0,,K. Caldwell-Pope makes 2-pt jump shot from 21 ft (assist by M. Morris),8,6
45,1,5:09.0,D. Green misses 3-pt jump shot from 26 ft,,8,6
46,1,5:08.0,,Defensive rebound by R. Jackson,8,6
47,1,5:02.0,,Turnover by R. Jackson (bad pass),8,6
48,1,5:02.0,P. Mills enters the game for T. Parker,,8,6
49,1,5:02.0,D. Lee enters the game for D. Dedmon,,8,6
50,1,4:46.0,D. Lee makes 2-pt layup from 1 ft (assist by K. Leonard),,10,6
51,1,4:46.0,Shooting foul by A. Drummond (drawn by D. Lee),,10,6
52,1,4:46.0,,T. Harris enters the game for J. Leuer,10,6
53,1,4:46.0,D. Lee makes free throw 1 of 1,,11,6
54,1,4:33.0,,R. Jackson makes 2-pt jump shot from 22 ft,11,8
55,1,4:23.0,K. Leonard misses 3-pt jump shot from 27 ft,,11,8
56,1,4:22.0,,Defensive rebound by T. Harris,11,8
57,1,4:15.0,,A. Drummond misses 2-pt dunk at rim,11,8
58,1,4:12.0,Defensive rebound by K. Leonard,,11,8
59,1,4:07.0,D. Green makes 3-pt jump shot from 26 ft (assist by K. Leonard),,14,8
60,1,4:07.0,,Detroit full timeout,14,8
61,1,4:07.0,D. Dedmon enters the game for L. Aldridge,,14,8
62,1,4:07.0,M. Ginóbili enters the game for D. Green,,14,8
63,1,3:52.0,,T. Harris makes 2-pt layup from 1 ft (assist by R. Jackson),14,10
64,1,3:39.0,D. Dedmon misses 2-pt layup from 1 ft,,14,10
65,1,3:38.0,Offensive rebound by D. Dedmon,,14,10
66,1,3:35.0,D. Dedmon makes 2-pt dunk at rim,,16,10
