,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,UTAH_ACTION,MILWAUKEE_SCORE,UTAH_SCORE
0,1,11:39.0,,R. Gobert misses 2-pt layup from 3 ft (block by T. Maker),0,0
1,1,11:37.0,Defensive rebound by T. Maker,,0,0
2,1,11:15.0,G. Antetokounmpo misses 2-pt jump shot from 21 ft,,0,0
3,1,11:14.0,,Defensive rebound by G. Hill,0,0
4,1,11:00.0,,R. Hood misses 2-pt jump shot from 11 ft,0,0
5,1,11:00.0,Defensive rebound by J. Parker,,0,0
6,1,10:53.0,J. Parker misses 2-pt jump shot from 3 ft,,0,0
7,1,10:53.0,Offensive rebound by T. Maker,,0,0
8,1,10:53.0,Shooting foul by R. Gobert (drawn by T. Maker),,0,0
9,1,10:53.0,T. Maker misses free throw 1 of 2,,0,0
10,1,10:53.0,Offensive rebound by Team,,0,0
11,1,10:53.0,T. Maker misses free throw 2 of 2,,0,0
12,1,10:52.0,,Defensive rebound by R. Gobert,0,0
13,1,10:41.0,,G. Hill misses 2-pt jump shot from 4 ft,0,0
14,1,10:40.0,Defensive rebound by T. Snell,,0,0
15,1,10:32.0,J. Parker misses 3-pt jump shot from 24 ft,,0,0
16,1,10:32.0,,Defensive rebound by R. Gobert,0,0
17,1,10:19.0,,B. Diaw misses 2-pt layup from 1 ft (block by J. Parker),0,0
18,1,10:17.0,,Offensive rebound by R. Gobert,0,0
19,1,10:15.0,,R. Gobert makes 2-pt dunk at rim,0,2
20,1,9:55.0,T. Snell makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,3,2
21,1,9:40.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by R. Gobert),3,5
22,1,9:22.0,G. Antetokounmpo makes 2-pt dunk at rim,,5,5
23,1,9:21.0,Technical foul by G. Antetokounmpo,,5,5
24,1,9:21.0,,G. Hayward makes technical free throw,5,6
25,1,9:08.0,,R. Gobert misses 2-pt layup from 2 ft (block by T. Maker),5,6
26,1,9:08.0,Defensive rebound by T. Snell,,5,6
27,1,9:08.0,Personal foul by R. Gobert (drawn by T. Snell),,5,6
28,1,8:54.0,Shooting foul by B. Diaw (drawn by J. Parker),,5,6
29,1,8:54.0,J. Parker makes free throw 1 of 2,,6,6
30,1,8:54.0,,J. Withey enters the game for R. Gobert,6,6
31,1,8:54.0,J. Parker makes free throw 2 of 2,,7,6
32,1,8:41.0,,J. Withey makes 2-pt jump shot from 3 ft (assist by G. Hill),7,8
33,1,8:22.0,M. Dellavedova makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,10,8
34,1,8:10.0,,Shooting foul by J. Parker (drawn by G. Hayward),10,8
35,1,8:10.0,,G. Hayward makes free throw 1 of 3,10,9
36,1,8:10.0,,G. Hayward makes free throw 2 of 3,10,10
37,1,8:10.0,,G. Hayward makes free throw 3 of 3,10,11
38,1,7:57.0,G. Antetokounmpo misses 2-pt jump shot from 7 ft,,10,11
39,1,7:56.0,,Defensive rebound by Team,10,11
40,1,7:39.0,,G. Hill makes 2-pt layup from 2 ft,10,13
41,1,7:26.0,M. Dellavedova misses 2-pt layup from 2 ft,,10,13
42,1,7:26.0,Offensive rebound by G. Antetokounmpo,,10,13
43,1,7:22.0,T. Snell makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,13,13
44,1,7:02.0,,Turnover by B. Diaw (bad pass; steal by T. Maker),13,13
45,1,6:57.0,Personal foul by R. Hood (drawn by G. Antetokounmpo),,13,13
46,1,6:57.0,G. Monroe enters the game for T. Maker,,13,13
47,1,6:48.0,G. Monroe makes 2-pt layup from 2 ft (assist by M. Dellavedova),,15,13
48,1,6:29.0,,J. Withey misses 2-pt jump shot from 17 ft,15,13
49,1,6:29.0,,Offensive rebound by B. Diaw,15,13
50,1,6:22.0,,B. Diaw misses 2-pt jump shot from 9 ft,15,13
51,1,6:21.0,,Offensive rebound by G. Hayward,15,13
52,1,6:09.0,,B. Diaw misses 3-pt jump shot from 25 ft,15,13
53,1,6:08.0,,Offensive rebound by R. Hood,15,13
54,1,6:00.0,,Shooting foul by T. Snell (drawn by G. Hayward),15,13
55,1,6:00.0,,G. Hayward makes free throw 1 of 2,15,14
