,QUARTER,TIME_REMAINING,DALLAS_ACTION,LA CLIPPERS_ACTION,DALLAS_SCORE,LA CLIPPERS_SCORE
0,1,11:48.0,,Turnover by C. Paul (bad pass),0,0
1,1,11:32.0,Turnover by W. Matthews (lost ball; steal by J. Redick),,0,0
2,1,11:23.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by C. Paul),0,3
3,1,11:05.0,H. Barnes misses 2-pt jump shot from 17 ft,,0,3
4,1,11:02.0,,Defensive rebound by D. Jordan,0,3
5,1,10:54.0,,B. Griffin makes 2-pt layup from 3 ft (assist by C. Paul),0,5
6,1,10:29.0,W. Matthews misses 2-pt jump shot from 16 ft,,0,5
7,1,10:27.0,,Defensive rebound by D. Jordan,0,5
8,1,10:25.0,,B. Griffin makes 2-pt dunk at rim (assist by C. Paul),0,7
9,1,10:00.0,D. Nowitzki makes 2-pt jump shot from 14 ft,,2,7
10,1,9:49.0,,B. Griffin makes 2-pt hook shot from 5 ft,2,9
11,1,9:24.0,H. Barnes makes 2-pt jump shot from 15 ft,,4,9
12,1,9:14.0,,C. Paul makes 2-pt jump shot from 17 ft,4,11
13,1,8:52.0,H. Barnes makes 2-pt jump shot from 16 ft (assist by W. Matthews),,6,11
14,1,8:44.0,,L. Mbah a Moute makes 2-pt jump shot from 17 ft (assist by C. Paul),6,13
15,1,8:31.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,6,13
16,1,8:30.0,,Defensive rebound by D. Jordan,6,13
17,1,8:19.0,,B. Griffin makes 3-pt jump shot from 23 ft (assist by C. Paul),6,16
18,1,8:17.0,Dallas full timeout,,6,16
19,1,8:01.0,Y. Ferrell misses 2-pt jump shot from 18 ft,,6,16
20,1,7:59.0,,Defensive rebound by C. Paul,6,16
21,1,7:55.0,,Personal foul by H. Barnes (drawn by D. Jordan),6,16
22,1,7:41.0,,C. Paul makes 3-pt jump shot from 27 ft,6,19
23,1,7:28.0,D. Nowitzki misses 2-pt jump shot from 19 ft,,6,19
24,1,7:26.0,,Defensive rebound by D. Jordan,6,19
25,1,7:14.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Griffin),6,22
26,1,7:10.0,Dallas full timeout,,6,22
27,1,7:10.0,D. Harris enters the game for N. Noel,,6,22
28,1,7:10.0,J. Barea enters the game for Y. Ferrell,,6,22
29,1,6:51.0,D. Nowitzki misses 3-pt jump shot from 27 ft,,6,22
30,1,6:50.0,,Defensive rebound by B. Griffin,6,22
31,1,6:39.0,,Turnover by D. Jordan (lost ball; steal by D. Nowitzki),6,22
32,1,6:25.0,D. Harris makes 3-pt jump shot from 28 ft (assist by J. Barea),,9,22
33,1,6:02.0,,L. Mbah a Moute misses 2-pt layup from 2 ft,9,22
34,1,6:01.0,Defensive rebound by D. Nowitzki,,9,22
35,1,5:48.0,H. Barnes misses 3-pt jump shot from 25 ft,,9,22
36,1,5:47.0,,Defensive rebound by C. Paul,9,22
37,1,5:41.0,,C. Paul makes 3-pt jump shot from 26 ft,9,25
38,1,5:22.0,J. Barea makes 2-pt jump shot from 5 ft (assist by W. Matthews),,11,25
39,1,5:09.0,,C. Paul misses 2-pt jump shot from 16 ft,11,25
40,1,5:05.0,Defensive rebound by D. Nowitzki,,11,25
41,1,5:01.0,Turnover by J. Barea (step out of bounds),,11,25
42,1,5:01.0,S. Mejri enters the game for D. Nowitzki,,11,25
43,1,4:49.0,,J. Redick misses 2-pt jump shot from 20 ft,11,25
44,1,4:48.0,Defensive rebound by W. Matthews,,11,25
45,1,4:37.0,W. Matthews misses 2-pt jump shot from 3 ft,,11,25
46,1,4:34.0,Offensive rebound by S. Mejri,,11,25
47,1,4:30.0,D. Harris misses 3-pt jump shot from 27 ft,,11,25
48,1,4:29.0,,Defensive rebound by J. Redick,11,25
49,1,4:24.0,,D. Jordan makes 2-pt layup from 2 ft (assist by C. Paul),11,27
50,1,4:24.0,,Shooting foul by W. Matthews (drawn by D. Jordan),11,27
51,1,4:24.0,,D. Jordan misses free throw 1 of 1,11,27
52,1,4:24.0,,J. Crawford enters the game for B. Griffin,11,27
53,1,4:23.0,Defensive rebound by S. Mejri,,11,27
54,1,4:13.0,J. Barea misses 2-pt jump shot from 9 ft,,11,27
55,1,4:10.0,,Defensive rebound by D. Jordan,11,27
56,1,4:02.0,,L. Mbah a Moute misses 3-pt jump shot from 24 ft,11,27
57,1,4:01.0,Defensive rebound by J. Barea,,11,27
58,1,3:42.0,J. Barea makes 3-pt jump shot from 26 ft (assist by W. Matthews),,14,27
59,1,3:40.0,,LA Clippers full timeout,14,27
