,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,OKLAHOMA CITY_ACTION,GOLDEN STATE_SCORE,OKLAHOMA CITY_SCORE
0,1,11:35.0,,S. Adams makes 2-pt jump shot from 7 ft (assist by R. Westbrook),0,2
1,1,11:09.0,D. Green misses 2-pt jump shot from 16 ft,,0,2
2,1,11:09.0,,Defensive rebound by R. Westbrook,0,2
3,1,11:05.0,,T. Gibson makes 2-pt dunk at rim (assist by V. Oladipo),0,4
4,1,10:52.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),,3,4
5,1,10:35.0,,S. Adams makes 2-pt jump shot from 9 ft (assist by V. Oladipo),3,6
6,1,10:26.0,Z. Pachulia misses 2-pt layup from 1 ft,,3,6
7,1,10:26.0,Offensive rebound by Z. Pachulia,,3,6
8,1,10:26.0,Z. Pachulia misses 2-pt layup from 1 ft,,3,6
9,1,10:26.0,,Defensive rebound by Team,3,6
10,1,10:14.0,,S. Adams misses 2-pt jump shot from 8 ft,3,6
11,1,10:14.0,Defensive rebound by D. Green,,3,6
12,1,10:09.0,S. Curry misses 3-pt jump shot from 24 ft,,3,6
13,1,10:08.0,,Defensive rebound by R. Westbrook,3,6
14,1,10:03.0,,T. Gibson misses 2-pt dunk at rim,3,6
15,1,10:02.0,Defensive rebound by K. Thompson,,3,6
16,1,9:57.0,K. Thompson misses 2-pt layup from 1 ft,,3,6
17,1,9:57.0,,Defensive rebound by Team,3,6
18,1,9:46.0,,V. Oladipo makes 2-pt jump shot from 14 ft (assist by R. Westbrook),3,8
19,1,9:33.0,K. Thompson misses 3-pt jump shot from 25 ft,,3,8
20,1,9:32.0,,Defensive rebound by R. Westbrook,3,8
21,1,9:26.0,,V. Oladipo misses 3-pt jump shot from 23 ft,3,8
22,1,9:25.0,Defensive rebound by Z. Pachulia,,3,8
23,1,9:13.0,S. Curry misses 2-pt jump shot from 16 ft,,3,8
24,1,9:12.0,,Defensive rebound by Team,3,8
25,1,9:12.0,Loose ball foul by D. Green (drawn by S. Adams),,3,8
26,1,9:00.0,,T. Gibson misses 2-pt jump shot from 16 ft,3,8
27,1,8:59.0,Defensive rebound by K. Thompson,,3,8
28,1,8:49.0,D. Green misses 3-pt jump shot from 24 ft,,3,8
29,1,8:48.0,,Defensive rebound by R. Westbrook,3,8
