,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SAN ANTONIO_ACTION,PHOENIX_SCORE,SAN ANTONIO_SCORE
0,1,11:45.0,Turnover by P. Tucker (bad pass; steal by D. Green),,0,0
1,1,11:24.0,,P. Gasol makes 2-pt jump shot from 17 ft (assist by T. Parker),0,2
2,1,10:58.0,D. Booker misses 2-pt jump shot from 17 ft,,0,2
3,1,10:57.0,,Defensive rebound by L. Aldridge,0,2
4,1,10:46.0,,K. Anderson misses 2-pt jump shot from 4 ft,0,2
5,1,10:45.0,Defensive rebound by T. Chandler,,0,2
6,1,10:31.0,D. Booker misses 2-pt layup from 2 ft,,0,2
7,1,10:31.0,,Defensive rebound by K. Anderson,0,2
8,1,10:25.0,,Turnover by T. Parker (bad pass; steal by D. Booker),0,2
9,1,10:20.0,Personal foul by K. Anderson (drawn by T. Chandler),,0,2
10,1,10:14.0,M. Chriss makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),,3,2
11,1,9:54.0,,L. Aldridge makes 2-pt jump shot from 7 ft,3,4
12,1,9:54.0,,Shooting foul by M. Chriss (drawn by L. Aldridge),3,4
13,1,9:54.0,,L. Aldridge makes free throw 1 of 1,3,5
14,1,9:45.0,Personal foul by D. Green (drawn by D. Booker),,3,5
15,1,9:40.0,Turnover by D. Booker (bad pass; steal by P. Gasol),,3,5
16,1,9:36.0,,Turnover by K. Anderson (lost ball; steal by M. Chriss),3,5
17,1,9:31.0,M. Chriss misses 2-pt jump shot from 5 ft,,3,5
18,1,9:30.0,,Defensive rebound by L. Aldridge,3,5
19,1,9:20.0,,K. Anderson misses 2-pt jump shot from 5 ft,3,5
20,1,9:19.0,,Offensive rebound by K. Anderson,3,5
21,1,9:19.0,,K. Anderson misses 2-pt layup from 2 ft,3,5
22,1,9:17.0,,Offensive rebound by P. Gasol,3,5
23,1,9:15.0,,K. Anderson misses 2-pt layup from 1 ft,3,5
24,1,9:14.0,Defensive rebound by P. Tucker,,3,5
25,1,9:04.0,P. Tucker makes 2-pt layup from 2 ft,,5,5
26,1,8:55.0,,Personal foul by D. Booker (drawn by K. Anderson),5,5
27,1,8:47.0,,P. Gasol misses 2-pt jump shot from 19 ft,5,5
28,1,8:46.0,Defensive rebound by T. Chandler,,5,5
29,1,8:28.0,M. Chriss makes 2-pt layup from 2 ft,,7,5
30,1,8:13.0,,K. Anderson misses 2-pt layup from 1 ft (block by P. Tucker),7,5
31,1,8:12.0,,Offensive rebound by L. Aldridge,7,5
32,1,8:12.0,,L. Aldridge makes 2-pt layup at rim,7,7
33,1,7:52.0,Turnover by D. Booker (bad pass),,7,7
34,1,7:44.0,,Shooting foul by E. Bledsoe (drawn by P. Gasol),7,7
