,QUARTER,TIME_REMAINING,NEW YORK_ACTION,TORONTO_ACTION,NEW YORK_SCORE,TORONTO_SCORE
0,1,11:40.0,L. Thomas misses 2-pt jump shot from 22 ft,,0,0
1,1,11:40.0,,Defensive rebound by J. Valančiūnas,0,0
2,1,11:27.0,,D. DeRozan misses 2-pt jump shot from 19 ft,0,0
3,1,11:26.0,Defensive rebound by C. Anthony,,0,0
4,1,11:14.0,D. Rose makes 2-pt jump shot from 16 ft,,2,0
5,1,10:58.0,,D. Carroll misses 3-pt jump shot from 24 ft,2,0
6,1,10:58.0,Defensive rebound by D. Rose,,2,0
7,1,10:44.0,C. Lee misses 2-pt jump shot from 21 ft,,2,0
8,1,10:44.0,,Defensive rebound by J. Valančiūnas,2,0
9,1,10:35.0,,Personal foul by J. Noah (drawn by J. Valančiūnas),2,0
10,1,10:21.0,,J. Valančiūnas misses 2-pt hook shot from 6 ft,2,0
11,1,10:20.0,,Offensive rebound by J. Valančiūnas,2,0
12,1,10:18.0,,J. Valančiūnas misses 2-pt layup from 1 ft,2,0
13,1,10:17.0,,Offensive rebound by J. Valančiūnas,2,0
14,1,10:15.0,,J. Valančiūnas misses 2-pt layup from 2 ft,2,0
15,1,10:14.0,,Offensive rebound by L. Nogueira,2,0
16,1,10:11.0,,L. Nogueira makes 2-pt dunk at rim,2,2
17,1,10:10.0,New York full timeout,,2,2
18,1,10:10.0,M. Kuzminskas enters the game for L. Thomas,,2,2
19,1,9:55.0,Shooting foul by J. Valančiūnas (drawn by J. Noah),,2,2
20,1,9:55.0,J. Noah misses free throw 1 of 2,,2,2
21,1,9:55.0,Offensive rebound by Team,,2,2
22,1,9:55.0,J. Noah makes free throw 2 of 2,,3,2
23,1,9:38.0,,D. Carroll makes 2-pt layup from 3 ft (assist by J. Valančiūnas),3,4
24,1,9:25.0,Turnover by M. Kuzminskas (bad pass),,3,4
25,1,9:19.0,,Turnover by D. DeRozan (lost ball),3,4
26,1,9:07.0,M. Kuzminskas misses 3-pt jump shot from 24 ft,,3,4
27,1,9:06.0,,Defensive rebound by K. Lowry,3,4
28,1,9:02.0,,K. Lowry misses 3-pt jump shot from 25 ft,3,4
29,1,9:01.0,,Offensive rebound by D. Carroll,3,4
30,1,8:58.0,,D. Carroll misses 2-pt layup from 2 ft,3,4
31,1,8:58.0,Defensive rebound by M. Kuzminskas,,3,4
32,1,8:49.0,C. Lee misses 3-pt jump shot from 25 ft,,3,4
33,1,8:49.0,Offensive rebound by M. Kuzminskas,,3,4
34,1,8:42.0,C. Lee misses 2-pt jump shot from 13 ft,,3,4
35,1,8:41.0,,Defensive rebound by J. Valančiūnas,3,4
36,1,8:29.0,,D. DeRozan misses 2-pt jump shot from 18 ft,3,4
37,1,8:28.0,Defensive rebound by D. Rose,,3,4
38,1,8:22.0,D. Rose misses 2-pt jump shot from 11 ft,,3,4
39,1,8:22.0,,Defensive rebound by J. Valančiūnas,3,4
40,1,8:10.0,,Shooting foul by J. Noah (drawn by K. Lowry),3,4
41,1,8:10.0,,K. Lowry misses free throw 1 of 2,3,4
42,1,8:10.0,,Offensive rebound by Team,3,4
43,1,8:10.0,,K. Lowry makes free throw 2 of 2,3,5
44,1,7:51.0,C. Anthony makes 2-pt jump shot from 8 ft,,5,5
