,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ORLANDO_ACTION,CHARLOTTE_SCORE,ORLANDO_SCORE
0,1,11:45.0,,T. Ross misses 2-pt jump shot from 10 ft,0,0
1,1,11:43.0,Defensive rebound by M. Williams,,0,0
2,1,11:27.0,Personal foul by T. Ross (drawn by C. Zeller),,0,0
3,1,11:17.0,M. Williams misses 3-pt jump shot from 24 ft,,0,0
4,1,11:16.0,,Defensive rebound by N. Vučević,0,0
5,1,11:05.0,,T. Ross makes 2-pt jump shot from 17 ft (assist by N. Vučević),0,2
6,1,10:49.0,K. Walker misses 2-pt jump shot from 8 ft,,0,2
7,1,10:48.0,,Defensive rebound by N. Vučević,0,2
8,1,10:39.0,,N. Vučević makes 2-pt hook shot from 5 ft (assist by E. Payton),0,4
9,1,10:27.0,N. Batum misses 2-pt layup at rim,,0,4
10,1,10:25.0,,Defensive rebound by N. Vučević,0,4
11,1,10:20.0,,T. Ross misses 3-pt jump shot from 26 ft,0,4
12,1,10:19.0,Defensive rebound by M. Williams,,0,4
13,1,10:06.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by C. Zeller),,2,4
14,1,9:46.0,,N. Vučević makes 2-pt jump shot from 20 ft (assist by E. Fournier),2,6
15,1,9:26.0,Offensive foul by C. Zeller (drawn by E. Payton),,2,6
16,1,9:26.0,Turnover by C. Zeller (offensive foul),,2,6
17,1,9:10.0,,T. Ross misses 3-pt jump shot from 25 ft,2,6
18,1,9:09.0,Defensive rebound by C. Zeller,,2,6
19,1,9:01.0,Shooting foul by A. Gordon (drawn by K. Walker),,2,6
20,1,9:01.0,K. Walker makes free throw 1 of 2,,3,6
21,1,9:01.0,K. Walker makes free throw 2 of 2,,4,6
22,1,8:54.0,,E. Fournier makes 3-pt jump shot from 27 ft (assist by E. Payton),4,9
23,1,8:37.0,Turnover by N. Batum (bad pass; steal by T. Ross),,4,9
24,1,8:28.0,,N. Vučević misses 3-pt jump shot from 25 ft,4,9
25,1,8:27.0,,Offensive rebound by T. Ross,4,9
26,1,8:18.0,,E. Fournier makes 2-pt layup from 2 ft (assist by E. Payton),4,11
27,1,8:03.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by C. Zeller),,6,11
28,1,8:03.0,Shooting foul by N. Vučević (drawn by M. Kidd-Gilchrist),,6,11
29,1,8:03.0,M. Kidd-Gilchrist makes free throw 1 of 1,,7,11
30,1,7:49.0,,T. Ross makes 2-pt jump shot from 10 ft (assist by N. Vučević),7,13
31,1,7:31.0,K. Walker makes 2-pt layup from 1 ft,,9,13
32,1,7:12.0,,T. Ross misses 3-pt jump shot from 26 ft,9,13
33,1,7:09.0,,Offensive rebound by E. Fournier,9,13
34,1,6:56.0,,E. Fournier misses 3-pt jump shot from 24 ft,9,13
35,1,6:54.0,Defensive rebound by K. Walker,,9,13
36,1,6:48.0,,Violation by N. Vučević (kicked ball),9,13
37,1,6:38.0,K. Walker misses 3-pt jump shot from 25 ft,,9,13
38,1,6:35.0,,Defensive rebound by N. Vučević,9,13
39,1,6:27.0,,Orlando full timeout,9,13
40,1,6:20.0,,A. Gordon makes 2-pt hook shot from 10 ft,9,15
41,1,6:06.0,C. Zeller makes 2-pt dunk at rim (assist by K. Walker),,11,15
42,1,5:43.0,,E. Fournier misses 2-pt jump shot from 7 ft (block by M. Kidd-Gilchrist),11,15
43,1,5:43.0,Defensive rebound by Team,,11,15
44,1,5:43.0,F. Kaminsky enters the game for M. Williams,,11,15
45,1,5:42.0,,Turnover by E. Fournier (lost ball; steal by M. Kidd-Gilchrist),11,15
46,1,5:29.0,C. Zeller makes 2-pt dunk at rim (assist by N. Batum),,13,15
47,1,5:13.0,,A. Gordon misses 2-pt layup from 1 ft (block by F. Kaminsky),13,15
48,1,5:10.0,Defensive rebound by K. Walker,,13,15
49,1,5:03.0,F. Kaminsky misses 3-pt jump shot from 24 ft,,13,15
50,1,5:02.0,,Defensive rebound by A. Gordon,13,15
51,1,4:56.0,,Turnover by A. Gordon (lost ball; steal by C. Zeller),13,15
52,1,4:41.0,F. Kaminsky misses 2-pt jump shot from 5 ft,,13,15
53,1,4:38.0,Offensive rebound by C. Zeller,,13,15
54,1,4:23.0,K. Walker misses 2-pt jump shot from 12 ft,,13,15
55,1,4:21.0,,Defensive rebound by E. Fournier,13,15
56,1,4:16.0,,E. Payton misses 2-pt jump shot from 7 ft,13,15
57,1,4:14.0,Defensive rebound by N. Batum,,13,15
