,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW YORK_ACTION,ATLANTA_SCORE,NEW YORK_SCORE
0,1,11:43.0,P. Millsap makes 3-pt jump shot from 25 ft (assist by K. Bazemore),,3,0
1,1,11:16.0,,K. O'Quinn makes 2-pt jump shot from 19 ft (assist by D. Rose),3,2
2,1,11:03.0,K. Korver makes 2-pt jump shot from 18 ft (assist by D. Schröder),,5,2
3,1,10:49.0,,K. O'Quinn misses 2-pt jump shot from 19 ft,5,2
4,1,10:48.0,,Offensive rebound by K. O'Quinn,5,2
5,1,10:41.0,,K. Porziņģis misses 2-pt jump shot from 15 ft,5,2
6,1,10:40.0,Defensive rebound by K. Korver,,5,2
7,1,10:32.0,Turnover by D. Schröder (bad pass),,5,2
8,1,10:13.0,,C. Anthony misses 2-pt jump shot from 10 ft,5,2
9,1,10:12.0,Defensive rebound by D. Schröder,,5,2
10,1,10:00.0,D. Schröder misses 2-pt layup from 1 ft,,5,2
11,1,9:59.0,Offensive rebound by Team,,5,2
12,1,9:52.0,K. Bazemore misses 3-pt jump shot from 24 ft,,5,2
13,1,9:50.0,Offensive rebound by D. Howard,,5,2
14,1,9:48.0,Turnover by D. Howard (lost ball; steal by C. Lee),,5,2
15,1,9:34.0,,C. Anthony misses 3-pt jump shot from 26 ft,5,2
16,1,9:33.0,Defensive rebound by D. Howard,,5,2
17,1,9:25.0,Turnover by D. Schröder (dbl dribble),,5,2
18,1,9:10.0,,D. Rose makes 2-pt jump shot from 12 ft,5,4
19,1,8:52.0,P. Millsap misses 2-pt jump shot from 15 ft,,5,4
20,1,8:51.0,,Defensive rebound by C. Anthony,5,4
21,1,8:45.0,,K. Porziņģis misses 2-pt jump shot from 7 ft,5,4
22,1,8:44.0,,Offensive rebound by K. Porziņģis,5,4
23,1,8:41.0,,K. Porziņģis makes 2-pt layup from 1 ft,5,6
24,1,8:24.0,P. Millsap makes 2-pt jump shot from 12 ft,,7,6
25,1,8:04.0,,C. Lee makes 2-pt jump shot from 14 ft,7,8
26,1,7:51.0,D. Schröder misses 3-pt jump shot from 27 ft,,7,8
27,1,7:50.0,,Defensive rebound by C. Lee,7,8
28,1,7:42.0,,K. Porziņģis misses 2-pt layup from 1 ft,7,8
29,1,7:41.0,,Offensive rebound by K. O'Quinn,7,8
30,1,7:34.0,,D. Rose misses 3-pt jump shot from 25 ft,7,8
31,1,7:33.0,Defensive rebound by D. Schröder,,7,8
32,1,7:17.0,K. Bazemore misses 2-pt layup from 2 ft,,7,8
33,1,7:16.0,Offensive rebound by D. Howard,,7,8
34,1,7:16.0,D. Howard makes 2-pt dunk at rim,,9,8
35,1,7:03.0,,C. Lee misses 3-pt jump shot from 25 ft,9,8
36,1,7:02.0,Defensive rebound by Team,,9,8
37,1,7:02.0,M. Muscala enters the game for P. Millsap,,9,8
38,1,6:52.0,D. Schröder misses 2-pt jump shot from 5 ft,,9,8
39,1,6:51.0,,Defensive rebound by C. Anthony,9,8
40,1,6:38.0,,C. Anthony makes 2-pt jump shot from 14 ft,9,10
41,1,6:26.0,D. Schröder misses 2-pt layup from 2 ft (block by K. O'Quinn),,9,10
42,1,6:25.0,Offensive rebound by Team,,9,10
43,1,6:24.0,K. Bazemore misses 2-pt layup from 1 ft,,9,10
44,1,6:23.0,,Defensive rebound by K. O'Quinn,9,10
45,1,6:18.0,,K. Porziņģis makes 2-pt dunk at rim (assist by D. Rose),9,12
46,1,6:02.0,Shooting foul by K. O'Quinn (drawn by D. Howard),,9,12
47,1,6:02.0,D. Howard makes free throw 1 of 2,,10,12
48,1,6:02.0,D. Howard makes free throw 2 of 2,,11,12
49,1,5:51.0,,C. Anthony makes 2-pt jump shot from 13 ft,11,14
50,1,5:39.0,K. Korver misses 2-pt jump shot from 21 ft,,11,14
51,1,5:38.0,,Defensive rebound by K. O'Quinn,11,14
52,1,5:26.0,,C. Lee misses 2-pt jump shot from 21 ft,11,14
53,1,5:25.0,,Offensive rebound by K. O'Quinn,11,14
54,1,5:12.0,,D. Rose misses 2-pt layup from 2 ft,11,14
55,1,5:11.0,,Offensive rebound by K. O'Quinn,11,14
56,1,5:08.0,,K. O'Quinn makes 2-pt layup from 3 ft,11,16
57,1,5:07.0,Atlanta full timeout,,11,16
58,1,5:07.0,,W. Hernangómez enters the game for K. Porziņģis,11,16
59,1,5:07.0,T. Hardaway enters the game for K. Korver,,11,16
60,1,4:51.0,M. Muscala misses 2-pt layup from 2 ft,,11,16
61,1,4:50.0,Offensive rebound by D. Howard,,11,16
62,1,4:50.0,D. Howard makes 2-pt dunk at rim,,13,16
63,1,4:36.0,,Personal foul by K. Bazemore (drawn by C. Anthony),13,16
64,1,4:36.0,T. Prince enters the game for K. Bazemore,,13,16
65,1,4:27.0,,K. O'Quinn makes 2-pt layup from 2 ft (assist by C. Lee),13,18
66,1,4:07.0,D. Howard misses 2-pt hook shot from 3 ft,,13,18
67,1,4:06.0,,Defensive rebound by K. O'Quinn,13,18
68,1,3:56.0,,Turnover by D. Rose (bad pass),13,18
69,1,3:56.0,M. Delaney enters the game for D. Schröder,,13,18
70,1,3:43.0,T. Hardaway makes 2-pt jump shot from 20 ft,,15,18
71,1,3:21.0,,C. Anthony makes 2-pt jump shot from 17 ft,15,20
72,1,3:03.0,T. Prince misses 2-pt jump shot from 8 ft,,15,20
73,1,3:02.0,Offensive rebound by M. Muscala,,15,20
74,1,3:02.0,M. Muscala misses 2-pt layup from 1 ft,,15,20
75,1,3:01.0,Offensive rebound by T. Prince,,15,20
76,1,2:51.0,Shooting foul by K. O'Quinn (drawn by D. Howard),,15,20
77,1,2:51.0,,New York full timeout,15,20
78,1,2:51.0,D. Howard makes free throw 1 of 2,,16,20
79,1,2:51.0,,B. Jennings enters the game for D. Rose,15,20
80,1,2:51.0,P. Millsap enters the game for T. Prince,,15,20
81,1,2:51.0,D. Howard misses free throw 2 of 2,,16,20
82,1,2:50.0,Offensive rebound by P. Millsap,,16,20
83,1,2:43.0,Turnover by M. Delaney (bad pass; steal by C. Anthony),,16,20
84,1,2:34.0,,C. Anthony misses 3-pt jump shot from 25 ft,16,20
85,1,2:33.0,Defensive rebound by D. Howard,,16,20
86,1,2:19.0,Shooting foul by K. O'Quinn (drawn by D. Howard),,16,20
87,1,2:19.0,D. Howard makes free throw 1 of 2,,17,20
88,1,2:19.0,D. Howard misses free throw 2 of 2,,17,20
89,1,2:19.0,,K. Porziņģis enters the game for K. O'Quinn,17,20
90,1,2:18.0,,Defensive rebound by K. Porziņģis,17,20
91,1,2:00.0,,Offensive foul by C. Anthony (drawn by P. Millsap),17,20
92,1,2:00.0,,Turnover by C. Anthony (offensive foul),17,20
93,1,2:00.0,T. Prince enters the game for D. Howard,,17,20
94,1,1:49.0,Turnover by M. Delaney (bad pass; steal by B. Jennings),,17,20
95,1,1:37.0,,Personal foul by M. Muscala (drawn by W. Hernangómez),17,20
96,1,1:26.0,,C. Anthony makes 2-pt jump shot from 18 ft,17,22
97,1,1:06.0,Turnover by T. Hardaway (back court),,17,22
98,1,0:59.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,17,22
99,1,0:56.0,Defensive rebound by M. Delaney,,17,22
100,1,0:45.0,Def 3 sec tech foul by K. Porziņģis,,17,22
101,1,0:45.0,M. Delaney makes technical free throw,,18,22
102,1,0:43.0,T. Prince makes 2-pt jump shot from 9 ft (assist by T. Hardaway),,20,22
103,1,0:31.0,,B. Jennings misses 2-pt jump shot from 20 ft,20,22
104,1,0:29.0,Defensive rebound by M. Delaney,,20,22
105,1,0:11.0,M. Muscala misses 3-pt jump shot from 27 ft,,20,22
106,1,0:10.0,,Defensive rebound by B. Jennings,20,22
