,QUARTER,TIME_REMAINING,DENVER_ACTION,MIAMI_ACTION,DENVER_SCORE,MIAMI_SCORE
0,1,11:40.0,,H. Whiteside misses 2-pt hook shot from 7 ft,0,0
1,1,11:39.0,Defensive rebound by Team,,0,0
2,1,11:33.0,Turnover by J. Murray (bad pass),,0,0
3,1,11:23.0,,J. Richardson misses 2-pt jump shot from 15 ft,0,0
4,1,11:22.0,Defensive rebound by N. Jokić,,0,0
5,1,11:15.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by N. Jokić),,3,0
6,1,11:05.0,,G. Dragić misses 3-pt jump shot from 25 ft,3,0
7,1,11:04.0,Defensive rebound by N. Jokić,,3,0
8,1,11:00.0,Turnover by N. Jokić (bad pass),,3,0
9,1,10:51.0,,Shooting foul by N. Jokić (drawn by H. Whiteside),3,0
10,1,10:51.0,,H. Whiteside misses free throw 1 of 2,3,0
11,1,10:51.0,,Offensive rebound by Team,3,0
12,1,10:51.0,,H. Whiteside makes free throw 2 of 2,3,1
13,1,10:35.0,K. Faried misses 2-pt layup from 3 ft (block by H. Whiteside),,3,1
14,1,10:34.0,Offensive rebound by Team,,3,1
15,1,10:28.0,G. Harris makes 2-pt layup from 2 ft,,5,1
16,1,10:08.0,,L. Babbitt makes 2-pt jump shot from 15 ft (assist by G. Dragić),5,3
17,1,9:52.0,D. Gallinari misses 3-pt jump shot from 24 ft,,5,3
18,1,9:51.0,,Defensive rebound by G. Dragić,5,3
19,1,9:47.0,,G. Dragić makes 2-pt layup from 1 ft,5,5
20,1,9:31.0,N. Jokić misses 2-pt hook shot from 8 ft,,5,5
21,1,9:30.0,Offensive rebound by N. Jokić,,5,5
22,1,9:29.0,N. Jokić makes 2-pt layup from 2 ft,,7,5
23,1,9:29.0,Shooting foul by H. Whiteside (drawn by N. Jokić),,7,5
24,1,9:29.0,N. Jokić makes free throw 1 of 1,,8,5
25,1,9:14.0,,H. Whiteside misses 2-pt hook shot from 8 ft,8,5
26,1,9:13.0,Defensive rebound by K. Faried,,8,5
27,1,9:07.0,Personal foul by L. Babbitt (drawn by N. Jokić),,8,5
28,1,9:00.0,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),,11,5
29,1,8:50.0,,G. Dragić makes 2-pt jump shot from 7 ft,11,7
30,1,8:31.0,K. Faried misses 2-pt layup from 4 ft (block by H. Whiteside),,11,7
31,1,8:30.0,,Defensive rebound by H. Whiteside,11,7
32,1,8:14.0,,R. McGruder makes 2-pt layup from 2 ft,11,9
33,1,7:57.0,J. Murray misses 2-pt jump shot from 10 ft,,11,9
34,1,7:56.0,Offensive rebound by K. Faried,,11,9
35,1,7:52.0,K. Faried makes 2-pt hook shot from 3 ft,,13,9
36,1,7:34.0,,G. Dragić makes 3-pt jump shot from 24 ft (assist by R. McGruder),13,12
