,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DENVER_ACTION,LA LAKERS_SCORE,DENVER_SCORE
0,1,11:45.0,,D. Gallinari makes 2-pt dunk at rim (assist by N. Jokić),0,2
1,1,11:23.0,J. Randle misses 2-pt jump shot from 23 ft,,0,2
2,1,11:22.0,,Defensive rebound by N. Jokić,0,2
3,1,11:16.0,,G. Harris misses 2-pt layup from 2 ft,0,2
4,1,11:15.0,Defensive rebound by D. Nwaba,,0,2
5,1,11:02.0,I. Zubac makes 2-pt jump shot from 19 ft (assist by J. Randle),,2,2
6,1,10:37.0,,N. Jokić makes 2-pt jump shot from 21 ft (assist by D. Gallinari),2,4
7,1,10:24.0,B. Ingram makes 2-pt dunk at rim (assist by J. Clarkson),,4,4
8,1,10:11.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by J. Nelson),4,7
9,1,9:57.0,Shooting foul by N. Jokić (drawn by J. Clarkson),,4,7
10,1,9:57.0,J. Clarkson misses free throw 1 of 2,,4,7
11,1,9:57.0,Offensive rebound by Team,,4,7
12,1,9:57.0,J. Clarkson makes free throw 2 of 2,,5,7
13,1,9:47.0,,N. Jokić misses 3-pt jump shot from 26 ft,5,7
14,1,9:47.0,,Offensive rebound by M. Plumlee,5,7
15,1,9:47.0,,M. Plumlee misses 2-pt layup from 2 ft,5,7
16,1,9:44.0,Defensive rebound by I. Zubac,,5,7
17,1,9:28.0,J. Randle makes 2-pt jump shot from 3 ft,,7,7
18,1,9:17.0,,M. Plumlee makes 2-pt jump shot from 5 ft (assist by J. Nelson),7,9
19,1,9:08.0,Turnover by J. Randle (lost ball; steal by M. Plumlee),,7,9
20,1,8:58.0,,G. Harris misses 3-pt jump shot from 25 ft,7,9
21,1,8:55.0,Defensive rebound by J. Randle,,7,9
22,1,8:49.0,B. Ingram misses 2-pt jump shot from 21 ft,,7,9
23,1,8:47.0,,Defensive rebound by J. Nelson,7,9
24,1,8:45.0,,Shooting foul by B. Ingram (drawn by D. Gallinari),7,9
25,1,8:45.0,,D. Gallinari makes free throw 1 of 2,7,10
26,1,8:45.0,,D. Gallinari makes free throw 2 of 2,7,11
27,1,8:25.0,D. Nwaba misses 2-pt layup from 2 ft (block by M. Plumlee),,7,11
28,1,8:24.0,Offensive rebound by Team,,7,11
29,1,8:18.0,J. Randle makes 3-pt jump shot from 25 ft (assist by J. Clarkson),,10,11
30,1,8:03.0,,M. Plumlee misses 2-pt jump shot from 16 ft,10,11
31,1,8:02.0,Defensive rebound by J. Clarkson,,10,11
32,1,7:47.0,I. Zubac misses 2-pt layup from 1 ft,,10,11
33,1,7:45.0,,Defensive rebound by M. Plumlee,10,11
34,1,7:40.0,,N. Jokić makes 2-pt dunk at rim (assist by M. Plumlee),10,13
35,1,7:40.0,LA Lakers full timeout,,10,13
36,1,7:26.0,I. Zubac makes 2-pt jump shot from 7 ft (assist by J. Clarkson),,12,13
37,1,7:10.0,,N. Jokić misses 2-pt jump shot from 20 ft,12,13
38,1,7:09.0,Defensive rebound by D. Nwaba,,12,13
39,1,6:56.0,J. Randle misses 2-pt hook shot from 4 ft,,12,13
40,1,6:55.0,,Defensive rebound by M. Plumlee,12,13
41,1,6:53.0,,Shooting foul by J. Randle (drawn by M. Plumlee),12,13
42,1,6:53.0,,M. Plumlee makes free throw 1 of 2,12,14
43,1,6:53.0,,M. Plumlee makes free throw 2 of 2,12,15
44,1,6:39.0,Turnover by J. Clarkson (bad pass; steal by G. Harris),,12,15
45,1,6:39.0,,Personal foul by B. Ingram (drawn by M. Plumlee),12,15
46,1,6:34.0,,Personal foul by B. Ingram (drawn by D. Gallinari),12,15
47,1,6:34.0,C. Brewer enters the game for B. Ingram,,12,15
48,1,6:20.0,,G. Harris misses 2-pt jump shot from 8 ft,12,15
49,1,6:18.0,,Offensive rebound by G. Harris,12,15
50,1,6:18.0,,G. Harris misses 2-pt layup from 1 ft,12,15
51,1,6:16.0,,Offensive rebound by G. Harris,12,15
52,1,6:16.0,,G. Harris makes 2-pt layup from 2 ft,12,17
53,1,6:02.0,J. Clarkson makes 3-pt jump shot from 25 ft (assist by J. Randle),,15,17
54,1,6:02.0,Shooting foul by G. Harris (drawn by J. Clarkson),,15,17
55,1,6:02.0,J. Clarkson makes free throw 1 of 1,,16,17
56,1,5:50.0,,D. Gallinari misses 3-pt jump shot from 25 ft,16,17
57,1,5:48.0,Defensive rebound by J. Randle,,16,17
58,1,5:23.0,J. Clarkson misses 2-pt jump shot from 22 ft,,16,17
59,1,5:23.0,Offensive rebound by J. Randle,,16,17
60,1,5:03.0,C. Brewer misses 2-pt jump shot from 6 ft,,16,17
61,1,5:02.0,,Defensive rebound by M. Plumlee,16,17
62,1,4:54.0,,J. Nelson misses 3-pt jump shot from 26 ft,16,17
63,1,4:54.0,Defensive rebound by J. Clarkson,,16,17
64,1,4:49.0,,Violation by N. Jokić (kicked ball),16,17
65,1,4:49.0,D. Russell enters the game for I. Zubac,,16,17
66,1,4:49.0,L. Nance enters the game for D. Nwaba,,16,17
67,1,4:49.0,,J. Murray enters the game for G. Harris,16,17
68,1,4:49.0,,W. Barton enters the game for M. Plumlee,16,17
69,1,4:37.0,J. Clarkson makes 2-pt jump shot from 16 ft (assist by L. Nance),,18,17
70,1,4:23.0,,N. Jokić makes 2-pt layup from 2 ft (assist by J. Nelson),18,19
71,1,4:14.0,,Offensive charge foul by D. Russell (drawn by J. Nelson),18,19
72,1,4:14.0,Turnover by D. Russell (offensive foul),,18,19
73,1,4:14.0,T. Black enters the game for J. Randle,,18,19
74,1,3:59.0,,N. Jokić makes 2-pt jump shot from 8 ft (assist by J. Murray),18,21
75,1,3:39.0,J. Clarkson misses 2-pt jump shot from 7 ft,,18,21
76,1,3:38.0,,Defensive rebound by D. Gallinari,18,21
77,1,3:35.0,,Shooting foul by T. Black (drawn by D. Gallinari),18,21
78,1,3:35.0,,D. Gallinari makes free throw 1 of 2,18,22
79,1,3:35.0,,D. Gallinari makes free throw 2 of 2,18,23
80,1,3:24.0,D. Russell misses 2-pt jump shot from 5 ft,,18,23
81,1,3:23.0,,Defensive rebound by N. Jokić,18,23
82,1,3:13.0,,Turnover by J. Nelson (bad pass; steal by D. Russell),18,23
