,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHOENIX_ACTION,SACRAMENTO_SCORE,PHOENIX_SCORE
0,1,11:37.0,T. Lawson makes 2-pt jump shot from 16 ft (assist by K. Koufos),,2,0
1,1,11:09.0,,J. Dudley makes 2-pt jump shot from 6 ft,2,2
2,1,10:57.0,T. Lawson misses 3-pt jump shot from 23 ft,,2,2
3,1,10:54.0,,Defensive rebound by T. Warren,2,2
4,1,10:46.0,,D. Booker misses 3-pt jump shot from 28 ft,2,2
5,1,10:44.0,Defensive rebound by T. Lawson,,2,2
6,1,10:40.0,D. Cousins makes 2-pt layup from 2 ft (assist by T. Lawson),,4,2
7,1,10:16.0,,T. Chandler makes 2-pt dunk at rim (assist by J. Dudley),4,4
8,1,9:50.0,K. Koufos misses 2-pt hook shot from 8 ft,,4,4
9,1,9:47.0,,Defensive rebound by T. Chandler,4,4
10,1,9:44.0,,E. Bledsoe misses 2-pt jump shot from 22 ft,4,4
11,1,9:40.0,Defensive rebound by A. Afflalo,,4,4
12,1,9:29.0,K. Koufos misses 2-pt layup from 2 ft (block by J. Dudley),,4,4
13,1,9:29.0,Offensive rebound by Team,,4,4
14,1,9:27.0,D. Cousins misses 3-pt jump shot from 23 ft,,4,4
15,1,9:24.0,,Defensive rebound by J. Dudley,4,4
16,1,9:20.0,,D. Booker misses 3-pt jump shot from 26 ft,4,4
17,1,9:17.0,Defensive rebound by D. Cousins,,4,4
18,1,9:07.0,Shooting block foul by D. Booker (drawn by T. Lawson),,4,4
19,1,9:07.0,T. Lawson makes free throw 1 of 2,,5,4
20,1,9:07.0,T. Lawson makes free throw 2 of 2,,6,4
21,1,8:51.0,,Personal foul by D. Cousins (drawn by J. Dudley),6,4
22,1,8:38.0,,J. Dudley misses 2-pt jump shot from 19 ft,6,4
23,1,8:36.0,Defensive rebound by A. Afflalo,,6,4
24,1,8:18.0,A. Afflalo makes 3-pt jump shot from 26 ft (assist by D. Cousins),,9,4
25,1,8:04.0,,E. Bledsoe makes 2-pt layup from 2 ft (assist by D. Booker),9,6
26,1,7:52.0,K. Koufos misses 2-pt jump shot from 8 ft,,9,6
27,1,7:50.0,,Defensive rebound by T. Warren,9,6
28,1,7:42.0,,D. Booker makes 2-pt jump shot from 8 ft,9,8
29,1,7:28.0,Shooting foul by T. Chandler (drawn by D. Cousins),,9,8
30,1,7:28.0,D. Cousins makes free throw 1 of 2,,10,8
31,1,7:28.0,M. Barnes enters the game for K. Koufos,,10,8
32,1,7:28.0,D. Cousins makes free throw 2 of 2,,11,8
33,1,7:14.0,,E. Bledsoe makes 2-pt jump shot from 18 ft,11,10
34,1,6:58.0,M. Barnes misses 3-pt jump shot from 26 ft,,11,10
35,1,6:56.0,,Defensive rebound by E. Bledsoe,11,10
36,1,6:52.0,,E. Bledsoe makes 2-pt layup from 3 ft,11,12
37,1,6:47.0,,Offensive charge foul by D. Cousins (drawn by J. Dudley),11,12
38,1,6:47.0,Turnover by D. Cousins (offensive foul),,11,12
39,1,6:47.0,W. Cauley-Stein enters the game for D. Cousins,,11,12
40,1,6:24.0,,T. Warren misses 2-pt jump shot from 18 ft,11,12
41,1,6:20.0,Defensive rebound by T. Lawson,,11,12
42,1,6:19.0,T. Lawson misses 2-pt jump shot from 7 ft,,11,12
43,1,6:19.0,Offensive rebound by Team,,11,12
44,1,6:04.0,R. Gay misses 2-pt jump shot from 16 ft,,11,12
45,1,6:01.0,,Defensive rebound by E. Bledsoe,11,12
46,1,5:48.0,,T. Warren misses 3-pt jump shot from 22 ft,11,12
47,1,5:46.0,Defensive rebound by M. Barnes,,11,12
48,1,5:44.0,,Violation by J. Dudley (kicked ball),11,12
49,1,5:44.0,,Phoenix full timeout,11,12
50,1,5:44.0,,B. Knight enters the game for T. Chandler,11,12
51,1,5:44.0,,A. Len enters the game for E. Bledsoe,11,12
52,1,5:33.0,A. Afflalo misses 2-pt jump shot from 16 ft,,11,12
53,1,5:32.0,Offensive rebound by T. Lawson,,11,12
54,1,5:28.0,Turnover by M. Barnes (bad pass; steal by A. Len),,11,12
55,1,5:17.0,,J. Dudley makes 2-pt jump shot from 16 ft (assist by A. Len),11,14
56,1,5:05.0,Def 3 sec tech foul by A. Len,,11,14
57,1,5:05.0,R. Gay makes technical free throw,,12,14
58,1,5:00.0,R. Gay misses 3-pt jump shot from 26 ft,,12,14
59,1,4:58.0,,Defensive rebound by A. Len,12,14
60,1,4:49.0,,Turnover by B. Knight (bad pass; steal by T. Lawson),12,14
61,1,4:45.0,M. Barnes makes 2-pt layup from 1 ft (assist by T. Lawson),,14,14
62,1,4:21.0,,A. Len misses 2-pt hook shot from 9 ft,14,14
63,1,4:19.0,Defensive rebound by M. Barnes,,14,14
64,1,4:17.0,Personal foul by D. Booker (drawn by A. Afflalo),,14,14
65,1,4:17.0,A. Tolliver enters the game for R. Gay,,14,14
66,1,4:17.0,,E. Bledsoe enters the game for D. Booker,14,14
67,1,4:02.0,A. Afflalo misses 2-pt jump shot from 15 ft,,14,14
68,1,3:59.0,,Defensive rebound by T. Warren,14,14
69,1,3:49.0,,Shooting foul by M. Barnes (drawn by T. Warren),14,14
70,1,3:49.0,,T. Warren makes free throw 1 of 2,14,15
71,1,3:49.0,G. Temple enters the game for T. Lawson,,14,15
72,1,3:49.0,,M. Chriss enters the game for J. Dudley,14,15
73,1,3:49.0,,T. Warren makes free throw 2 of 2,14,16
74,1,3:35.0,Turnover by G. Temple (bad pass; steal by T. Warren),,14,16
75,1,3:30.0,,T. Warren makes 2-pt layup from 1 ft,14,18
76,1,3:24.0,Sacramento full timeout,,14,18
77,1,3:24.0,,P. Tucker enters the game for T. Warren,14,18
78,1,3:24.0,,L. Barbosa enters the game for E. Bledsoe,14,18
79,1,3:24.0,B. McLemore enters the game for A. Afflalo,,14,18
80,1,3:09.0,A. Tolliver misses 3-pt jump shot from 26 ft,,14,18
81,1,3:07.0,,Defensive rebound by L. Barbosa,14,18
82,1,3:03.0,,B. Knight misses 3-pt jump shot from 24 ft,14,18
83,1,3:00.0,Defensive rebound by A. Tolliver,,14,18
84,1,2:54.0,G. Temple makes 2-pt jump shot from 18 ft,,16,18
