,QUARTER,TIME_REMAINING,BOSTON_ACTION,CHARLOTTE_ACTION,BOSTON_SCORE,CHARLOTTE_SCORE
0,1,11:35.0,,K. Walker makes 2-pt jump shot from 15 ft,0,2
1,1,11:21.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by A. Bradley),,3,2
2,1,11:07.0,,M. Williams misses 3-pt jump shot from 25 ft,3,2
3,1,11:06.0,Defensive rebound by Team,,3,2
4,1,10:56.0,A. Bradley makes 3-pt jump shot from 24 ft,,6,2
5,1,10:40.0,,Personal foul by J. Crowder (drawn by M. Kidd-Gilchrist),6,2
6,1,10:29.0,,M. Williams makes 2-pt jump shot from 12 ft (assist by N. Batum),6,4
7,1,10:15.0,Personal foul by M. Kidd-Gilchrist (drawn by A. Horford),,6,4
8,1,10:08.0,A. Johnson misses 2-pt jump shot from 20 ft,,6,4
9,1,10:07.0,,Defensive rebound by Team,6,4
10,1,9:51.0,,K. Walker misses 3-pt jump shot from 24 ft,6,4
11,1,9:49.0,Defensive rebound by J. Crowder,,6,4
12,1,9:41.0,J. Crowder misses 2-pt jump shot from 21 ft,,6,4
13,1,9:39.0,,Defensive rebound by C. Zeller,6,4
14,1,9:29.0,,M. Williams misses 3-pt jump shot from 24 ft,6,4
15,1,9:28.0,Defensive rebound by A. Bradley,,6,4
16,1,9:10.0,I. Thomas makes 3-pt jump shot from 25 ft (assist by A. Bradley),,9,4
17,1,8:45.0,,N. Batum misses 2-pt jump shot from 10 ft,9,4
18,1,8:44.0,Defensive rebound by A. Horford,,9,4
19,1,8:28.0,A. Bradley misses 3-pt jump shot from 26 ft,,9,4
20,1,8:26.0,,Defensive rebound by M. Williams,9,4
21,1,8:20.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),9,7
22,1,8:03.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by I. Thomas),,12,7
23,1,7:48.0,,Personal foul by A. Horford (drawn by M. Williams),12,7
24,1,7:34.0,,Turnover by Team (shot clock),12,7
25,1,7:18.0,Turnover by A. Bradley (lost ball),,12,7
26,1,7:06.0,,M. Williams misses 3-pt jump shot from 25 ft,12,7
27,1,7:04.0,Defensive rebound by A. Bradley,,12,7
28,1,6:53.0,I. Thomas makes 3-pt jump shot from 25 ft (assist by A. Horford),,15,7
29,1,6:44.0,,Charlotte full timeout,15,7
30,1,6:38.0,,Shooting foul by A. Johnson (drawn by C. Zeller),15,7
31,1,6:38.0,,C. Zeller misses free throw 1 of 2,15,7
32,1,6:38.0,,Offensive rebound by Team,15,7
33,1,6:38.0,,C. Zeller misses free throw 2 of 2,15,7
34,1,6:35.0,Defensive rebound by J. Crowder,,15,7
35,1,6:22.0,Turnover by A. Horford (bad pass; steal by K. Walker),,15,7
36,1,6:00.0,,M. Williams misses 3-pt jump shot from 23 ft,15,7
37,1,5:59.0,Defensive rebound by A. Johnson,,15,7
38,1,5:48.0,A. Horford makes 2-pt hook shot from 7 ft,,17,7
39,1,5:31.0,,Shooting foul by A. Johnson (drawn by C. Zeller),17,7
40,1,5:31.0,,C. Zeller misses free throw 1 of 2,17,7
41,1,5:31.0,,Offensive rebound by Team,17,7
42,1,5:31.0,G. Green enters the game for A. Johnson,,17,7
43,1,5:31.0,,M. Belinelli enters the game for M. Kidd-Gilchrist,17,7
44,1,5:31.0,,C. Zeller makes free throw 2 of 2,17,8
45,1,5:14.0,G. Green makes 2-pt layup from 1 ft (assist by A. Horford),,19,8
46,1,4:51.0,,K. Walker misses 3-pt jump shot from 24 ft,19,8
47,1,4:50.0,,Offensive rebound by C. Zeller,19,8
48,1,4:45.0,,M. Belinelli misses 3-pt jump shot from 24 ft,19,8
49,1,4:45.0,,Offensive rebound by Team,19,8
50,1,4:45.0,,S. Hawes enters the game for C. Zeller,19,8
51,1,4:37.0,,Turnover by K. Walker (lost ball),19,8
52,1,4:25.0,J. Crowder misses 3-pt jump shot from 24 ft,,19,8
53,1,4:24.0,,Defensive rebound by K. Walker,19,8
54,1,4:04.0,,S. Hawes misses 2-pt jump shot from 15 ft,19,8
55,1,4:03.0,Defensive rebound by A. Bradley,,19,8
56,1,3:56.0,A. Horford makes 2-pt layup from 1 ft (assist by I. Thomas),,21,8
57,1,3:36.0,,K. Walker misses 3-pt jump shot from 25 ft (block by A. Horford),21,8
58,1,3:35.0,Defensive rebound by J. Crowder,,21,8
59,1,3:30.0,A. Bradley misses 2-pt jump shot from 19 ft,,21,8
60,1,3:29.0,,Defensive rebound by Team,21,8
61,1,3:29.0,T. Rozier enters the game for I. Thomas,,21,8
62,1,3:22.0,,Personal foul by A. Bradley (drawn by K. Walker),21,8
63,1,3:22.0,,K. Walker makes free throw 1 of 2,21,9
64,1,3:22.0,T. Zeller enters the game for A. Horford,,21,8
65,1,3:22.0,,F. Kaminsky enters the game for M. Williams,21,9
66,1,3:22.0,,K. Walker makes free throw 2 of 2,21,10
67,1,3:11.0,G. Green misses 3-pt jump shot from 25 ft,,21,10
68,1,3:09.0,,Defensive rebound by N. Batum,21,10
69,1,3:01.0,,S. Hawes misses 2-pt jump shot from 4 ft (block by T. Zeller),21,10
70,1,2:59.0,,Offensive rebound by S. Hawes,21,10
71,1,2:57.0,,S. Hawes misses 2-pt jump shot from 6 ft,21,10
72,1,2:55.0,Defensive rebound by J. Crowder,,21,10
73,1,2:47.0,Personal foul by N. Batum (drawn by T. Zeller),,21,10
74,1,2:47.0,Boston full timeout,,21,10
75,1,2:47.0,,R. Sessions enters the game for K. Walker,21,10
76,1,2:41.0,T. Zeller makes 2-pt dunk at rim (assist by A. Bradley),,23,10
77,1,2:31.0,,N. Batum makes 2-pt jump shot from 16 ft (assist by R. Sessions),23,12
78,1,2:03.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by J. Crowder),,26,12
79,1,1:50.0,,Shooting foul by T. Zeller (drawn by F. Kaminsky),26,12
80,1,1:50.0,,F. Kaminsky makes free throw 1 of 2,26,13
81,1,1:50.0,,J. Lamb enters the game for N. Batum,26,13
82,1,1:50.0,,F. Kaminsky makes free throw 2 of 2,26,14
83,1,1:34.0,Shooting foul by R. Sessions (drawn by G. Green),,26,14
84,1,1:34.0,G. Green makes free throw 1 of 2,,27,14
85,1,1:34.0,G. Green makes free throw 2 of 2,,28,14
86,1,1:13.0,,J. Lamb misses 3-pt jump shot from 25 ft,28,14
87,1,1:12.0,Defensive rebound by A. Bradley,,28,14
88,1,1:05.0,Turnover by G. Green (lost ball; steal by J. Lamb),,28,14
89,1,0:59.0,,R. Sessions makes 2-pt layup from 1 ft (assist by F. Kaminsky),28,16
90,1,0:41.0,Turnover by J. Crowder (bad pass; steal by S. Hawes),,28,16
91,1,0:31.0,,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by M. Belinelli),28,19
92,1,0:10.0,T. Rozier misses 2-pt layup from 1 ft,,28,19
93,1,0:09.0,,Defensive rebound by S. Hawes,28,19
