,QUARTER,TIME_REMAINING,HOUSTON_ACTION,BROOKLYN_ACTION,HOUSTON_SCORE,BROOKLYN_SCORE
0,1,11:47.0,M. Harrell makes 2-pt dunk at rim (assist by T. Ariza),,2,0
1,1,11:28.0,,J. Harris misses 3-pt jump shot from 26 ft,2,0
2,1,11:27.0,Defensive rebound by P. Beverley,,2,0
3,1,11:18.0,M. Harrell makes 2-pt hook shot from 7 ft (assist by P. Beverley),,4,0
4,1,10:59.0,,T. Booker makes 2-pt jump shot from 9 ft,4,2
5,1,10:49.0,P. Beverley misses 3-pt jump shot from 23 ft,,4,2
6,1,10:48.0,,Defensive rebound by T. Booker,4,2
7,1,10:42.0,,J. Harris makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),4,5
8,1,10:22.0,M. Harrell makes 2-pt layup from 2 ft (assist by J. Harden),,6,5
9,1,10:01.0,,J. Harris makes 3-pt jump shot from 26 ft (assist by T. Booker),6,8
10,1,9:48.0,T. Ariza makes 3-pt jump shot from 24 ft,,9,8
11,1,9:23.0,,J. Hamilton makes 2-pt layup from 2 ft (assist by S. Dinwiddie),9,10
12,1,9:14.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by J. Harden),,12,10
13,1,9:00.0,,J. Harris makes 2-pt layup from 2 ft (assist by J. Hamilton),12,12
14,1,8:43.0,J. Harden makes 2-pt jump shot from 5 ft,,14,12
15,1,8:22.0,,Turnover by T. Booker (bad pass; steal by M. Harrell),14,12
16,1,8:18.0,Turnover by R. Anderson (bad pass),,14,12
17,1,8:14.0,,S. Dinwiddie misses 2-pt jump shot from 14 ft (block by J. Harden),14,12
18,1,8:12.0,Defensive rebound by J. Harden,,14,12
19,1,8:07.0,J. Harden misses 2-pt layup from 3 ft (block by J. Hamilton),,14,12
20,1,8:03.0,,Defensive rebound by T. Booker,14,12
21,1,8:02.0,,Turnover by B. Bogdanović (bad pass; steal by R. Anderson),14,12
22,1,7:52.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by T. Ariza),,17,12
23,1,7:48.0,,Brooklyn full timeout,17,12
24,1,7:34.0,,Turnover by Team (back court),17,12
25,1,7:26.0,Personal foul by S. Dinwiddie (drawn by M. Harrell),,17,12
26,1,7:22.0,J. Harden misses 3-pt jump shot from 24 ft,,17,12
27,1,7:21.0,Offensive rebound by T. Ariza,,17,12
28,1,7:14.0,T. Ariza makes 2-pt jump shot from 9 ft,,19,12
29,1,6:59.0,,T. Booker makes 2-pt hook shot from 8 ft,19,14
30,1,6:45.0,J. Harden misses 2-pt layup from 2 ft (block by J. Hamilton),,19,14
31,1,6:44.0,,Defensive rebound by S. Dinwiddie,19,14
32,1,6:38.0,,J. Harris misses 3-pt jump shot from 24 ft,19,14
33,1,6:38.0,Defensive rebound by T. Ariza,,19,14
34,1,6:33.0,T. Ariza misses 3-pt jump shot from 25 ft,,19,14
35,1,6:29.0,,Defensive rebound by J. Hamilton,19,14
36,1,6:16.0,,T. Booker makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),19,17
37,1,5:57.0,Shooting foul by B. Bogdanović (drawn by T. Ariza),,19,17
38,1,5:57.0,T. Ariza makes free throw 1 of 3,,20,17
39,1,5:57.0,T. Ariza makes free throw 2 of 3,,21,17
40,1,5:57.0,E. Gordon enters the game for P. Beverley,,21,17
41,1,5:57.0,,R. Foye enters the game for J. Harris,21,17
42,1,5:57.0,,S. Kilpatrick enters the game for B. Bogdanović,21,17
43,1,5:57.0,T. Ariza makes free throw 3 of 3,,22,17
44,1,5:37.0,,R. Foye misses 3-pt jump shot from 25 ft,22,17
45,1,5:36.0,Defensive rebound by T. Ariza,,22,17
46,1,5:30.0,Personal foul by J. Hamilton (drawn by M. Harrell),,22,17
47,1,5:30.0,M. Harrell makes free throw 1 of 2,,23,17
48,1,5:30.0,M. Harrell makes free throw 2 of 2,,24,17
49,1,5:17.0,,S. Kilpatrick misses 3-pt jump shot from 26 ft,24,17
50,1,5:16.0,Defensive rebound by R. Anderson,,24,17
51,1,5:11.0,E. Gordon misses 2-pt layup from 3 ft (block by J. Hamilton),,24,17
52,1,5:10.0,Offensive rebound by Team,,24,17
53,1,5:04.0,Shooting foul by J. Hamilton (drawn by R. Anderson),,24,17
54,1,5:04.0,R. Anderson makes free throw 1 of 2,,25,17
55,1,5:04.0,R. Anderson makes free throw 2 of 2,,26,17
56,1,4:53.0,,J. Hamilton makes 3-pt jump shot from 25 ft (assist by S. Kilpatrick),26,20
57,1,4:25.0,T. Ariza misses 3-pt jump shot from 25 ft,,26,20
58,1,4:24.0,Offensive rebound by Team,,26,20
59,1,4:24.0,,Loose ball foul by R. Foye (drawn by R. Anderson),26,20
60,1,4:24.0,R. Anderson makes free throw 1 of 2,,27,20
61,1,4:24.0,,R. Hollis-Jefferson enters the game for J. Hamilton,27,20
62,1,4:24.0,N. Hilário enters the game for M. Harrell,,27,20
63,1,4:24.0,R. Anderson makes free throw 2 of 2,,28,20
64,1,4:08.0,,R. Foye makes 3-pt jump shot from 24 ft (assist by S. Kilpatrick),28,23
65,1,3:56.0,Turnover by N. Hilário (bad pass),,28,23
66,1,3:56.0,S. Dekker enters the game for R. Anderson,,28,23
67,1,3:56.0,,Q. Acy enters the game for T. Booker,28,23
68,1,3:38.0,,S. Kilpatrick misses 3-pt jump shot from 25 ft,28,23
69,1,3:37.0,,Offensive rebound by Q. Acy,28,23
70,1,3:36.0,,Q. Acy misses 2-pt layup from 1 ft,28,23
71,1,3:35.0,,Offensive rebound by Q. Acy,28,23
72,1,3:33.0,,Q. Acy misses 2-pt layup from 3 ft,28,23
73,1,3:31.0,Defensive rebound by T. Ariza,,28,23
74,1,3:25.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by J. Harden),,31,23
75,1,3:09.0,,S. Dinwiddie misses 2-pt jump shot from 10 ft,31,23
76,1,3:08.0,,Offensive rebound by Q. Acy,31,23
77,1,3:06.0,,Q. Acy misses 2-pt layup from 1 ft,31,23
78,1,3:05.0,Defensive rebound by E. Gordon,,31,23
79,1,2:54.0,J. Harden misses 3-pt jump shot from 23 ft,,31,23
80,1,2:53.0,,Defensive rebound by S. Kilpatrick,31,23
81,1,2:36.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft,31,23
82,1,2:35.0,,Offensive rebound by Team,31,23
83,1,2:34.0,Houston full timeout,,31,23
84,1,2:34.0,,C. LeVert enters the game for S. Dinwiddie,31,23
85,1,2:31.0,,R. Foye makes 2-pt layup from 2 ft (assist by C. LeVert),31,25
86,1,2:18.0,N. Hilário makes 2-pt dunk at rim (assist by E. Gordon),,33,25
87,1,2:02.0,,S. Kilpatrick misses 2-pt jump shot from 9 ft,33,25
88,1,2:00.0,,Offensive rebound by R. Hollis-Jefferson,33,25
89,1,1:59.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft,33,27
90,1,1:42.0,N. Hilário misses 2-pt layup from 3 ft,,33,27
91,1,1:40.0,,Defensive rebound by C. LeVert,33,27
92,1,1:26.0,,Q. Acy makes 3-pt jump shot from 25 ft (assist by C. LeVert),33,30
93,1,1:10.0,Turnover by J. Harden (lost ball; steal by R. Hollis-Jefferson),,33,30
94,1,1:06.0,,R. Hollis-Jefferson makes 2-pt dunk at rim (assist by R. Foye),33,32
95,1,0:58.0,S. Dekker makes 2-pt dunk at rim (assist by E. Gordon),,35,32
96,1,0:47.0,,Personal foul by S. Dekker (drawn by R. Hollis-Jefferson),35,32
97,1,0:47.0,,R. Hollis-Jefferson makes free throw 1 of 2,35,33
