,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,ATLANTA_ACTION,SACRAMENTO_SCORE,ATLANTA_SCORE
0,1,11:34.0,R. Gay misses 2-pt layup from 2 ft,,0,0
1,1,11:33.0,,Defensive rebound by Team,0,0
2,1,11:13.0,,P. Millsap misses 2-pt jump shot from 13 ft,0,0
3,1,11:12.0,Defensive rebound by D. Cousins,,0,0
4,1,10:59.0,D. Cousins misses 2-pt layup from 3 ft (block by D. Howard),,0,0
5,1,10:58.0,Offensive rebound by D. Cousins,,0,0
6,1,10:52.0,T. Lawson misses 2-pt layup at rim (block by D. Howard),,0,0
7,1,10:52.0,Offensive rebound by Team,,0,0
8,1,10:50.0,,Offensive charge foul by A. Afflalo (drawn by D. Schröder),0,0
9,1,10:50.0,Turnover by A. Afflalo (offensive foul),,0,0
10,1,10:39.0,,D. Howard makes 2-pt jump shot from 7 ft (assist by K. Bazemore),0,2
11,1,10:16.0,D. Cousins misses 3-pt jump shot from 25 ft,,0,2
12,1,10:15.0,,Defensive rebound by K. Bazemore,0,2
13,1,9:55.0,,P. Millsap misses 3-pt jump shot from 25 ft,0,2
14,1,9:54.0,Defensive rebound by A. Afflalo,,0,2
15,1,9:48.0,D. Cousins misses 2-pt layup from 3 ft (block by P. Millsap),,0,2
16,1,9:46.0,,Defensive rebound by K. Bazemore,0,2
17,1,9:39.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by P. Millsap),0,5
18,1,9:19.0,K. Koufos misses 2-pt jump shot from 8 ft,,0,5
19,1,9:17.0,,Defensive rebound by P. Millsap,0,5
20,1,9:09.0,,D. Schröder misses 2-pt layup at rim,0,5
21,1,9:07.0,,Offensive rebound by P. Millsap,0,5
22,1,9:02.0,,D. Schröder misses 3-pt jump shot from 24 ft,0,5
23,1,9:01.0,Defensive rebound by A. Afflalo,,0,5
24,1,8:49.0,R. Gay makes 2-pt jump shot from 20 ft (assist by A. Afflalo),,2,5
25,1,8:43.0,,Offensive foul by D. Howard (drawn by K. Koufos),2,5
26,1,8:43.0,,Turnover by D. Howard (offensive foul),2,5
27,1,8:28.0,Turnover by D. Cousins (bad pass),,2,5
28,1,8:17.0,,D. Schröder makes 3-pt jump shot from 24 ft,2,8
29,1,7:56.0,D. Cousins misses 2-pt jump shot from 21 ft,,2,8
30,1,7:55.0,,Defensive rebound by P. Millsap,2,8
31,1,7:50.0,,Shooting foul by T. Lawson (drawn by D. Schröder),2,8
32,1,7:50.0,,D. Schröder makes free throw 1 of 2,2,9
33,1,7:50.0,,D. Schröder misses free throw 2 of 2,2,9
34,1,7:48.0,Defensive rebound by K. Koufos,,2,9
35,1,7:32.0,Turnover by K. Koufos (lost ball; steal by K. Bazemore),,2,9
36,1,7:24.0,,Turnover by K. Korver (bad pass; steal by K. Koufos),2,9
37,1,7:17.0,Offensive foul by K. Koufos (drawn by P. Millsap),,2,9
38,1,7:17.0,Turnover by K. Koufos (offensive foul),,2,9
39,1,7:17.0,,M. Muscala enters the game for D. Howard,2,9
40,1,7:07.0,,Turnover by P. Millsap (lost ball; steal by T. Lawson),2,9
41,1,6:58.0,A. Afflalo makes 2-pt layup from 2 ft,,4,9
42,1,6:50.0,,Personal foul by T. Lawson (drawn by D. Schröder),4,9
43,1,6:50.0,G. Temple enters the game for T. Lawson,,4,9
44,1,6:35.0,,D. Schröder misses 2-pt layup from 1 ft,4,9
45,1,6:32.0,,Offensive rebound by P. Millsap,4,9
46,1,6:32.0,,P. Millsap makes 2-pt layup from 1 ft,4,11
47,1,6:16.0,R. Gay makes 3-pt jump shot from 25 ft (assist by K. Koufos),,7,11
48,1,5:58.0,,M. Muscala misses 3-pt jump shot from 24 ft,7,11
49,1,5:56.0,Defensive rebound by D. Cousins,,7,11
50,1,5:48.0,G. Temple misses 2-pt jump shot from 20 ft,,7,11
51,1,5:47.0,,Defensive rebound by P. Millsap,7,11
52,1,5:38.0,,Shooting foul by R. Gay (drawn by M. Muscala),7,11
53,1,5:38.0,,Atlanta full timeout,7,11
54,1,5:38.0,,M. Muscala misses free throw 1 of 2,7,11
55,1,5:38.0,,Offensive rebound by Team,7,11
56,1,5:38.0,M. Barnes enters the game for K. Koufos,,7,11
57,1,5:38.0,,M. Muscala makes free throw 2 of 2,7,12
58,1,5:25.0,Turnover by D. Cousins (bad pass; steal by K. Bazemore),,7,12
59,1,5:07.0,,K. Korver misses 3-pt jump shot from 23 ft,7,12
60,1,5:06.0,,Offensive rebound by P. Millsap,7,12
61,1,5:03.0,,M. Muscala makes 2-pt layup from 2 ft (assist by P. Millsap),7,14
62,1,4:51.0,D. Cousins makes 2-pt dunk at rim (assist by R. Gay),,9,14
63,1,4:36.0,,Personal foul by A. Afflalo (drawn by M. Muscala),9,14
64,1,4:36.0,W. Cauley-Stein enters the game for D. Cousins,,9,14
65,1,4:36.0,,T. Hardaway enters the game for K. Korver,9,14
66,1,4:27.0,Violation by G. Temple (kicked ball),,9,14
67,1,4:27.0,B. McLemore enters the game for A. Afflalo,,9,14
68,1,4:12.0,,T. Hardaway misses 3-pt jump shot from 25 ft,9,14
69,1,4:10.0,,Offensive rebound by P. Millsap,9,14
70,1,4:07.0,,Turnover by P. Millsap (bad pass; steal by R. Gay),9,14
71,1,4:04.0,Shooting foul by K. Bazemore (drawn by R. Gay),,9,14
72,1,4:04.0,R. Gay makes free throw 1 of 2,,10,14
73,1,4:04.0,,T. Sefolosha enters the game for K. Bazemore,10,14
74,1,4:04.0,R. Gay makes free throw 2 of 2,,11,14
75,1,3:52.0,,Shooting foul by G. Temple (drawn by P. Millsap),11,14
76,1,3:52.0,,P. Millsap makes free throw 1 of 2,11,15
77,1,3:52.0,,M. Delaney enters the game for D. Schröder,11,15
78,1,3:52.0,,P. Millsap makes free throw 2 of 2,11,16
79,1,3:32.0,B. McLemore misses 2-pt jump shot from 14 ft,,11,16
80,1,3:29.0,,Defensive rebound by T. Sefolosha,11,16
