,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CLEVELAND_ACTION,WASHINGTON_SCORE,CLEVELAND_SCORE
54,1,3:38.0,,L. James misses 3-pt jump shot from 26 ft,27,18
55,1,3:38.0,Defensive rebound by Team,,27,18
56,1,3:21.0,B. Beal makes 2-pt jump shot from 16 ft,,29,18
57,1,3:05.0,,Shooting foul by J. Smith (drawn by L. James),29,18
58,1,3:05.0,,L. James misses free throw 1 of 2,29,18
59,1,3:05.0,,Offensive rebound by Team,29,18
60,1,3:05.0,K. Oubre enters the game for O. Porter,,29,18
61,1,3:05.0,,L. James makes free throw 2 of 2,29,19
62,1,2:50.0,B. Beal misses 3-pt jump shot from 26 ft,,29,19
63,1,2:50.0,,Defensive rebound by Team,29,19
64,1,2:50.0,Washington full timeout,,29,19
65,1,2:50.0,B. Jennings enters the game for B. Beal,,29,19
66,1,2:50.0,,R. Jefferson enters the game for L. James,29,19
67,1,2:33.0,,K. Love makes 2-pt jump shot from 17 ft (assist by J. Smith),29,21
68,1,2:22.0,J. Smith makes 2-pt jump shot from 19 ft (assist by J. Wall),,31,21
69,1,2:10.0,,Personal foul by K. Oubre (drawn by K. Irving),31,21
70,1,2:10.0,,K. Korver enters the game for J. Smith,31,21
71,1,2:05.0,,Turnover by T. Thompson (bad pass; steal by I. Mahinmi),31,21
72,1,1:54.0,J. Wall makes 2-pt layup from 1 ft,,33,21
73,1,1:33.0,,T. Thompson makes 2-pt dunk at rim,33,23
74,1,1:08.0,J. Wall makes 2-pt jump shot from 19 ft,,35,23
75,1,0:51.0,,K. Irving misses 2-pt layup from 1 ft,35,23
76,1,0:50.0,Defensive rebound by I. Mahinmi,,35,23
77,1,0:46.0,K. Oubre makes 2-pt layup at rim (assist by J. Wall),,37,23
78,1,0:46.0,Shooting foul by K. Korver (drawn by K. Oubre),,37,23
79,1,0:46.0,K. Oubre misses free throw 1 of 1,,37,23
80,1,0:46.0,,D. Williams enters the game for T. Thompson,37,23
81,1,0:45.0,Offensive rebound by J. Smith,,37,23
82,1,0:42.0,Turnover by J. Smith (lost ball; steal by R. Jefferson),,37,23
83,1,0:31.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by D. Williams),37,26
84,1,0:07.0,J. Smith makes 3-pt jump shot from 26 ft (assist by B. Jennings),,40,26
85,1,0:00.0,,K. Irving misses 3-pt jump shot from 28 ft,40,26
86,1,0:00.0,,Offensive rebound by Team,40,26
87,2,11:45.0,J. Smith makes 3-pt jump shot from 25 ft (assist by B. Jennings),,43,26
88,2,11:27.0,,L. James makes 2-pt dunk at rim,43,28
89,2,11:16.0,B. Beal misses 2-pt jump shot from 20 ft,,43,28
90,2,11:16.0,,Defensive rebound by L. James,43,28
91,2,11:10.0,,K. Korver misses 3-pt jump shot from 24 ft,43,28
92,2,11:09.0,Defensive rebound by B. Beal,,43,28
