,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SACRAMENTO_ACTION,MINNESOTA_SCORE,SACRAMENTO_SCORE
0,1,11:37.0,,D. Cousins makes 2-pt jump shot from 22 ft (assist by R. Gay),0,2
1,1,11:12.0,Z. LaVine makes 3-pt jump shot from 25 ft,,3,2
2,1,10:48.0,,R. Gay makes 2-pt jump shot from 19 ft,3,4
3,1,10:36.0,A. Wiggins misses 2-pt jump shot from 4 ft,,3,4
4,1,10:35.0,Offensive rebound by G. Dieng,,3,4
5,1,10:30.0,Z. LaVine misses 3-pt jump shot from 26 ft,,3,4
6,1,10:29.0,,Defensive rebound by K. Koufos,3,4
7,1,10:18.0,,A. Afflalo misses 2-pt jump shot from 13 ft,3,4
8,1,10:18.0,Defensive rebound by G. Dieng,,3,4
9,1,10:15.0,Z. LaVine misses 2-pt layup from 2 ft (block by A. Afflalo),,3,4
10,1,10:15.0,Offensive rebound by Team,,3,4
11,1,10:07.0,Shooting foul by K. Koufos (drawn by G. Dieng),,3,4
12,1,10:07.0,G. Dieng makes free throw 1 of 2,,4,4
13,1,10:07.0,G. Dieng makes free throw 2 of 2,,5,4
14,1,9:47.0,,K. Koufos makes 2-pt hook shot from 6 ft (assist by T. Lawson),5,6
15,1,9:34.0,A. Wiggins misses 3-pt jump shot from 25 ft,,5,6
16,1,9:33.0,,Defensive rebound by K. Koufos,5,6
17,1,9:27.0,,R. Gay misses 2-pt jump shot from 4 ft (block by A. Wiggins),5,6
18,1,9:27.0,,Offensive rebound by Team,5,6
19,1,9:24.0,,T. Lawson misses 2-pt jump shot from 16 ft,5,6
20,1,9:23.0,Defensive rebound by A. Wiggins,,5,6
21,1,9:05.0,K. Towns misses 2-pt jump shot from 8 ft,,5,6
22,1,9:04.0,,Defensive rebound by K. Koufos,5,6
23,1,8:53.0,,D. Cousins misses 2-pt jump shot from 7 ft,5,6
24,1,8:52.0,Defensive rebound by G. Dieng,,5,6
25,1,8:50.0,Personal foul by D. Cousins (drawn by K. Towns),,5,6
26,1,8:46.0,Personal foul by A. Afflalo (drawn by Z. LaVine),,5,6
27,1,8:38.0,R. Rubio makes 2-pt jump shot from 17 ft (assist by G. Dieng),,7,6
28,1,8:24.0,,Shooting foul by K. Towns (drawn by D. Cousins),7,6
29,1,8:24.0,,D. Cousins makes free throw 1 of 2,7,7
30,1,8:24.0,,D. Cousins makes free throw 2 of 2,7,8
31,1,8:10.0,K. Towns makes 2-pt jump shot from 6 ft (assist by R. Rubio),,9,8
32,1,7:47.0,,T. Lawson misses 3-pt jump shot from 25 ft,9,8
33,1,7:46.0,Defensive rebound by G. Dieng,,9,8
34,1,7:43.0,Turnover by A. Wiggins (lost ball; steal by T. Lawson),,9,8
35,1,7:33.0,,D. Cousins misses 3-pt jump shot from 25 ft,9,8
36,1,7:32.0,Defensive rebound by Z. LaVine,,9,8
37,1,7:19.0,G. Dieng makes 2-pt jump shot from 19 ft (assist by Z. LaVine),,11,8
38,1,7:11.0,,Sacramento full timeout,11,8
39,1,6:58.0,,K. Koufos makes 2-pt hook shot from 6 ft (assist by D. Cousins),11,10
40,1,6:45.0,Personal block foul by K. Koufos (drawn by Z. LaVine),,11,10
41,1,6:35.0,A. Wiggins makes 2-pt jump shot from 15 ft (assist by R. Rubio),,13,10
42,1,6:16.0,,R. Gay misses 2-pt jump shot from 19 ft,13,10
43,1,6:14.0,,Offensive rebound by K. Koufos,13,10
44,1,6:08.0,,D. Cousins makes 2-pt layup from 3 ft,13,12
45,1,5:51.0,Z. LaVine makes 2-pt jump shot from 20 ft,,15,12
46,1,5:36.0,,R. Gay misses 2-pt jump shot from 16 ft,15,12
47,1,5:35.0,Defensive rebound by Z. LaVine,,15,12
48,1,5:29.0,K. Towns misses 2-pt layup from 3 ft,,15,12
49,1,5:26.0,,Defensive rebound by K. Koufos,15,12
50,1,5:14.0,,Turnover by D. Cousins (lost ball; steal by R. Rubio),15,12
51,1,5:10.0,Z. LaVine makes 2-pt dunk at rim (assist by R. Rubio),,17,12
52,1,4:51.0,,A. Afflalo misses 3-pt jump shot from 25 ft,17,12
53,1,4:50.0,,Offensive rebound by D. Cousins,17,12
54,1,4:42.0,,T. Lawson makes 3-pt jump shot from 23 ft (assist by A. Afflalo),17,15
55,1,4:28.0,A. Wiggins makes 2-pt jump shot from 21 ft,,19,15
56,1,4:12.0,,R. Gay misses 2-pt jump shot from 11 ft,19,15
57,1,4:12.0,Defensive rebound by G. Dieng,,19,15
58,1,3:59.0,G. Dieng makes 2-pt jump shot from 6 ft (assist by K. Towns),,21,15
59,1,3:39.0,,Turnover by T. Lawson (bad pass; steal by R. Rubio),21,15
60,1,3:36.0,A. Wiggins makes 2-pt layup from 2 ft,,23,15
61,1,3:18.0,,Personal foul by R. Rubio (drawn by R. Gay),23,15
62,1,3:18.0,B. Rush enters the game for Z. LaVine,,23,15
63,1,3:18.0,K. Dunn enters the game for R. Rubio,,23,15
64,1,3:18.0,,W. Cauley-Stein enters the game for A. Afflalo,23,15
65,1,3:18.0,,G. Temple enters the game for R. Gay,23,15
66,1,3:18.0,,M. Barnes enters the game for T. Lawson,23,15
67,1,3:18.0,,B. McLemore enters the game for D. Cousins,23,15
68,1,3:18.0,,A. Tolliver enters the game for K. Koufos,23,15
69,1,3:05.0,,G. Temple misses 3-pt jump shot from 27 ft,23,15
70,1,3:05.0,Defensive rebound by K. Towns,,23,15
71,1,2:51.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by K. Dunn),,26,15
72,1,2:32.0,,M. Barnes misses 2-pt layup from 3 ft (block by G. Dieng),26,15
73,1,2:30.0,Defensive rebound by G. Dieng,,26,15
74,1,2:19.0,G. Dieng makes 2-pt jump shot from 21 ft (assist by K. Towns),,28,15
75,1,2:14.0,,Sacramento full timeout,28,15
76,1,2:14.0,Minnesota full timeout,,28,15
77,1,2:14.0,N. Bjelica enters the game for G. Dieng,,28,15
78,1,2:14.0,C. Aldrich enters the game for K. Towns,,28,15
79,1,2:04.0,,W. Cauley-Stein makes 2-pt hook shot from 5 ft (assist by A. Tolliver),28,17
80,1,1:54.0,Offensive foul by C. Aldrich (drawn by G. Temple),,28,17
81,1,1:54.0,Turnover by C. Aldrich (offensive foul),,28,17
82,1,1:40.0,,A. Tolliver misses 3-pt jump shot from 24 ft,28,17
83,1,1:39.0,Defensive rebound by C. Aldrich,,28,17
84,1,1:26.0,A. Wiggins makes 2-pt jump shot from 16 ft,,30,17
85,1,1:21.0,,B. McLemore makes 2-pt jump shot from 19 ft (assist by M. Barnes),30,19
86,1,1:02.0,B. Rush makes 2-pt jump shot from 18 ft (assist by K. Dunn),,32,19
87,1,0:50.0,,M. Barnes makes 3-pt jump shot from 25 ft,32,22
88,1,0:35.0,Personal foul by M. Barnes (drawn by A. Wiggins),,32,22
89,1,0:35.0,A. Wiggins makes free throw 1 of 2,,33,22
90,1,0:35.0,A. Wiggins makes free throw 2 of 2,,34,22
91,1,0:25.0,,G. Temple makes 3-pt jump shot from 25 ft,34,25
92,1,0:04.0,A. Wiggins misses 3-pt jump shot from 25 ft,,34,25
93,1,0:03.0,,Defensive rebound by M. Barnes,34,25
94,1,0:00.0,,M. Barnes misses 3-pt jump shot from 33 ft,34,25
95,1,0:00.0,,Offensive rebound by Team,34,25
96,2,11:37.0,Turnover by N. Bjelica (bad pass; steal by M. Barnes),,34,25
97,2,11:32.0,,B. McLemore makes 2-pt layup from 2 ft (assist by M. Barnes),34,27
98,2,11:08.0,B. Rush misses 3-pt jump shot from 23 ft,,34,27
99,2,11:06.0,Offensive rebound by C. Aldrich,,34,27
100,2,11:03.0,S. Muhammad makes 2-pt jump shot from 10 ft,,36,27
101,2,11:03.0,Shooting foul by W. Cauley-Stein (drawn by S. Muhammad),,36,27
102,2,11:03.0,S. Muhammad makes free throw 1 of 1,,37,27
103,2,10:49.0,,B. McLemore misses 3-pt jump shot from 24 ft,37,27
104,2,10:49.0,Defensive rebound by B. Rush,,37,27
105,2,10:41.0,S. Muhammad makes 2-pt jump shot from 3 ft (assist by K. Dunn),,39,27
106,2,10:21.0,,W. Cauley-Stein misses 2-pt jump shot from 9 ft,39,27
107,2,10:19.0,Defensive rebound by N. Bjelica,,39,27
108,2,10:13.0,Shooting foul by B. McLemore (drawn by S. Muhammad),,39,27
109,2,10:13.0,S. Muhammad makes free throw 1 of 2,,40,27
110,2,10:13.0,,T. Lawson enters the game for G. Temple,40,27
111,2,10:13.0,S. Muhammad makes free throw 2 of 2,,41,27
112,2,9:59.0,,B. McLemore misses 2-pt jump shot from 20 ft,41,27
113,2,9:58.0,Defensive rebound by S. Muhammad,,41,27
114,2,9:51.0,Turnover by K. Dunn (lost ball; steal by T. Lawson),,41,27
115,2,9:50.0,Violation by K. Dunn (kicked ball),,41,27
116,2,9:41.0,,Turnover by T. Lawson (bad pass),41,27
117,2,9:26.0,K. Dunn makes 3-pt jump shot from 25 ft (assist by S. Muhammad),,44,27
118,2,9:05.0,,M. Barnes misses 2-pt jump shot from 20 ft,44,27
119,2,9:05.0,Defensive rebound by C. Aldrich,,44,27
120,2,8:51.0,Shooting foul by T. Lawson (drawn by K. Dunn),,44,27
121,2,8:51.0,Official timeout,,44,27
122,2,8:51.0,K. Dunn makes free throw 1 of 2,,45,27
123,2,8:51.0,,R. Gay enters the game for A. Tolliver,44,27
124,2,8:51.0,K. Dunn misses free throw 2 of 2,,45,27
125,2,8:50.0,,Defensive rebound by M. Barnes,45,27
126,2,8:33.0,,R. Gay makes 2-pt jump shot from 5 ft,45,29
127,2,8:33.0,,Shooting block foul by C. Aldrich (drawn by R. Gay),45,29
128,2,8:33.0,G. Dieng enters the game for B. Rush,,45,29
129,2,8:33.0,Z. LaVine enters the game for K. Dunn,,45,29
130,2,8:33.0,R. Rubio enters the game for C. Aldrich,,45,29
131,2,8:33.0,,R. Gay makes free throw 1 of 1,45,30
132,2,8:13.0,N. Bjelica misses 3-pt jump shot from 23 ft,,45,30
133,2,8:12.0,,Defensive rebound by T. Lawson,45,30
134,2,8:07.0,,T. Lawson misses 2-pt jump shot from 11 ft,45,30
135,2,8:06.0,Defensive rebound by Z. LaVine,,45,30
136,2,8:00.0,R. Rubio misses 3-pt jump shot from 26 ft,,45,30
137,2,7:59.0,,Defensive rebound by M. Barnes,45,30
138,2,7:54.0,,W. Cauley-Stein makes 2-pt dunk at rim (assist by T. Lawson),45,32
139,2,7:29.0,Z. LaVine makes 3-pt jump shot from 26 ft,,48,32
140,2,7:18.0,,Personal foul by N. Bjelica (drawn by R. Gay),48,32
141,2,7:18.0,K. Towns enters the game for N. Bjelica,,48,32
142,2,7:18.0,,A. Afflalo enters the game for W. Cauley-Stein,48,32
143,2,7:18.0,,D. Cousins enters the game for B. McLemore,48,32
144,2,7:09.0,,Personal foul by R. Rubio (drawn by D. Cousins),48,32
145,2,7:04.0,,R. Gay misses 2-pt jump shot from 22 ft,48,32
146,2,7:04.0,,Offensive rebound by D. Cousins,48,32
147,2,6:55.0,,D. Cousins makes 2-pt hook shot from 6 ft,48,34
148,2,6:38.0,G. Dieng misses 2-pt jump shot from 19 ft,,48,34
149,2,6:37.0,,Defensive rebound by Team,48,34
150,2,6:23.0,,R. Gay makes 2-pt dunk at rim (assist by M. Barnes),48,36
151,2,6:23.0,Minnesota full timeout,,48,36
152,2,6:23.0,A. Wiggins enters the game for S. Muhammad,,48,36
153,2,5:58.0,Turnover by Team (shot clock),,48,36
154,2,5:41.0,,D. Cousins makes 2-pt dunk at rim (assist by R. Gay),48,38
155,2,5:21.0,Z. LaVine misses 3-pt jump shot from 24 ft,,48,38
156,2,5:21.0,,Defensive rebound by M. Barnes,48,38
157,2,5:15.0,,R. Gay makes 2-pt dunk at rim (assist by M. Barnes),48,40
158,2,4:47.0,K. Towns makes 2-pt layup from 2 ft (assist by G. Dieng),,50,40
159,2,4:32.0,,R. Gay misses 2-pt jump shot from 10 ft,50,40
160,2,4:32.0,Defensive rebound by R. Rubio,,50,40
161,2,4:29.0,Personal foul by T. Lawson (drawn by R. Rubio),,50,40
162,2,4:29.0,,G. Temple enters the game for R. Gay,50,40
163,2,4:29.0,,O. Casspi enters the game for T. Lawson,50,40
164,2,4:22.0,A. Wiggins makes 2-pt dunk at rim,,52,40
165,2,4:04.0,,Turnover by G. Temple (lost ball),52,40
166,2,4:03.0,,Loose ball foul by A. Afflalo (drawn by A. Wiggins),52,40
167,2,4:03.0,A. Wiggins makes free throw 1 of 2,,53,40
168,2,4:03.0,A. Wiggins makes free throw 2 of 2,,54,40
169,2,3:51.0,,D. Cousins makes 2-pt layup from 2 ft (assist by M. Barnes),54,42
170,2,3:33.0,K. Towns makes 3-pt jump shot from 24 ft (assist by R. Rubio),,57,42
171,2,3:16.0,,Shooting foul by G. Dieng (drawn by D. Cousins),57,42
172,2,3:16.0,,D. Cousins makes free throw 1 of 2,57,43
173,2,3:16.0,,D. Cousins makes free throw 2 of 2,57,44
174,2,2:58.0,R. Rubio misses 2-pt jump shot from 7 ft (block by G. Temple),,57,44
175,2,2:56.0,,Defensive rebound by D. Cousins,57,44
176,2,2:54.0,,M. Barnes makes 2-pt layup from 1 ft (assist by D. Cousins),57,46
177,2,2:30.0,Z. LaVine misses 2-pt jump shot from 22 ft,,57,46
178,2,2:30.0,,Defensive rebound by O. Casspi,57,46
179,2,2:22.0,,Sacramento full timeout,57,46
180,2,2:22.0,,R. Gay enters the game for M. Barnes,57,46
181,2,2:15.0,,Def 3 sec tech foul by R. Rubio,57,46
182,2,2:15.0,,R. Gay misses technical free throw,57,46
183,2,2:15.0,,Offensive rebound by Team,57,46
184,2,2:08.0,,D. Cousins misses 2-pt jump shot from 9 ft (block by G. Dieng),57,46
185,2,2:07.0,,Offensive rebound by D. Cousins,57,46
186,2,2:06.0,,Turnover by D. Cousins (lost ball; steal by K. Towns),57,46
187,2,2:05.0,Personal foul by D. Cousins (drawn by K. Towns),,57,46
188,2,2:05.0,K. Towns misses free throw 1 of 2,,57,46
189,2,2:05.0,Offensive rebound by Team,,57,46
190,2,2:05.0,K. Towns misses free throw 2 of 2,,57,46
191,2,2:04.0,,Defensive rebound by D. Cousins,57,46
192,2,1:59.0,,Technical foul by D. Cousins,57,46
193,2,1:59.0,R. Rubio makes technical free throw,,58,46
194,2,1:49.0,,R. Gay makes 2-pt jump shot from 5 ft,58,48
195,2,1:49.0,,Shooting foul by Z. LaVine (drawn by R. Gay),58,48
196,2,1:49.0,,T. Lawson enters the game for G. Temple,58,48
197,2,1:49.0,,R. Gay makes free throw 1 of 1,58,49
198,2,1:34.0,Shooting foul by R. Gay (drawn by G. Dieng),,58,49
199,2,1:34.0,G. Dieng makes free throw 1 of 2,,59,49
200,2,1:34.0,G. Dieng makes free throw 2 of 2,,60,49
201,2,1:17.0,,A. Afflalo misses 3-pt jump shot from 25 ft,60,49
202,2,1:17.0,Defensive rebound by Z. LaVine,,60,49
203,2,1:06.0,K. Towns makes 2-pt layup from 3 ft (assist by R. Rubio),,62,49
204,2,0:49.0,,D. Cousins makes 2-pt layup from 3 ft,62,51
205,2,0:49.0,,Shooting foul by G. Dieng (drawn by D. Cousins),62,51
206,2,0:49.0,,D. Cousins makes free throw 1 of 1,62,52
207,2,0:33.0,K. Towns misses 3-pt jump shot,,62,52
208,2,0:32.0,,Defensive rebound by Team,62,52
209,2,0:15.0,,Shooting foul by A. Wiggins (drawn by R. Gay),62,52
210,2,0:15.0,,R. Gay makes free throw 1 of 2,62,53
211,2,0:15.0,,W. Cauley-Stein enters the game for D. Cousins,62,53
212,2,0:15.0,,M. Barnes enters the game for T. Lawson,62,53
213,2,0:15.0,,G. Temple enters the game for O. Casspi,62,53
214,2,0:15.0,,R. Gay makes free throw 2 of 2,62,54
215,2,0:05.0,Z. LaVine makes 3-pt jump shot from 26 ft,,65,54
216,2,0:00.0,,G. Temple misses 3-pt jump shot from 24 ft,65,54
217,2,0:00.0,,Offensive rebound by Team,65,54
218,3,11:44.0,A. Wiggins misses 2-pt jump shot from 5 ft,,65,54
219,3,11:43.0,,Defensive rebound by R. Gay,65,54
220,3,11:22.0,,T. Lawson misses 3-pt jump shot from 22 ft,65,54
221,3,11:21.0,Defensive rebound by G. Dieng,,65,54
222,3,11:15.0,A. Wiggins misses 2-pt jump shot from 4 ft (block by R. Gay),,65,54
223,3,11:13.0,,Defensive rebound by R. Gay,65,54
224,3,11:07.0,,Personal foul by G. Dieng (drawn by D. Cousins),65,54
225,3,10:53.0,,Turnover by R. Gay (lost ball; steal by R. Rubio),65,54
226,3,10:46.0,Turnover by G. Dieng (offensive foul),,65,54
227,3,10:46.0,,Offensive charge foul by G. Dieng (drawn by T. Lawson),65,54
228,3,10:46.0,C. Aldrich enters the game for G. Dieng,,65,54
229,3,10:29.0,,A. Afflalo misses 3-pt jump shot from 24 ft,65,54
230,3,10:28.0,Defensive rebound by K. Towns,,65,54
231,3,10:18.0,R. Rubio makes 2-pt jump shot from 17 ft,,67,54
232,3,9:56.0,,A. Afflalo makes 3-pt jump shot from 23 ft (assist by D. Cousins),67,57
233,3,9:35.0,Shooting foul by R. Gay (drawn by A. Wiggins),,67,57
234,3,9:35.0,A. Wiggins misses free throw 1 of 2,,67,57
235,3,9:35.0,Offensive rebound by Team,,67,57
236,3,9:35.0,A. Wiggins misses free throw 2 of 2,,67,57
237,3,9:34.0,,Defensive rebound by K. Koufos,67,57
238,3,9:14.0,,D. Cousins misses 2-pt jump shot from 9 ft,67,57
239,3,9:13.0,Defensive rebound by C. Aldrich,,67,57
240,3,9:10.0,Shooting block foul by R. Gay (drawn by Z. LaVine),,67,57
241,3,9:10.0,Z. LaVine makes free throw 1 of 2,,68,57
242,3,9:10.0,Z. LaVine makes free throw 2 of 2,,69,57
243,3,8:53.0,,Shooting foul by R. Rubio (drawn by D. Cousins),69,57
244,3,8:53.0,,D. Cousins misses free throw 1 of 2,69,57
245,3,8:53.0,,Offensive rebound by Team,69,57
246,3,8:53.0,,D. Cousins misses free throw 2 of 2,69,57
247,3,8:51.0,Defensive rebound by C. Aldrich,,69,57
248,3,8:32.0,A. Wiggins makes 2-pt layup from 2 ft,,71,57
249,3,8:14.0,,Shooting foul by C. Aldrich (drawn by D. Cousins),71,57
250,3,8:14.0,,D. Cousins makes free throw 1 of 2,71,58
251,3,8:14.0,,D. Cousins makes free throw 2 of 2,71,59
252,3,8:00.0,Turnover by A. Wiggins (lost ball; steal by R. Gay),,71,59
253,3,7:56.0,,R. Gay makes 2-pt dunk at rim (assist by T. Lawson),71,61
254,3,7:32.0,,M. Barnes enters the game for K. Koufos,71,61
255,3,7:26.0,Turnover by R. Rubio (bad pass; steal by T. Lawson),,71,61
256,3,7:14.0,,D. Cousins makes 2-pt dunk at rim,71,63
257,3,7:11.0,Minnesota full timeout,,71,63
258,3,7:11.0,,G. Temple enters the game for T. Lawson,71,63
259,3,7:00.0,Turnover by K. Towns (bad pass),,71,63
260,3,6:46.0,,A. Afflalo makes 2-pt jump shot from 18 ft (assist by M. Barnes),71,65
261,3,6:29.0,Turnover by Z. LaVine (lost ball; steal by D. Cousins),,71,65
262,3,6:22.0,,M. Barnes makes 3-pt jump shot from 25 ft (assist by A. Afflalo),71,68
263,3,5:54.0,K. Towns misses 2-pt jump shot from 9 ft,,71,68
264,3,5:53.0,,Defensive rebound by Team,71,68
265,3,5:53.0,Loose ball foul by K. Towns (drawn by G. Temple),,71,68
266,3,5:42.0,,Shooting foul by A. Wiggins (drawn by R. Gay),71,68
267,3,5:42.0,,R. Gay misses free throw 1 of 2,71,68
268,3,5:42.0,,Offensive rebound by Team,71,68
269,3,5:42.0,,R. Gay makes free throw 2 of 2,71,69
270,3,5:29.0,Turnover by A. Wiggins (traveling),,71,69
271,3,5:12.0,,M. Barnes makes 3-pt jump shot from 25 ft (assist by D. Cousins),71,72
272,3,4:46.0,A. Wiggins misses 2-pt jump shot from 4 ft,,71,72
273,3,4:45.0,Offensive rebound by Team,,71,72
274,3,4:45.0,Turnover by Team (shot clock),,71,72
275,3,4:45.0,B. Rush enters the game for Z. LaVine,,71,72
