,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DENVER_ACTION,PHILADELPHIA_SCORE,DENVER_SCORE
0,1,11:45.0,,N. Jokić makes 2-pt jump shot from 4 ft (assist by E. Mudiay),0,2
1,1,11:31.0,Turnover by T. McConnell (bad pass),,0,2
2,1,11:31.0,,G. Harris misses 2-pt jump shot from 11 ft,0,2
3,1,11:28.0,Defensive rebound by E. İlyasova,,0,2
4,1,11:06.0,R. Covington misses 2-pt jump shot from 22 ft,,0,2
5,1,11:05.0,Offensive rebound by J. Embiid,,0,2
6,1,11:05.0,J. Embiid misses 2-pt layup from 1 ft,,0,2
7,1,11:02.0,Offensive rebound by E. İlyasova,,0,2
8,1,11:00.0,E. İlyasova misses 2-pt layup from 1 ft,,0,2
9,1,10:59.0,Offensive rebound by E. İlyasova,,0,2
10,1,10:55.0,E. İlyasova misses 2-pt layup from 2 ft,,0,2
11,1,10:55.0,Offensive rebound by R. Covington,,0,2
12,1,10:49.0,N. Stauskas makes 3-pt jump shot from 26 ft,,3,2
13,1,10:36.0,,E. Mudiay misses 3-pt jump shot from 25 ft,3,2
14,1,10:35.0,Defensive rebound by E. İlyasova,,3,2
15,1,10:25.0,Turnover by T. McConnell (lost ball; steal by E. Mudiay),,3,2
16,1,10:22.0,,Personal foul by E. İlyasova (drawn by E. Mudiay),3,2
17,1,10:22.0,,D. Gallinari misses 2-pt jump shot from 10 ft (block by R. Covington),3,2
18,1,10:21.0,,Offensive rebound by D. Gallinari,3,2
19,1,10:13.0,,N. Jokić makes 2-pt layup from 3 ft (assist by D. Gallinari),3,4
20,1,10:01.0,J. Embiid makes 2-pt layup from 2 ft (assist by N. Stauskas),,5,4
21,1,9:52.0,,N. Jokić makes 2-pt layup from 2 ft (assist by E. Mudiay),5,6
22,1,9:42.0,T. McConnell makes 2-pt layup from 2 ft (assist by J. Embiid),,7,6
23,1,9:28.0,,N. Jokić makes 2-pt jump shot from 12 ft (assist by G. Harris),7,8
24,1,9:14.0,J. Embiid misses 2-pt jump shot from 4 ft,,7,8
25,1,9:13.0,Offensive rebound by J. Embiid,,7,8
26,1,9:08.0,E. İlyasova makes 3-pt jump shot from 24 ft (assist by J. Embiid),,10,8
27,1,8:53.0,,N. Jokić misses 2-pt jump shot from 19 ft,10,8
28,1,8:53.0,Defensive rebound by R. Covington,,10,8
29,1,8:43.0,R. Covington misses 2-pt layup from 3 ft,,10,8
30,1,8:42.0,,Defensive rebound by N. Jokić,10,8
31,1,8:35.0,,Personal foul by R. Covington (drawn by G. Harris),10,8
32,1,8:35.0,T. Luwawu-Cabarrot enters the game for N. Stauskas,,10,8
33,1,8:35.0,N. Noel enters the game for J. Embiid,,10,8
34,1,8:35.0,,Turnover by W. Chandler (bad pass),10,8
35,1,8:35.0,N. Noel makes 2-pt dunk at rim (assist by T. McConnell),,12,8
36,1,8:25.0,,N. Jokić makes 2-pt jump shot from 21 ft,12,10
37,1,8:10.0,E. İlyasova misses 2-pt layup from 3 ft,,12,10
38,1,8:10.0,Offensive rebound by E. İlyasova,,12,10
39,1,8:05.0,R. Covington misses 3-pt jump shot from 24 ft,,12,10
40,1,8:05.0,,Defensive rebound by D. Gallinari,12,10
41,1,7:55.0,,Personal foul by R. Covington (drawn by N. Jokić),12,10
42,1,7:55.0,,E. Mudiay makes 2-pt layup from 2 ft,12,12
43,1,7:41.0,E. İlyasova misses 2-pt jump shot from 15 ft,,12,12
44,1,7:39.0,Offensive rebound by N. Noel,,12,12
45,1,7:34.0,N. Noel makes 2-pt hook shot from 4 ft,,14,12
46,1,7:25.0,,Denver full timeout,14,12
47,1,7:25.0,D. Šarić enters the game for R. Covington,,14,12
48,1,7:25.0,,W. Barton enters the game for W. Chandler,14,12
49,1,7:25.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),14,15
50,1,7:08.0,T. McConnell misses 2-pt jump shot from 10 ft,,14,15
51,1,7:07.0,,Defensive rebound by N. Jokić,14,15
52,1,7:00.0,,G. Harris makes 2-pt layup from 3 ft (assist by E. Mudiay),14,17
53,1,6:38.0,E. İlyasova makes 2-pt jump shot from 6 ft (assist by D. Šarić),,16,17
54,1,6:19.0,,Turnover by N. Jokić (3 sec),16,17
55,1,6:19.0,T. Luwawu-Cabarrot misses 2-pt layup from 1 ft,,16,17
56,1,6:19.0,Offensive rebound by D. Šarić,,16,17
57,1,6:18.0,D. Šarić misses 2-pt layup from 3 ft,,16,17
58,1,6:17.0,Offensive rebound by D. Šarić,,16,17
59,1,6:08.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by D. Šarić),,19,17
60,1,5:52.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by D. Gallinari),19,17
61,1,5:52.0,,D. Gallinari makes free throw 1 of 2,19,18
62,1,5:52.0,,D. Gallinari makes free throw 2 of 2,19,19
63,1,5:52.0,T. McConnell misses 2-pt jump shot from 18 ft,,19,19
64,1,5:51.0,,Defensive rebound by D. Gallinari,19,19
65,1,5:37.0,,D. Gallinari misses 3-pt jump shot from 26 ft,19,19
66,1,5:36.0,,Offensive rebound by Team,19,19
67,1,5:31.0,Loose ball foul by D. Šarić (drawn by N. Jokić),,19,19
68,1,5:31.0,,N. Jokić makes free throw 1 of 2,19,20
69,1,5:31.0,,J. Nelson enters the game for E. Mudiay,19,20
70,1,5:31.0,N. Stauskas enters the game for T. McConnell,,19,20
71,1,5:31.0,H. Thompson enters the game for E. İlyasova,,19,20
72,1,5:31.0,,N. Jokić makes free throw 2 of 2,19,21
73,1,5:31.0,D. Šarić makes 2-pt jump shot from 22 ft (assist by N. Stauskas),,21,21
74,1,5:17.0,,N. Jokić makes 2-pt layup from 2 ft (assist by G. Harris),21,23
75,1,5:05.0,N. Stauskas misses 2-pt jump shot from 21 ft,,21,23
76,1,5:05.0,,Defensive rebound by N. Jokić,21,23
77,1,4:51.0,,N. Jokić misses 2-pt jump shot from 19 ft,21,23
78,1,4:51.0,Defensive rebound by H. Thompson,,21,23
79,1,4:42.0,Shooting foul by D. Gallinari (drawn by D. Šarić),,21,23
80,1,4:42.0,D. Šarić makes free throw 1 of 2,,22,23
81,1,4:42.0,J. Embiid enters the game for N. Noel,,22,23
82,1,4:42.0,,K. Faried enters the game for N. Jokić,22,23
83,1,4:42.0,,J. Nurkić enters the game for D. Gallinari,22,23
84,1,4:42.0,D. Šarić makes free throw 2 of 2,,23,23
85,1,4:42.0,Violation by N. Stauskas (kicked ball),,23,23
86,1,4:42.0,Philadelphia full timeout,,23,23
87,1,2:50.0,,W. Barton misses 2-pt jump shot from 21 ft,23,23
88,1,2:49.0,Defensive rebound by T. Luwawu-Cabarrot,,23,23
89,1,2:32.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 25 ft (assist by D. Šarić),,26,23
90,1,2:10.0,,Turnover by W. Barton (bad pass; steal by J. Embiid),26,23
91,1,2:04.0,Turnover by N. Stauskas (bad pass; steal by K. Faried),,26,23
92,1,2:03.0,,Personal foul by T. Luwawu-Cabarrot (drawn by K. Faried),26,23
93,1,2:03.0,,K. Faried makes free throw 1 of 2,26,24
94,1,2:03.0,,W. Chandler enters the game for G. Harris,26,24
95,1,2:03.0,,K. Faried makes free throw 2 of 2,26,25
96,1,1:50.0,Personal foul by K. Faried (drawn by D. Šarić),,26,25
97,1,1:41.0,,Offensive charge foul by J. Embiid (drawn by K. Faried),26,25
98,1,1:41.0,Turnover by J. Embiid (offensive foul),,26,25
99,1,1:20.0,,K. Faried misses 2-pt jump shot from 7 ft (block by J. Embiid),26,25
100,1,1:19.0,Defensive rebound by Team,,26,25
101,1,1:01.0,J. Embiid makes 2-pt layup from 2 ft,,28,25
102,1,0:49.0,,W. Chandler misses 3-pt jump shot from 24 ft,28,25
103,1,0:49.0,Defensive rebound by D. Šarić,,28,25
104,1,0:38.0,D. Šarić misses 3-pt jump shot from 25 ft,,28,25
105,1,0:38.0,,Defensive rebound by W. Chandler,28,25
106,1,0:31.0,,J. Nelson makes 3-pt jump shot from 24 ft (assist by W. Chandler),28,28
