,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,TORONTO_ACTION,SACRAMENTO_SCORE,TORONTO_SCORE
0,1,11:44.0,T. Lawson misses 2-pt jump shot from 15 ft,,0,0
1,1,11:44.0,,Defensive rebound by P. Siakam,0,0
2,1,11:24.0,,D. DeRozan misses 3-pt jump shot from 24 ft,0,0
3,1,11:24.0,Defensive rebound by A. Afflalo,,0,0
4,1,11:03.0,A. Afflalo makes 3-pt jump shot from 24 ft (assist by T. Lawson),,3,0
5,1,10:43.0,,P. Siakam misses 2-pt jump shot from 19 ft,3,0
6,1,10:43.0,Defensive rebound by K. Koufos,,3,0
7,1,10:34.0,K. Koufos misses 2-pt hook shot from 9 ft,,3,0
8,1,10:33.0,,Defensive rebound by D. Carroll,3,0
9,1,10:18.0,,D. Carroll misses 2-pt hook shot from 5 ft,3,0
10,1,10:18.0,Defensive rebound by D. Cousins,,3,0
11,1,10:08.0,R. Gay misses 2-pt jump shot from 20 ft,,3,0
12,1,10:07.0,,Defensive rebound by D. Carroll,3,0
13,1,10:03.0,,P. Siakam makes 2-pt layup from 2 ft (assist by K. Lowry),3,2
14,1,10:03.0,,Shooting foul by D. Cousins (drawn by P. Siakam),3,2
15,1,10:03.0,,P. Siakam makes free throw 1 of 1,3,3
16,1,9:56.0,Personal foul by D. Carroll (drawn by R. Gay),,3,3
17,1,9:43.0,D. Cousins misses 2-pt jump shot from 7 ft,,3,3
18,1,9:41.0,Offensive rebound by D. Cousins,,3,3
19,1,9:31.0,K. Koufos makes 2-pt dunk at rim (assist by D. Cousins),,5,3
20,1,9:17.0,,D. Carroll misses 3-pt jump shot from 24 ft,5,3
21,1,9:16.0,,Offensive rebound by J. Poeltl,5,3
22,1,9:09.0,,D. DeRozan makes 2-pt jump shot from 16 ft,5,5
23,1,8:42.0,T. Lawson misses 2-pt jump shot from 21 ft,,5,5
24,1,8:41.0,,Defensive rebound by D. Carroll,5,5
25,1,8:34.0,,D. Carroll misses 3-pt jump shot from 25 ft,5,5
26,1,8:32.0,,Offensive rebound by Team,5,5
27,1,8:19.0,,D. DeRozan makes 2-pt jump shot from 17 ft (assist by K. Lowry),5,7
28,1,8:06.0,Personal foul by J. Poeltl (drawn by D. Cousins),,5,7
