,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,SACRAMENTO_ACTION,CLEVELAND_SCORE,SACRAMENTO_SCORE
0,1,11:38.0,,D. Cousins makes 2-pt jump shot from 9 ft,0,2
1,1,11:38.0,,Shooting foul by T. Thompson (drawn by D. Cousins),0,2
2,1,11:38.0,,D. Cousins makes free throw 1 of 1,0,3
3,1,11:20.0,K. Love makes 2-pt jump shot from 11 ft,,2,3
4,1,11:06.0,,Turnover by A. Tolliver (bad pass),2,3
5,1,10:59.0,K. Irving misses 2-pt jump shot from 17 ft,,2,3
6,1,10:58.0,,Defensive rebound by R. Gay,2,3
7,1,10:49.0,,G. Temple misses 3-pt jump shot from 25 ft,2,3
8,1,10:49.0,Defensive rebound by K. Love,,2,3
9,1,10:39.0,K. Love misses 3-pt jump shot from 26 ft,,2,3
10,1,10:39.0,,Defensive rebound by Team,2,3
11,1,10:18.0,,D. Cousins makes 2-pt hook shot from 2 ft,2,5
12,1,10:00.0,K. Love makes 2-pt layup from 1 ft,,4,5
13,1,9:43.0,,A. Tolliver misses 3-pt jump shot from 23 ft,4,5
14,1,9:43.0,Defensive rebound by T. Thompson,,4,5
15,1,9:34.0,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),,7,5
16,1,9:17.0,,R. Gay misses 2-pt jump shot from 7 ft,7,5
17,1,9:16.0,Defensive rebound by K. Love,,7,5
18,1,9:06.0,Turnover by L. James (bad pass; steal by G. Temple),,7,5
19,1,9:01.0,,D. Collison misses 2-pt layup from 2 ft,7,5
20,1,8:59.0,,Offensive rebound by A. Tolliver,7,5
21,1,8:59.0,,A. Tolliver makes 2-pt layup from 2 ft,7,7
22,1,8:44.0,K. Irving misses 2-pt jump shot from 8 ft,,7,7
23,1,8:43.0,,Defensive rebound by G. Temple,7,7
24,1,8:41.0,,Turnover by G. Temple (bad pass),7,7
25,1,8:35.0,Shooting foul by D. Cousins (drawn by T. Thompson),,7,7
