,QUARTER,TIME_REMAINING,NEW YORK_ACTION,BROOKLYN_ACTION,NEW YORK_SCORE,BROOKLYN_SCORE
0,1,11:41.0,,Shooting foul by K. Porziņģis (drawn by J. Lin),0,0
1,1,11:41.0,,J. Lin makes free throw 1 of 2,0,1
2,1,11:41.0,,J. Lin misses free throw 2 of 2,0,1
3,1,11:40.0,Defensive rebound by K. Porziņģis,,0,1
4,1,11:25.0,C. Anthony makes 2-pt jump shot from 16 ft (assist by K. Porziņģis),,2,1
5,1,11:14.0,,Def 3 sec tech foul by K. Porziņģis,2,1
6,1,11:14.0,,B. Lopez misses technical free throw,2,1
7,1,11:14.0,,Offensive rebound by Team,2,1
8,1,11:09.0,,J. Lin misses 2-pt jump shot from 19 ft,2,1
9,1,11:07.0,Defensive rebound by C. Anthony,,2,1
10,1,10:53.0,C. Anthony misses 2-pt jump shot from 16 ft,,2,1
11,1,10:52.0,,Defensive rebound by R. Foye,2,1
12,1,10:39.0,,B. Lopez misses 2-pt layup from 2 ft,2,1
13,1,10:38.0,Defensive rebound by W. Hernangómez,,2,1
14,1,10:26.0,Shooting foul by R. Foye (drawn by D. Rose),,2,1
15,1,10:26.0,D. Rose makes free throw 1 of 2,,3,1
16,1,10:26.0,D. Rose makes free throw 2 of 2,,4,1
17,1,10:12.0,,B. Lopez misses 2-pt layup from 3 ft (block by K. Porziņģis),4,1
18,1,10:11.0,,Offensive rebound by B. Lopez,4,1
19,1,10:09.0,,B. Lopez misses 2-pt layup from 3 ft (block by K. Porziņģis),4,1
20,1,10:07.0,,Offensive rebound by R. Hollis-Jefferson,4,1
21,1,10:06.0,,R. Hollis-Jefferson makes 2-pt jump shot from 9 ft,4,3
22,1,9:57.0,D. Rose misses 2-pt layup from 4 ft,,4,3
23,1,9:56.0,,Defensive rebound by R. Hollis-Jefferson,4,3
24,1,9:49.0,,R. Hollis-Jefferson misses 2-pt jump shot from 14 ft (block by K. Porziņģis),4,3
25,1,9:48.0,Defensive rebound by W. Hernangómez,,4,3
26,1,9:40.0,Def 3 sec tech foul by B. Lopez,,4,3
27,1,9:40.0,C. Anthony makes technical free throw,,5,3
28,1,9:26.0,C. Anthony misses 2-pt jump shot from 15 ft,,5,3
29,1,9:25.0,Offensive rebound by W. Hernangómez,,5,3
30,1,9:22.0,K. Porziņģis misses 3-pt jump shot from 24 ft,,5,3
31,1,9:21.0,,Defensive rebound by R. Foye,5,3
32,1,9:14.0,,R. Foye makes 2-pt jump shot from 7 ft,5,5
33,1,8:59.0,Shooting foul by R. Foye (drawn by C. Lee),,5,5
34,1,8:59.0,C. Lee misses free throw 1 of 2,,5,5
35,1,8:59.0,Offensive rebound by Team,,5,5
36,1,8:59.0,C. Lee makes free throw 2 of 2,,6,5
37,1,8:44.0,,B. Lopez misses 2-pt hook shot from 10 ft,6,5
38,1,8:43.0,,Offensive rebound by R. Hollis-Jefferson,6,5
39,1,8:41.0,,R. Hollis-Jefferson makes 2-pt layup from 4 ft,6,7
40,1,8:32.0,W. Hernangómez misses 2-pt layup from 3 ft,,6,7
41,1,8:31.0,,Defensive rebound by B. Lopez,6,7
42,1,8:16.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by C. LeVert),6,10
43,1,8:06.0,D. Rose misses 2-pt layup from 1 ft,,6,10
44,1,8:05.0,Offensive rebound by K. Porziņģis,,6,10
45,1,8:04.0,K. Porziņģis makes 2-pt layup from 1 ft,,8,10
46,1,7:54.0,,B. Lopez makes 3-pt jump shot from 24 ft (assist by J. Lin),8,13
47,1,7:35.0,W. Hernangómez misses 2-pt hook shot from 7 ft,,8,13
48,1,7:34.0,,Defensive rebound by R. Hollis-Jefferson,8,13
49,1,7:25.0,,R. Foye misses 3-pt jump shot from 25 ft,8,13
50,1,7:24.0,Defensive rebound by W. Hernangómez,,8,13
51,1,7:20.0,D. Rose misses 2-pt layup from 3 ft (block by R. Hollis-Jefferson),,8,13
52,1,7:19.0,Offensive rebound by Team,,8,13
53,1,7:19.0,,T. Booker enters the game for R. Hollis-Jefferson,8,13
54,1,7:15.0,K. Porziņģis makes 2-pt jump shot from 19 ft (assist by C. Anthony),,10,13
55,1,7:01.0,,T. Booker misses 2-pt jump shot from 19 ft,10,13
56,1,7:00.0,Defensive rebound by W. Hernangómez,,10,13
57,1,6:48.0,K. Porziņģis makes 2-pt jump shot from 10 ft,,12,13
58,1,6:31.0,,B. Lopez makes 3-pt jump shot from 24 ft (assist by C. LeVert),12,16
59,1,6:22.0,Personal foul by C. LeVert (drawn by C. Lee),,12,16
60,1,6:09.0,W. Hernangómez makes 2-pt dunk at rim (assist by K. Porziņģis),,14,16
61,1,6:03.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by R. Foye),14,19
62,1,5:49.0,K. Porziņģis makes 3-pt jump shot from 24 ft (assist by D. Rose),,17,19
63,1,5:40.0,,T. Booker makes 2-pt layup from 2 ft (assist by C. LeVert),17,21
64,1,5:36.0,New York full timeout,,17,21
65,1,5:36.0,,I. Whitehead enters the game for C. LeVert,17,21
66,1,5:36.0,,S. Kilpatrick enters the game for R. Foye,17,21
67,1,5:24.0,C. Anthony misses 2-pt jump shot from 4 ft (block by B. Lopez),,17,21
68,1,5:22.0,,Defensive rebound by J. Lin,17,21
69,1,5:07.0,,J. Lin misses 2-pt jump shot from 9 ft,17,21
70,1,5:06.0,Defensive rebound by W. Hernangómez,,17,21
71,1,4:58.0,C. Anthony misses 2-pt jump shot from 17 ft,,17,21
72,1,4:57.0,Offensive rebound by Team,,17,21
73,1,4:57.0,,Loose ball foul by T. Booker (drawn by W. Hernangómez),17,21
74,1,4:57.0,,S. Dinwiddie enters the game for J. Lin,17,21
75,1,4:57.0,J. Holiday enters the game for C. Lee,,17,21
76,1,4:57.0,L. Thomas enters the game for W. Hernangómez,,17,21
77,1,4:46.0,L. Thomas misses 3-pt jump shot from 24 ft,,17,21
78,1,4:45.0,Offensive rebound by D. Rose,,17,21
79,1,4:41.0,D. Rose makes 2-pt layup from 2 ft,,19,21
80,1,4:29.0,,I. Whitehead makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),19,24
81,1,4:14.0,J. Holiday misses 2-pt jump shot from 23 ft,,19,24
82,1,4:13.0,,Defensive rebound by T. Booker,19,24
83,1,4:03.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie),19,27
84,1,3:50.0,D. Rose misses 2-pt jump shot from 19 ft,,19,27
85,1,3:48.0,,Defensive rebound by I. Whitehead,19,27
86,1,3:32.0,,I. Whitehead misses 2-pt layup from 1 ft,19,27
87,1,3:30.0,Defensive rebound by L. Thomas,,19,27
88,1,3:21.0,C. Anthony misses 3-pt jump shot from 24 ft,,19,27
89,1,3:20.0,,Defensive rebound by B. Lopez,19,27
90,1,3:13.0,,S. Kilpatrick misses 2-pt layup from 2 ft (block by C. Anthony),19,27
91,1,3:11.0,,Offensive rebound by T. Booker,19,27
92,1,3:10.0,,T. Booker makes 2-pt layup from 1 ft,19,29
93,1,3:02.0,Turnover by C. Anthony (offensive foul),,19,29
94,1,3:02.0,Offensive foul by C. Anthony (drawn by I. Whitehead),,19,29
95,1,3:02.0,K. O'Quinn enters the game for K. Porziņģis,,19,29
96,1,2:46.0,,Personal foul by K. O'Quinn (drawn by B. Lopez),19,29
97,1,2:46.0,,Brooklyn full timeout,19,29
98,1,2:46.0,,Q. Acy enters the game for B. Lopez,19,29
99,1,2:38.0,,S. Kilpatrick makes 2-pt layup from 2 ft,19,31
100,1,2:20.0,C. Anthony misses 2-pt jump shot from 17 ft,,19,31
101,1,2:18.0,,Defensive rebound by Q. Acy,19,31
102,1,2:03.0,,Turnover by Q. Acy (lost ball; steal by K. O'Quinn),19,31
103,1,1:54.0,C. Anthony makes 2-pt layup from 2 ft (assist by J. Holiday),,21,31
104,1,1:52.0,Violation by Team (jump ball),,21,31
105,1,1:38.0,,Q. Acy makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),21,34
106,1,1:29.0,D. Rose misses 2-pt jump shot from 6 ft (block by S. Dinwiddie),,21,34
107,1,1:27.0,Offensive rebound by Team,,21,34
108,1,1:24.0,D. Rose makes 2-pt layup from 2 ft,,23,34
109,1,1:24.0,Shooting foul by Q. Acy (drawn by D. Rose),,23,34
110,1,1:24.0,D. Rose makes free throw 1 of 1,,24,34
111,1,1:05.0,,I. Whitehead makes 2-pt jump shot from 10 ft,24,36
112,1,0:47.0,L. Thomas misses 2-pt jump shot from 8 ft,,24,36
113,1,0:46.0,Offensive rebound by L. Thomas,,24,36
114,1,0:41.0,C. Anthony misses 3-pt jump shot from 25 ft,,24,36
115,1,0:40.0,,Defensive rebound by T. Booker,24,36
116,1,0:29.0,,T. Booker makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),24,39
117,1,0:22.0,J. Holiday makes 2-pt dunk at rim (assist by K. O'Quinn),,26,39
118,1,0:06.0,,Personal foul by D. Rose (drawn by I. Whitehead),26,39
119,1,0:01.0,,Q. Acy misses 2-pt jump shot from 11 ft,26,39
120,1,0:00.0,,Offensive rebound by Team,26,39
