,QUARTER,TIME_REMAINING,BOSTON_ACTION,MEMPHIS_ACTION,BOSTON_SCORE,MEMPHIS_SCORE
0,1,11:39.0,A. Horford makes 2-pt layup from 4 ft,,2,0
1,1,11:22.0,,M. Gasol misses 2-pt jump shot from 8 ft,2,0
2,1,11:19.0,Defensive rebound by A. Johnson,,2,0
3,1,11:09.0,A. Horford misses 2-pt jump shot from 7 ft,,2,0
4,1,11:09.0,,Defensive rebound by Team,2,0
5,1,10:49.0,,M. Conley misses 2-pt layup from 3 ft,2,0
6,1,10:47.0,Defensive rebound by J. Crowder,,2,0
7,1,10:37.0,I. Thomas misses 3-pt jump shot from 25 ft,,2,0
8,1,10:36.0,,Defensive rebound by J. Green,2,0
9,1,10:14.0,,T. Allen misses 3-pt jump shot from 24 ft,2,0
10,1,10:13.0,,Offensive rebound by J. Ennis,2,0
11,1,10:10.0,,J. Ennis misses 2-pt layup from 2 ft,2,0
12,1,10:10.0,,Offensive rebound by J. Green,2,0
13,1,10:10.0,,Shooting foul by A. Johnson (drawn by J. Green),2,0
14,1,10:10.0,,J. Green makes free throw 1 of 2,2,1
15,1,10:10.0,,J. Green makes free throw 2 of 2,2,2
16,1,10:00.0,A. Bradley makes 2-pt jump shot from 20 ft (assist by A. Johnson),,4,2
17,1,9:40.0,,M. Gasol makes 2-pt jump shot from 5 ft (assist by J. Ennis),4,4
18,1,9:13.0,A. Horford misses 2-pt hook shot from 7 ft,,4,4
19,1,9:11.0,,Defensive rebound by M. Gasol,4,4
20,1,8:51.0,,Turnover by M. Conley (bad pass),4,4
21,1,8:38.0,A. Johnson makes 2-pt dunk at rim (assist by I. Thomas),,6,4
22,1,8:20.0,,Turnover by M. Gasol (bad pass),6,4
23,1,8:07.0,I. Thomas makes 2-pt jump shot from 21 ft (assist by A. Johnson),,8,4
24,1,7:51.0,,M. Gasol misses 2-pt jump shot from 16 ft,8,4
25,1,7:48.0,,Offensive rebound by J. Green,8,4
26,1,7:35.0,,M. Conley misses 2-pt jump shot from 23 ft,8,4
27,1,7:34.0,Defensive rebound by J. Crowder,,8,4
28,1,7:23.0,Shooting foul by M. Conley (drawn by I. Thomas),,8,4
29,1,7:23.0,I. Thomas makes free throw 1 of 2,,9,4
30,1,7:23.0,I. Thomas makes free throw 2 of 2,,10,4
31,1,7:14.0,,Personal foul by A. Bradley (drawn by J. Ennis),10,4
32,1,7:02.0,,M. Conley misses 3-pt jump shot from 24 ft,10,4
33,1,7:00.0,,Offensive rebound by J. Ennis,10,4
34,1,6:57.0,,J. Ennis misses 2-pt layup from 2 ft,10,4
35,1,6:56.0,Defensive rebound by A. Horford,,10,4
36,1,6:48.0,A. Bradley misses 2-pt jump shot from 21 ft,,10,4
37,1,6:45.0,,Defensive rebound by J. Green,10,4
38,1,6:29.0,,M. Gasol misses 2-pt hook shot from 5 ft,10,4
39,1,6:27.0,,Offensive rebound by T. Allen,10,4
40,1,6:26.0,,T. Allen misses 2-pt layup from 2 ft,10,4
41,1,6:25.0,,Offensive rebound by T. Allen,10,4
42,1,6:23.0,,T. Allen makes 2-pt layup from 3 ft,10,6
43,1,6:03.0,J. Crowder misses 2-pt jump shot from 22 ft,,10,6
44,1,6:02.0,Offensive rebound by A. Horford,,10,6
45,1,5:54.0,A. Johnson misses 2-pt layup from 5 ft,,10,6
46,1,5:53.0,Offensive rebound by Team,,10,6
47,1,5:53.0,,Memphis full timeout,10,6
48,1,5:53.0,,T. Daniels enters the game for J. Ennis,10,6
49,1,5:53.0,,V. Carter enters the game for T. Allen,10,6
50,1,5:53.0,J. Jerebko enters the game for A. Johnson,,10,6
51,1,5:45.0,A. Horford misses 2-pt jump shot from 17 ft,,10,6
52,1,5:44.0,,Defensive rebound by J. Green,10,6
53,1,5:23.0,,M. Gasol misses 2-pt jump shot from 7 ft,10,6
54,1,5:20.0,,Offensive rebound by J. Green,10,6
