,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PHILADELPHIA_ACTION,OKLAHOMA CITY_SCORE,PHILADELPHIA_SCORE
0,1,11:50.0,Personal foul by D. Šarić (drawn by S. Adams),,0,0
1,1,11:43.0,R. Westbrook misses 2-pt jump shot from 18 ft,,0,0
2,1,11:41.0,,Defensive rebound by J. Embiid,0,0
3,1,11:33.0,,J. Embiid misses 3-pt jump shot from 24 ft,0,0
4,1,11:32.0,Defensive rebound by A. Roberson,,0,0
5,1,11:28.0,Personal foul by J. Embiid (drawn by S. Adams),,0,0
6,1,11:21.0,V. Oladipo misses 2-pt layup from 3 ft,,0,0
7,1,11:20.0,,Defensive rebound by J. Embiid,0,0
8,1,11:14.0,,G. Henderson makes 2-pt dunk at rim (assist by S. Rodríguez),0,2
9,1,10:59.0,V. Oladipo misses 3-pt jump shot from 25 ft,,0,2
10,1,10:58.0,,Defensive rebound by J. Embiid,0,2
11,1,10:46.0,,G. Henderson makes 3-pt jump shot from 23 ft (assist by D. Šarić),0,5
12,1,10:27.0,Turnover by R. Westbrook (bad pass; steal by R. Covington),,0,5
13,1,10:21.0,,Turnover by D. Šarić (bad pass),0,5
14,1,10:09.0,R. Westbrook makes 2-pt jump shot from 15 ft,,2,5
15,1,9:59.0,,D. Šarić misses 3-pt jump shot from 26 ft,2,5
16,1,9:57.0,Defensive rebound by V. Oladipo,,2,5
17,1,9:48.0,S. Adams misses 2-pt layup from 3 ft,,2,5
18,1,9:46.0,,Defensive rebound by S. Rodríguez,2,5
19,1,9:39.0,,Turnover by J. Embiid (lost ball; steal by S. Adams),2,5
20,1,9:33.0,A. Roberson misses 2-pt layup from 2 ft,,2,5
21,1,9:31.0,,Defensive rebound by D. Šarić,2,5
22,1,9:13.0,,S. Rodríguez misses 3-pt jump shot from 25 ft,2,5
23,1,9:11.0,,Offensive rebound by D. Šarić,2,5
24,1,9:10.0,,Shooting foul by D. Sabonis (drawn by D. Šarić),2,5
25,1,9:10.0,,D. Šarić makes free throw 1 of 2,2,6
26,1,9:10.0,,D. Šarić misses free throw 2 of 2,2,6
27,1,9:08.0,Defensive rebound by D. Sabonis,,2,6
28,1,8:58.0,V. Oladipo misses 2-pt layup from 2 ft,,2,6
29,1,8:56.0,,Defensive rebound by R. Covington,2,6
30,1,8:51.0,,D. Šarić makes 2-pt jump shot from 21 ft (assist by S. Rodríguez),2,8
31,1,8:28.0,D. Sabonis misses 2-pt jump shot from 5 ft (block by R. Covington),,2,8
32,1,8:26.0,,Defensive rebound by G. Henderson,2,8
33,1,8:17.0,,J. Embiid makes 2-pt jump shot from 16 ft,2,10
34,1,8:01.0,R. Westbrook misses 2-pt jump shot from 7 ft (block by J. Embiid),,2,10
35,1,7:59.0,,Defensive rebound by S. Rodríguez,2,10
36,1,7:52.0,,D. Šarić misses 2-pt jump shot from 12 ft,2,10
37,1,7:50.0,Defensive rebound by R. Westbrook,,2,10
38,1,7:47.0,Shooting foul by G. Henderson (drawn by R. Westbrook),,2,10
39,1,7:47.0,Oklahoma City full timeout,,2,10
40,1,7:47.0,R. Westbrook makes free throw 1 of 2,,3,10
41,1,7:47.0,,J. Okafor enters the game for J. Embiid,2,10
42,1,7:47.0,R. Westbrook misses free throw 2 of 2,,3,10
43,1,7:46.0,Offensive rebound by S. Adams,,3,10
44,1,7:40.0,V. Oladipo makes 2-pt layup from 2 ft (assist by A. Roberson),,5,10
45,1,7:40.0,Shooting foul by J. Okafor (drawn by V. Oladipo),,5,10
46,1,7:40.0,V. Oladipo misses free throw 1 of 1,,5,10
47,1,7:39.0,,Defensive rebound by J. Okafor,5,10
48,1,7:23.0,,S. Rodríguez makes 2-pt layup from 1 ft,5,12
49,1,7:06.0,R. Westbrook misses 2-pt jump shot from 20 ft,,5,12
50,1,7:04.0,,Defensive rebound by G. Henderson,5,12
51,1,6:53.0,Violation by D. Sabonis (def goaltending),,5,12
52,1,6:53.0,,J. Okafor makes 2-pt layup from 1 ft,5,14
53,1,6:42.0,Offensive foul by S. Adams (drawn by J. Okafor),,5,14
54,1,6:42.0,Turnover by S. Adams (offensive foul),,5,14
55,1,6:42.0,,N. Stauskas enters the game for G. Henderson,5,14
56,1,6:42.0,,T. McConnell enters the game for S. Rodríguez,5,14
57,1,6:29.0,,J. Okafor makes 2-pt layup from 2 ft (assist by R. Covington),5,16
58,1,6:16.0,R. Westbrook makes 2-pt layup from 2 ft (assist by V. Oladipo),,7,16
59,1,5:52.0,,D. Šarić misses 3-pt jump shot from 25 ft,7,16
60,1,5:50.0,Defensive rebound by V. Oladipo,,7,16
61,1,5:37.0,V. Oladipo misses 3-pt jump shot from 27 ft,,7,16
62,1,5:35.0,,Defensive rebound by N. Stauskas,7,16
63,1,5:20.0,,J. Okafor makes 2-pt jump shot from 10 ft (assist by D. Šarić),7,18
64,1,5:11.0,Turnover by R. Westbrook (bad pass; steal by T. McConnell),,7,18
65,1,5:03.0,,D. Šarić misses 2-pt jump shot from 3 ft (block by V. Oladipo),7,18
66,1,5:03.0,,Offensive rebound by Team,7,18
67,1,5:03.0,,J. Grant enters the game for D. Šarić,7,18
68,1,5:03.0,,H. Thompson enters the game for R. Covington,7,18
69,1,5:03.0,E. İlyasova enters the game for D. Sabonis,,7,18
70,1,5:03.0,K. Singler enters the game for V. Oladipo,,7,18
71,1,4:55.0,,Turnover by J. Okafor (lost ball; steal by E. İlyasova),7,18
72,1,4:52.0,R. Westbrook makes 2-pt layup from 1 ft (assist by E. İlyasova),,9,18
73,1,4:52.0,Shooting foul by T. McConnell (drawn by R. Westbrook),,9,18
74,1,4:52.0,R. Westbrook makes free throw 1 of 1,,10,18
75,1,4:37.0,,J. Okafor misses 2-pt jump shot from 12 ft,10,18
76,1,4:34.0,Defensive rebound by A. Roberson,,10,18
77,1,4:29.0,S. Adams makes 2-pt jump shot from 4 ft (assist by R. Westbrook),,12,18
78,1,4:09.0,,J. Grant misses 2-pt jump shot from 18 ft,12,18
79,1,4:08.0,Defensive rebound by A. Roberson,,12,18
80,1,4:01.0,R. Westbrook makes 2-pt jump shot from 15 ft,,14,18
81,1,4:00.0,,Philadelphia full timeout,14,18
82,1,4:00.0,E. Freedom enters the game for S. Adams,,14,18
83,1,4:00.0,,R. Holmes enters the game for J. Okafor,14,18
84,1,3:52.0,,Turnover by T. McConnell (back court),14,18
85,1,3:43.0,E. İlyasova misses 3-pt jump shot from 24 ft,,14,18
86,1,3:41.0,,Defensive rebound by R. Holmes,14,18
87,1,3:28.0,,Shooting foul by E. Freedom (drawn by J. Grant),14,18
88,1,3:28.0,,J. Grant misses free throw 1 of 2,14,18
89,1,3:28.0,,Offensive rebound by Team,14,18
90,1,3:28.0,,J. Grant makes free throw 2 of 2,14,19
91,1,3:19.0,Shooting foul by T. McConnell (drawn by R. Westbrook),,14,19
92,1,3:19.0,R. Westbrook makes free throw 1 of 2,,15,19
93,1,3:19.0,,S. Rodríguez enters the game for T. McConnell,15,19
94,1,3:19.0,R. Westbrook makes free throw 2 of 2,,16,19
95,1,3:05.0,Offensive charge foul by J. Grant (drawn by E. İlyasova),,16,19
96,1,3:05.0,,Turnover by J. Grant (offensive foul),16,19
97,1,3:05.0,V. Oladipo enters the game for R. Westbrook,,16,19
98,1,3:05.0,S. Christon enters the game for A. Roberson,,16,19
99,1,2:49.0,V. Oladipo makes 2-pt jump shot from 15 ft,,18,19
100,1,2:32.0,,J. Grant misses 2-pt jump shot from 5 ft,18,19
101,1,2:31.0,Defensive rebound by S. Christon,,18,19
102,1,2:26.0,K. Singler makes 3-pt jump shot from 25 ft (assist by S. Christon),,21,19
103,1,2:12.0,Violation by E. Freedom (kicked ball),,21,19
104,1,2:04.0,,Shooting foul by E. İlyasova (drawn by J. Grant),21,19
105,1,2:04.0,,J. Grant makes free throw 1 of 2,21,20
106,1,2:04.0,,J. Grant misses free throw 2 of 2,21,20
107,1,2:03.0,,Offensive rebound by Team,21,20
108,1,1:47.0,,H. Thompson makes 2-pt layup from 1 ft,21,22
109,1,1:34.0,Personal block foul by H. Thompson (drawn by K. Singler),,21,22
110,1,1:34.0,K. Singler makes free throw 1 of 2,,22,22
111,1,1:34.0,K. Singler makes free throw 2 of 2,,23,22
112,1,1:21.0,,R. Holmes makes 2-pt jump shot from 7 ft (assist by S. Rodríguez),23,24
113,1,1:11.0,Turnover by V. Oladipo (lost ball; steal by H. Thompson),,23,24
114,1,1:08.0,,Shooting foul by K. Singler (drawn by H. Thompson),23,24
115,1,1:08.0,,H. Thompson misses free throw 1 of 2,23,24
116,1,1:08.0,,Offensive rebound by Team,23,24
117,1,1:08.0,,H. Thompson misses free throw 2 of 2,23,24
118,1,1:06.0,Defensive rebound by E. Freedom,,23,24
119,1,0:55.0,Turnover by K. Singler (lost ball),,23,24
120,1,0:37.0,,H. Thompson misses 3-pt jump shot from 27 ft,23,24
121,1,0:36.0,Defensive rebound by E. İlyasova,,23,24
122,1,0:25.0,V. Oladipo misses 2-pt jump shot from 4 ft (block by R. Holmes),,23,24
123,1,0:23.0,Offensive rebound by V. Oladipo,,23,24
124,1,0:20.0,V. Oladipo misses 2-pt layup from 2 ft (block by R. Holmes),,23,24
125,1,0:17.0,,Defensive rebound by H. Thompson,23,24
126,1,0:02.0,Offensive charge foul by R. Holmes (drawn by E. İlyasova),,23,24
127,1,0:02.0,,Turnover by R. Holmes (offensive foul),23,24
128,1,0:00.0,S. Christon misses 3-pt jump shot from 46 ft,,23,24
129,1,0:00.0,Offensive rebound by Team,,23,24
130,2,11:47.0,,Personal foul by E. Freedom (drawn by J. Okafor),23,24
131,2,11:37.0,,J. Okafor misses 2-pt jump shot from 6 ft,23,24
132,2,11:35.0,,Offensive rebound by R. Covington,23,24
133,2,11:34.0,,R. Covington misses 2-pt jump shot from 4 ft,23,24
134,2,11:32.0,Defensive rebound by E. İlyasova,,23,24
135,2,11:23.0,E. Freedom misses 2-pt jump shot from 16 ft,,23,24
136,2,11:21.0,,Defensive rebound by R. Covington,23,24
137,2,11:06.0,,N. Stauskas makes 2-pt layup from 1 ft,23,26
138,2,11:02.0,Oklahoma City full timeout,,23,26
139,2,10:57.0,E. Freedom misses 2-pt layup from 2 ft (block by J. Grant),,23,26
140,2,10:55.0,Offensive rebound by E. İlyasova,,23,26
141,2,10:54.0,E. İlyasova makes 2-pt layup from 2 ft,,25,26
142,2,10:36.0,,N. Stauskas makes 2-pt jump shot from 8 ft,25,28
143,2,10:28.0,K. Singler misses 3-pt jump shot from 24 ft,,25,28
144,2,10:26.0,,Defensive rebound by N. Stauskas,25,28
145,2,10:08.0,,N. Stauskas makes 2-pt jump shot from 21 ft,25,30
146,2,9:51.0,E. Freedom misses 2-pt layup from 2 ft,,25,30
147,2,9:50.0,,Defensive rebound by N. Stauskas,25,30
148,2,9:44.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by N. Stauskas),25,33
149,2,9:26.0,V. Oladipo misses 2-pt jump shot from 19 ft,,25,33
150,2,9:25.0,,Defensive rebound by S. Rodríguez,25,33
151,2,9:17.0,,S. Rodríguez misses 2-pt jump shot from 8 ft,25,33
152,2,9:15.0,Defensive rebound by E. Freedom,,25,33
153,2,9:11.0,E. İlyasova makes 2-pt layup from 1 ft (assist by S. Christon),,27,33
154,2,8:49.0,,S. Rodríguez makes 3-pt jump shot from 25 ft (assist by R. Covington),27,36
155,2,8:27.0,S. Christon makes 2-pt jump shot from 7 ft,,29,36
156,2,8:17.0,,Turnover by J. Grant (dbl dribble),29,36
157,2,8:17.0,,D. Šarić enters the game for J. Okafor,29,36
158,2,8:17.0,,G. Henderson enters the game for N. Stauskas,29,36
159,2,8:17.0,,J. Embiid enters the game for J. Grant,29,36
160,2,8:17.0,R. Westbrook enters the game for V. Oladipo,,29,36
161,2,8:17.0,S. Adams enters the game for E. İlyasova,,29,36
162,2,8:17.0,A. Roberson enters the game for S. Christon,,29,36
163,2,8:08.0,K. Singler misses 3-pt jump shot from 24 ft,,29,36
164,2,8:06.0,,Defensive rebound by J. Embiid,29,36
165,2,8:06.0,,Personal foul by S. Adams (drawn by J. Embiid),29,36
166,2,7:52.0,,Personal foul by A. Roberson (drawn by S. Rodríguez),29,36
167,2,7:52.0,,T. McConnell enters the game for S. Rodríguez,29,36
168,2,7:41.0,,J. Embiid misses 2-pt jump shot from 12 ft,29,36
169,2,7:39.0,Defensive rebound by R. Westbrook,,29,36
170,2,7:34.0,K. Singler misses 3-pt jump shot from 23 ft,,29,36
171,2,7:32.0,Offensive rebound by A. Roberson,,29,36
172,2,7:29.0,E. Freedom makes 2-pt layup from 1 ft (assist by A. Roberson),,31,36
173,2,7:12.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by T. McConnell),31,39
174,2,6:57.0,E. Freedom makes 2-pt layup from 2 ft,,33,39
175,2,6:45.0,,J. Embiid misses 2-pt jump shot from 8 ft,33,39
176,2,6:44.0,Defensive rebound by E. Freedom,,33,39
177,2,6:32.0,S. Adams makes 2-pt jump shot from 7 ft (assist by R. Westbrook),,35,39
178,2,6:05.0,,J. Embiid misses 2-pt hook shot from 7 ft,35,39
179,2,6:02.0,Defensive rebound by R. Westbrook,,35,39
180,2,6:00.0,Shooting foul by J. Embiid (drawn by E. Freedom),,35,39
181,2,6:00.0,E. Freedom misses free throw 1 of 2,,35,39
182,2,6:00.0,Offensive rebound by Team,,35,39
183,2,6:00.0,E. Freedom makes free throw 2 of 2,,36,39
184,2,5:41.0,,R. Covington misses 3-pt jump shot from 25 ft,36,39
185,2,5:39.0,Defensive rebound by K. Singler,,36,39
186,2,5:29.0,K. Singler misses 3-pt jump shot from 24 ft,,36,39
187,2,5:27.0,Offensive rebound by E. Freedom,,36,39
188,2,5:27.0,S. Adams makes 2-pt layup from 1 ft,,38,39
189,2,5:22.0,,Philadelphia full timeout,38,39
190,2,5:22.0,D. Sabonis enters the game for E. Freedom,,38,39
191,2,5:22.0,Á. Abrines enters the game for K. Singler,,38,39
192,2,5:10.0,,D. Šarić makes 2-pt jump shot from 16 ft (assist by T. McConnell),38,41
193,2,4:57.0,S. Adams misses 2-pt dunk at rim,,38,41
194,2,4:55.0,,Defensive rebound by J. Embiid,38,41
195,2,4:52.0,,Turnover by J. Embiid (lost ball; steal by S. Adams),38,41
196,2,4:34.0,R. Westbrook makes 2-pt jump shot from 13 ft,,40,41
197,2,4:18.0,,G. Henderson misses 2-pt jump shot from 14 ft,40,41
198,2,4:17.0,Defensive rebound by R. Westbrook,,40,41
199,2,4:11.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,42,41
200,2,3:53.0,,J. Embiid misses 2-pt jump shot from 18 ft,42,41
201,2,3:52.0,Defensive rebound by D. Sabonis,,42,41
202,2,3:36.0,S. Adams makes 2-pt hook shot from 4 ft (assist by R. Westbrook),,44,41
203,2,3:21.0,,Shooting foul by Á. Abrines (drawn by G. Henderson),44,41
204,2,3:21.0,,G. Henderson makes free throw 1 of 2,44,42
205,2,3:21.0,,G. Henderson misses free throw 2 of 2,44,42
206,2,3:21.0,,S. Rodríguez enters the game for T. McConnell,44,42
207,2,3:21.0,,R. Holmes enters the game for J. Embiid,44,42
208,2,3:19.0,Defensive rebound by R. Westbrook,,44,42
209,2,3:10.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,46,42
210,2,2:47.0,,D. Šarić misses 2-pt jump shot from 5 ft,46,42
211,2,2:46.0,,Offensive rebound by Team,46,42
212,2,2:46.0,Official timeout,,46,42
213,2,2:40.0,,G. Henderson makes 3-pt jump shot from 24 ft (assist by S. Rodríguez),46,45
214,2,2:22.0,R. Westbrook makes 2-pt jump shot from 18 ft,,48,45
215,2,2:06.0,,R. Covington misses 3-pt jump shot from 24 ft,48,45
216,2,2:05.0,Defensive rebound by R. Westbrook,,48,45
217,2,2:04.0,Personal foul by D. Šarić (drawn by R. Westbrook),,48,45
218,2,2:04.0,,J. Grant enters the game for D. Šarić,48,45
219,2,1:53.0,R. Westbrook misses 2-pt jump shot from 17 ft,,48,45
220,2,1:52.0,,Defensive rebound by R. Holmes,48,45
221,2,1:43.0,,S. Rodríguez makes 2-pt jump shot from 20 ft,48,47
222,2,1:31.0,,Loose ball foul by S. Rodríguez (drawn by A. Roberson),48,47
223,2,1:25.0,Turnover by Á. Abrines (bad pass; steal by R. Covington),,48,47
224,2,1:10.0,,R. Holmes makes 2-pt dunk at rim (assist by S. Rodríguez),48,49
225,2,0:58.0,D. Sabonis makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,51,49
226,2,0:48.0,,J. Grant makes 2-pt jump shot from 19 ft (assist by S. Rodríguez),51,51
227,2,0:31.0,S. Adams misses 2-pt layup from 2 ft,,51,51
228,2,0:30.0,Offensive rebound by Team,,51,51
229,2,0:30.0,Oklahoma City full timeout,,51,51
230,2,0:23.0,R. Westbrook misses 2-pt layup from 2 ft,,51,51
231,2,0:21.0,Offensive rebound by R. Westbrook,,51,51
232,2,0:01.0,S. Adams misses 2-pt hook shot from 9 ft,,51,51
233,2,0:00.0,Offensive rebound by Team,,51,51
234,3,11:41.0,,J. Embiid misses 2-pt layup from 1 ft,51,51
235,3,11:39.0,Defensive rebound by D. Sabonis,,51,51
236,3,11:35.0,V. Oladipo misses 3-pt jump shot from 25 ft,,51,51
237,3,11:33.0,,Defensive rebound by D. Šarić,51,51
238,3,11:28.0,,S. Rodríguez misses 2-pt jump shot from 21 ft,51,51
239,3,11:27.0,,Offensive rebound by Team,51,51
240,3,11:17.0,,J. Embiid makes 2-pt jump shot from 6 ft,51,53
241,3,11:02.0,D. Sabonis misses 3-pt jump shot from 25 ft,,51,53
242,3,11:00.0,Offensive rebound by V. Oladipo,,51,53
243,3,10:52.0,V. Oladipo misses 2-pt layup from 2 ft,,51,53
244,3,10:50.0,,Defensive rebound by R. Covington,51,53
245,3,10:30.0,,Turnover by D. Šarić (bad pass; steal by S. Adams),51,53
246,3,10:25.0,R. Westbrook misses 2-pt jump shot from 13 ft,,51,53
247,3,10:24.0,,Defensive rebound by D. Šarić,51,53
248,3,10:19.0,,Personal foul by R. Westbrook (drawn by S. Rodríguez),51,53
249,3,10:00.0,,Turnover by Team (shot clock),51,53
250,3,9:51.0,Shooting foul by D. Šarić (drawn by A. Roberson),,51,53
251,3,9:51.0,A. Roberson misses free throw 1 of 2,,51,53
252,3,9:51.0,Offensive rebound by Team,,51,53
253,3,9:51.0,A. Roberson misses free throw 2 of 2,,51,53
254,3,9:50.0,,Defensive rebound by J. Embiid,51,53
255,3,9:35.0,,R. Covington makes 2-pt layup from 1 ft (assist by S. Rodríguez),51,55
256,3,9:20.0,S. Adams misses 2-pt jump shot from 19 ft,,51,55
257,3,9:20.0,,Defensive rebound by Team,51,55
258,3,9:11.0,,Turnover by J. Embiid (lost ball; steal by A. Roberson),51,55
259,3,9:06.0,D. Sabonis makes 2-pt dunk at rim (assist by A. Roberson),,53,55
260,3,8:52.0,,D. Šarić misses 2-pt jump shot from 21 ft,53,55
261,3,8:50.0,Defensive rebound by R. Westbrook,,53,55
262,3,8:38.0,D. Sabonis misses 3-pt jump shot from 25 ft,,53,55
263,3,8:36.0,,Defensive rebound by J. Embiid,53,55
264,3,8:25.0,,Personal foul by D. Sabonis (drawn by D. Šarić),53,55
265,3,8:25.0,,J. Okafor enters the game for J. Embiid,53,55
266,3,8:21.0,,S. Rodríguez misses 3-pt jump shot from 25 ft,53,55
267,3,8:19.0,Defensive rebound by D. Sabonis,,53,55
268,3,8:06.0,R. Westbrook makes 2-pt jump shot from 16 ft,,55,55
269,3,7:58.0,,Personal foul by A. Roberson (drawn by G. Henderson),55,55
270,3,7:58.0,E. İlyasova enters the game for D. Sabonis,,55,55
271,3,7:42.0,,S. Rodríguez misses 3-pt jump shot from 27 ft,55,55
272,3,7:40.0,Defensive rebound by A. Roberson,,55,55
273,3,7:27.0,Turnover by V. Oladipo (lost ball),,55,55
274,3,7:15.0,,J. Okafor misses 2-pt jump shot from 10 ft,55,55
275,3,7:13.0,Defensive rebound by S. Adams,,55,55
