,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CHARLOTTE_ACTION,PHOENIX_SCORE,CHARLOTTE_SCORE
0,1,11:51.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),0,3
1,1,11:38.0,Turnover by D. Booker (bad pass; steal by N. Batum),,0,3
2,1,11:33.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by N. Batum),0,5
3,1,11:03.0,T. Ulis misses 2-pt jump shot from 10 ft,,0,5
4,1,11:02.0,,Defensive rebound by M. Williams,0,5
5,1,10:45.0,,M. Williams makes 3-pt jump shot from 24 ft (assist by M. Kidd-Gilchrist),0,8
6,1,10:41.0,Phoenix full timeout,,0,8
7,1,10:41.0,D. Booker misses 2-pt jump shot from 22 ft,,0,8
8,1,10:40.0,,Defensive rebound by K. Walker,0,8
9,1,10:37.0,,Turnover by K. Walker (bad pass; steal by T. Ulis),0,8
10,1,10:31.0,Shooting foul by K. Walker (drawn by T. Ulis),,0,8
11,1,10:31.0,T. Ulis makes free throw 1 of 2,,1,8
12,1,10:31.0,T. Ulis misses free throw 2 of 2,,1,8
13,1,10:31.0,,Defensive rebound by M. Williams,1,8
14,1,10:10.0,,Personal foul by A. Len (drawn by N. Batum),1,8
15,1,10:10.0,,N. Batum makes free throw 1 of 2,1,9
16,1,10:10.0,,N. Batum makes free throw 2 of 2,1,10
17,1,9:52.0,Turnover by D. Booker (lost ball),,1,10
18,1,9:34.0,,N. Batum makes 2-pt jump shot from 18 ft (assist by M. Kidd-Gilchrist),1,12
19,1,9:18.0,Turnover by T. Ulis (bad pass; steal by M. Williams),,1,12
20,1,9:14.0,,C. Zeller misses 2-pt layup from 1 ft (block by D. Booker),1,12
21,1,9:06.0,,Offensive rebound by Team,1,12
22,1,8:59.0,,Personal foul by T. Ulis (drawn by K. Walker),1,12
23,1,8:59.0,,K. Walker makes free throw 1 of 3,1,13
24,1,8:59.0,,K. Walker makes free throw 2 of 3,1,14
25,1,8:59.0,,K. Walker makes free throw 3 of 3,1,15
26,1,8:42.0,T. Warren misses 2-pt layup from 1 ft,,1,15
27,1,8:41.0,,Defensive rebound by M. Williams,1,15
28,1,8:34.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 16 ft (assist by N. Batum),1,17
29,1,8:22.0,D. Booker misses 2-pt layup from 3 ft,,1,17
30,1,8:22.0,,Defensive rebound by N. Batum,1,17
31,1,8:13.0,,K. Walker misses 3-pt jump shot from 25 ft,1,17
32,1,8:12.0,Defensive rebound by T. Warren,,1,17
33,1,8:06.0,T. Ulis makes 2-pt jump shot from 10 ft,,3,17
34,1,7:37.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),3,20
