,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ATLANTA_ACTION,WASHINGTON_SCORE,ATLANTA_SCORE
0,1,11:42.0,M. Morris makes 2-pt jump shot from 15 ft,,2,0
1,1,11:21.0,,D. Schröder misses 3-pt jump shot from 26 ft,2,0
2,1,11:19.0,Defensive rebound by O. Porter,,2,0
3,1,11:09.0,Turnover by M. Gortat (3 sec),,2,0
4,1,10:58.0,,T. Hardaway makes 2-pt jump shot from 18 ft (assist by D. Howard),2,2
5,1,10:37.0,M. Morris misses 2-pt jump shot from 17 ft,,2,2
6,1,10:35.0,,Defensive rebound by D. Howard,2,2
7,1,10:31.0,,Turnover by D. Howard (bad pass; steal by J. Wall),2,2
8,1,10:23.0,B. Beal makes 3-pt jump shot from 25 ft,,5,2
9,1,10:01.0,,D. Schröder makes 3-pt jump shot from 25 ft (assist by P. Millsap),5,5
10,1,9:48.0,M. Morris makes 3-pt jump shot from 25 ft (assist by B. Beal),,8,5
11,1,9:34.0,,P. Millsap misses 2-pt jump shot from 13 ft,8,5
12,1,9:33.0,Defensive rebound by O. Porter,,8,5
13,1,9:17.0,M. Morris misses 3-pt jump shot from 25 ft,,8,5
14,1,9:15.0,Offensive rebound by M. Gortat,,8,5
15,1,9:15.0,M. Gortat misses 2-pt layup from 2 ft,,8,5
16,1,9:14.0,,Defensive rebound by D. Howard,8,5
17,1,8:54.0,,T. Hardaway misses 2-pt jump shot from 13 ft,8,5
18,1,8:52.0,Defensive rebound by M. Gortat,,8,5
19,1,8:48.0,B. Beal makes 2-pt jump shot from 7 ft (assist by M. Gortat),,10,5
20,1,8:25.0,,P. Millsap misses 3-pt jump shot from 25 ft,10,5
21,1,8:21.0,,Offensive rebound by D. Howard,10,5
22,1,8:20.0,,Turnover by D. Howard (bad pass; steal by J. Wall),10,5
23,1,8:15.0,O. Porter misses 3-pt jump shot from 25 ft,,10,5
24,1,8:14.0,,Defensive rebound by T. Prince,10,5
25,1,8:05.0,,D. Howard makes 2-pt hook shot from 4 ft,10,7
26,1,8:05.0,,Shooting foul by M. Gortat (drawn by D. Howard),10,7
27,1,8:05.0,,D. Howard makes free throw 1 of 1,10,8
28,1,7:44.0,J. Wall misses 2-pt jump shot from 8 ft,,10,8
29,1,7:43.0,,Defensive rebound by Team,10,8
30,1,7:33.0,,Shooting foul by M. Gortat (drawn by D. Howard),10,8
31,1,7:33.0,,D. Howard makes free throw 1 of 2,10,9
32,1,7:33.0,J. Smith enters the game for M. Gortat,,10,9
33,1,7:33.0,,D. Howard makes free throw 2 of 2,10,10
34,1,7:12.0,O. Porter makes 2-pt jump shot from 11 ft,,12,10
35,1,6:45.0,,D. Schröder misses 2-pt layup from 1 ft (block by M. Morris),12,10
36,1,6:45.0,,Offensive rebound by Team,12,10
37,1,6:41.0,,T. Hardaway misses 3-pt jump shot from 24 ft,12,10
38,1,6:40.0,Defensive rebound by J. Smith,,12,10
39,1,6:35.0,J. Wall makes 2-pt layup from 1 ft,,14,10
40,1,6:20.0,,T. Hardaway misses 2-pt jump shot from 19 ft,14,10
41,1,6:18.0,Defensive rebound by O. Porter,,14,10
42,1,6:08.0,M. Morris makes 3-pt jump shot from 24 ft (assist by O. Porter),,17,10
43,1,6:08.0,,Atlanta full timeout,17,10
44,1,5:56.0,,D. Howard makes 2-pt dunk at rim (assist by P. Millsap),17,12
45,1,5:40.0,Turnover by J. Wall (bad pass; steal by P. Millsap),,17,12
46,1,5:35.0,,D. Schröder makes 2-pt dunk at rim (assist by T. Hardaway),17,14
47,1,5:26.0,B. Beal misses 2-pt layup from 1 ft,,17,14
48,1,5:26.0,,Defensive rebound by Team,17,14
49,1,5:26.0,,K. Bazemore enters the game for T. Prince,17,14
50,1,5:07.0,,D. Howard makes 2-pt hook shot from 4 ft (assist by D. Schröder),17,16
51,1,4:52.0,Turnover by J. Wall (bad pass; steal by D. Howard),,17,16
52,1,4:44.0,,P. Millsap misses 2-pt jump shot from 3 ft,17,16
53,1,4:43.0,,Offensive rebound by D. Howard,17,16
54,1,4:38.0,,K. Bazemore misses 3-pt jump shot from 24 ft,17,16
55,1,4:37.0,,Offensive rebound by D. Howard,17,16
56,1,4:34.0,,D. Howard misses 2-pt layup from 1 ft (block by B. Beal),17,16
57,1,4:32.0,Defensive rebound by M. Morris,,17,16
58,1,4:24.0,Shooting foul by T. Hardaway (drawn by J. Wall),,17,16
59,1,4:24.0,J. Wall makes free throw 1 of 2,,18,16
60,1,4:24.0,,E. İlyasova enters the game for P. Millsap,18,16
61,1,4:24.0,,M. Dunleavy enters the game for T. Hardaway,18,16
62,1,4:24.0,B. Bogdanović enters the game for M. Morris,,18,16
63,1,4:24.0,J. Wall makes free throw 2 of 2,,19,16
64,1,4:07.0,,Turnover by D. Howard (traveling),19,16
65,1,3:57.0,Shooting foul by E. İlyasova (drawn by J. Wall),,19,16
66,1,3:57.0,J. Wall makes free throw 1 of 2,,20,16
67,1,3:57.0,K. Oubre enters the game for O. Porter,,20,16
68,1,3:57.0,J. Wall makes free throw 2 of 2,,21,16
69,1,3:44.0,,D. Schröder misses 3-pt jump shot from 25 ft,21,16
70,1,3:43.0,Defensive rebound by Team,,21,16
71,1,3:31.0,J. Wall makes 2-pt dunk at rim,,23,16
72,1,3:13.0,,Offensive foul by D. Howard (drawn by J. Smith),23,16
73,1,3:13.0,,Turnover by D. Howard (offensive foul),23,16
74,1,3:13.0,,T. Hardaway enters the game for D. Howard,23,16
75,1,3:13.0,,P. Millsap enters the game for D. Schröder,23,16
76,1,3:13.0,,J. Calderón enters the game for M. Dunleavy,23,16
77,1,2:52.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by J. Wall),,26,16
78,1,2:32.0,,P. Millsap misses 2-pt layup from 2 ft,26,16
79,1,2:32.0,,Offensive rebound by E. İlyasova,26,16
80,1,2:32.0,,Shooting foul by J. Smith (drawn by E. İlyasova),26,16
81,1,2:32.0,Washington full timeout,,26,16
82,1,2:32.0,,E. İlyasova misses free throw 1 of 2,26,16
83,1,2:32.0,,Offensive rebound by Team,26,16
84,1,2:32.0,B. Jennings enters the game for J. Wall,,26,16
85,1,2:32.0,,E. İlyasova makes free throw 2 of 2,26,17
86,1,2:21.0,Personal foul by K. Bazemore (drawn by J. Smith),,26,17
87,1,2:10.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,26,17
88,1,2:08.0,Offensive rebound by J. Smith,,26,17
89,1,1:49.0,Turnover by B. Bogdanović (lost ball; steal by P. Millsap),,26,17
90,1,1:34.0,,K. Bazemore makes 2-pt layup from 2 ft (assist by P. Millsap),26,19
91,1,1:28.0,Shooting foul by T. Hardaway (drawn by B. Beal),,26,19
92,1,1:28.0,B. Beal makes free throw 1 of 2,,27,19
93,1,1:28.0,B. Beal makes free throw 2 of 2,,28,19
94,1,1:18.0,,K. Bazemore misses 2-pt layup from 1 ft,28,19
95,1,1:18.0,,Offensive rebound by Team,28,19
96,1,1:18.0,Loose ball foul by B. Beal (drawn by P. Millsap),,28,19
97,1,1:13.0,,P. Millsap makes 2-pt jump shot from 18 ft (assist by K. Bazemore),28,21
98,1,1:00.0,B. Beal misses 2-pt jump shot from 8 ft,,28,21
99,1,0:58.0,,Defensive rebound by K. Bazemore,28,21
100,1,0:55.0,,Turnover by K. Bazemore (lost ball; steal by K. Oubre),28,21
