,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ATLANTA_ACTION,MEMPHIS_SCORE,ATLANTA_SCORE
0,1,11:45.0,,K. Bazemore makes 2-pt layup from 3 ft (assist by P. Millsap),0,2
1,1,11:31.0,Turnover by J. Green (bad pass; steal by P. Millsap),,0,2
2,1,11:25.0,,Turnover by P. Millsap (lost ball; steal by V. Carter),0,2
3,1,11:18.0,V. Carter misses 3-pt jump shot from 24 ft,,0,2
4,1,11:15.0,,Defensive rebound by D. Howard,0,2
5,1,11:00.0,,Turnover by T. Sefolosha (lost ball; steal by J. Green),0,2
6,1,10:57.0,J. Green misses 2-pt layup from 1 ft (block by P. Millsap),,0,2
7,1,10:57.0,Offensive rebound by Team,,0,2
8,1,10:49.0,Def 3 sec tech foul by K. Bazemore,,0,2
9,1,10:49.0,M. Conley makes technical free throw,,1,2
10,1,10:39.0,M. Gasol makes 2-pt jump shot from 23 ft (assist by M. Conley),,3,2
11,1,10:23.0,,Personal foul by T. Allen (drawn by K. Bazemore),3,2
12,1,10:17.0,,D. Schröder misses 3-pt jump shot from 25 ft,3,2
13,1,10:14.0,Defensive rebound by T. Allen,,3,2
14,1,10:08.0,M. Gasol misses 3-pt jump shot from 25 ft,,3,2
15,1,10:06.0,Offensive rebound by T. Allen,,3,2
16,1,9:53.0,M. Gasol makes 2-pt jump shot from 21 ft (assist by M. Conley),,5,2
17,1,9:35.0,,K. Bazemore misses 2-pt layup from 1 ft,5,2
18,1,9:33.0,Defensive rebound by M. Gasol,,5,2
19,1,9:28.0,T. Allen misses 2-pt layup from 2 ft,,5,2
20,1,9:26.0,,Defensive rebound by P. Millsap,5,2
21,1,9:15.0,,D. Schröder makes 3-pt jump shot from 25 ft,5,5
22,1,8:50.0,M. Conley makes 2-pt jump shot from 20 ft (assist by M. Gasol),,7,5
23,1,8:27.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by D. Schröder),7,8
24,1,8:08.0,M. Gasol makes 2-pt jump shot from 21 ft (assist by M. Conley),,9,8
25,1,7:47.0,,K. Bazemore makes 2-pt jump shot from 21 ft,9,10
26,1,7:30.0,Turnover by M. Gasol (bad pass; steal by D. Schröder),,9,10
27,1,7:26.0,,D. Schröder makes 2-pt layup from 2 ft,9,12
28,1,7:06.0,Personal foul by T. Sefolosha (drawn by V. Carter),,9,12
29,1,7:01.0,Turnover by T. Allen (bad pass),,9,12
30,1,6:52.0,,D. Schröder misses 3-pt jump shot from 25 ft,9,12
31,1,6:51.0,Defensive rebound by J. Green,,9,12
32,1,6:45.0,T. Allen misses 2-pt layup from 2 ft (block by K. Bazemore),,9,12
33,1,6:45.0,Offensive rebound by Team,,9,12
34,1,6:39.0,M. Conley makes 2-pt jump shot from 11 ft,,11,12
35,1,6:21.0,,P. Millsap misses 2-pt jump shot from 13 ft (block by J. Green),11,12
36,1,6:19.0,Defensive rebound by J. Green,,11,12
37,1,6:11.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),,14,12
