,QUARTER,TIME_REMAINING,INDIANA_ACTION,SAN ANTONIO_ACTION,INDIANA_SCORE,SAN ANTONIO_SCORE
0,1,11:46.0,,Shooting foul by T. Young (drawn by D. Dedmon),0,0
1,1,11:46.0,,D. Dedmon makes free throw 1 of 2,0,1
2,1,11:46.0,,D. Dedmon makes free throw 2 of 2,0,2
3,1,11:30.0,Turnover by T. Young (3 sec),,0,2
4,1,11:16.0,,L. Aldridge makes 2-pt jump shot from 14 ft,0,4
5,1,11:02.0,C. Miles misses 2-pt layup at rim (block by D. Green),,0,4
6,1,11:01.0,Offensive rebound by C. Miles,,0,4
7,1,10:59.0,C. Miles makes 2-pt layup from 2 ft,,2,4
8,1,10:50.0,,D. Green makes 3-pt jump shot from 23 ft (assist by D. Murray),2,7
9,1,10:37.0,T. Young misses 2-pt jump shot from 17 ft,,2,7
10,1,10:37.0,,Defensive rebound by K. Leonard,2,7
11,1,10:24.0,,L. Aldridge misses 2-pt jump shot from 16 ft,2,7
12,1,10:22.0,Defensive rebound by P. George,,2,7
13,1,10:10.0,T. Young makes 2-pt layup from 1 ft (assist by J. Teague),,4,7
14,1,9:58.0,,Offensive foul by D. Murray (drawn by J. Teague),4,7
15,1,9:58.0,,Turnover by D. Murray (offensive foul),4,7
16,1,9:58.0,,Technical foul by Team,4,7
17,1,9:58.0,P. George makes technical free throw,,5,7
18,1,9:41.0,P. George makes 2-pt jump shot from 17 ft (assist by M. Turner),,7,7
19,1,9:30.0,,D. Murray misses 2-pt jump shot from 14 ft,7,7
20,1,9:28.0,Defensive rebound by M. Turner,,7,7
21,1,9:13.0,M. Turner makes 2-pt dunk at rim (assist by J. Teague),,9,7
22,1,8:53.0,,L. Aldridge misses 2-pt hook shot from 12 ft,9,7
23,1,8:52.0,,Offensive rebound by L. Aldridge,9,7
24,1,8:49.0,,L. Aldridge makes 2-pt layup from 1 ft,9,9
25,1,8:25.0,J. Teague makes 2-pt jump shot from 17 ft,,11,9
26,1,8:03.0,,K. Leonard makes 2-pt jump shot from 13 ft,11,11
27,1,7:52.0,C. Miles misses 3-pt jump shot from 26 ft,,11,11
28,1,7:51.0,,Defensive rebound by D. Dedmon,11,11
29,1,7:44.0,,Personal foul by T. Young (drawn by L. Aldridge),11,11
