,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,ATLANTA_ACTION,SAN ANTONIO_SCORE,ATLANTA_SCORE
0,1,11:50.0,,D. Schröder misses 2-pt layup from 2 ft (block by L. Aldridge),0,0
1,1,11:48.0,Defensive rebound by D. Green,,0,0
2,1,11:28.0,P. Gasol makes 3-pt jump shot from 23 ft (assist by L. Aldridge),,3,0
3,1,11:09.0,,Shooting foul by D. Green (drawn by D. Howard),3,0
4,1,11:09.0,,D. Howard makes free throw 1 of 2,3,1
5,1,11:09.0,,D. Howard makes free throw 2 of 2,3,2
6,1,10:56.0,T. Parker misses 2-pt jump shot from 13 ft (block by D. Schröder),,3,2
7,1,10:54.0,,Defensive rebound by P. Millsap,3,2
8,1,10:41.0,,P. Millsap misses 2-pt jump shot from 7 ft,3,2
9,1,10:40.0,Defensive rebound by P. Gasol,,3,2
10,1,10:23.0,L. Aldridge misses 2-pt jump shot from 18 ft,,3,2
11,1,10:21.0,,Defensive rebound by P. Millsap,3,2
12,1,10:14.0,,T. Sefolosha misses 2-pt jump shot from 17 ft,3,2
13,1,10:11.0,Defensive rebound by P. Gasol,,3,2
14,1,9:56.0,T. Parker makes 2-pt layup from 1 ft,,5,2
15,1,9:36.0,,K. Bazemore misses 2-pt layup from 1 ft,5,2
16,1,9:34.0,Defensive rebound by L. Aldridge,,5,2
17,1,9:25.0,K. Leonard misses 3-pt jump shot from 24 ft,,5,2
18,1,9:23.0,Offensive rebound by L. Aldridge,,5,2
19,1,9:17.0,Turnover by T. Parker (lost ball),,5,2
20,1,9:00.0,,T. Sefolosha misses 2-pt layup from 2 ft,5,2
21,1,8:58.0,Defensive rebound by P. Gasol,,5,2
22,1,8:43.0,L. Aldridge makes 3-pt jump shot from 23 ft (assist by K. Leonard),,8,2
23,1,8:29.0,,D. Howard misses 2-pt jump shot from 19 ft,8,2
24,1,8:27.0,,Offensive rebound by T. Sefolosha,8,2
25,1,8:23.0,,D. Schröder makes 2-pt jump shot from 15 ft (assist by D. Howard),8,4
26,1,8:05.0,Turnover by P. Gasol (bad pass),,8,4
27,1,8:05.0,K. Anderson enters the game for K. Leonard,,8,4
28,1,7:54.0,,D. Schröder makes 2-pt jump shot from 17 ft,8,6
29,1,7:35.0,Turnover by P. Gasol (lost ball; steal by K. Bazemore),,8,6
30,1,7:23.0,,P. Millsap misses 2-pt jump shot from 15 ft,8,6
31,1,7:20.0,Defensive rebound by K. Anderson,,8,6
32,1,7:08.0,Personal foul by K. Bazemore (drawn by D. Green),,8,6
33,1,7:08.0,,K. Korver enters the game for T. Sefolosha,8,6
34,1,7:00.0,T. Parker makes 2-pt layup from 2 ft,,10,6
35,1,6:51.0,,Personal foul by P. Gasol (drawn by D. Howard),10,6
36,1,6:51.0,P. Mills enters the game for T. Parker,,10,6
37,1,6:43.0,,K. Bazemore misses 2-pt layup from 3 ft,10,6
38,1,6:41.0,Defensive rebound by L. Aldridge,,10,6
39,1,6:38.0,Turnover by K. Anderson (lost ball; steal by K. Korver),,10,6
40,1,6:24.0,,K. Bazemore misses 3-pt jump shot from 26 ft,10,6
41,1,6:23.0,Defensive rebound by L. Aldridge,,10,6
42,1,6:07.0,P. Gasol misses 2-pt layup from 2 ft (block by K. Korver),,10,6
43,1,6:06.0,Offensive rebound by P. Gasol,,10,6
44,1,6:04.0,P. Gasol makes 2-pt jump shot from 10 ft,,12,6
45,1,6:04.0,,Atlanta full timeout,12,6
46,1,6:04.0,D. Lee enters the game for P. Gasol,,12,6
47,1,6:04.0,M. Ginóbili enters the game for D. Green,,12,6
48,1,6:04.0,K. Leonard enters the game for K. Anderson,,12,6
49,1,5:42.0,,D. Howard misses 2-pt layup from 2 ft,12,6
50,1,5:41.0,Defensive rebound by L. Aldridge,,12,6
51,1,5:35.0,Turnover by M. Ginóbili (bad pass; steal by K. Bazemore),,12,6
52,1,5:32.0,,Shooting foul by P. Mills (drawn by K. Bazemore),12,6
53,1,5:32.0,,K. Bazemore misses free throw 1 of 2,12,6
54,1,5:32.0,,Offensive rebound by Team,12,6
55,1,5:32.0,,K. Bazemore makes free throw 2 of 2,12,7
56,1,5:20.0,P. Mills misses 2-pt layup from 1 ft,,12,7
57,1,5:18.0,,Defensive rebound by P. Millsap,12,7
58,1,4:59.0,,D. Howard makes 2-pt layup from 1 ft (assist by D. Schröder),12,9
59,1,4:47.0,Shooting foul by P. Millsap (drawn by M. Ginóbili),,12,9
60,1,4:47.0,M. Ginóbili makes free throw 1 of 2,,13,9
61,1,4:47.0,,T. Sefolosha enters the game for K. Bazemore,13,9
62,1,4:47.0,M. Ginóbili makes free throw 2 of 2,,14,9
63,1,4:38.0,,D. Schröder misses 2-pt jump shot from 12 ft (block by K. Leonard),14,9
64,1,4:36.0,,Offensive rebound by D. Schröder,14,9
65,1,4:35.0,,Turnover by D. Schröder (bad pass; steal by M. Ginóbili),14,9
66,1,4:30.0,P. Mills misses 2-pt layup from 1 ft,,14,9
67,1,4:29.0,Offensive rebound by L. Aldridge,,14,9
68,1,4:28.0,L. Aldridge makes 2-pt layup from 1 ft,,16,9
69,1,4:15.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by D. Schröder),16,12
70,1,4:00.0,M. Ginóbili makes 3-pt jump shot from 23 ft (assist by L. Aldridge),,19,12
71,1,3:42.0,,P. Millsap makes 2-pt jump shot from 18 ft (assist by D. Schröder),19,14
72,1,3:31.0,P. Mills misses 2-pt layup from 1 ft,,19,14
