,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MINNESOTA_ACTION,NEW YORK_SCORE,MINNESOTA_SCORE
0,1,11:38.0,,K. Towns makes 2-pt hook shot from 8 ft,0,2
1,1,11:14.0,K. Porziņģis makes 2-pt jump shot from 19 ft (assist by C. Anthony),,2,2
2,1,10:56.0,,A. Wiggins misses 2-pt jump shot from 19 ft,2,2
3,1,10:55.0,Defensive rebound by C. Lee,,2,2
4,1,10:47.0,D. Rose makes 2-pt jump shot from 5 ft (assist by C. Lee),,4,2
5,1,10:33.0,,Z. LaVine misses 3-pt jump shot from 24 ft,4,2
6,1,10:31.0,Defensive rebound by K. O'Quinn,,4,2
7,1,10:22.0,C. Lee makes 2-pt jump shot from 14 ft (assist by K. O'Quinn),,6,2
8,1,10:04.0,,Turnover by G. Dieng (lost ball; steal by C. Anthony),6,2
9,1,9:58.0,C. Lee makes 3-pt jump shot from 25 ft (assist by K. Porziņģis),,9,2
10,1,9:44.0,,Personal foul by K. O'Quinn (drawn by K. Towns),9,2
11,1,9:35.0,,K. Towns makes 2-pt jump shot from 15 ft (assist by A. Wiggins),9,4
12,1,9:15.0,K. Porziņģis makes 3-pt jump shot from 24 ft (assist by D. Rose),,12,4
13,1,8:49.0,,G. Dieng misses 2-pt jump shot from 16 ft,12,4
14,1,8:48.0,,Offensive rebound by K. Towns,12,4
15,1,8:46.0,,K. Towns makes 2-pt layup from 1 ft,12,6
16,1,8:36.0,K. Porziņģis misses 2-pt jump shot from 5 ft,,12,6
17,1,8:35.0,Offensive rebound by K. O'Quinn,,12,6
18,1,8:34.0,K. O'Quinn makes 2-pt layup from 1 ft,,14,6
19,1,8:34.0,Shooting foul by G. Dieng (drawn by K. O'Quinn),,14,6
20,1,8:34.0,K. O'Quinn misses free throw 1 of 1,,14,6
21,1,8:34.0,,Defensive rebound by K. Towns,14,6
22,1,8:20.0,,G. Dieng misses 2-pt jump shot from 4 ft,14,6
23,1,8:18.0,,Offensive rebound by Team,14,6
24,1,8:15.0,,Shooting foul by K. O'Quinn (drawn by K. Towns),14,6
25,1,8:15.0,,K. Towns makes free throw 1 of 2,14,7
26,1,8:15.0,,K. Towns misses free throw 2 of 2,14,7
27,1,8:15.0,Defensive rebound by K. Porziņģis,,14,7
28,1,7:59.0,D. Rose misses 3-pt jump shot from 24 ft,,14,7
29,1,7:57.0,,Defensive rebound by Team,14,7
30,1,7:44.0,,A. Wiggins makes 2-pt jump shot from 14 ft,14,9
31,1,7:32.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,14,9
32,1,7:31.0,,Defensive rebound by A. Wiggins,14,9
33,1,7:22.0,,A. Wiggins misses 2-pt jump shot from 4 ft,14,9
34,1,7:22.0,Defensive rebound by K. O'Quinn,,14,9
35,1,7:16.0,K. Porziņģis makes 2-pt dunk at rim (assist by C. Lee),,16,9
36,1,7:09.0,,Minnesota full timeout,16,9
37,1,7:09.0,W. Hernangómez enters the game for K. O'Quinn,,16,9
38,1,6:58.0,,Shooting foul by W. Hernangómez (drawn by G. Dieng),16,9
39,1,6:58.0,,G. Dieng makes free throw 1 of 2,16,10
40,1,6:58.0,,G. Dieng makes free throw 2 of 2,16,11
41,1,6:34.0,Turnover by Team (shot clock),,16,11
42,1,6:22.0,,K. Towns makes 2-pt jump shot from 16 ft (assist by R. Rubio),16,13
43,1,6:00.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,16,13
44,1,5:59.0,,Defensive rebound by K. Towns,16,13
45,1,5:53.0,,Shooting foul by C. Lee (drawn by G. Dieng),16,13
46,1,5:53.0,,G. Dieng misses free throw 1 of 2,16,13
47,1,5:53.0,,Offensive rebound by Team,16,13
48,1,5:53.0,,G. Dieng misses free throw 2 of 2,16,13
49,1,5:53.0,Defensive rebound by W. Hernangómez,,16,13
50,1,5:40.0,C. Lee makes 2-pt layup from 1 ft (assist by W. Hernangómez),,18,13
51,1,5:33.0,,Personal foul by W. Hernangómez (drawn by K. Towns),18,13
52,1,5:33.0,,K. Towns makes free throw 1 of 2,18,14
53,1,5:33.0,,K. Towns misses free throw 2 of 2,18,14
54,1,5:31.0,Defensive rebound by K. Porziņģis,,18,14
55,1,5:15.0,Turnover by C. Anthony (bad pass),,18,14
56,1,5:05.0,,Shooting foul by K. Porziņģis (drawn by K. Towns),18,14
57,1,5:05.0,,K. Towns makes free throw 1 of 2,18,15
58,1,5:05.0,,K. Towns makes free throw 2 of 2,18,16
59,1,4:47.0,W. Hernangómez makes 2-pt jump shot from 16 ft (assist by C. Lee),,20,16
60,1,4:29.0,,Z. LaVine makes 2-pt layup from 1 ft,20,18
61,1,4:19.0,D. Rose makes 2-pt jump shot from 19 ft,,22,18
62,1,4:07.0,,Z. LaVine misses 2-pt jump shot from 4 ft,22,18
63,1,4:07.0,,Offensive rebound by Team,22,18
64,1,4:07.0,J. Holiday enters the game for C. Lee,,22,18
65,1,4:07.0,,N. Bjelica enters the game for G. Dieng,22,18
66,1,4:07.0,M. Ndour enters the game for K. Porziņģis,,22,18
67,1,3:56.0,,A. Wiggins misses 3-pt jump shot from 25 ft,22,18
68,1,3:55.0,Defensive rebound by J. Holiday,,22,18
69,1,3:46.0,J. Holiday misses 3-pt jump shot from 25 ft,,22,18
70,1,3:45.0,,Defensive rebound by R. Rubio,22,18
71,1,3:40.0,,Turnover by R. Rubio (bad pass; steal by J. Holiday),22,18
72,1,3:29.0,J. Holiday misses 2-pt layup from 3 ft,,22,18
73,1,3:28.0,,Defensive rebound by K. Towns,22,18
74,1,3:14.0,,K. Towns makes 2-pt layup from 1 ft (assist by A. Wiggins),22,20
75,1,3:07.0,New York full timeout,,22,20
76,1,2:57.0,J. Holiday misses 2-pt layup from 3 ft,,22,20
77,1,2:56.0,,Defensive rebound by K. Towns,22,20
78,1,2:35.0,,K. Towns makes 2-pt jump shot from 18 ft (assist by R. Rubio),22,22
79,1,2:23.0,Turnover by W. Hernangómez (bad pass; steal by K. Towns),,22,22
80,1,2:19.0,,Shooting block foul by C. Anthony (drawn by K. Towns),22,22
81,1,2:19.0,,K. Towns makes free throw 1 of 2,22,23
82,1,2:19.0,B. Jennings enters the game for D. Rose,,22,23
83,1,2:19.0,,K. Dunn enters the game for R. Rubio,22,23
84,1,2:19.0,,K. Towns makes free throw 2 of 2,22,24
85,1,2:07.0,C. Anthony makes 2-pt jump shot from 17 ft (assist by B. Jennings),,24,24
86,1,1:52.0,,K. Dunn misses 3-pt jump shot from 24 ft,24,24
87,1,1:51.0,Defensive rebound by C. Anthony,,24,24
88,1,1:40.0,Shooting foul by K. Dunn (drawn by W. Hernangómez),,24,24
89,1,1:40.0,W. Hernangómez makes free throw 1 of 2,,25,24
90,1,1:40.0,W. Hernangómez makes free throw 2 of 2,,26,24
91,1,1:18.0,,N. Bjelica misses 2-pt jump shot from 11 ft,26,24
92,1,1:17.0,,Offensive rebound by K. Towns,26,24
93,1,1:17.0,,K. Towns makes 2-pt layup from 1 ft,26,26
94,1,1:05.0,C. Anthony misses 3-pt jump shot from 25 ft,,26,26
95,1,1:04.0,,Defensive rebound by A. Wiggins,26,26
96,1,0:52.0,,K. Towns makes 2-pt layup from 1 ft (assist by A. Wiggins),26,28
97,1,0:41.0,B. Jennings misses 2-pt layup from 3 ft (block by K. Dunn),,26,28
98,1,0:40.0,Offensive rebound by W. Hernangómez,,26,28
99,1,0:32.0,W. Hernangómez makes 2-pt hook shot from 5 ft,,28,28
100,1,0:19.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by N. Bjelica),28,31
101,1,0:01.0,C. Anthony misses 2-pt jump shot from 19 ft,,28,31
102,1,0:00.0,,Defensive rebound by K. Towns,28,31
103,2,11:43.0,K. Porziņģis makes 2-pt jump shot from 15 ft,,30,31
104,2,11:43.0,Shooting foul by N. Bjelica (drawn by K. Porziņģis),,30,31
105,2,11:43.0,K. Porziņģis makes free throw 1 of 1,,31,31
106,2,11:27.0,,Turnover by A. Wiggins (bad pass),31,31
107,2,11:15.0,M. Kuzminskas misses 3-pt jump shot from 23 ft,,31,31
108,2,11:14.0,,Defensive rebound by Team,31,31
109,2,11:03.0,,Turnover by K. Dunn (lost ball),31,31
110,2,10:50.0,J. Holiday misses 3-pt jump shot from 23 ft,,31,31
111,2,10:50.0,,Defensive rebound by Team,31,31
112,2,10:50.0,Loose ball foul by M. Kuzminskas (drawn by S. Muhammad),,31,31
113,2,10:50.0,M. Plumlee enters the game for W. Hernangómez,,31,31
114,2,10:38.0,,S. Muhammad misses 2-pt jump shot from 7 ft,31,31
115,2,10:37.0,Defensive rebound by K. Porziņģis,,31,31
116,2,10:30.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,31,31
117,2,10:29.0,Offensive rebound by Team,,31,31
118,2,10:29.0,,Loose ball foul by N. Bjelica (drawn by K. Porziņģis),31,31
119,2,10:19.0,B. Jennings makes 2-pt jump shot from 20 ft,,33,31
120,2,10:06.0,,N. Bjelica misses 3-pt jump shot from 25 ft,33,31
121,2,10:04.0,,Offensive rebound by A. Wiggins,33,31
122,2,9:52.0,,A. Wiggins makes 2-pt jump shot from 16 ft,33,33
123,2,9:52.0,,Shooting foul by J. Holiday (drawn by A. Wiggins),33,33
124,2,9:52.0,,A. Wiggins misses free throw 1 of 1,33,33
125,2,9:50.0,Defensive rebound by Team,,33,33
126,2,9:37.0,B. Jennings makes 2-pt layup from 2 ft,,35,33
127,2,9:23.0,,A. Wiggins misses 2-pt jump shot from 18 ft,35,33
128,2,9:19.0,Defensive rebound by K. Porziņģis,,35,33
