,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DETROIT_ACTION,OKLAHOMA CITY_SCORE,DETROIT_SCORE
0,1,11:42.0,Turnover by S. Adams (bad pass),,0,0
1,1,11:27.0,,T. Harris misses 2-pt jump shot from 14 ft,0,0
2,1,11:27.0,Defensive rebound by R. Westbrook,,0,0
3,1,11:24.0,Turnover by R. Westbrook (bad pass; steal by T. Harris),,0,0
4,1,11:13.0,,I. Smith makes 2-pt layup from 1 ft,0,2
5,1,10:59.0,Shooting foul by A. Baynes (drawn by S. Adams),,0,2
6,1,10:59.0,S. Adams makes free throw 1 of 2,,1,2
7,1,10:59.0,S. Adams misses free throw 2 of 2,,1,2
8,1,10:58.0,,Defensive rebound by M. Morris,1,2
9,1,10:42.0,,K. Caldwell-Pope makes 2-pt jump shot from 11 ft (assist by M. Morris),1,4
10,1,10:28.0,V. Oladipo misses 2-pt jump shot from 6 ft,,1,4
11,1,10:27.0,Offensive rebound by S. Adams,,1,4
12,1,10:14.0,V. Oladipo misses 2-pt jump shot from 9 ft,,1,4
13,1,10:14.0,,Defensive rebound by M. Morris,1,4
14,1,10:08.0,,I. Smith misses 2-pt layup from 1 ft,1,4
15,1,10:07.0,Defensive rebound by D. Sabonis,,1,4
16,1,10:01.0,V. Oladipo misses 3-pt jump shot from 24 ft,,1,4
17,1,10:01.0,,Defensive rebound by K. Caldwell-Pope,1,4
18,1,9:55.0,,Turnover by K. Caldwell-Pope (bad pass),1,4
19,1,9:39.0,V. Oladipo misses 3-pt jump shot from 27 ft,,1,4
20,1,9:38.0,,Defensive rebound by A. Baynes,1,4
21,1,9:23.0,,A. Baynes makes 2-pt jump shot from 15 ft (assist by M. Morris),1,6
22,1,9:02.0,D. Sabonis misses 2-pt hook shot from 6 ft,,1,6
23,1,9:01.0,,Defensive rebound by I. Smith,1,6
24,1,8:55.0,,A. Baynes makes 2-pt layup from 1 ft (assist by I. Smith),1,8
25,1,8:31.0,R. Westbrook makes 2-pt layup at rim,,3,8
26,1,8:13.0,,T. Harris misses 2-pt layup at rim,3,8
27,1,8:12.0,Defensive rebound by A. Roberson,,3,8
28,1,8:04.0,R. Westbrook makes 2-pt jump shot from 6 ft,,5,8
29,1,7:50.0,,Turnover by I. Smith (bad pass; steal by S. Adams),5,8
30,1,7:40.0,A. Roberson misses 3-pt jump shot from 24 ft,,5,8
31,1,7:39.0,,Defensive rebound by A. Baynes,5,8
32,1,7:29.0,,M. Morris misses 2-pt jump shot from 16 ft,5,8
33,1,7:29.0,Defensive rebound by S. Adams,,5,8
34,1,7:17.0,V. Oladipo misses 3-pt jump shot from 26 ft,,5,8
35,1,7:17.0,,Defensive rebound by T. Harris,5,8
36,1,7:06.0,,Shooting foul by V. Oladipo (drawn by I. Smith),5,8
37,1,7:06.0,,I. Smith makes free throw 1 of 2,5,9
38,1,7:06.0,,I. Smith makes free throw 2 of 2,5,10
39,1,6:51.0,R. Westbrook misses 2-pt jump shot from 11 ft,,5,10
40,1,6:51.0,,Defensive rebound by I. Smith,5,10
41,1,6:42.0,,I. Smith misses 2-pt jump shot from 5 ft,5,10
42,1,6:42.0,Defensive rebound by R. Westbrook,,5,10
43,1,6:42.0,A. Roberson makes 2-pt layup from 1 ft (assist by R. Westbrook),,7,10
44,1,6:42.0,Shooting foul by M. Morris (drawn by A. Roberson),,7,10
45,1,6:42.0,A. Roberson misses free throw 1 of 1,,7,10
46,1,6:42.0,,Defensive rebound by M. Morris,7,10
47,1,6:21.0,,Shooting foul by D. Sabonis (drawn by A. Baynes),7,10
48,1,6:21.0,,A. Baynes makes free throw 1 of 2,7,11
49,1,6:21.0,Á. Abrines enters the game for V. Oladipo,,7,11
50,1,6:21.0,,A. Baynes makes free throw 2 of 2,7,12
51,1,6:07.0,R. Westbrook makes 2-pt dunk at rim,,9,12
52,1,5:48.0,,T. Harris misses 2-pt jump shot from 6 ft,9,12
53,1,5:48.0,Defensive rebound by A. Roberson,,9,12
54,1,5:42.0,Shooting foul by I. Smith (drawn by R. Westbrook),,9,12
55,1,5:42.0,,Detroit full timeout,9,12
56,1,5:42.0,R. Westbrook makes free throw 1 of 2,,10,12
57,1,5:42.0,,J. Leuer enters the game for T. Harris,9,12
58,1,5:42.0,R. Westbrook makes free throw 2 of 2,,11,12
59,1,5:26.0,,A. Baynes misses 2-pt jump shot from 4 ft,11,12
60,1,5:26.0,,Offensive rebound by Team,11,12
61,1,5:12.0,,J. Leuer misses 2-pt jump shot from 14 ft,11,12
62,1,5:11.0,Defensive rebound by A. Roberson,,11,12
63,1,5:00.0,Á. Abrines makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,14,12
64,1,4:43.0,,K. Caldwell-Pope makes 2-pt jump shot from 16 ft (assist by A. Baynes),14,14
65,1,4:33.0,R. Westbrook makes 2-pt layup from 1 ft,,16,14
66,1,4:33.0,Shooting foul by J. Leuer (drawn by R. Westbrook),,16,14
67,1,4:33.0,E. Freedom enters the game for A. Roberson,,16,14
68,1,4:33.0,J. Grant enters the game for S. Adams,,16,14
69,1,4:33.0,R. Westbrook makes free throw 1 of 1,,17,14
70,1,4:11.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft,17,17
71,1,3:57.0,R. Westbrook misses 2-pt jump shot from 12 ft,,17,17
72,1,3:57.0,,Defensive rebound by Team,17,17
73,1,3:57.0,,Personal foul by D. Sabonis (drawn by K. Caldwell-Pope),17,17
74,1,3:57.0,,B. Udrih enters the game for I. Smith,17,17
75,1,3:57.0,J. Lauvergne enters the game for D. Sabonis,,17,17
76,1,3:40.0,,M. Morris misses 2-pt jump shot from 6 ft,17,17
77,1,3:40.0,Defensive rebound by J. Lauvergne,,17,17
78,1,3:34.0,R. Westbrook misses 2-pt jump shot from 6 ft,,17,17
79,1,3:34.0,,Defensive rebound by J. Leuer,17,17
80,1,3:26.0,,B. Udrih makes 2-pt jump shot from 14 ft (assist by M. Morris),17,19
81,1,3:25.0,Oklahoma City full timeout,,17,19
82,1,3:25.0,,T. Harris enters the game for M. Morris,17,19
83,1,3:12.0,E. Freedom makes 2-pt layup at rim (assist by R. Westbrook),,19,19
84,1,2:54.0,,A. Baynes misses 2-pt layup at rim,19,19
85,1,2:53.0,Defensive rebound by Á. Abrines,,19,19
86,1,2:46.0,Turnover by R. Westbrook (lost ball),,19,19
87,1,2:46.0,S. Christon enters the game for R. Westbrook,,19,19
88,1,2:46.0,,B. Marjanović enters the game for A. Baynes,19,19
89,1,2:29.0,,B. Marjanović misses 2-pt hook shot from 7 ft,19,19
90,1,2:27.0,Defensive rebound by J. Lauvergne,,19,19
91,1,2:14.0,E. Freedom makes 2-pt jump shot from 17 ft (assist by J. Lauvergne),,21,19
92,1,2:02.0,,Shooting foul by Á. Abrines (drawn by K. Caldwell-Pope),21,19
93,1,2:02.0,,K. Caldwell-Pope misses free throw 1 of 2,21,19
94,1,2:02.0,,Offensive rebound by Team,21,19
95,1,2:02.0,,K. Caldwell-Pope makes free throw 2 of 2,21,20
96,1,1:50.0,E. Freedom makes 2-pt layup from 1 ft (assist by S. Christon),,23,20
97,1,1:33.0,,J. Leuer makes 2-pt layup from 1 ft,23,22
98,1,1:33.0,,Shooting foul by J. Lauvergne (drawn by J. Leuer),23,22
99,1,1:33.0,,S. Johnson enters the game for K. Caldwell-Pope,23,22
100,1,1:33.0,,J. Leuer makes free throw 1 of 1,23,23
101,1,1:19.0,S. Christon misses 2-pt layup from 1 ft,,23,23
102,1,1:18.0,,Defensive rebound by B. Marjanović,23,23
103,1,1:08.0,,B. Marjanović misses 2-pt jump shot from 4 ft (block by J. Grant),23,23
104,1,1:06.0,Defensive rebound by S. Christon,,23,23
105,1,1:02.0,J. Grant makes 2-pt layup from 1 ft (assist by S. Christon),,25,23
106,1,0:49.0,,T. Harris makes 2-pt layup from 1 ft,25,25
107,1,0:49.0,,Shooting foul by J. Grant (drawn by T. Harris),25,25
108,1,0:49.0,,T. Harris makes free throw 1 of 1,25,26
109,1,0:30.0,E. Freedom misses 3-pt jump shot from 25 ft,,25,26
110,1,0:30.0,,Defensive rebound by T. Harris,25,26
111,1,0:09.0,,B. Marjanović makes 2-pt layup from 1 ft (assist by B. Udrih),25,28
112,1,0:02.0,J. Lauvergne misses 3-pt jump shot from 27 ft,,25,28
113,1,0:00.0,,Defensive rebound by T. Harris,25,28
114,2,11:41.0,,B. Marjanović makes 2-pt hook shot from 5 ft (assist by S. Johnson),25,30
115,2,11:27.0,J. Grant makes 2-pt jump shot from 1 ft,,27,30
116,2,11:09.0,,B. Marjanović misses 2-pt jump shot from 5 ft (block by E. Freedom),27,30
117,2,11:08.0,,Offensive rebound by Team,27,30
118,2,11:02.0,,S. Johnson misses 2-pt jump shot from 15 ft,27,30
119,2,11:02.0,,Offensive rebound by Team,27,30
120,2,11:02.0,,Turnover by Team (shot clock),27,30
121,2,10:48.0,Á. Abrines misses 2-pt jump shot from 11 ft,,27,30
122,2,10:47.0,,Defensive rebound by B. Marjanović,27,30
123,2,10:31.0,,Turnover by B. Udrih (lost ball; steal by J. Grant),27,30
124,2,10:29.0,Personal foul by B. Marjanović (drawn by S. Christon),,27,30
125,2,10:20.0,E. Freedom makes 2-pt jump shot from 9 ft (assist by S. Christon),,29,30
126,2,9:53.0,,T. Harris makes 2-pt jump shot from 16 ft,29,32
127,2,9:38.0,J. Lauvergne misses 2-pt jump shot from 19 ft,,29,32
128,2,9:37.0,,Defensive rebound by S. Johnson,29,32
129,2,9:25.0,,B. Udrih makes 2-pt layup from 1 ft,29,34
130,2,9:07.0,E. Freedom misses 2-pt jump shot from 8 ft,,29,34
131,2,9:06.0,,Defensive rebound by J. Leuer,29,34
132,2,8:52.0,,B. Udrih makes 2-pt layup at rim (assist by J. Leuer),29,36
133,2,8:32.0,Á. Abrines misses 2-pt jump shot from 11 ft (block by S. Johnson),,29,36
