,QUARTER,TIME_REMAINING,INDIANA_ACTION,TORONTO_ACTION,INDIANA_SCORE,TORONTO_SCORE
0,1,11:37.0,,D. Carroll misses 3-pt jump shot from 26 ft,0,0
1,1,11:37.0,Defensive rebound by P. George,,0,0
2,1,11:26.0,P. George makes 2-pt jump shot from 12 ft,,2,0
3,1,11:14.0,,Turnover by D. DeRozan (bad pass),2,0
4,1,11:02.0,Turnover by P. George (bad pass),,2,0
5,1,10:46.0,,Shooting foul by T. Young (drawn by D. DeRozan),2,0
6,1,10:46.0,,D. DeRozan makes free throw 1 of 2,2,1
7,1,10:46.0,,D. DeRozan makes free throw 2 of 2,2,2
8,1,10:29.0,J. Teague makes 3-pt jump shot from 25 ft (assist by M. Ellis),,5,2
9,1,10:20.0,,Turnover by D. DeRozan (bad pass),5,2
10,1,10:10.0,T. Young misses 2-pt layup from 3 ft (block by S. Ibaka),,5,2
11,1,10:09.0,Offensive rebound by M. Turner,,5,2
12,1,10:04.0,M. Turner misses 2-pt jump shot from 20 ft,,5,2
13,1,10:03.0,Offensive rebound by T. Young,,5,2
14,1,10:02.0,T. Young makes 2-pt layup from 1 ft,,7,2
15,1,9:43.0,,C. Joseph misses 3-pt jump shot from 26 ft,7,2
16,1,9:42.0,Defensive rebound by P. George,,7,2
17,1,9:36.0,J. Teague makes 2-pt layup from 2 ft (assist by P. George),,9,2
18,1,9:32.0,,Toronto full timeout,9,2
19,1,9:24.0,,D. DeRozan misses 2-pt jump shot from 18 ft,9,2
20,1,9:24.0,,Offensive rebound by D. Carroll,9,2
21,1,9:19.0,,S. Ibaka makes 3-pt jump shot from 26 ft (assist by D. Carroll),9,5
22,1,9:09.0,T. Young misses 2-pt jump shot from 20 ft,,9,5
23,1,9:09.0,,Defensive rebound by J. Valančiūnas,9,5
24,1,8:53.0,,D. DeRozan makes 2-pt jump shot from 19 ft (assist by D. Carroll),9,7
25,1,8:38.0,Shooting foul by C. Joseph (drawn by J. Teague),,9,7
26,1,8:38.0,J. Teague misses free throw 1 of 2,,9,7
27,1,8:38.0,Offensive rebound by Team,,9,7
28,1,8:38.0,J. Teague makes free throw 2 of 2,,10,7
29,1,8:18.0,,D. Carroll misses 3-pt jump shot from 26 ft,10,7
30,1,8:18.0,Defensive rebound by T. Young,,10,7
31,1,7:55.0,M. Turner makes 2-pt hook shot from 4 ft (assist by T. Young),,12,7
32,1,7:30.0,,D. DeRozan misses 2-pt jump shot from 5 ft,12,7
33,1,7:30.0,Defensive rebound by Team,,12,7
34,1,7:30.0,,Loose ball foul by S. Ibaka (drawn by P. George),12,7
35,1,7:13.0,M. Ellis misses 2-pt layup from 5 ft,,12,7
36,1,7:13.0,Offensive rebound by M. Turner,,12,7
37,1,7:12.0,M. Turner misses 2-pt layup from 2 ft,,12,7
38,1,7:11.0,,Defensive rebound by J. Valančiūnas,12,7
39,1,7:03.0,,D. DeRozan makes 2-pt jump shot from 4 ft (assist by C. Joseph),12,9
40,1,6:50.0,T. Young misses 2-pt hook shot from 4 ft,,12,9
41,1,6:48.0,,Defensive rebound by J. Valančiūnas,12,9
42,1,6:28.0,,Shooting foul by M. Turner (drawn by J. Valančiūnas),12,9
